row_number,name,cas_raw,issues
22665,N-(2-Methoxy-5-methylphenyl)benzenesulfonamide,2/9/6964,INVALID_CAS
22803,N-(3-Hydroxyphenyl)thiourea,5/6/3394,INVALID_CAS
22824,N-(4-Aminobenzoyl)-a-alanine,8/4/7377,INVALID_CAS
22956,N-(4-Fluorophenyl)-4-methylbenzamide,3/4/5083,INVALID_CAS
22980,N-(4-Methoxyphenyl)thiourea,7/4/2293,INVALID_CAS
23028,N-(Hydroxymethyl)benzamide,2/6/6282,INVALID_CAS
23107,N-a-Benzoyl-L-arginineethylesterhydrochloride,8/1/2645,INVALID_CAS
23141,N-Amidinothiourea,2/5/2114,INVALID_CAS
23225,N-Benzylethylenediamine,9/4/4152,INVALID_CAS
23230,"N-Benzylidene-1,1-dimethyl-2-(4-fluorophenyl)ethylamine",6/7/4116,INVALID_CAS
23246,N-Benzyloxycarbonyl-L-glutamicacid-tert-butylester,8/6/3886,INVALID_CAS
23386,n-Butylglycidylether,8/6/2426,INVALID_CAS
23548,n-Hexadecyloxyaniline,6/9/7502,INVALID_CAS
23636,N-Methylmaleichydrazide,1/1/5436,INVALID_CAS
23652,N-Methylvaleramide,10/1/6225,INVALID_CAS
23734,n-Propoxybenzaldehyde,12/5/7091,INVALID_CAS
23752,n-Propylbenzoicacid,5/3/2438,INVALID_CAS
23769,n-Propyltriethoxysilane,2/9/2550,INVALID_CAS
23902,Nigrosinwatersoluble,3/6/8005,INVALID_CAS
23906,NitrazineYellow,7/4/5423,INVALID_CAS
23935,Nitro-N-phenylbenzamide,11/5/3460,INVALID_CAS
