type,name,smiles
catalyst,empty,CC(=O)O.CC(=O)O.[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1
catalyst,empty,CC(=O)O.CC(=O)O.[Pd].c1ccc(P(c2ccccc2)c2ccccc2Oc2ccccc2P(c2ccccc2)c2ccccc2)cc1
catalyst,empty,CC(=O)O.CC(=O)O.[Pd].c1coc(P(c2ccco2)c2ccco2)c1
catalyst,empty,CC(=O)O[Pd]OC(C)=O.CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1
catalyst,empty,CC(=O)O[Pd]OC(C)=O.COc1ccccc1-n1cccc1P(C(C)(C)C)C(C)(C)C
catalyst,empty,CC(=O)O[Pd]OC(C)=O.Cc1c(C)c(C)c(P(C(C)(C)C)C(C)(C)C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1C
catalyst,empty,CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd]
catalyst,empty,CC(C)(C)P(C(C)(C)C)C(C)(C)C.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd]
catalyst,empty,CC(C)(C)P(C(C)(C)C)C(C)(C)C.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd]
catalyst,empty,CC(C)(C)P(c1cc2ccccc2n1-c1ccccc1)C(C)(C)C.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd]
catalyst,empty,CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd]
catalyst,empty,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.COC(C)(C)C.Cl[Pd+].NCCc1[c-]cccc1
catalyst,empty,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.NCCc1[c-]cccc1.[Cl-].[Pd+2]
catalyst,empty,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.Cl[Pd+].Nc1ccccc1-c1ccccc1
