Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent
Buchwald-Hartwig,5.45,0.17,ArNH2,ArCl,ArCl,ArNH2,ArX*,Aniline-type,BrettPhos Pd(crotyl)OTf,BrettPhos,K2CO3,Dioxane,water,,
Buchwald-Hartwig,0.0,-0.71,ArNH2,ArCl,ArCl,ArNH2,ArX*,Aniline-type,QPhos Pd(crotyl)Cl,QPhos,K3PO4,o-Xylene,,,
CO-Coupling,0.0,-0.37,ArBr,ArOH,"ArBr, ArOH",ArOH,"ArOH, ArX*",ArOH,QPhos Pd(crotyl)Cl,QPhos,K3PO4,Dioxane,,,
Suzuki-Miyaura,41.98,0.74,alkeneB(OR)2,ArBr,ArBr,alkeneB(OR)2,ArX*,RB*,dpppPdCl2,dppp,K3PO4,PhMe,water,,
Suzuki-Miyaura,1.84,-1.64,alkeneB(OR)2,ArBr,ArBr,alkeneB(OR)2,ArX*,RB*,dpppPdCl2,dppp,K3PO4,PhMe,water,,
Suzuki-Miyaura,4.74,-0.86,ArI,ArB(OR)2,,ArB(OR)2,,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K2CO3,PhMe,,water,
Suzuki-Miyaura,68.78,1.68,ArI,ArB(OR)2,ArI,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,Cs2CO3,PhMe,,,
Buchwald-Hartwig,34.81,1.77,ArI,ArNHR,ArI,ArNHR,ArX*,Aniline-type,XantPhos Pd G2,XantPhos,K3PO4,PhMe,,,
Buchwald-Hartwig,0.41,-0.61,ArI,ArNHR,ArI,ArNHR,ArX*,Aniline-type,rac-BINAP Pd G3,BINAP,LiHMDS,PhMe,,,
Suzuki-Miyaura,58.02,1.43,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,K2CO3,PhMe,water,,
Suzuki-Miyaura,15.03,-0.73,ArBr,ArBF3K,ArBr,ArBF3K,ArX*,ArB*,PPh3)2PdCl2,PPh3,,PhMe,water,,
Suzuki-Miyaura,79.46,-0.09,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K3PO4,Dioxane,water,,
Suzuki-Miyaura,44.03,-0.03,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,K2CO3,PhMe,water,,
Suzuki-Miyaura,0.0,-1.73,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,tAmOH,water,,
Amide-coupling,9.04,-0.31,RCO2H or M,RNH2,,"RCO2H, RNH2",,"Aliphatic-amine, Acyl-source",,No Ligand,DBU,MeCN,,,PyBrOP
Buchwald-Hartwig,57.89,2.29,ArOSO2R,RNH2,ArOSO2R,RNH2,ArX*,Aliphatic-amine,AlphosPd)2cod,AlPhos,Cs2CO3,PhMe,,water,
Buchwald-Hartwig,2.59,-0.63,ArOSO2R,RNH2,ArOSO2R,RNH2,ArX*,Aliphatic-amine,BrettPhos Pd(crotyl)OTf,BrettPhos,Cs2CO3,PhMe,,water,
Buchwald-Hartwig,0.0,-0.9,RNH2,ArOSO2R,ArOSO2R,RNH2,ArX*,Aliphatic-amine,AlphosPd)2cod,AlPhos,Cs2CO3,PhMe,,water,
Buchwald-Hartwig,0.3,-0.89,RNH2,ArOSO2R,ArOSO2R,RNH2,ArX*,Aliphatic-amine,BrettPhos Pd(crotyl)OTf,BrettPhos,NaOtBu,PhMe,,,
Suzuki-Miyaura,0.0,-0.33,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,dppfPdCl2,dppf,K3PO4,PhMe,water,,
Suzuki-Miyaura,17.28,0.17,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dppfPdCl2,dppf,K3PO4,anisole,water,,
Buchwald-Hartwig,0.0,-0.42,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,,water,
Borylation-C-H,0.46,-0.36,ArH,ArH,,,,,[Ir(cod)OMe]2,dtbpy,,cyclohexane,,,
Buchwald-Hartwig,0.0,-1.0,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,cBridP Pd(allyl)Cl,cBridP,K3PO4,tAmOH,,,
Buchwald-Hartwig,5.92,0.29,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,tAmOH,,water,
Buchwald-Hartwig,0.0,-0.33,ArBr,arom. NH,ArBr,arom-NH,ArX*,Aniline-type,CuI,Salicylaldoxime,Cs2CO3,PhMe,,,
Suzuki-Miyaura,0.0,-0.54,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,XPhos Pd G2,XPhos,NaHCO3,PhMe,,water,
Buchwald-Hartwig,32.48,0.67,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,PhMe,water,,
Buchwald-Hartwig,27.16,0.4,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,(R)-BINAP Pd(allyl)Cl,BINAP,NaOtBu,PhMe,,,
Amide-coupling,12.22,-1.86,R2NH a-branch,RCO2H or M,,"R2NH-a-branch, RCO2H",,"Aliphatic-amine, Acyl-source",,No Ligand,NMM,DCM,,HOSu,EDC
Amide-coupling,89.56,0.91,R2NH a-branch,RCO2H or M,,"R2NH-a-branch, RCO2H",,"Aliphatic-amine, Acyl-source",,No Ligand,,PhMe,xylenes,HOPO,DIC
Amide-coupling,83.66,0.7,R2NH a-branch,RCO2H or M,,"R2NH-a-branch, RCO2H",,"Aliphatic-amine, Acyl-source",,No Ligand,,acetone,PhMe,HOPO,DIC
Amide-coupling,25.71,-1.37,R2NH a-branch,RCO2H or M,,"R2NH-a-branch, RCO2H",,"Aliphatic-amine, Acyl-source",,No Ligand,,anisole,DMI,,DIC
Amide-coupling,72.59,0.3,R2NH a-branch,RCO2H or M,,"R2NH-a-branch, RCO2H",,"Aliphatic-amine, Acyl-source",,No Ligand,,DMI,iPrOAc,HOPO,DIC
Suzuki-Miyaura,0.0,-1.07,ArI,ArB(OR)2,ArI,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K3PO4,PhMe,water,,
Suzuki-Miyaura,25.09,0.71,ArI,ArB(OR)2,ArI,ArB(OR)2,ArX*,ArB*,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,Dioxane,water,,
Amide-coupling,2.62,-1.65,RNH2,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,NMM,TBME,,HOSu,EDC
Amide-coupling,59.37,0.34,RNH2,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,,tAmOH,,HOSu,DIC
Amide-coupling,79.05,1.03,RNH2,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,,tAmOH,,HOSu,DIC
Amide-coupling,78.69,1.02,RNH2,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,,tAmOH,,HOSu,DIC
Amide-coupling,68.71,0.67,RNH2,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,,tAmOH,,HOSu,DIC
Suzuki-Miyaura,73.91,0.53,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dppfPdCl2,dppf,K3PO4,iPrOAc,water,,
