Reaction Type,FG1,FG2,n_rows,n_eln,top_coupling_reagent,top_catalyst,top_ligand,top_base,top_solvent,top_additive,ReactionType_Detailed,ReactionType_SubtypeTag
Buchwald-Hartwig,ArBr,RCONH2,336,4,,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,tAmOH,water,Buchwald-Hartwig: aryl bromide × primary amide,Buchwald-Hartwig__ArBr + RCONH2
Buchwald-Hartwig,ArBr,Urea,318,3,,CuI,tBuBrettPhos,Cs2CO3,PhMe,Sodium trifluoroacetate,Buchwald-Hartwig: aryl bromide × urea,Buchwald-Hartwig__ArBr + Urea
Buchwald-Hartwig,ArBr,RCONHR,288,3,,CuI,BTMO,Cs2CO3,DMSO,BSA,Buchwald-Hartwig: aryl bromide × secondary amide,Buchwald-Hartwig__ArBr + RCONHR
Buchwald-Hartwig,ArI,R2NH,240,2,,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,Sodium trifluoroacetate,Buchwald-Hartwig: aryl iodide × secondary alkyl amine,Buchwald-Hartwig__ArI + R2NH
Buchwald-Hartwig,ArOSO2R,RNH2,240,2,,BrettPhos Pd(crotyl)OTf,BrettPhos,NaOtBu,PhMe,water,Buchwald-Hartwig: aryl sulfonate (triflate/mesylate/tosylate) × primary alkyl amine,Buchwald-Hartwig__ArOSO2R + RNH2
Buchwald-Hartwig,ArI,arom. NH,216,2,,CuI,DMPAO,Cs2CO3,DMSO,LiI,Buchwald-Hartwig: aryl iodide × aromatic N–H (heteroaryl/aryl NH),Buchwald-Hartwig__ArI + arom. NH
Buchwald-Hartwig,ArOH,RNH2 a-branch,216,1,PyBrOP,GPhos Pd G6 TES,No Ligand,DBU,PhMe,Sodium trifluoroacetate,Buchwald-Hartwig: phenol (Ar–OH) × α-branched primary alkyl amine,Buchwald-Hartwig__ArOH + RNH2 a-branch
Buchwald-Hartwig,ArCl,Lactam,192,2,,XantPhosPdCl2,XantPhos,K3PO4,tAmOH,,Buchwald-Hartwig: aryl chloride × lactam (cyclic amide),Buchwald-Hartwig__ArCl + Lactam
Buchwald-Hartwig,ArI,ArNHR,192,1,,QPhos Pd(crotyl)Cl,XantPhos,K3PO4,PhMe,,Buchwald-Hartwig: aryl iodide × secondary aryl amine (Ar–NHR),Buchwald-Hartwig__ArI + ArNHR
Buchwald-Hartwig,ArCl,RNH2,153,3,,QPhos Pd(crotyl)Cl,QPhos,K3PO4,PhMe,Sodium trifluoroacetate,Buchwald-Hartwig: aryl chloride × primary alkyl amine,Buchwald-Hartwig__ArCl + RNH2
Buchwald-Hartwig,ArI,ArNH2,96,1,,AlPhosPd G6 Br,AlPhos,NaOtBu,PhMe,Sodium trifluoroacetate,Buchwald-Hartwig: aryl iodide × primary aryl amine (aniline-type),Buchwald-Hartwig__ArI + ArNH2
Buchwald-Hartwig,ArCl,R2CNR,48,1,,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,Cs2CO3,tAmOH,water,Buchwald-Hartwig: aryl chloride × imine / amidine-like C=N (dataset token),Buchwald-Hartwig__ArCl + R2CNR
Buchwald-Hartwig,ArBr,R2CNR,24,1,,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,water,Buchwald-Hartwig: aryl bromide × imine / amidine-like C=N (dataset token),Buchwald-Hartwig__ArBr + R2CNR
CC-Coupling,ArCl,ArCl,312,1,,dtbpfPdCl2,XPhos,K3PO4,MeTHF,LiCl,CC-Coupling of aryl chloride,CC-Coupling__ArCl
CC-Coupling,ArBr,RCO2R,176,1,,"(4,4-dtbbpy)NiCl2",No Ligand,pyridine,DMAc,LiI,CC-Coupling: aryl bromide + ester (carboxylate ester),CC-Coupling__ArBr + RCO2R
CC-Coupling,ArBr,ArBr,96,1,,dppfPdCl2,P(Cy)3,"K3PO4, Potassium 2-ethylhexanoate",Dioxane,,CC-Coupling of aryl bromide,CC-Coupling__ArBr
CC-Coupling,ArI,RCO2R,96,1,,NiBr2-glyme,tBubpyCAMCN,,DMAc,TFA,CC-Coupling: aryl iodide + ester (carboxylate ester),CC-Coupling__ArI + RCO2R
CH-Activation,ArBr,ArH,672,5,,XantPhosPdCl2,XantPhos,K2CO3,anisole,KOPiv,CH-Activation: aryl bromide + arene C–H (aryl C–H),CH-Activation__ArBr + ArH
CH-Activation,Ar-H,ArI,384,1,,(DiMeIHept Cl) Pd(cinnamyl)Cl,No Ligand,K2CO3,nBuOAc,AgF,CH-Activation: arene C–H (aryl C–H) + aryl iodide,CH-Activation__Ar-H + ArI
CH-Activation,Alkyl-H,Alkyl-H,312,2,,DPEPhos Pd(allyl)Cl,DPEPhos,Cs2CO3,Mesitylene,AdCOOH,CH-Activation of alkane C–H,CH-Activation__Alkyl-H
CH-Activation,ArCl,ArH,312,1,,XantPhos Pd(allyl)Cl,XantPhos,NaHCO3,anisole,Potassium 2-ethylhexanoate,CH-Activation: aryl chloride + arene C–H (aryl C–H),CH-Activation__ArCl + ArH
CH-Activation,alkyne,ArH,264,1,,(Ru(p-cymene)Cl2)2,No Ligand,,PhMe,HFIP,CH-Activation: alkyne + arene C–H (aryl C–H),CH-Activation__ArH + alkyne
CH-Activation,ArH,ArI,104,1,,XantPhosPdCl2,XantPhos,K2CO3,DMI,KOPiv,CH-Activation: arene C–H (aryl C–H) + aryl iodide,CH-Activation__ArH + ArI
CH-Activation,RCONHR,RCONHR,96,1,,Pd(OAc)2,Missing,AgOAc,PhMe,HFIP,CH-Activation of secondary amide,CH-Activation__RCONHR
CH-Activation,Ar-H,ArBr,72,2,,DPEPhosPdCl2,DPEPhos,K2CO3,nBuOAc,AdCOOH,CH-Activation: arene C–H (aryl C–H) + aryl bromide,CH-Activation__Ar-H + ArBr
CH-Activation,ArH,ArH,24,1,,XantPhosPdCl2,XantPhos,"Cs2CO3, NMI",anisole,"KOPiv, water",CH-Activation of arene C–H (aryl C–H),CH-Activation__ArH
CN-Coupling,ArI,ROC(O)NR2,816,1,,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,MeCN,TBAB,CN-Coupling: aryl iodide + carbamate / urethane,CN-Coupling__ArI + ROC(O)NR2
CN-Coupling,ArBr,arom. NH,366,5,,CuI,"N,N-Dimethylglycine hydrochloride",Cs2CO3,tAmOH,,CN-Coupling: aryl bromide + aromatic N–H (heteroaryl/aryl NH),CN-Coupling__ArBr + arom. NH
CN-Coupling,ArBr,Urea,288,1,,dppfPdCl2,dppf,KOH,PhMe,Brij 35,CN-Coupling: aryl bromide + urea,CN-Coupling__ArBr + Urea
CN-Coupling,ArBr,RNH2,264,4,,CuI,MNBO,NaOtBu,tAmOH,,CN-Coupling: aryl bromide + primary alkyl amine,CN-Coupling__ArBr + RNH2
CN-Coupling,ArBr,ArBr,192,1,,CuI,AmPhos,Cs2CO3,DMSO,,CN-Coupling of aryl bromide,CN-Coupling__ArBr
CN-Coupling,ArBr,ArNH2,192,1,,AdBrettPhosPd G6 Br,Ad-BrettPhos,K3PO4,PhMe,,CN-Coupling: aryl bromide + primary aryl amine (aniline-type),CN-Coupling__ArBr + ArNH2
CN-Coupling,ArBr,RCONHR,192,2,,CuI,tBuBrettPhos,Cs2CO3,DMSO,,CN-Coupling: aryl bromide + secondary amide,CN-Coupling__ArBr + RCONHR
CN-Coupling,ArI,arom. NH,192,2,,CuI,tBuBrettPhos,K3PO4,PhMe,,CN-Coupling: aryl iodide + aromatic N–H (heteroaryl/aryl NH),CN-Coupling__ArI + arom. NH
CN-Coupling,ArCl,R2NH,168,2,,QPhos Pd(crotyl)Cl,No Ligand,K3PO4,MeCN,water,CN-Coupling: aryl chloride + secondary alkyl amine,CN-Coupling__ArCl + R2NH
CN-Coupling,ArI,RNH2,144,1,,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,Cs2CO3,DMSO,LiI,CN-Coupling: aryl iodide + primary alkyl amine,CN-Coupling__ArI + RNH2
CN-Coupling,ArBr,R2NH,120,1,,CuI,RuPhos,Cs2CO3,MeCN,LiCl,CN-Coupling: aryl bromide + secondary alkyl amine,CN-Coupling__ArBr + R2NH
CN-Coupling,ArBr,RNH2 a-branch,120,2,,CuI,DiMeIHept Cl,Cs2CO3,anisole,,CN-Coupling: aryl bromide + α-branched primary alkyl amine,CN-Coupling__ArBr + RNH2 a-branch
CN-Coupling,ArI,RNH2 a-branch,120,1,,QPhos Pd(crotyl)Cl,QPhos,NaOtBu,PhMe,Sodium trifluoroacetate,CN-Coupling: aryl iodide + α-branched primary alkyl amine,CN-Coupling__ArI + RNH2 a-branch
CN-Coupling,Alkyl-B(OH)2,Lactam,96,1,,Copper(II)acetate,bpy,"Na2CO3, pyridine",Dioxane,,CN-Coupling: alkyl boronic acid + lactam (cyclic amide),CN-Coupling__Alkyl-B(OH)2 + Lactam
CN-Coupling,Alkyl-B(OH)2,arom. NH,96,1,,Copper(II)acetate,No Ligand,Na2CO3,Dioxane,,CN-Coupling: alkyl boronic acid + aromatic N–H (heteroaryl/aryl NH),CN-Coupling__Alkyl-B(OH)2 + arom. NH
CN-Coupling,ArBr,ArOH,96,1,,CuI,RuPhos,DBU,MeTHF,,CN-Coupling: aryl bromide + phenol (Ar–OH),CN-Coupling__ArBr + ArOH
CN-Coupling,ArBr,RSO2NHR,96,1,,CuI,BPMPO,K3PO4,DMSO,,CN-Coupling: aryl bromide + sulfonamide (RSO2–NHR),CN-Coupling__ArBr + RSO2NHR
CN-Coupling,ArCl,RNH2 a-branch,96,1,,,No Ligand,TMG,DMI,ZnBr2,CN-Coupling: aryl chloride + α-branched primary alkyl amine,CN-Coupling__ArCl + RNH2 a-branch
CN-Coupling,ArI,R2NH,96,1,,CuI,"1,10-Phenanthroline",Cs2CO3,DMSO,,CN-Coupling: aryl iodide + secondary alkyl amine,CN-Coupling__ArI + R2NH
CN-Coupling,RCONHR,RCONHR,96,1,,CuI,"trans-1,2-Diaminocyclohexane",K3PO4,MeCN,,CN-Coupling of secondary amide,CN-Coupling__RCONHR
CN-Coupling,ArCl,arom. NH,48,1,,AmPhos Pd(crotyl)Cl,No Ligand,KHMDS,tAmOH,,CN-Coupling: aryl chloride + aromatic N–H (heteroaryl/aryl NH),CN-Coupling__ArCl + arom. NH
CN-Coupling,Alkyl-Br,Lactam,24,1,,CuI,DL-Proline,Cs2CO3,DMF,,CN-Coupling: alkyl bromide + lactam (cyclic amide),CN-Coupling__Alkyl-Br + Lactam
CO-Coupling,ArBr,ArBr,771,6,,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,CsOH.H2O,tAmOH,TBAB,CO-Coupling of aryl bromide,CO-Coupling__ArBr
CO-Coupling,Alkyl-OH a-branch,ArBr,600,5,,CuI,NN-Dibenzyloxamide,Cs2CO3,Dioxane,water,CO-Coupling: α-branched alcohol (secondary/tertiary) + aryl bromide,CO-Coupling__Alkyl-OH a-branch + ArBr
CO-Coupling,ArBr,ArOH,432,5,,CuI,No Ligand,Cs2CO3,Dioxane,,CO-Coupling: aryl bromide + phenol (Ar–OH),CO-Coupling__ArBr + ArOH
CO-Coupling,ArI,ArOH,432,1,,CuI,trans-Hyp,K2CO3,MeCN,,CO-Coupling: aryl iodide + phenol (Ar–OH),CO-Coupling__ArI + ArOH
CO-Coupling,ArCl,ArCl,408,1,,XantPhos Pd(allyl)Cl,XantPhos,KOtBu,MeOH,B(OMe)3,CO-Coupling of aryl chloride,CO-Coupling__ArCl
CO-Coupling,Alkyl-OH a-branch,ArI,120,1,,CuI,trans-NN-Dimethylcyclohexane-12-diamine,NaOtBu,PhMe,,CO-Coupling: α-branched alcohol (secondary/tertiary) + aryl iodide,CO-Coupling__Alkyl-OH a-branch + ArI
CO-Coupling,ArI,ArI,120,2,,CuI,trans-NN-Dimethylcyclohexane-12-diamine,NaOtBu,PhMe,,CO-Coupling of aryl iodide,CO-Coupling__ArI
CO-Coupling,Alkyl-OH primary,ArBr,96,1,,Cu(MeCN)4BF4,Me4tBuXPhos,Cs2CO3,PhMe,,CO-Coupling: primary alcohol + aryl bromide,CO-Coupling__Alkyl-OH primary + ArBr
CO-Coupling,Alkyl-OH primary,ArCl,96,1,,(R)-BINAP Pd(allyl)Cl,BINAP,Cs2CO3,MeTHF,,CO-Coupling: primary alcohol + aryl chloride,CO-Coupling__Alkyl-OH primary + ArCl
CO-Coupling,Alkyl-OH a-branch,ArCl,48,2,,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,Cs2CO3,PhMe,,CO-Coupling: α-branched alcohol (secondary/tertiary) + aryl chloride,CO-Coupling__Alkyl-OH a-branch + ArCl
CS-Coupling,ArBr,ArBr,72,1,,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,DMSO,"K2S2O5, Sodium formate, TBAB",CS-Coupling of aryl bromide,CS-Coupling__ArBr
CS-Coupling,ArBr,RSH,24,1,,IPr Pd(tBuInd)Cl,IPr,KOtBu,Dioxane,,CS-Coupling: aryl bromide + thiol,CS-Coupling__ArBr + RSH
CS-Coupling,ArI,ArI,24,1,,,No Ligand,,anisole,,CS-Coupling of aryl iodide,CS-Coupling__ArI
Chlorination,RCO2R,RCO2R,48,1,POCl3,,No Ligand,,PhMe,NMM,Chlorination of ester (carboxylate ester) (POCl3-type),Chlorination__RCO2R
Condensation,ArNH2,RSO2Cl,432,4,,,No Ligand,lutidine,MeCN,TMEDA,Condensation: primary aryl amine (aniline-type) + sulfonyl chloride,Condensation__ArNH2 + RSO2Cl
Condensation,RCO2R,RNH2,312,1,,,No Ligand,NaOtBu,MeOH,TBAB,Condensation: ester (carboxylate ester) + primary alkyl amine,Condensation__RCO2R + RNH2
Condensation,Lactam,RNH2,288,1,pyBOP,,No Ligand,KOtPent,THF,,Condensation: lactam (cyclic amide) + primary alkyl amine,Condensation__Lactam + RNH2
Condensation,Alkyl-Cl,RNH2,246,1,,,No Ligand,NMM,MeTHF,water,Condensation: alkyl chloride + primary alkyl amine,Condensation__Alkyl-Cl + RNH2
Condensation,R2NH a-branch,RCHO,216,1,T3P,,No Ligand,Imidazole,MeCN,HFIP,Condensation: α-branched secondary alkyl amine + aldehyde,Condensation__R2NH a-branch + RCHO
Condensation,RCHO,Thiourea,126,1,,,No Ligand,NMM,anisole,water,Condensation: aldehyde + thiourea,Condensation__RCHO + Thiourea
Condensation,RCHO,RNH2 a-branch,120,1,XtalFluor-M,,No Ligand,NMM,THF,HFIP,Condensation: aldehyde + α-branched primary alkyl amine,Condensation__RCHO + RNH2 a-branch
Condensation,ArNH2,RSO2F,96,1,,,No Ligand,NaOtBu,MeCN,,Condensation: primary aryl amine (aniline-type) + sulfonyl fluoride,Condensation__ArNH2 + RSO2F
Condensation,RNH2,ROR,96,1,,,No Ligand,,DMF,tBu isocyanide,Condensation: primary alkyl amine + ether,Condensation__RNH2 + ROR
Condensation,RNH2 a-branch,ROC(O)NR2,96,1,PyBrOP,,No Ligand,K3PO4,Dioxane,HOSu,Condensation: α-branched primary alkyl amine + carbamate / urethane,Condensation__RNH2 a-branch + ROC(O)NR2
Condensation,enolether,enolether,96,1,,,No Ligand,NH3,PhMe,water,Condensation of enol ether,Condensation__enolether
Condensation,hydrazide,hydrazide,96,1,,,No Ligand,NEt3,TFE,,Condensation of hydrazide,Condensation__hydrazide
Cyanation,ArBr,ArBr,264,2,,XantPhos Pd(allyl)Cl,XantPhos,,Propionitrile,Zn,Cyanation of aryl bromide,Cyanation__ArBr
Cyclization,ArBr,ArBr,672,3,T3P,AlPhosPd G6 Br,No Ligand,DIPEA,PhMe,TBAC,Cyclization of aryl bromide,Cyclization__ArBr
Cyclization,R2NH,R2NH,192,1,DIC,,No Ligand,CsF,TFE,ZnBr2,Cyclization of secondary alkyl amine,Cyclization__R2NH
Cyclization,RCO2H or M,RNHNH2,192,1,T3P,,No Ligand,DBU,DMI,HOPO,Cyclization: carboxylic acid / carboxylate (metal salt) + hydrazine / substituted hydrazine,Cyclization__RCO2H or M + RNHNH2
Cyclization,RCO2H or M,RCO2H or M,120,1,COMU,,No Ligand,DIPEA,MeCN,HOPO,Cyclization of carboxylic acid / carboxylate (metal salt),Cyclization__RCO2H or M
Cyclization,RCO2R,RCO2R,120,1,,thiazolium-NHC*HCl,No Ligand,Imidazole,MeCN,TBD,Cyclization of ester (carboxylate ester),Cyclization__RCO2R
Cyclization,alkyne,ArBr,120,1,,dppf Pd G3,dppf,Cs2CO3,DMF,TBAB,Cyclization: alkyne + aryl bromide,Cyclization__ArBr + alkyne
Cyclization,ArOH,ArOH,96,1,T3P,,No Ligand,DIPEA,THF,,Cyclization of phenol (Ar–OH),Cyclization__ArOH
Cyclization,alkyne,alkyne,96,1,,Ph3P AuCl,No Ligand,,PhMe,AgOTf,Cyclization of alkyne,Cyclization__alkyne
Cyclization,Alkyl-Cl,Lactam,24,1,,,No Ligand,KHMDS,DMI,,Cyclization: alkyl chloride + lactam (cyclic amide),Cyclization__Alkyl-Cl + Lactam
Cyclization,RNH2,RNH2,24,1,CDT,,No Ligand,NEt3,iPrOH,,Cyclization of primary alkyl amine,Cyclization__RNH2
Dehydration,RCONHR,RCONHR,192,1,PyBrOP,,No Ligand,DBU,MeCN,,Dehydration of secondary amide,Dehydration__RCONHR
Deoxyfluorination,Alkyl-OH a-branch,Alkyl-OH a-branch,48,1,,,No Ligand,,THF,Et3N.3HF,Deoxyfluorination of α-branched alcohol (secondary/tertiary),Deoxyfluorination__Alkyl-OH a-branch
Deprotection,Protecting Group,Protecting Group,840,5,,,No Ligand,,acetone,TFE,Deprotection of protected functionality (PG present),Deprotection__Protecting Group
Deprotection,R3N,R3N,96,1,,,No Ligand,,MeCN,,Deprotection of tertiary amine,Deprotection__R3N
"Dimerization, reductive",ArOSO2R,ArOSO2R,192,1,,meCgPPh Pd G3,meCgPPh,"K2CO3, Potassium 2-ethylhexanoate",EtOH,TBAB,"Dimerization, reductive of aryl sulfonate (triflate/mesylate/tosylate)","Dimerization, reductive__ArOSO2R"
"Fluorination, oxidative",ArH,ArH,24,1,,,No Ligand,CsF,DMF,water,"Fluorination, oxidative of arene C–H (aryl C–H)","Fluorination, oxidative__ArH"
"Fluorination, oxidative",ROCSSR,ROCSSR,24,1,,,No Ligand,,DCM,py.HF,"Fluorination, oxidative of xanthate / thiocarbonylthio (RO–C(=S)–SR)","Fluorination, oxidative__ROCSSR"
Glycosidation,Alkyl-OH primary,RCO2R,192,1,,,No Ligand,,anisole,,Glycosidation: primary alcohol + ester (carboxylate ester),Glycosidation__Alkyl-OH primary + RCO2R
Heck,alkene,ArCl,384,1,,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,N-Methyldicyclohexylamin,tAmOH,TBAC,Heck: alkene × aryl chloride,Heck__ArCl + alkene
Heck,alkene,ArBr,312,1,,BippyPhos Pd(allyl)OTf,Me4tBuXPhos,"N-Methyldicyclohexylamin, TBD",MeTHF,TBAC,Heck: alkene × aryl bromide,Heck__ArBr + alkene
