"ELN_ID","PLATENUMBER","Coordinate","AREA_TOTAL_REDUCED","Base","Catalyst","Solvent","Ligand","Additive","Coupling Reagent","Secondary Solvent","Tertiary Solvent","Reaction Type","FG A","FG B","FG_sorted","z-Score","output_column"
"ELN032036-098",8,"A11",17.42,"Na2CO3","Copper(I) thiophene-2-carboxylate","THF","trans-NN-Dimethylcyclohexane-12-diamine","TBAB",,,,"CN-Coupling","ROC(O)NR2","ArI","ArI, ROC(O)NR2",-1.05,"22 h at 80 °C, then 24 h at 85 °C"
"ELN032036-098",9,"A11",33.79,"DBU","CuI","MeCN","trans-NN-Dimethylcyclohexane-12-diamine",,,,,"CN-Coupling","ROC(O)NR2","ArI","ArI, ROC(O)NR2",-0.39,"21 h at 75 °C"
"ELN032036-099",1,"A11",89.3,"Cs2CO3","XantPhos Pd(allyl)Cl","PhMe","XantPhos",,,,,"Suzuki-Miyaura","ArBr","ArB(OH)2","ArB(OH)2, ArBr",0.92,"14 h at 85 °C"
"ELN032036-100",1,"A11",83.9,"Na2CO3","XantPhos Pd(allyl)Cl","PhMe","XantPhos",,,"water",,"Suzuki-Miyaura","ArBr","ArB(OH)2","ArB(OH)2, ArBr",-1.23,"24 h at 85 °C"
"ELN032036-103",1,"A11",52.08,"K2CO3","XantPhos Pd(allyl)Cl","PhMe","XantPhos",,,"water",,"Suzuki-Miyaura","ArBr","ArB(OH)2","ArB(OH)2, ArBr",0.39,"6 h at 85 °C"
"ELN032036-104",1,"A11",12.93,"K2CO3","XantPhos Pd(allyl)Cl","PhMe","XantPhos",,,"water",,"Suzuki-Miyaura","ArBr","ArB(OH)2","ArB(OH)2, ArBr",-2.21,"20 h at 85 °C"
"ELN032036-105",1,"A11",0,"LiHMDS","P(Cy3) Pd G3","PhMe","P(Cy)3",,,,,"Buchwald-Hartwig","ArBr","R2NH a-branch","ArBr, R2NH a-branch",-0.4,
"ELN032036-106",1,"A11",81.52,"KOAc","(R)-BINAP Pd(allyl)Cl","Dioxane","BINAP",,,,,"Buchwald-Hartwig","ArCl","ArNH2","ArCl, ArNH2",0.25,"20 h at 60 °C"
"ELN032036-107",1,"A11",26.52,"K3PO4","XantPhos Pd(allyl)Cl","PhMe","XantPhos",,,"water",,"Suzuki-Miyaura","ArBr","alkeneB(OR)2","alkeneB(OR)2, ArBr",1.64,"15 h at 60 °C"
"ELN032036-109",1,"A11",6.2,"DBU","BrettPhos Pd(crotyl)OTf","tAmOH","BrettPhos",,,,,"Buchwald-Hartwig","ArNH2","ArCl","ArCl, ArNH2",0.29,"2 h at 90 °C"
"ELN032036-110",1,"A11",0,"K3PO4","CuI","Dioxane","No Ligand",,,,,"CO-Coupling","ArBr","ArOH","ArBr, ArOH",-0.37,
"ELN032036-111",1,"A11",24.42,"K3PO4","XantPhosPdCl2","PhMe","XantPhos",,,"water",,"Suzuki-Miyaura","alkeneB(OR)2","ArBr","alkeneB(OR)2, ArBr",-0.56,"3 h at 60 °C"
"ELN032036-113",1,"A11",26.42,"K3PO4","XantPhosPdCl2","PhMe","XantPhos",,,"water",,"Suzuki-Miyaura","alkeneB(OR)2","ArBr","alkeneB(OR)2, ArBr",-0.77,"1 h at 60 °C"
"ELN032036-115",1,"A11",26.5,"K2CO3","XantPhosPdCl2","PhMe","XantPhos","water",,,,"Suzuki-Miyaura","ArI","ArB(OR)2","ArB(OR)2, ArI",0,"24 h at 100 °C"
"ELN032036-117",1,"A11",78.38,"Cs2CO3","XantPhos Pd G2","MeTHF","XantPhos",,,,,"Buchwald-Hartwig","ArI","ArNHR","ArI, ArNHR",4.79,"24 h at 80 °C"
"ELN032036-117",3,"A11",0,"LiHMDS","Pd-PEPPSI-IPent Cl o-picoline","PhMe","IPENT Cl",,,,,"Buchwald-Hartwig","ArI","ArNHR","ArI, ArNHR",-0.64,
"ELN032036-120",1,"A11",42.04,,"cPhos Pd G3","PhMe","cPhos",,,"water",,"Suzuki-Miyaura","ArBr","ArBF3K","ArBF3K, ArBr",0.42,"20 h at 100 °C"
"ELN032036-122",3,"A11",83.41,"K2CO3","AmPhos2PdCl2","anisole","AmPhos",,,"water",,"Suzuki-Miyaura","ArBr","ArB(OH)2","ArB(OH)2, ArBr",1.49,"16 h at 100 °C"
"ELN032036-123",1,"A11",0,"DBU",,"MeCN","No Ligand",,"EDC",,,"Amide coupling","RCO2H or M","RNH2","RCO2H or M, RNH2",-0.82,
"ELN032036-124",1,"A11",3.95,"Cs2CO3","XPhos Pd G2","PhMe","XPhos","water",,,,"Buchwald-Hartwig","ArOSO2R","RNH2","ArOSO2R, RNH2",-0.56,"21 h at 80 °C"
"ELN032036-127",1,"A11",8.29,"Cs2CO3","XPhos Pd G2","PhMe","XPhos","water",,,,"Buchwald-Hartwig","RNH2","ArOSO2R","ArOSO2R, RNH2",-0.59,"2 h at 80 °C"
"ELN032036-131",1,"A11",0,"Cs2CO3","XantPhos Pd(allyl)Cl","Dioxane","XantPhos","water",,,,"Buchwald-Hartwig","ArBr","R2NH","ArBr, R2NH",-0.42,
"ELN032036-133",1,"A11",0.86,,"[Ir(cod)OMe]2","cyclohexane","4,7-(MeO)2-Phen",,,,,"Borylation, C-H","ArH","ArH","ArH, ArH",-0.3,"21 h at 80 °C"
"ELN032036-135",3,"A11",10.46,"NaHCO3","XantPhos Pd(allyl)Cl","tAmOH","XantPhos",,,,,"Buchwald-Hartwig","arom. NH","ArCl","ArCl, arom. NH",1.29,"23 h at 85 °C"
"ELN032036-136",2,"A11",0.35,"K2CO3","CuI","PhMe","1,10-Phenanthroline",,,,,"Buchwald-Hartwig","ArBr","arom. NH","ArBr, arom. NH",-0.14,"19.5 h at 120 °C"
"ELN032036-139",1,"A11",5.43,"K3PO4","SPhos Pd G4","PhMe","SPhos",,,"water",,"Buchwald-Hartwig","ArNH2","ArBr","ArBr, ArNH2",-0.69,"22 h at 80 °C"
"ELN032036-140",1,"A11",44.23,"NMM",,"DCM","No Ligand","HOPO","T3P",,,"Amide coupling","R2NH a-branch","RCO2H or M","R2NH a-branch, RCO2H or M",-0.7,"4 h at 21 °C, then 68 h at 25 °C"
"ELN032036-140",2,"A11",90.93,,,"MeCN","No Ligand","HOPO","DIC","xylenes",,"Amide coupling","R2NH a-branch","RCO2H or M","R2NH a-branch, RCO2H or M",0.98,"20 h at 25 °C"
"ELN032036-140",3,"A11",97.91,,,"acetone","No Ligand","HOPO","DIC","MeTHF",,"Amide coupling","R2NH a-branch","RCO2H or M","R2NH a-branch, RCO2H or M",1.23,"23 h at 21 °C"
"ELN032036-148",1,"A11",28.73,"NMM",,"TBME","No Ligand",,"T3P",,,"Amide coupling","RNH2","RNH2","RNH2, RNH2",-0.74,"2 h at 21 °C"
"ELN032036-150",1,"A11",0.99,"Cs2CO3","JosiphosSL-J009-1 Pd G3","tAmOH","JosiphosSL-J009-1","water",,,,"Buchwald-Hartwig","ArBr","RCONH2","ArBr, RCONH2",-0.64,"4 h at 105 °C"
"ELN032036-152",1,"A11",0,"Na2CO3",,"iPrOH","No Ligand",,,"water",,"Hydration","RCN","RCN","RCN, RCN",-0.51,
"ELN032036-155",1,"A11",23.14,"K3PO4","PPh3)2PdCl2","PhMe","PPh3",,,"water",,"Suzuki-Miyaura","ArCl","ArB(OR)2","ArB(OR)2, ArCl",0.15,"3 h at 60 °C, then 13 h at 80 °C"
"ELN032036-157",1,"A11",3.44,"Cs2CO3","QPhos Pd(crotyl)Cl","tAmOH","QPhos",,,,,"Buchwald-Hartwig","ArNH2","ArCl","ArCl, ArNH2",-0.85,"17.5 h at 80 °C"
"ELN032036-160",1,"A11",48.38,"K3PO4","tBuBrettPhos Pd(allyl)OTf","Dioxane","tBuBrettPhos",,,"water",,"Buchwald-Hartwig","ArBr","arom. NH","ArBr, arom. NH",2.32,"4 h at 80 °C, then 15 h at 100 °C"
"ELN032036-162",1,"A11",57.59,,,"MeCN","No Ligand","HOPO","DIC",,,"Amide coupling","ArNH2","RCO2H or M","ArNH2, RCO2H or M",0.3,"2 h at 50 °C"
"ELN032036-162",2,"A11",12.11,"NMM",,"MeCN","No Ligand","Imidazole","DIC",,,"Amide coupling","ArNH2","RCO2H or M","ArNH2, RCO2H or M",-1.1,"1.5 h at 50 °C"
"ELN032036-164",1,"A11",7.01,"Cs2CO3","CuI","DMF","NN-Dibenzyloxamide",,,,,"CN-Coupling","arom. NH","ArBr","ArBr, arom. NH",-0.62,"4 h at 80 °C, then 2 h at 130 °C"
"ELN032036-168",1,"A11",0,"NaOtBu","AlphosPd)2cod","PhMe","AlPhos",,,,,"Buchwald-Hartwig","ArCl","R2NH a-branch","ArCl, R2NH a-branch",-0.44,
"ELN032036-171",1,"A11",19.62,,,"DMF","No Ligand",,,,,"Glycosidation","Alkyl-OH primary","RCO2R","Alkyl-OH primary, RCO2R",-0.79,"4 h at 40 °C, then 18 h at 80 °C"
"ELN032036-171",2,"A11",49.71,,,"anisole","No Ligand",,,,,"Glycosidation","Alkyl-OH primary","RCO2R","Alkyl-OH primary, RCO2R",0.58,"6 h at 80 °C"
"ELN032036-174",2,"A11",21.47,"Cs2CO3","CuI","DMF","NN-Dibenzyloxamide",,,,,"Buchwald-Hartwig","arom. NH","ArBr","ArBr, arom. NH",-0.77,"3 h at 105 °C, then 16 h at 130 °C"
"ELN032036-176",1,"A11",69.93,"NaOtBu","AmPhos Pd(crotyl)Cl","PhMe","AmPhos",,,,,"Buchwald-Hartwig","ArBr","RNH2 a-branch","ArBr, RNH2 a-branch",0.99,"22.5 h at 80 °C"
"ELN032036-178",2,"A11",0,"Na2CO3, NaOtBu","dtbpfPdCl2","MeCN","dtbpf",,"PyOxim","water",,"Suzuki-Miyaura","ArB(OH)2","RCONHR","ArB(OH)2, RCONHR",-0.68,
"ELN032036-179",1,"A11",89.7,"Cs2CO3","AlphosPd)2cod","Dioxane","AlPhos",,,,,"Buchwald-Hartwig","ArBr","RNH2 a-branch","ArBr, RNH2 a-branch",1.55,"22 h at 80 °C"
"ELN032036-181",1,"A11",1.1,"KOH","CuI","MeTHF","BHMPO",,,"water",,"Hydrolysis","ArBr","ArBr","ArBr, ArBr",-0.67,"4.5 h at 80 °C"
"ELN032036-181",3,"A11",0,"KOH","rac-BINAP Pd G3","tAmOH","BINAP",,,"water",,"Hydrolysis","ArBr","ArBr","ArBr, ArBr",-0.71,
"ELN032036-185",1,"A11",76.09,,,"MeCN","No Ligand",,,,,"Deprotection","Protecting Group","Protecting Group","Protecting Group, Protecting Group",0.56,"5 h at 60 °C"
"ELN032036-185",2,"A11",85.78,,,"PhMe","No Ligand",,,,,"Deprotection","Protecting Group","Protecting Group","Protecting Group, Protecting Group",0.91,"4 h at 80 °C"
"ELN032036-190",1,"A11",0,"lutidine",,"MeTHF","No Ligand","HOSu","DIC",,,"Condensation","ROC(O)NR2","RNH2 a-branch","RNH2 a-branch, ROC(O)NR2",-0.26,
"ELN032036-191",1,"A11",93.37,"lutidine",,"MeCN","No Ligand","HOPO","DIC",,,"Amide coupling","RCO2H or M","RNH2 a-branch","RCO2H or M, RNH2 a-branch",1.75,"22 h at 25 °C"
"ELN032036-191",2,"A11",69.74,"DBU",,,"No Ligand","HOSu","EDC",,,"Amide coupling","RCO2H or M","RNH2 a-branch","RCO2H or M, RNH2 a-branch",1.13,"22 h at 25 °C"
"ELN032036-194",1,"A11",79.68,"Cs2CO3","dtbpfPdCl2","EtOH","dtbpf",,,"PhMe",,"Suzuki-Miyaura","alkeneB(OR)2","ArBr","alkeneB(OR)2, ArBr",1.24,"1 h at 60 °C, then 23 h at 80 °C"
"ELN032036-195",1,"A11",4.64,,"PPh3)2PdCl2","Dioxane","PPh3","KOAc",,,,"Stannylation","ArBr","RSnR3","ArBr, RSnR3",-0.27,"6 h at 80 °C"
"ELN032036-195",2,"A11",2.26,,"BippyPhos Pd(allyl)OTf","Dioxane","BippyPhos","KOAc",,,,"Stannylation","ArBr","RSnR3","ArBr, RSnR3",-0.41,"3 h at 80 °C"
"ELN032036-197",1,"A11",20.91,"Cs2CO3","XantPhos Pd(allyl)Cl","Dioxane","XantPhos","water",,,,"Buchwald-Hartwig","ArCl","RNH2 a-branch","ArCl, RNH2 a-branch",0.17,"2 h at 60 °C, then 17 h at 80 °C"
"ELN032036-197",2,"A11",1,"Cs2CO3",,"TFE","No Ligand",,,,,"Buchwald-Hartwig","ArCl","RNH2 a-branch","ArCl, RNH2 a-branch",-0.85,"3 h at 80 °C"
"ELN032036-198",1,"A11",1.76,"KHMDS","XantPhos Pd(allyl)Cl","MeCN","XantPhos",,,,,"Buchwald-Hartwig","ArBr","RNH2","ArBr, RNH2",-0.45,"3 h at 60 °C, then 4.5 h at 80 °C"
"ELN032036-203",1,"A11",0,"Cs2CO3","N-XantPhos Pd G3","MeCN","N-XantPhos",,,,,"Buchwald-Hartwig","RNH2","ArBr","ArBr, RNH2",-0.21,
"ELN032036-205",1,"A11",2.72,"KOtPent","AmPhos Pd(crotyl)Cl","PhMe","AmPhos",,,,,"Buchwald-Hartwig","RNH2 a-branch","ArBr","ArBr, RNH2 a-branch",-1.14,"3 h at 80 °C"
"ELN032036-213",2,"A11",14.99,"Cs2CO3","CuI","Dioxane","NN-Dibenzyloxamide",,,,,"CO-Coupling","ArOH","ArBr","ArBr, ArOH",0.5,"15 h at 80 °C"
"ELN032036-214",1,"A11",0.7,"DBU",,"MeCN","No Ligand",,"EDC",,,"Amide coupling","R2NH","RCO2H or M","R2NH, RCO2H or M",-1.51,"1 h at 20 °C, then 3 h at 40 °C"
"ELN032036-218",1,"A11",0,"K3PO4","MorDalphos Pd G3","DMSO","MorDalphos",,,"water",,"CN-Coupling","arom. NH","ArBr","ArBr, arom. NH",-0.5,
"ELN032036-219",1,"A11",0,"LiHMDS",,"TPGS-750M","No Ligand",,,,,"Condensation","ArNH2","RSO2Cl","ArNH2, RSO2Cl",-0.74,
"ELN032036-219",2,"A11",36.52,"lutidine",,"MeCN","No Ligand",,,,,"Condensation","ArNH2","RSO2Cl","ArNH2, RSO2Cl",0.71,"21 h at 45 °C"
"ELN032036-219",3,"A11",0,"TMEDA",,"MeCN","No Ligand",,,,,"Condensation","ArNH2","RSO2Cl","ArNH2, RSO2Cl",-0.74,
"ELN032036-221",1,"A11",0,"Cs2CO3","QPhos Pd(crotyl)Cl","Dioxane","QPhos",,,,,"CO-Coupling","ArBr","Alkyl-OH a-branch","Alkyl-OH a-branch, ArBr",-0.3,
"ELN032036-222",1,"A11",34.47,"Ag2O","cataCXiumA Pd G3","PhMe","CataCXiumA",,,,,"Suzuki-Miyaura","ArBr","Alkyl-B(OH)2","Alkyl-B(OH)2, ArBr",-1.2,"1 h at 20 °C, then 5.5 h at 80 °C, then 17.5 h at 100 °C"
"ELN032036-225",1,"A11",1.17,,,"PhMe","No Ligand",,,,,"Deprotection","Protecting Group","Protecting Group","Protecting Group, Protecting Group",-0.37,"1.5 h at 20 °C, then 2.5 h at 40 °C, then 17 h at 60 °C"
"ELN032036-226",1,"A11",26.31,"K3PO4","XantPhos Pd(allyl)Cl","PhMe","XantPhos",,,"water",,"Suzuki-Miyaura","ArB(OH)2","ArBr","ArB(OH)2, ArBr",2.73,"3 h at 60 °C, then 4.5 h at 80 °C"
"ELN032036-226",2,"A11",15.7,"K3PO4","dppfPdCl2","MeOH","dppf",,,"PhMe","water","Suzuki-Miyaura","ArB(OH)2","ArBr","ArB(OH)2, ArBr",1.19,"7 h at 60 °C"
"ELN032036-227",1,"A11",7.25,"NMM",,"DMI","No Ligand","HOPO","DIC",,,"Amide coupling","RCO2H or M","ArNH2","ArNH2, RCO2H or M",-0.35,"29 h at 25 °C"
"ELN032036-227",2,"A11",9.13,"K3PO4",,"iPrOAc","No Ligand",,"MsCl",,,"Amide coupling","RCO2H or M","ArNH2","ArNH2, RCO2H or M",-0.25,"3 h at 0 °C, then 19 h at 25 °C"
"ELN032036-227",4,"A11",12.26,"DMAP, NEt3",,"THF","No Ligand",,"PivCl",,,"Amide coupling","RCO2H or M","ArNH2","ArNH2, RCO2H or M",-0.1,"1 h at 25 °C"
"ELN032036-231",1,"A11",44.72,"Cs2CO3",,"tAmOH","No Ligand",,,,,"SNAr","ArF","arom. NH","ArF, arom. NH",1.52,"2 h at 0 °C, then 2 h at 60 °C, then 21 h at 80 °C"
"ELN032036-231",2,"A11",0,"lutidine",,"MeTHF","No Ligand",,,,,"SNAr","ArF","arom. NH","ArF, arom. NH",-1.29,
"ELN032036-233",1,"A11",0,"NaH","SPhos Pd(crotyl)Cl","PhMe","SPhos",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.46,
"ELN032036-233",2,"A11",0,"K3PO4","BrettPhos Pd(crotyl)OTf","BuOH","BrettPhos",,,"water",,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.46,
"ELN032036-233",3,"A11",12.79,"K3PO4","BrettPhos Pd(crotyl)OTf","ethylene glycol","BrettPhos",,,"water",,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",0.33,"4 h at 80 °C, then 19 h at 100 °C"
"ELN032036-234",1,"A11",37.31,"NaH","SPhos Pd(crotyl)Cl","PhMe","SPhos",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",1.03,"3 h at 80 °C, then 45 h at 100 °C"
"ELN032036-234",2,"A11",0,"LiHMDS","tBuBrettPhos Pd(allyl)OTf","anisole","tBuBrettPhos",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.6,
"ELN032036-236",3,"A11",2.15,"DBU","Copper(II)acetate","Propionitrile","BPPO",,,,,"CO-Coupling","ArOH","ArBr","ArBr, ArOH",-0.11,"5 h at 100 °C, then 14 h at 120 °C"
"ELN032036-237",1,"A11",66.05,"Cs2CO3","CuI","MeCN","N,N-Dimethylglycine hydrochloride",,,,,"CO-Coupling","ArOH","ArI","ArI, ArOH",2.12,"3 h at 80 °C"
"ELN032036-237",2,"A11",0,"K3PO4","CuI","DMSO","DL-Proline",,,"water",,"CO-Coupling","ArOH","ArI","ArI, ArOH",-1.14,
"ELN032036-237",3,"A11",2.27,"DBU","Copper(II)acetate","MeCN","BPPO",,,,,"CO-Coupling","ArOH","ArI","ArI, ArOH",-1.03,"19 h at 80 °C"
"ELN032036-237",4,"A11",34.26,"K3PO4","Cu(MeCN)4BF4","BuOH","trans-Hyp",,,"water",,"CO-Coupling","ArOH","ArI","ArI, ArOH",0.55,"21 h at 100 °C"
"ELN032036-240",1,"A11",42.86,"K3PO4","AmPhos Pd(crotyl)Cl","DMI","AmPhos",,,"water",,"Suzuki-Miyaura","ArCl","ArB(OR)2","ArB(OR)2, ArCl",0.88,"3 h at 60 °C, then 14 h at 80 °C"
"ELN032036-240",4,"A11",0.16,"KOH","meCgPPh Pd G3","anisole","meCgPPh",,,"iPrOH","water","Suzuki-Miyaura","ArCl","ArB(OR)2","ArB(OR)2, ArCl",-1.16,"5 h at 60 °C"
"ELN032036-241",1,"A11",3.42,"K2CO3, Potassium 2-ethylhexanoate","N-XantPhos Pd G3","DMAc","N-XantPhos",,,"water",,"CH-Activation","ArH","ArCl","ArCl, ArH",-0.54,"6 h at 130 °C, then 15 h at 150 °C"
"ELN032036-241",2,"A11",8.81,"K2CO3","XantPhos Pd(allyl)Cl","DMAc","XantPhos","Potassium 2-ethylhexanoate, TBAC",,"water",,"CH-Activation","ArH","ArCl","ArCl, ArH",-0.1,"5 h at 130 °C"
"ELN032036-241",4,"A11",50.95,"NaHCO3","XantPhosPdCl2","water","XantPhos","Potassium 2-ethylhexanoate, TBAB",,"xylenes",,"CH-Activation","ArH","ArCl","ArCl, ArH",3.38,"5 h at 80 °C, then 16 h at 100 °C"
"ELN032036-244",1,"A11",0.42,"DBU","P(oTol)3 Pd(crotyl)Cl","Propionitrile","P(oTol)3","TBAC",,,,"Heck","ArCl","alkene","alkene, ArCl",-0.73,"5 h at 100 °C"
"ELN032036-244",2,"A11",11.2,"DIPEA","[Pd(allyl)(Me4-tBu-XPhos)]OTf","anisole","Me4tBuXPhos",,,,,"Heck","ArCl","alkene","alkene, ArCl",0.09,"5 h at 100 °C, then 14 h at 120 °C"
"ELN032036-244",3,"A11",0,"N-Methyldicyclohexylamin","AlphosPd)2cod","ethylene glycol","AlPhos",,,,,"Heck","ArCl","alkene","alkene, ArCl",-0.76,
"ELN032036-244",4,"A11",0,"N-Methyldicyclohexylamin","[Pd(allyl)(Me4-tBu-XPhos)]OTf","BuOH","Me4tBuXPhos",,,,,"Heck","ArCl","alkene","alkene, ArCl",-0.76,
"ELN032036-245",1,"A11",1.96,"K2CO3, K3PO4","XPhos Pd(crotyl)Cl","EtOH","XPhos",,,"water",,"Dimerization, reductive","ArOSO2R","ArOSO2R","ArOSO2R, ArOSO2R",-0.75,"3 h at 60 °C"
"ELN032036-245",2,"A11",26.36,"K2CO3","meCgPPh Pd G3","iPrOAc","meCgPPh","TBAB, water",,,,"Dimerization, reductive","ArOSO2R","ArOSO2R","ArOSO2R, ArOSO2R",1.3,"7 h at 100 °C"
"ELN032036-248",1,"A11",91.82,"Na2CO3","dppfPdCl2","PhMe","dppf",,,"water",,"Suzuki-Miyaura","ArCl","ArB(OH)2","ArB(OH)2, ArCl",0.49,"4 h at 60 °C, then 16 h at 80 °C"
"ELN032036-250",1,"A11",2.37,"K2CO3","AlphosPd)2cod","tAmOH","AlPhos",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.34,"4.5 h at 80 °C, then 18 h at 110 °C"
"ELN032036-250",2,"A11",0,"DBU","(DiMeIHept Cl) Pd(cinnamyl)Cl","MeCN","DiMeIHept Cl",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.5,
"ELN032036-250",3,"A11",0,"DBU","(DiMeIHept Cl) Pd(cinnamyl)Cl","MeCN","DiMeIHept Cl",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.5,
"ELN032036-254",1,"A11",0.77,"Cs2CO3","SPhos Pd(crotyl)Cl","MeTHF","SPhos",,,,,"Buchwald-Hartwig","Lactam","ArCl","ArCl, Lactam",-0.89,"4 h at 60 °C, then 18 h at 80 °C"
"ELN032036-257",1,"A11",50.5,"Cs2CO3","BippyPhos Pd(allyl)OTf","Dioxane","BippyPhos","water",,,,"Buchwald-Hartwig","ArCl","ArNH2","ArCl, ArNH2",1.01,"4 h at 60 °C, then 16 h at 80 °C"
"ELN032036-257",2,"A11",0,"NaOtBu","AmPhos2PdCl2","PhMe","AmPhos","TBAC",,,,"Buchwald-Hartwig","ArCl","ArNH2","ArCl, ArNH2",-1.02,
"ELN032036-258",1,"A11",11.67,"Cs2CO3","AdBrettPhosPd G6 Br","tAmOH","Ad-BrettPhos","TBAC",,,,"CH-Activation","ArH","ArBr","ArBr, ArH",-0.19,"5.5 h at 100 °C"
"ELN032036-258",2,"A11",42.78,"K2CO3, KOPiv","(R)-BINAP Pd(allyl)Cl","xylenes","BINAP","TBAB",,,,"CH-Activation","ArH","ArBr","ArBr, ArH",2.31,"6 h at 140 °C"
"ELN032036-259",1,"A11",0,,,"DCM","No Ligand",,"PyBrOP",,,"Dehydration","RCONHR","RCONHR","RCONHR, RCONHR",-0.53,
"ELN032036-259",2,"A11",20.86,"TMG",,"DMI","No Ligand",,"PyBrOP",,,"Dehydration","RCONHR","RCONHR","RCONHR, RCONHR",1.76,"2 h at 20 °C, then 18 h at 60 °C"
"ELN032036-264",1,"A11",6.97,"K3PO4","MorDalphos Pd G3","MeTHF","MorDalphos",,,"water",,"Buchwald-Hartwig","ArCl","RNH2 a-branch","ArCl, RNH2 a-branch",-0.47,"2 h at 40 °C, then 2 h at 80 °C"
"ELN032036-264",2,"A11",0,"K3PO4","Me3(OMe)tBuXPhos Pd G3","MeCN","Me3(OMe)-tBuXPhos",,,"water",,"Buchwald-Hartwig","ArCl","RNH2 a-branch","ArCl, RNH2 a-branch",-0.78,
"ELN032036-264",3,"A11",62.86,"Cs2CO3","cBridP Pd(allyl)Cl","PhMe","cBridP",,,,,"Buchwald-Hartwig","ArCl","RNH2 a-branch","ArCl, RNH2 a-branch",2.02,"3 h at 80 °C"
"ELN032036-265",1,"A11",12.21,"K3PO4, Potassium 2-ethylhexanoate","meCgPPh Pd G3","THF","meCgPPh","TBAB",,"water",,"Suzuki-Miyaura","ArBr","ArBr","ArBr, ArBr",0.67,"4 h at 40 °C, then 19 h at 80 °C"
"ELN032036-265",2,"A11",6.09,"K3PO4, Potassium 2-ethylhexanoate","meCgPPh Pd G3","THF","meCgPPh","TBAB",,"water",,"Suzuki-Miyaura","ArBr","ArBr","ArBr, ArBr",-0.3,"3 h at 40 °C, then 3 h at 80 °C"
"ELN032036-273",1,"A11",1.88,"TMG",,"DMI","No Ligand",,,,,"SNAr","Alkyl-OH a-branch","ArF","Alkyl-OH a-branch, ArF",-0.37,"2 h at 40 °C, then 2 h at 80 °C"
"ELN032036-274",1,"A11",0,"K3PO4","AmPhos2PdCl2","water","AmPhos",,,,,"Suzuki-Miyaura","ArBr","ArBr","ArBr, ArBr",-0.2,
"ELN032036-278",3,"A11",0,,"Cu2O, Ni(OAc)2","Octanoic acid","Me4phen","Potassium 2-ethylhexanoate",,"PhMe",,"Negishi, in-situ","Alkyl-I","ArBr","Alkyl-I, ArBr",-0.54,
"ELN032036-280",1,"A11",5.25,"KOAc","meCgPPh Pd G3","MeCN","meCgPPh",,,,,"Borylation, Miyaura","ArBr","ArBr","ArBr, ArBr",-0.39,"3.5 h at 40 °C, then 14.5 h at 60 °C"
"ELN032036-282",1,"A11",0,,"dppfPdCl2","water","dppf","Octanoic acid, TMEDA",,,,"Negishi, in-situ","Alkyl-I","ArBr","Alkyl-I, ArBr",-0.28,
"ELN032036-283",1,"A11",0,,"dppfPdCl2","water","dppf","Octanoic acid, TMEDA",,,,"Negishi, in-situ","Alkyl-I","ArBr","Alkyl-I, ArBr",-0.13,
"ELN032036-287",1,"A11",0,"NMI",,"anisole","No Ligand",,,"MeOH",,"Condensation","RCO2R","RNH2","RCO2R, RNH2",-1.33,
"ELN032036-287",4,"A11",68.09,"DBU",,"MeOH","No Ligand",,,"methylcyclohexane",,"Condensation","RCO2R","RNH2","RCO2R, RNH2",1.09,"4 h at 60 °C, then 16.5 h at 80 °C"
"ELN032036-287",5,"A11",74.97,"NaOtBu",,"tAmOH","No Ligand",,,,,"Condensation","RCO2R","RNH2","RCO2R, RNH2",1.33,"45 h at 60 °C"
"ELN032036-288",1,"A11",6.65,"DBU",,"MeCN","No Ligand",,"CDI",,,"Amide coupling","RCO2H or M","ArNH2","ArNH2, RCO2H or M",-0.39,"22 h at 40 °C"
"ELN032036-289",1,"A11",0,"NaH","AlphosPd)2cod","tAmOH","AlPhos",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.93,
"ELN032036-289",2,"A11",32.51,"NaOtBu","tBuXPhos Pd(allyl)OTf","PhMe","Me4tBuXPhos",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",0.95,"1.5 h at 40 °C"
"ELN032036-289",3,"A11",43.57,"NaOtBu","XantPhos Pd(allyl)Cl","PhMe","XantPhos",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",1.6,"24 h at 60 °C"
"ELN032036-294",1,"A11",4.89,,"VPhos Pd G4","Brij 35","VPhos","TMEDA",,"water",,"Negishi, in-situ","ArBr","Alkyl-Br","Alkyl-Br, ArBr",-0.8,"6 h at 45 °C"
