"ELN_ID","PLATENUMBER","Coordinate","AREA_TOTAL_REDUCED","Base","Catalyst","Solvent","Ligand","Additive","Coupling Reagent","Secondary Solvent","Tertiary Solvent","Reaction Type","FG A","FG B","FG_sorted","z-Score","output_column"
"ELN032036-250",2,"G11",0,"DBU","cBridP Pd(allyl)Cl","MeCN","cBridP",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.5,
"ELN032036-250",3,"G11",0,"DBU","cBridP Pd(allyl)Cl","MeCN","cBridP",,,,,"Arylation, acidic C-H","ArBr","Alkyl-H acidic","Alkyl-H acidic, ArBr",-0.5,
"ELN032036-254",1,"G11",0.6,"NaOtBu","SPhos Pd(crotyl)Cl","PhMe","SPhos",,,,,"Buchwald-Hartwig","Lactam","ArCl","ArCl, Lactam",-0.89,"4 h at 60 °C, then 18 h at 80 °C"
"ELN032036-257",1,"G11",45.12,"K2CO3","BippyPhos Pd(allyl)OTf","MeCN","BippyPhos",,,,,"Buchwald-Hartwig","ArCl","ArNH2","ArCl, ArNH2",0.79,"4 h at 60 °C"
"ELN032036-257",2,"G11",0,"K2CO3","AmPhos2PdCl2","MeCN","AmPhos",,,,,"Buchwald-Hartwig","ArCl","ArNH2","ArCl, ArNH2",-1.02,
"ELN032036-258",1,"G11",23.05,"NaHCO3","AdBrettPhosPd G6 Br","tAmOH","Ad-BrettPhos",,,,,"CH-Activation","ArH","ArBr","ArBr, ArH",0.72,"5.5 h at 100 °C"
"ELN032036-258",2,"G11",7.31,"K2CO3, Potassium 2-ethylhexanoate","(R)-BINAP Pd(allyl)Cl","water","BINAP","TBAC",,"xylenes",,"CH-Activation","ArH","ArBr","ArBr, ArH",-0.54,"3 h at 140 °C"
"ELN032036-259",1,"G11",0,,,"DCM","No Ligand",,"BOP-Cl",,,"Dehydration","RCONHR","RCONHR","RCONHR, RCONHR",-0.53,
"ELN032036-259",2,"G11",0,"TMG",,"DMI","No Ligand",,"oxalyl chloride",,,"Dehydration","RCONHR","RCONHR","RCONHR, RCONHR",-0.53,
"ELN032036-264",1,"G11",0,"NaOtBu","MorDalphos Pd G3","PhMe","MorDalphos",,,,,"Buchwald-Hartwig","ArCl","RNH2 a-branch","ArCl, RNH2 a-branch",-0.78,
"ELN032036-264",2,"G11",11.35,"K2CO3","Me3(OMe)tBuXPhos Pd G3","MeCN","Me3(OMe)-tBuXPhos",,,,,"Buchwald-Hartwig","ArCl","RNH2 a-branch","ArCl, RNH2 a-branch",-0.27,"8 h at 40 °C, then 15 h at 80 °C"
"ELN032036-264",3,"G11",22.67,"Cs2CO3","cBridP Pd(allyl)Cl","MeCN","cBridP",,,,,"Buchwald-Hartwig","ArCl","RNH2 a-branch","ArCl, RNH2 a-branch",0.23,"6 h at 80 °C, then 16 h at 100 °C"
"ELN032036-265",1,"G11",4.21,"K3PO4, Potassium 2-ethylhexanoate","P(Cy)3 Pd(crotyl)Cl","THF","P(Cy)3","TBAB",,"water",,"Suzuki-Miyaura","ArBr","ArBr","ArBr, ArBr",-0.6,"4 h at 40 °C, then 19 h at 80 °C"
"ELN032036-265",2,"G11",5.33,"K3PO4, Potassium 2-ethylhexanoate","P(Cy)3 Pd(crotyl)Cl","THF","P(Cy)3","TBAB",,"water",,"Suzuki-Miyaura","ArBr","ArBr","ArBr, ArBr",-0.42,"3 h at 40 °C, then 3 h at 80 °C"
"ELN032036-273",1,"G11",0.98,"NaH",,"DMI","No Ligand",,,,,"SNAr","Alkyl-OH a-branch","ArF","Alkyl-OH a-branch, ArF",-0.4,"2 h at 40 °C"
"ELN032036-274",1,"G11",0,"K3PO4","cataCXiumA Pd G3","water","CataCXiumA",,,,,"Suzuki-Miyaura","ArBr","ArBr","ArBr, ArBr",-0.2,
"ELN032036-278",3,"G11",1.09,,"Cu2O, Ni(OAc)2","MeTHF","Me4phen",,,"Octanoic acid",,"Negishi, in-situ","Alkyl-I","ArBr","Alkyl-I, ArBr",-0.15,"96 h at 45 °C"
"ELN032036-280",1,"G11",1,"KOAc","Pd-PEPPSI-IHept Cl 3-chloropyridine","MeCN","IHept Cl",,,,,"Borylation, Miyaura","ArBr","ArBr","ArBr, ArBr",-0.7,"3.5 h at 40 °C, then 14.5 h at 60 °C"
"ELN032036-282",1,"G11",1.09,,"dppfPdCl2","MeCN","dppf","TMEDA, TPGS-750M",,,,"Negishi, in-situ","Alkyl-I","ArBr","Alkyl-I, ArBr",-0.15,"5 h at 40 °C"
