index,reaction_smiles,detected_reaction_types,product_motifs,rxn_match_count,reactant_1_motifs,reactant_2_motifs,reactant_3_motifs,reactant_4_motifs
23,Clc1cccc2c1cc[nH]2.c1ccc(B(O)O)nc1>>c1ccc(-c2cccc3[nH]ccc23)nc1,suzuki_miyaura,Ar-Ar|AromN-H,1,Ar-Cl|AromN-H,Any-H|Any-OH|Ar-B(OH)2,,
24,Brc1nc2ccccc2s1.Cc1ccc(B(O)O)cc1>>Cc1ccc(-c2nc3ccccc3s2)cc1,suzuki_miyaura,Ar-Ar|R-H,1,Ar-Br,Any-H|Any-OH|Ar-B(OH)2|R-H,,
25,Ic1nc2ccccc2o1.COc1ccc(B(O)O)cc1>>COc1ccc(-c2nc3ccccc3o2)cc1,"suzuki_miyaura,ullmann_ether",Ar-Ar|Ar-OR|R-H,2,Ar-I,Any-H|Any-OH|Ar-B(OH)2|Ar-OR|R-H,,
26,Brc1cccc2nsnc12.c1ccc(B(O)O)cc1>>c1ccc(-c2cccc3nsnc23)cc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,Any-H|Any-OH|Ar-B(OH)2,,
27,Brc1ccccc1C(C)C.c1ccc(B(O)O)cc1>>CC(C)c1ccccc1-c1ccccc1,suzuki_miyaura,Ar-Ar|R-H,1,Ar-Br|R-H,Any-H|Any-OH|Ar-B(OH)2,,
28,Clc1c(C)cccc1C.COc1ccc(B(O)O)cc1>>Cc1cccc(C)c1-c1ccc(OC)cc1,"suzuki_miyaura,ullmann_ether",Ar-Ar|Ar-OR|R-H,2,Ar-Cl|R-H,Any-H|Any-OH|Ar-B(OH)2|Ar-OR|R-H,,
29,Brc1ccccc1OCC.c1ccc(B(O)O)cc1C>>CCOc1ccccc1-c1ccccc1C,"suzuki_miyaura,ullmann_ether",Ar-Ar|Ar-OR|R-H,2,Ar-Br|Ar-OR|R-H,Any-H|Any-OH|Ar-B(OH)2|R-H,,
30,Fc1c(F)c(F)c(Br)c(F)c1F.c1ccc(B(O)O)cc1>>Fc1c(F)c(F)c(-c2ccccc2)c(F)c1F,"suzuki_miyaura,halogenation_aromatic",Ar-Ar|Ar-F,2,Ar-Br|Ar-F,Any-H|Any-OH|Ar-B(OH)2,,
31,Clc1cc(Cl)cc(Br)c1.c1ccc(B(O)O)cc1>>Clc1cc(Cl)cc(-c2ccccc2)c1,"suzuki_miyaura,halogenation_aromatic",Ar-Ar|Ar-Cl,2,Ar-Br|Ar-Cl,Any-H|Any-OH|Ar-B(OH)2,,
32,Brc1ccc([N+](=O)[O-])cc1[N+](=O)[O-].c1ccc(B(O)O)cc1>>c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,suzuki_miyaura,Ar-Ar|Ar-NO2,1,Ar-Br|Ar-NO2,Any-H|Any-OH|Ar-B(OH)2,,
33,Brc1ccc(C(=O)OCC)cc1.c1ccc(B(O)O)cc1>>CCOC(=O)c1ccc(-c2ccccc2)cc1,suzuki_miyaura,Ar-Ar|Ar-Ester|R-H,1,Ar-Br|Ar-Ester|R-H,Any-H|Any-OH|Ar-B(OH)2,,
34,Ic1ccc(NC(=O)OC(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)OC(=O)Nc1ccc(-c2ccccc2)cc1,suzuki_miyaura,Ar-Ar|Ar-Carbamate|R-H,1,Ar-Carbamate|Ar-I|R-H,Any-H|Any-OH|Ar-B(OH)2,,
35,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1.c1ccc(B(O)O)cc1>>CC(C)(C)[Si](C)(C)Oc1ccc(-c2ccccc2)cc1,suzuki_miyaura,Any-OR|Ar-Ar|R-H|R-Si,1,Any-OR|Ar-Br|R-H|R-Si,Any-H|Any-OH|Ar-B(OH)2,,
36,Brc1ccccc1.C=CB(O)O>>C=Cc1ccccc1,"heck,suzuki_miyaura,ring_closing_metathesis",Alkenyl-H|Ar-CHCH2,3,Ar-Br,Alkenyl-B(OH)2|Alkenyl-H|Any-H|Any-OH,,
37,Ic1ccc(C=O)cc1.C/C=C/B(O)O>>C/C=C/c1ccc(C=O)cc1,"oxidation_alcohol,ring_closing_metathesis",Alkenyl-H|Any-CO-R|Ar-Alkenyl|R-H,2,Any-CO-R|Ar-I,Alkenyl-B(OH)2|Alkenyl-H|Any-H|Any-OH|R-H,,
38,Brc1ccncc1.C=C(C)B(O)O>>C=C(C)c1ccncc1,ring_closing_metathesis,Alkenyl-H|Ar-Alkenyl|R-H,1,Ar-Br,Alkenyl-B(OH)2|Alkenyl-H|Any-H|Any-OH|R-H,,
39,Brc1ccc(OC)cc1.C#CB(O)O>>C#Cc1ccc(OC)cc1,ullmann_ether,Any-H|Ar-Alkyne|Ar-CCH|Ar-OR|R-H,1,Ar-Br|Ar-OR|R-H,Any-B(OH)2|Any-H|Any-OH,,
40,Brc1ccc(Br)cc1CCCCCCCC(=O)O.c1ccc(B(O)O)cc1>>O=C(O)CCCCCCCc1ccc(-c2ccccc2)cc1-c1ccccc1,"suzuki_miyaura,oxidation_alcohol",Any-CO2H|Any-OR|Ar-Ar|R-H,2,Any-CO2H|Any-OR|Ar-Br|R-H,Any-H|Any-OH|Ar-B(OH)2,,
41,Brc1ccccc1.[K+].[B-](F)(F)(F)c1ccccc1>>c1ccc(-c2ccccc2)cc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,,Ar-BF3K,
42,Clc1ccc(C(F)(F)F)cc1.[K+].[B-](F)(F)(F)c1ccc(OC)cc1>>COc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,suzuki_miyaura,Ar-Ar|Ar-OR|R-F|R-H,1,Ar-Cl|R-F,,Ar-BF3K|Ar-OR|R-H,
43,[O-][n+]1ccccc1Br.c1ccc(B(O)O)cc1>>[O-][n+]1ccccc1-c1ccccc1,suzuki_miyaura,Ar-Ar,1,Ar-Br,Any-H|Any-OH|Ar-B(OH)2,,
44,BrC1(c2ccccc2)CC1.c1ccc(B(O)O)cc1>>c1ccc(C2(c3ccccc3)CC2)cc1,,R-H,0,R-Br|R-H,Any-H|Any-OH|Ar-B(OH)2,,
45,Brc1ccccc1.c1ccc([Sn](C)(C)C)cc1>>c1ccc(-c2ccccc2)cc1,stille,Ar-Ar,1,Ar-Br,Ar-Sn|R-H,,
46,Ic1ccncc1.C=C[Sn](C)(C)C>>C=Cc1ccncc1,"heck,stille,ring_closing_metathesis",Alkenyl-H|Ar-CHCH2,3,Ar-I,Alkenyl-H|Alkenyl-Sn|R-H,,
47,Brc1ccccc1.C#Cc1ccccc1>>C(#Cc1ccccc1)c1ccccc1,sonogashira,Ar-Alkynyl,1,Ar-Br,Any-H|Ar-Alkyne|Ar-CCH,,
48,Ic1ccncc1.C#CC>>C#Cc1ccncc1,,Any-H|Ar-Alkyne|Ar-CCH,0,Ar-I,Any-H|R-CCH|R-H,,
49,Clc1ccc(C#N)cc1.C#CC(C)(C)C>>CC(C)(C)C#Cc1ccc(C#N)cc1,sonogashira,Ar-Alkynyl|Ar-CN|R-H,1,Ar-CN|Ar-Cl,Any-H|R-CCH|R-H,,
50,Brc1ccc(OC)cc1.C#Cc1ccccc1>>COc1ccc(C#Cc2ccccc2)cc1,sonogashira,Ar-Alkynyl|Ar-OR|R-H,1,Ar-Br|Ar-OR|R-H,Any-H|Ar-Alkyne|Ar-CCH,,
51,Ic1ccc(C(F)(F)F)cc1.C#C[Si](C)(C)C>>CC(C)(C)[Si]C#Cc1ccc(C(F)(F)F)cc1,,Alkynyl-Si|Ar-Alkynyl|R-F|R-H|R-Si,0,Ar-I|R-F,Alkynyl-Si|Any-H|R-H|R-Si,,
52,Brc1cccs1.C#Cc1ccccc1>>c1cc(C#Cc2ccccc2)sc1,sonogashira,Ar-Alkynyl,1,Ar-Br,Any-H|Ar-Alkyne|Ar-CCH,,
53,Clc1ccncc1.C#CCOC>>COC(C)C#Cc1ccncc1,,Any-OR|Ar-Alkynyl|R-H,0,Ar-Cl,Any-H|Any-OR|Propargyl-H|R-H,,
54,Brc1ccc2[nH]ccc2c1.C#CC>>C#Cc1ccc2[nH]ccc2c1,,Any-H|Ar-Alkyne|Ar-CCH|AromN-H,0,Ar-Br|AromN-H,Any-H|R-CCH|R-H,,
55,Brc1ccccc1.C=C>>C(=Cc1ccccc1),"heck,ring_closing_metathesis",Alkenyl-H|Ar-CHCH2,2,Ar-Br,Alkenyl-H,,
56,Ic1ccc(C=O)cc1.C=CC(=O)OCC>>CCOC(=O)/C=C/c1ccc(C=O)cc1,ring_closing_metathesis,Alkenyl-Ester|Alkenyl-H|Any-CO-R|Ar-Alkenyl|R-H,1,Any-CO-R|Ar-I,Alkenyl-Ester|Alkenyl-H|R-H,,
57,Brc1ccncc1.C=CC#N>>N#C/C=C/c1ccncc1,ring_closing_metathesis,Alkenyl-CN|Alkenyl-H|Ar-Alkenyl,1,Ar-Br,Alkenyl-CN|Alkenyl-H,,
58,Brc1ccc(OC)cc1.C=CC(=O)OC>>COc1ccc(/C=C/C(=O)OC)cc1,ring_closing_metathesis,Alkenyl-Ester|Alkenyl-H|Ar-Alkenyl|Ar-OR|R-H,1,Ar-Br|Ar-OR|R-H,Alkenyl-Ester|Alkenyl-H|R-H,,
59,Ic1ccc2ccccc2c1.C=C>>C(=Cc1ccc2ccccc2c1),"heck,ring_closing_metathesis",Alkenyl-H|Ar-CHCH2,2,Ar-I,Alkenyl-H,,
60,Brc1cccs1.C=CC(=O)N>>NC(=O)/C=C/c1cccs1,ring_closing_metathesis,Alkenyl-H|Any-CONH2|Any-H|Any-NH2|Ar-Alkenyl,1,Ar-Br,Alkenyl-H|Any-CONH2|Any-H|Any-NH2,,
61,Clc1ccc(C#N)cc1.C=C>>C=Cc1ccc(C#N)cc1,"heck,ring_closing_metathesis",Alkenyl-H|Ar-CHCH2|Ar-CN,2,Ar-CN|Ar-Cl,Alkenyl-H,,
62,Brc1ccccc1.c1ccc([Zn]Cl)cc1>>c1ccc(-c2ccccc2)cc1,negishi,Ar-Ar,1,Ar-Br,Ar-Zn,,
63,Ic1ccncc1.C=C[Zn]Br>>C=Cc1ccncc1,"heck,negishi,ring_closing_metathesis",Alkenyl-H|Ar-CHCH2,3,Ar-I,Alkenyl-H|Alkenyl-Zn,,
64,Brc1ccc(C(F)(F)F)cc1.c1ccc([Zn]Cl)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1,negishi,Ar-Ar|R-F,1,Ar-Br|R-F,Ar-Zn,,
65,Clc1ccc(C#N)cc1.CC[Zn]Br>>CCc1ccc(C#N)cc1,,Ar-CN|R-H,0,Ar-CN|Ar-Cl,R-H|R-Zn,,
66,Brc1ccccc1.c1ccc([Mg]Br)cc1>>c1ccc(-c2ccccc2)cc1,kumada,Ar-Ar,1,Ar-Br,Ar-Mg,,
67,Ic1ccncc1.C=C[Mg]Cl>>C=Cc1ccncc1,"heck,kumada,ring_closing_metathesis",Alkenyl-H|Ar-CHCH2,3,Ar-I,Alkenyl-H|Alkenyl-Mg,,
68,Brc1ccc(OC)cc1.CC[Mg]Br>>CCc1ccc(OC)cc1,,Ar-OR|R-H,0,Ar-Br|Ar-OR|R-H,R-H|R-Mg,,
69,Clc1ccc(C#N)cc1.c1ccc([Mg]Br)cc1>>N#Cc1ccc(-c2ccccc2)cc1,kumada,Ar-Ar|Ar-CN,1,Ar-CN|Ar-Cl,Ar-Mg,,
70,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Br,Any-H|Ar-NH2,,
71,Clc1ccncc1.NCC>>CCNc1ccncc1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Cl,Any-H|Any-NH2|R-H,,
72,Brc1ccc(C(F)(F)F)cc1.NC1CCCCC1>>FC(F)(F)c1ccc(NC2CCCCC2)cc1,buchwald_hartwig,Any-H|Ar-NHR|R-F|R-H,1,Ar-Br|R-F,Any-H|Any-NH2|R-H,,
73,Ic1ccc(C=O)cc1.Nc1ccccc1>>O=Cc1ccc(Nc2ccccc2)cc1,"buchwald_hartwig,reductive_amination",Any-CO-R|Any-H|Ar-NHR,2,Any-CO-R|Ar-I,Any-H|Ar-NH2,,
74,Brc1ccc2ccccc2c1.NCC>>CCNc1ccc2ccccc2c1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br,Any-H|Any-NH2|R-H,,
75,Clc1nc2ccccc2[nH]1.Nc1ccccc1>>c1ccccc1Nc1nc2ccccc2[nH]1,buchwald_hartwig,Any-H|Ar-NHR|AromN-H,1,Ar-Cl|AromN-H,Any-H|Ar-NH2,,
76,Brc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Br,Any-H|Ar-NH2,,
77,Clc1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Cl,Any-H|Ar-NH2,,
78,Ic1ccccc1.Nc1ccccc1>>c1ccccc1Nc1ccccc1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-I,Any-H|Ar-NH2,,
79,Brc1ccc(OC)cc1.Nc1ccccc1>>COc1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Any-H|Ar-NHR|Ar-OR|R-H,1,Ar-Br|Ar-OR|R-H,Any-H|Ar-NH2,,
80,Brc1ccc(C)cc1.Nc1ccccc1>>Cc1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br|R-H,Any-H|Ar-NH2,,
81,Brc1ccc(C(F)(F)F)cc1.Nc1ccccc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Any-H|Ar-NHR|R-F,1,Ar-Br|R-F,Any-H|Ar-NH2,,
82,Brc1ccc(C#N)cc1.Nc1ccccc1>>N#Cc1ccc(Nc2ccccc2)cc1,"snar_cn,buchwald_hartwig",Any-H|Ar-CN|Ar-NHR,2,Ar-Br|Ar-CN,Any-H|Ar-NH2,,
83,Brc1ccc([N+](=O)[O-])cc1.Nc1ccccc1>>[O-][N+](=O)c1ccc(Nc2ccccc2)cc1,"snar_cn,buchwald_hartwig",Any-H|Ar-NHR|Ar-NO2,2,Ar-Br|Ar-NO2,Any-H|Ar-NH2,,
84,Brc1ccc(C(=O)C)cc1.Nc1ccccc1>>CC(=O)c1ccc(Nc2ccccc2)cc1,"buchwald_hartwig,reductive_amination",Any-CO-R|Any-H|Ar-NHR|R-H,2,Any-CO-R|Ar-Br|R-H,Any-H|Ar-NH2,,
85,Brc1ccc(F)cc1.Nc1ccccc1>>Fc1ccc(Nc2ccccc2)cc1,"buchwald_hartwig,halogenation_aromatic",Any-H|Ar-F|Ar-NHR,2,Ar-Br|Ar-F,Any-H|Ar-NH2,,
86,Clc1ccncc1.Nc1ccccc1>>c1ccccc1Nc1ccncc1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Cl,Any-H|Ar-NH2,,
87,Brc1ccncc1.Nc1ccccc1>>c1ccccc1Nc1ccncc1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Br,Any-H|Ar-NH2,,
88,Clc1cccnc1.Nc1ccccc1>>c1ccccc1Nc1cccnc1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Cl,Any-H|Ar-NH2,,
89,Brc1cnccn1.Nc1ccccc1>>c1ccccc1Nc1cnccn1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Br,Any-H|Ar-NH2,,
90,Clc1cccc2ncccc12.Nc1ccccc1>>c1ccccc1Nc1cccc2ncccc12,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Cl,Any-H|Ar-NH2,,
91,Brc1ccc2[nH]ccc2c1.Nc1ccccc1>>c1ccccc1Nc1ccc2[nH]ccc2c1,buchwald_hartwig,Any-H|Ar-NHR|AromN-H,1,Ar-Br|AromN-H,Any-H|Ar-NH2,,
92,Brc1ccco1.Nc1ccccc1>>c1ccccc1Nc1ccco1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Br,Any-H|Ar-NH2,,
93,Clc1cccs1.Nc1ccccc1>>c1ccccc1Nc1cccs1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Cl,Any-H|Ar-NH2,,
94,Brc1cnc(C)cn1.Nc1ccccc1>>Cc1cnc(Nc2ccccc2)cn1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br|R-H,Any-H|Ar-NH2,,
95,Brc1ccccc1.Nc1ccc(C)cc1>>Cc1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br,Any-H|Ar-NH2|R-H,,
96,Brc1ccccc1.Nc1ccc(OC)cc1>>COc1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Any-H|Ar-NHR|Ar-OR|R-H,1,Ar-Br,Any-H|Ar-NH2|Ar-OR|R-H,,
97,Brc1ccccc1.Nc1ccc(F)cc1>>Fc1ccc(Nc2ccccc2)cc1,"buchwald_hartwig,halogenation_aromatic",Any-H|Ar-F|Ar-NHR,2,Ar-Br,Any-H|Ar-F|Ar-NH2,,
98,Brc1ccccc1.Nc1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1,buchwald_hartwig,Any-H|Ar-NHR|R-F,1,Ar-Br,Any-H|Ar-NH2|R-F,,
99,Brc1ccccc1.Nc1cccc(C)c1>>Cc1cccc(Nc2ccccc2)c1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br,Any-H|Ar-NH2|R-H,,
100,Brc1ccccc1.Nc1cc(C)cc(C)c1>>Cc1cc(C)cc(Nc2ccccc2)c1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br,Any-H|Ar-NH2|R-H,,
101,Brc1ccccc1.CN>>CNc1ccccc1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br,Any-H|Any-NH2|R-H,,
102,Brc1ccccc1.CCN>>CCNc1ccccc1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br,Any-H|Any-NH2|R-H,,
103,Brc1ccccc1.CCCN>>CCCNc1ccccc1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br,Any-H|Any-NH2|R-H,,
104,Brc1ccccc1.CC(C)N>>CC(C)Nc1ccccc1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br,Any-H|Any-NH2|R-H,,
105,Brc1ccccc1.CC(C)(C)N>>CC(C)(C)Nc1ccccc1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br,Any-H|Any-NH2|R-H,,
106,Brc1ccccc1.NCc1ccccc1>>c1ccccc1CNc1ccccc1,,Any-H|Bn-NHR|R-H,0,Ar-Br,Any-H|Bn-NH2|R-H,,
107,Brc1ccccc1.NCCOC>>COCCNc1ccccc1,buchwald_hartwig,Any-H|Any-OR|Ar-NHR|R-H,1,Ar-Br,Any-H|Any-NH2|Any-OR|R-H,,
108,Brc1ccncc1.NCCC>>CCCNc1ccncc1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br,Any-H|Any-NH2|R-H,,
109,Clc1ccc(C#N)cc1.CC(C)N>>CC(C)Nc1ccc(C#N)cc1,"snar_cn,buchwald_hartwig",Any-H|Ar-CN|Ar-NHR|R-H,2,Ar-CN|Ar-Cl,Any-H|Any-NH2|R-H,,
110,Brc1ccccc1.CCNCC>>CCN(CC)c1ccccc1,buchwald_hartwig,Ar-NR2|R-H,1,Ar-Br,Any-H|Any-NHR|R-H,,
111,Brc1ccccc1.N1CCCC1>>c1ccccc1N1CCCC1,buchwald_hartwig,Ar-NR2|R-H,1,Ar-Br,Any-H|Any-NHR|R-H,,
112,Brc1ccccc1.N1CCCCC1>>c1ccccc1N1CCCCC1,buchwald_hartwig,Ar-NR2|R-H,1,Ar-Br,Any-H|Any-NHR|R-H,,
113,Brc1ccccc1.N1CCOCC1>>c1ccccc1N1CCOCC1,buchwald_hartwig,Any-OR|Ar-NR2|R-H,1,Ar-Br,Any-H|Any-NHR|Any-OR|R-H,,
114,Brc1ccccc1.N1CCN(C)CC1>>CN1CCN(c2ccccc2)CC1,buchwald_hartwig,Any-NR2|Ar-NR2|R-H,1,Ar-Br,Any-H|Any-NHR|Any-NR2|R-H,,
115,Brc1ccccc1.N1CCC(O)CC1>>OC1CCN(c2ccccc2)CC1,buchwald_hartwig,Any-OR|Ar-NR2|R-H,1,Ar-Br,Any-H|Any-NHR|Any-OR|R-H,,
116,Brc1ccccc1.N1Cc2ccccc2C1>>c1ccccc1N1Cc2ccccc2C1,,Bn-NR2|R-H,0,Ar-Br,Any-H|Bn-NHR|R-H,,
117,Brc1ccncc1.N1CCCC1>>c1ccncc1N1CCCC1,buchwald_hartwig,Ar-NR2|R-H,1,Ar-Br,Any-H|Any-NHR|R-H,,
118,Clc1ccc(C(F)(F)F)cc1.N1CCOCC1>>FC(F)(F)c1ccc(N2CCOCC2)cc1,buchwald_hartwig,Any-OR|Ar-NR2|R-F|R-H,1,Ar-Cl|R-F,Any-H|Any-NHR|Any-OR|R-H,,
119,Brc1ccc(OC)cc1.N1CCCCC1>>COc1ccc(N2CCCCC2)cc1,buchwald_hartwig,Ar-NR2|Ar-OR|R-H,1,Ar-Br|Ar-OR|R-H,Any-H|Any-NHR|R-H,,
120,Brc1ccc(Br)cc1.Nc1ccccc1>>c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,buchwald_hartwig,Any-H|Ar-NHR,1,Ar-Br,Any-H|Ar-NH2,,
121,Brc1ccccc1C.Nc1ccccc1>>Cc1ccccc1Nc1ccccc1,buchwald_hartwig,Any-H|Ar-NHR|R-H,1,Ar-Br|R-H,Any-H|Ar-NH2,,
