Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent
Suzuki,89.54,1.59,alkene-Br,ArB(OH)2,alkene-Br,ArB(OH)2,VinylX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,PhMe,,MeOH,
Suzuki,100.0,1.44,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,PhMe,,MeOH,
Suzuki,94.15,1.21,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,Na2CO3,iPrOAc,water,Potassium 2-ethylhexanoate,
Suzuki,81.6,0.95,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,tAmOH,water,,
Suzuki,90.02,0.95,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,Cs2CO3,PhMe,,,
Suzuki,83.01,-1.4,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,Na2CO3,PhMe,water,,
Suzuki,100.0,0.77,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K2CO3,PhMe,water,,
Suzuki,94.14,0.57,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,SPhos Pd(crotyl)Cl,SPhos,Na2CO3,PhMe,water,,
Suzuki,89.73,2.37,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K2CO3,Brij 35,THF,,
Suzuki,91.82,0.65,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K2CO3,PhMe,water,MeOH,
Suzuki,96.44,0.68,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,tAmOH,water,,
Suzuki,96.32,1.49,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,tAmOH,water,TBAC,
Suzuki,89.47,1.49,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,tAmOH,water,,
Suzuki,87.42,1.77,ArBF3K,ArCl,ArCl,ArBF3K,ArX*,ArB*,cataCXiumA Pd G6 Br)2,CataCXiumA,Na2CO3,EtOH,water,,
Suzuki,82.89,1.39,alkene-Br,ArB(OH)2,alkene-Br,ArB(OH)2,VinylX*,ArB*,AmPhos2PdCl2,AmPhos,K2CO3,MeOH,PhMe,,
Suzuki,88.97,1.01,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,tAmOH,water,,
Suzuki,80.25,1.52,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,tAmOH,water,,
Suzuki,88.81,1.19,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Na2CO3,THF,water,,
Suzuki,89.3,0.92,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,,,
Suzuki,83.9,-1.23,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,XantPhos Pd(allyl)Cl,XantPhos,Na2CO3,PhMe,water,,
Suzuki,83.41,1.49,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,K2CO3,anisole,water,,
Suzuki,91.82,0.49,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,dppfPdCl2,dppf,Na2CO3,PhMe,water,,
Suzuki,89.24,2.35,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K2CO3,Brij 35,Dioxane,,
Suzuki,80.69,-0.75,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,dppfPdCl2,dppf,K2CO3,PhMe,water,MeOH,
Suzuki,94.5,1.97,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,K3PO4,PhMe,water,Brij 35,
Suzuki,92.62,0.56,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,EtOH,water,,
Suzuki,100.0,1.21,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,PEPPSI-IPENT,IPENT,K3PO4,PhMe,water,TBAC,
Suzuki,81.85,0.74,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,tAmOH,water,,
Suzuki,88.15,1.63,ArCl,Alkyl-BF3K,ArCl,Alkyl-BF3K,ArX*,RB*,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,tAmOH,water,,
Suzuki-in-situ,91.1,1.56,ArBr,ArBr,ArBr,,ArX*,,PPh3)2PdCl2,PPh3,"K3PO4, Potassium 2-ethylhexanoate",TBME,water,,
Suzuki,94.95,1.16,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,cataCXiumA Pd G3,CataCXiumA,Cs2CO3,PhMe,,,
Suzuki,84.4,1.52,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,K2CO3,PhMe,water,,
Suzuki,84.64,0.95,ArBr,Alkyl-B(OH)2,ArBr,Alkyl-B(OH)2,ArX*,RB*,dtbpfPdCl2,dtbpf,Ag2O,PhMe,,,
Suzuki,94.08,0.57,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,CataCXiumA Pd(allyl)Cl,CataCXiumA,Na2CO3,PhMe,water,,
Suzuki,89.67,2.37,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K2CO3,Brij 35,cyclohexane,,
Suzuki,86.77,0.01,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,K2CO3,PhMe,water,MeOH,
Suzuki,95.32,0.64,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,Brij 35,water,,
Suzuki,90.7,1.34,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,KOH,tAmOH,water,,
Suzuki,94.02,1.62,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,NaHCO3,TBME,water,,
Suzuki,95.75,1.66,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,Brij 35,water,,
Suzuki,90.73,1.9,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,Dioxane,,water,
Suzuki,93.46,0.95,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,PEPPSI-IPENT,IPENT,K3PO4,PhMe,water,Brij 35,
Suzuki,86.24,2.02,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,THF,water,,
Suzuki,91.26,1.65,alkene-Br,ArB(OH)2,alkene-Br,ArB(OH)2,VinylX*,ArB*,AmPhos2PdCl2,AmPhos,KOH,MeOH,PhMe,,
Suzuki,93.18,1.67,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,XPhos Pd(crotyl)Cl,XPhos,K3PO4,MeOH,PhMe,,
Suzuki,87.68,1.15,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K3PO4,THF,water,,
Suzuki,96.39,1.06,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,Na2CO3,PhMe,water,,
Suzuki,88.15,0.48,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K3PO4,Dioxane,water,,
Suzuki,84.96,1.55,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,anisole,water,,
Suzuki,89.19,0.97,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,iPrOAc,water,,
Suzuki,95.04,0.55,ArBr,alkeneB(OR)2,ArBr,alkeneB(OR)2,ArX*,RB*,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,iPrOH,water,,
Suzuki,86.35,1.73,ArB(OR)2,ArCl,ArCl,ArB(OR)2,ArX*,ArB*,dppfPdCl2,dppf,K3PO4,iPrOAc,water,,
Suzuki,89.68,1.34,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dppfPdCl2,dppf,K3PO4,iPrOAc,water,,
Suzuki,97.0,0.68,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,PhMe,water,,
Suzuki,85.34,2.22,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K2CO3,water,,Sodium octanoate,
Suzuki,87.0,0.04,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,dppfPdCl2,dppf,K3PO4,PhMe,water,MeOH,
Suzuki,95.35,2.0,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,Pd-PEPPSI-IPent Cl 3-chloropyridine,IPENT Cl,K3PO4,MeTHF,water,,
Suzuki,92.0,0.54,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,Dioxane,water,Potassium 2-ethylhexanoate,
Suzuki,96.12,1.67,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K2CO3,Dioxane,water,Potassium 2-ethylhexanoate,
Suzuki,92.14,0.9,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,K3PO4,PhMe,water,,
Suzuki,89.86,1.6,alkene-Br,ArB(OH)2,alkene-Br,ArB(OH)2,VinylX*,ArB*,AmPhos2PdCl2,AmPhos,K3PO4,tAmOH,water,,
Suzuki,100.0,1.44,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,Na2CO3,iPrOAc,water,,
Suzuki,89.79,1.58,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,XPhos Pd(crotyl)Cl,XPhos,K3PO4,BuOH,water,,
Suzuki,86.25,0.66,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,NaHCO3,iPrOAc,water,,
Suzuki,82.49,0.99,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,tAmOH,water,,
Suzuki,80.7,1.4,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,Na2CO3,MeTHF,water,,
Suzuki,81.89,0.6,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Cs2CO3,PhMe,,,
Suzuki,100.0,1.72,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Na2CO3,PhMe,water,,
Suzuki,83.53,0.18,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dpppPdCl2,dppp,K3PO4,Dioxane,water,,
Suzuki,83.8,1.5,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,PhMe,water,,
Suzuki,97.16,0.92,ArBr,alkeneB(OR)2,ArBr,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K3PO4,iPrOH,water,,
Suzuki,94.54,0.59,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,K3PO4,PhMe,water,,
Suzuki,84.32,2.19,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K2CO3,Dioxane,water,Sodium octanoate,
Suzuki,92.71,0.76,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,PhMe,water,MeOH,
Suzuki,85.43,1.63,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,Pd-PEPPSI-IHept Cl 3-chloropyridine,IHept Cl,K3PO4,MeTHF,water,,
Suzuki,89.91,0.48,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,THF,water,Potassium 2-ethylhexanoate,
Suzuki,100.0,1.63,ArB(OR)2,ArCl,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,THF,water,,
Suzuki,81.59,1.09,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,KOH,iPrOAc,water,,
Suzuki,82.01,1.1,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dcypfPdCl2,dcypf,K3PO4,tAmOH,water,Brij 35,
Suzuki,84.26,1.14,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,THF,water,Potassium 2-ethylhexanoate,
Suzuki,84.64,1.36,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,THF,water,Potassium 2-ethylhexanoate,
Suzuki,86.07,1.65,ArCl,ArBF3K,ArCl,ArBF3K,ArX*,ArB*,dppfPdCl2,dppf,Na2CO3,EtOH,water,,
Suzuki,90.29,0.83,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,IPent Pd(tBuInd)Cl],IPENT,K3PO4,PhMe,water,,
Suzuki,90.57,1.62,alkene-Br,ArB(OH)2,alkene-Br,ArB(OH)2,VinylX*,ArB*,AmPhos2PdCl2,AmPhos,K2CO3,tAmOH,water,,
Suzuki,84.98,0.86,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,tAmOH,water,Potassium 2-ethylhexanoate,
Suzuki,96.83,1.32,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,Na2CO3,THF,water,,
Suzuki,92.65,1.66,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,XPhos Pd(crotyl)Cl,XPhos,K3PO4,iPrOAc,water,,
Suzuki,87.86,0.82,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,NaHCO3,iPrOAc,water,,
Suzuki,87.72,0.85,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,PhMe,,,
Suzuki,93.39,0.51,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,PhMe,water,,
Suzuki,90.08,0.61,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dtbpfPdCl2,dtbpf,K3PO4,Dioxane,water,,
Suzuki,97.17,0.92,ArBr,alkeneB(OR)2,ArBr,alkeneB(OR)2,ArX*,RB*,dtbpfPdCl2,dtbpf,K3PO4,iPrOH,water,,
Suzuki,89.32,0.39,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,SPhos Pd(crotyl)Cl,SPhos,K3PO4,PhMe,water,,
Suzuki,94.11,0.93,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,XantPhosPdCl2,XantPhos,K3PO4,PhMe,water,MeOH,
Suzuki,85.97,1.65,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,K3PO4,MeTHF,water,,
Suzuki,82.52,0.25,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,tAmOH,water,Potassium 2-ethylhexanoate,
Suzuki,80.7,1.07,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dcypfPdCl2,dcypf,KOH,anisole,water,Brij 35,
Suzuki,88.72,1.27,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,tAmOH,water,Potassium 2-ethylhexanoate,
Suzuki,87.71,1.45,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,iPrOAc,water,Potassium 2-ethylhexanoate,
Suzuki,88.08,1.72,ArCl,ArBF3K,ArCl,ArBF3K,ArX*,ArB*,dppfPdCl2,dppf,Na2CO3,MeOH,water,,
Suzuki,89.38,1.59,alkene-Br,ArB(OH)2,alkene-Br,ArB(OH)2,VinylX*,ArB*,AmPhos2PdCl2,AmPhos,KOH,tAmOH,water,,
Suzuki,95.2,1.73,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,XPhos Pd(crotyl)Cl,XPhos,KOH,PhMe,water,,
Suzuki,97.08,1.78,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,KOH,MeCN,water,,
Suzuki,81.6,2.74,ArBr,Alkyl-B(OH)2,ArBr,Alkyl-B(OH)2,ArX*,RB*,CataCXiumA Pd(allyl)Cl,CataCXiumA,K3PO4,PhMe,water,MeOH,
Suzuki-in-situ,85.39,1.39,ArBr,ArBr,ArBr,,ArX*,,PPh3)2PdCl2,PPh3,"K3PO4, KOPiv",THF,water,iPrOH,
Suzuki,100.0,1.72,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,QPhos Pd(crotyl)Cl,QPhos,Na2CO3,PhMe,water,,
Suzuki,83.49,0.18,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,Dioxane,water,,
Suzuki,87.24,1.63,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K2CO3,anisole,water,,
Suzuki,86.03,0.88,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,Na2CO3,iPrOAc,water,,
Suzuki,85.16,-1.16,ArBr,alkeneB(OR)2,ArBr,alkeneB(OR)2,ArX*,RB*,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,iPrOH,water,,
Suzuki,85.99,0.26,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,dppfPdCl2,dppf,K3PO4,PhMe,water,,
Suzuki,89.39,0.34,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,Na2CO3,PhMe,water,MeOH,
Suzuki,91.71,1.86,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,PEPPSI-IPENT,IPENT,K3PO4,MeTHF,water,,
Suzuki,93.62,1.94,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,PEPPSI-IPENT,IPENT,K3PO4,PhMe,water,TBAC,
Suzuki,96.3,0.67,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,THF,water,water,
Suzuki,90.86,1.35,ArB(OR)2,ArCl,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Na2CO3,THF,water,,
Suzuki,97.78,1.53,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,Na2CO3,tAmOH,water,Brij 35,
Suzuki,87.8,1.24,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,THF,water,,
Suzuki,87.09,1.43,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,Dioxane,,water,
Suzuki,83.06,1.4,alkene-Br,ArB(OH)2,alkene-Br,ArB(OH)2,VinylX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,THF,,water,
Suzuki,90.3,1.62,alkene-Br,ArB(OH)2,alkene-Br,ArB(OH)2,VinylX*,ArB*,AmPhos2PdCl2,AmPhos,K3PO4,iPrOAc,water,,
Suzuki,96.63,1.31,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,Na2CO3,MeTHF,water,,
Suzuki,98.79,1.83,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,XPhos Pd(crotyl)Cl,XPhos,KOH,Dioxane,water,,
Suzuki-in-situ,100.0,1.82,ArBr,ArBr,ArBr,,ArX*,,PPh3)2PdCl2,PPh3,"K3PO4, KOPiv",TBME,water,iPrOH,
Suzuki,84.5,0.71,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,XPhos Pd(crotyl)Cl,XPhos,Cs2CO3,PhMe,,,
Suzuki,93.97,0.61,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,XPhos Pd(crotyl)Cl,XPhos,Na2CO3,PhMe,water,,
Suzuki,87.38,0.43,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,XantPhos Pd G2,XantPhos,K3PO4,Dioxane,water,,
Suzuki,90.19,1.75,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K2CO3,PhMe,water,,
Suzuki,93.49,0.28,ArBr,alkeneB(OR)2,ArBr,alkeneB(OR)2,ArX*,RB*,SPhos Pd(crotyl)Cl,SPhos,K3PO4,iPrOH,water,,
Suzuki,90.97,0.45,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,CataCXiumA Pd(allyl)Cl,CataCXiumA,K3PO4,PhMe,water,,
Suzuki,93.01,0.8,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,dppfPdCl2,dppf,Na2CO3,PhMe,water,MeOH,
Suzuki,96.35,0.67,ArB(OH)2,ArCl,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,tAmOH,water,water,
Suzuki,95.28,1.46,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,tAmOH,water,"TBAC, TPGS-750M",
Suzuki,92.32,1.38,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dcypfPdCl2,dcypf,K3PO4,iPrOAc,water,,
Suzuki,93.73,1.61,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K2CO3,Dioxane,water,,
Suzuki,86.92,1.79,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K3PO4,Dioxane,,water,
Suzuki,90.08,0.82,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,PhMe,water,,
Suzuki,85.1,1.67,ArBF3K,ArCl,ArCl,ArBF3K,ArX*,ArB*,(CyMPhos)PdCl2,CyMPhos,Na2CO3,EtOH,water,,
