name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,,
"Chloro(1,5-cyclooctadiene)iridium(I) dimer",[Ir(cod)Cl]2,12112-67-3,C1=CCCC=CCC1.C1=CCCC=CCC1.[Ir].[Ir],C16H24Cl2Ir2,powder,,671.703,153.5,205,0,0,metal_catalyst,ir_cod_dimers,Ir(1) catalyst,,,,,
"Methoxy(1,5-cyclooctadiene)iridium(I) dimer",[Ir(OMe)(cod)]2,12148-71-9,C1=CCCC=CCC1.C1=CCCC=CCC1.CO.CO.[Ir].[Ir],C18H30Ir2O2,powder,,662.864,,154,0,0,metal_catalyst,ir_cod_dimers,Ir(1) catalyst,,,,,
DPPF,DPPF,12150-46-8,[Fe+2].c1ccc(P(c2ccccc2)c2ccc[cH-]2)cc1.c1ccc(P(c2ccccc2)c2ccc[cH-]2)cc1,C34H28FeP2,powder,,554.384,,181,0,0,ligand,bidentate_diphosphines,2 P ligand,,,,,
n-Butyl acetate,BuOAc,123-86-4,CCCCOC(C)=O,C6H12O2,liquid,0.886,116.1583,126.6,-77.9,0,0,solvent,esters_anhydrides,medium aprotic solvent,,,,,
"1,4-Dioxane",Dioxane,123-91-1,C1COCCO1,C4H8O2,liquid,1.033,88.1051,131.7,12,0,0,solvent,ethers_cyclic_glymes,medium aprotic solvent,,,,,
Octanoic acid,,124-07-2,CCCCCCCC(=O)O,C8H16O2,liquid,0.91,144.2114,239.3,16,0,0,additive,carboxylate_promoters_ch_activation,carboxylate promoters ch activation,solvent,carboxylic_acids,medium acidic solvent,,
Sodium methoxide,NaOMe,124-41-4,CO,CH3NaO,powder,0.945,54.0237,,127,0,0,base,alkoxides_primary,strong base; hindered,,,,,
MsCl,MsCl,124-63-0,CS(=O)(=O)Cl,CH3ClO2S,liquid,1.478,114.551,160.7,-33,0,0,condensation_agent,organophosphorus_chlorides_azides,strong condensation agent,,,,,
TBTU,TBTU,125700-67-6,CN(C)C(On1nnc2ccccc21)=[N+](C)C.F[B-](F)(F)F,C11H16BF4N5O,powder,,321.082,,200,0,0,condensation_agent,aminium_uronium_guanidinium,high condensation agent,,,,,
Tris(pentafluorophenyl)phosphine,P(C6F5)3,1259-35-4,Fc1c(F)c(F)c(P(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,C18F15P,powder,,532.1424,343.4,108,0,0,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
Sulfolane,Sulfolane,126-33-0,O=S1(=O)CCCC1,C4H8O2S,liquid,1.261,120.17,285.6,27.4,0,0,solvent,sulfolane,high aprotic solvent,,,,,
RockPhos,RockPhos,1262046-34-3,COc1ccc(C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C(C)(C)C)C(C)(C)C,C31H49OP,liquid,,468.6939,,,0,0,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,,
KOAc,KOAc,127-08-2,[K+].CC(=O)[O-],C2H3KO2,powder,1,98.1423,117.1,292,0,0,additive,carboxylate_promoters_ch_activation,carboxylate promoters ch activation,base,inorg_carboxylates,moderate base; non-nucleophilic,,
Tetrachloroethylene,,127-18-4,ClC(Cl)=C(Cl)Cl,C2Cl4,liquid,1.653,165.833,119.1,-22,0,0,solvent,halogenated_aliphatics,medium aprotic solvent,,,,,
"N,N-Dimethylacetamide",DMAc,127-19-5,CC(=O)N(C)C,C4H9NO,liquid,0.909,87.1204,221.4,-20,0,0,solvent,amides_dipolar_aprotic,high aprotic solvent,,,,,
Butylated hydroxytoluene,BHT,128-37-0,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,C15H24O,powder,0.927,220.3505,263.6,69,0,0,additive,radical_suppressors,radical suppressors,,,,,
PyBOP,PyBOP,128625-52-5,c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,C18H28F6N6OP2,powder,,520.3925,,160,0,0,condensation_agent,phosphonium_bt_at,high condensation agent,,,,,
"Bis(1,5-cyclooctadiene)nickel(0)",Ni(cod)2,1295-35-8,C1C[C][C]CC[C][C]1.C1C[C][C]CC[C][C]1.[Ni],C16H24Ni,powder,,266.992,153.5,60,,,metal_catalyst,ni_zero_sources,Ni(0) catalyst,,,,,
"[2-(2-Aminophenyl)phenyl]-chloro-palladium dicyclohexyl-[2-(2,4,6-triisopropylphenyl)phenyl]phosphane",XPhos Pd G2,1310584-14-5,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C.C1=CC=C([C-]=C1)C2=CC=CC=C2N.Cl[Pd+],C45H57ClNPPd,powder,,784.788,,202,,,metal_catalyst,pd_phosphine_complexes,Pd(2) catalyst,,,,,
Tri-tert-butylphosphine tetrafluoroborate,Tri-tert-butylphosphine tetrafluoroborate,131274-22-1,CC(C)(C)[PH+](C(C)(C)C)C(C)(C)C.F[B-](F)(F)F,C12H28BF4P,powder,,290.129,,261,0,0,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
PyBrOP,PyBrOP,132705-51-2,C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)Br.F[P-](F)(F)(F)(F)F,C12H24BrF6N3P2,powder,,466.181,,100,,,condensation_agent,organophosphorus_anhydrides,strong condensation agent,,,,,
Xylenes,Xylenes,1330-20-7,Cc1ccccc1C,C8H10,liquid,0.865,106.17,136,-34,0,0,solvent,hydrocarbons_aromatic,low aprotic solvent,,,,,
PyClOP,PyClOP,133894-48-1,C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)Cl.F[P-](F)(F)(F)(F)F,C12H24ClF6N3P2,powder,,421.73,,145,,,condensation_agent,organophosphorus_chlorides_azides,strong condensation agent,,,,,
Copper(II) acetylacetonate,Cu(acac)2,13395-16-9,[CH2-]C(=O)CC(C)=O.[CH2-]C(=O)CC(C)=O.[Cu+2],C10H16CuO4,powder,,263.778,160,245,0,0,metal_catalyst,cu_ii_salts,Cu(2) catalyst,,,,,
Tris(p-trifluoromethylphenyl)phosphine,P(p-CF3-Ph)3,13406-29-6,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1,C21H12F9P,powder,,466.2794,382.8,73,0,0,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
Iron pentacarbonyl,Fe(CO)5,13463-40-6,[C]=O.[C]=O.[C]=O.[C]=O.[C]=O.[Fe],C5FeO5,liquid,,195.896,,-21,0,0,metal_catalyst,fe_carbonyls,Fe(0) catalyst,,,,,
Tri-tert-butylphosphine,PtBu3,13716-12-6,CC(C)(C)P(C(C)(C)C)C(C)(C)C,C12H27P,liquid,0.82,202.3165,229.4,30,0,0,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
Tris(acetylacetonato)iron(III),Fe(acac)3,14024-18-1,CC(=O)C=C(C)[O-].CC(=O)C=C(C)[O-].CC(=O)C=C(C)[O-].[Fe+3],C15H24FeO6,powder,1,356.192,,180,0,0,metal_catalyst,fe_acac,Fe(2) catalyst,,,,,
Cobalt(II) acetylacetonate,Co(acac)2,14024-48-7,[CH2-]C(=O)CC(C)=O.[CH2-]C(=O)CC(C)=O.[Co+2],C10H14CoO4,powder,1.2,257.149,,165,0,0,metal_catalyst,co_beta_diketonates,Co(2) catalyst,,,,,
Palladium(II) acetylacetonate,Pd(acac)2,14024-61-4,CC(=O)C=C(C)[O-].CC(=O)C=C(C)[O-].[Pd+2],C10H14O4Pd,powder,,304.64,187.6,190,0,0,metal_catalyst,pd_ii_salts,Pd(2) catalyst,,,,,
Selectfluor,,140681-55-6,F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,C7H14B2ClF9N2,powder,,354.26,,260,0,0,oxidant,hypervalent_iodine,high oxidant,,,,,
Sodium formate,HCOONa,141-53-7,O=C[O-],CHNaO2,powder,1.919,68.0072,360,258,0,0,additive,carboxylate_promoters_ch_activation,carboxylate promoters ch activation,,,,,
Ethyl acetate,EtOAc,141-78-6,CCOC(C)=O,C4H8O2,liquid,0.898,88.1051,77.2,-83.5,1,0,solvent,esters_anhydrides,medium aprotic solvent,,,,,
IMes,IMes,141556-45-8,CC1=CC(=C(C(=C1)C)N2C=C[N+](=C2)C3=C(C=C(C=C3C)C)C)C.[Cl-],C21H25ClN2,powder,,340.89,,,,,ligand,nhc_imidazolylidenes,1 C(carbene) ligand,,,,,
n-Heptane,,142-82-5,CCCCCCC,C7H16,liquid,0.683,100.202,98.8,,,,solvent,hydrocarbons_aliphatic_linear,very_low aprotic solvent,,,,,
Dibutyl ether,Bu2O,142-96-1,CCCCOCCCC,C8H18O,liquid,0.78,130.2279,142.1,-95,0,0,solvent,ethers_acyclic,low aprotic solvent,,,,,
Sodium hydrogen carbonate,NaHCO3,144-55-8,O=C(O)O,NaHCO3,powder,2.159,84.0066,,270,0,0,base,inorg_carbonates_bicarbonate,moderate base; non-nucleophilic,,,,,
Chlorodicarbonylrhodium(I) dimer,[Rh(CO)2Cl]2,14523-22-9,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Rh].[Rh],C4Cl2O4Rh2,powder,,388.757,,121,0,0,metal_catalyst,rh_carbonyl_precursors,Rh(1) catalyst,,,,,
Dichloro-bis(acetonitrile)palladium(II),Pd(MeCN)2Cl2,14592-56-4,CC#N.CC#N.[Pd+2],C4H6Cl2N2Pd,powder,,259.43,,300,0,0,metal_catalyst,pd_ii_salts,Pd(2) catalyst,,,,,
Sodium 2-methylbutan-2-olate,t-PentONa,14593-46-5,CCC(C)(C)O,C5H11NaO,powder,0.8,110.13,102,,0,0,base,alkoxides_hindered,strong base; hindered,,,,,
Dicyclohexyl(cyclopentyl)phosphane;iron,PCypCy2,146960-90-9,C1CCC(P(C2CCCCC2)C2CCCC2)CC1.C1CCC(P(C2CCCCC2)C2CCCC2)CC1.[Fe],C34H52FeP2,powder,,578.569,,134,0,0,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
L-Proline,L-Proline,147-85-3,O=C(O)C1CCCN1,C5H9NO2,powder,1.186,115.1305,252.2,228,0,0,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
8-Hydroxyquinoline,,148-24-3,Oc1cccc2cccnc12,C9H7NO,powder,1.03,145.158,267,70,0,0,ligand,quinolinol_no_chelates,2 N ligand,,,,,
Methyldiphenylphosphine,PMePh2,1486-28-8,CP(C1=CC=CC=C1)C2=CC=CC=C2,C13H13P,liquid,1.076,200.216,308.1,,,,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
Dicarbonyl(acetylacetonato)rhodium(I),Rh(acac)(CO)2,14874-82-9,CC(=CC(=O)C)O.[C-]#[O+].[C-]#[O+].[Rh],C7H7O4Rh,powder,,258.034,,154,,,metal_catalyst,rh_hydroformylation_toolkit,Rh(1) catalyst,,,,,
HATU,HATU,148893-10-1,CN(C)C(n1n[n+]([O-])c2ncccc21)=[N+](C)C,C10H15F6N6OP,powder,,380.2299,,183,0,0,condensation_agent,aminium_uronium_guanidinium,high condensation agent,,,,,
Diphenylphosphoryl chloride,,1499-21-4,O=P(Cl)(c1ccccc1)c1ccccc1,C12H10ClOP,liquid,1.25,236.634,369.2,,0,0,condensation_agent,organophosphorus_chlorides_azides,high condensation agent,,,,,
Diiron nonacarbonyl,Fe2(CO)9,15321-51-4,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[CH-]=O.[CH-]=O.[CH-]=O.[Fe+3].[Fe],C9Fe2O9,liquid,,363.78,,,0,0,metal_catalyst,fe_carbonyls,Fe(0) catalyst,,,,,
PyAOP,PyAOP,156311-83-0,C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)ON4C5=C(C=CC=N5)N=N4,C17H27F6N7OP2,powder,,521.381,,163,,,condensation_agent,phosphonium_bt_at,high condensation agent,,,,,
Xantphos,XantPhos,161265-03-8,CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,C39H32OP2,powder,,578.6183,665.7,226,0,0,ligand,bidentate_diphosphines,2 P ligand,,,,,
tert-Butyl methyl ether,MTBE,1634-04-4,COC(C)(C)C,C5H12O,liquid,0.75,88.1482,55.2,-110,1,0,solvent,ethers_acyclic,low aprotic solvent,,,,,
Tetramethylfluoroformamidinium hexafluorophosphate,TFFH,164298-23-1,CN(C)C(F)=[N+](C)C,C5H12F7N2P,powder,,264.1248,,104,0,0,condensation_agent,acyl_halide_fluoride_generators,high condensation agent,,,,,
"Fluoro-N,N,N'?N'?bis(tetramethylene)formamidinium hexafluorophosphate",BTFFH,164298-25-3,C1CCN(C1)C(=[N+]2CCCC2)F.F[P-](F)(F)(F)(F)F,C9H16F7N2P,powder,,316.199,,152,,,condensation_agent,acyl_halide_fluoride_generators,high condensation agent,,,,,
"3,4,7,8-Tetramethyl-1,10-phenanthroline",tmphen,1660-93-1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,C16H16N2,powder,1.129,236.3116,435.2,277,0,0,ligand,phenanthrolines,2 N ligand,,,,,
Bathophenanthroline,batho-phen,1662-01-7,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,C24H16N2,powder,,332.4,,218,0,0,ligand,phenanthrolines,2 N ligand,,,,,
DPPE,DPPE,1663-45-2,c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,C26H24P2,powder,,398.4163,504.522,138,0,0,ligand,bidentate_diphosphines,2 P ligand,,,,,
DPEphos,DPEPhos,166330-10-5,c1ccc(P(c2ccccc2)c2ccccc2Oc2ccccc2P(c2ccccc2)c2ccccc2)cc1,C36H28OP2,powder,,538.5544,608.19,184,0,0,ligand,bidentate_diphosphines,2 P ligand,,,,,
18-Crown-6,18C6,17455-13-9,C1COCCOCCOCCOCCOCCO1,C12H24O6,powder,0.995,264.3154,395.8,36,0,0,additive,crown_ethers,crown ethers,,,,,
Tris(p-fluorophenyl)phosphine,P(p-F-Ph)3,18437-78-0,C1=CC(=CC=C1F)P(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,C18H12F3P,powder,,316.26,351.5,79,,,ligand,trialkyl_triaryl_phosphines,1 P ligand,,,,,
Lithium tert-butoxide,t-BuOLi,1907-33-1,CC(C)(C)O,C4H9LiO,powder,0.89,80.055,67,,0,0,base,alkoxides_hindered,strong base; bulky,,,,,
Bis(diphenylphosphino)methane,DPPM,2071-20-7,C1=CC=C(C=C1)P(CP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,C25H22P2,powder,,384.39,497.2,118,,,ligand,biphosphines,2 P ligand,,,,,
2-(Dicyclohexylphosphino)-2'-(dimethylamino)biphenyl,DavePhos,213697-53-1,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,C26H36NP,powder,,393.5445,539.6,116,0,0,ligand,dialkylbiaryl_phosphines,1 P ligand,,,,,
"1,2-Diaminocyclohexane, (+)-","rac-1,2-Diaminocyclohexane",21436-03-3,NC1CCCCC1N,C6H14N2,powder,,114.1888,104,39,0,0,ligand,diamines,2 N ligand,,,,,
Tris(acetylacetonato)cobalt(III),Co(acac)3,21679-46-9,CC(=O)[CH-]C(C)=O.[CH2-]C(=O)CC(C)=O.[CH2-]C(=O)CC(C)=O.[Co+3],C15H24CoO6,powder,,359.2807,,204,0,0,metal_catalyst,co_beta_diketonates,Co(2) catalyst,,,,,
