name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,,
Methyl 3-oxocyclobutane-1-carboxylate,,695-95-4,COC(=O)C1CC(=O)C1,C6H8O3,liquid,1.219,128.1259,188,,0,0,organic_compound,,,,,,,
3-Anilinopropionitrile,,1075-76-9,N#CCCNc1ccccc1,C9H10N2,powder,,146.1891,329.2,49,0,0,organic_compound,,,,,,,
1-Bromo-2-naphthaldehyde,,3378-82-3,O=Cc1ccc2ccccc2c1Br,C11H7BrO,liquid,1.552,235.077,347.3,,0,0,organic_compound,,,,,,,
N-Methylcyclohexylamine,,100-60-7,CNC1CCCCC1,C7H15N,liquid,0.868,113.2007,146.5,-8,0,0,organic_compound,,,,,,,
Indoline,,496-15-1,c1ccc2c(c1)CCN2,C8H9N,liquid,1.04,119.1638,227.2,-21,0,0,organic_compound,,,,,,,
N-Ethyl-m-toluidine,,102-27-2,CCNc1cccc(C)c1,C9H13N,liquid,0.954,135.2062,223.9,,0,0,organic_compound,,,,,,,
Diphenylamine,,122-39-4,c1ccc(Nc2ccccc2)cc1,C12H11N,powder,1.088,169.2224,302,52,0,0,organic_compound,,,,,,,
Tetracaine,,94-24-6,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,C15H24N2O2,liquid,1.044,264.3633,389.4,,0,0,organic_compound,,,,,,,
2-Fluoro-N-methylaniline,,1978-38-7,CNc1ccccc1F,C7H8FN,liquid,,125.1435,87,,0,0,organic_compound,,,,,,,
N-Methyl-m-toluidine,,696-44-6,CNc1cccc(C)c1,C8H11N,liquid,0.968,121.1796,204.7,,0,0,organic_compound,,,,,,,
N-Cyclohexylaniline,,1821-36-9,c1ccc(NC2CCCCC2)cc1,C12H17N,liquid,1.022,175.2701,292.9,,0,0,organic_compound,,,,,,,
N-Ethyl-1-naphthylamine,,118-44-5,CCNc1cccc2ccccc12,C12H13N,liquid,1.073,171.2383,308.7,,0,0,organic_compound,,,,,,,
尾-Citronellol,,106-22-9,CC(C)=CCCC(C)CCO,C10H20O,liquid,0.845,156.2652,224.5,,0,0,organic_compound,,,,,,,
4-picoline-N-oxide,,1003-67-4,Cc1cc[n+]([O-])cc1,C6H7NO,powder,1.01,109.1259,279.2,182,0,0,organic_compound,,,,,,,
2-Iodobiphenyl,,2113-51-1,Ic1ccccc1-c1ccccc1,C12H9I,liquid,1.584,280.1043,331.7,,0,0,organic_compound,,,,,,,
2-Aminobenzaldehyde,,529-23-7,Nc1ccccc1C=O,C7H7NO,powder,1.171,121.1366,258.7,38,0,0,organic_compound,,,,,,,
3-Ethynylanisole,,768-70-7,C#Cc1cccc(OC)c1,C9H8O,liquid,1.01,132.1592,204.4,,0,0,organic_compound,,,,,,,
Potassium selenocyanate,,3425-46-5,N#C[SeH],CKNSe,powder,,144.08,134.2,152,0,0,organic_compound,,,,,,,
"2,4-Dichlorophenol",,120-83-2,Oc1ccc(Cl)cc1Cl,C6H4Cl2O,powder,1.383,163.001,210,41,0,0,organic_compound,,,,,,,
o-Anisaldehyde,,135-02-4,COc1ccccc1C=O,C8H8O2,powder,1.453,136.1479,307.9,34,0,0,organic_compound,,,,,,,
(Dichloroiodo)benzene,,932-72-9,ClI(Cl)c1ccccc1,C6H5Cl2I,liquid,,274.914,,,0,0,organic_compound,,,,,,,
"1,9-Decadiyne",,1720-38-3,C#CCCCCCCC#C,C10H14,liquid,0.832,134.2182,183.7,,0,0,organic_compound,,,,,,,
Cholesterol,,57-88-5,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,C27H46O,powder,0.98,386.6535,480.6,147,0,0,organic_compound,,,,,,,
diisobutylaluminum hydride,,1191-15-7,CC(C)C.CC(C)C.[AlH3],C8H19Al,liquid,0.848,142.218,110,-70,0,0,organic_compound,,,,,,,
Styrene,,100-42-5,C=Cc1ccccc1,C8H8,liquid,0.902,104.1491,145.2,-31,0,0,organic_compound,,,,,,,
"3,6-Dihydro-2H-pyridine-1-N-Boc-4-boronic acid pinacol ester",,286961-14-6,CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1,C16H28BNO4,liquid,1.055,309.209,348.007,,0,0,organic_compound,,,,,,,
Propionaldehyde,,123-38-6,CCC=O,C3H6O,liquid,0.77,58.0791,49.3,-81,0,0,organic_compound,,,,,,,
"1,2,3,6-tetrahydrobenzaldehyde",,100-50-5,O=CC1CC=CCC1,C7H10O,liquid,1.035,110.1537,105,,0,0,organic_compound,,,,,,,
(E)-(2-nitrovinyl)benzene,,5153-67-3,O=[N+]([O-])C=Cc1ccccc1,C8H7NO2,powder,,149.1467,250,55,0,0,organic_compound,,,,,,,
Benzo[b]thiophene-2-carboxaldehyde,,3541-37-5,O=Cc1cc2ccccc2s1,C9H6OS,powder,1.3,162.208,303.2,32,0,0,organic_compound,,,,,,,
1-Iodopentane,,628-17-1,CCCCCI,C5H11I,liquid,1.524,198.0453,156.9,-86,0,0,organic_compound,,,,,,,
Ethylmagnesium bromide,,925-90-6,CC,C2H5BrMg,liquid,,133.27,,,0,0,organic_compound,,,,,,,
4-methoxyphenylmagnesium bromide,,13139-86-1,COc1ccccc1,C7H7BrMgO,liquid,1,211.339,,,0,0,organic_compound,,,,,,,
tert-Butyl nitrite,,540-80-7,CC(C)(C)ON=O,C4H9NO2,liquid,0.95,103.1198,63.5,,0,0,organic_compound,,,,,,,
N-Phenyl-bis(trifluoromethanesulfonimide),,37595-74-7,O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F,C8H5F6NO4S2,powder,1.766,357.25,305.303,100,0,0,organic_compound,,,,,,,
(Trimethylsilyl)methyllithium,,1822-00-0,C[Si](C)(C)C,C4H11LiSi,liquid,,94.157,,,0,0,organic_compound,,,,,,,
"2-Methyl-3-(3,4-methylenedioxyphenyl)-propanal",,1205-17-0,CC(C=O)Cc1ccc2c(c1)OCO2,C11H12O3,liquid,1.171,192.2112,286,,0,0,organic_compound,,,,,,,
Benzophenone hydrazone,,5350-57-2,NN=C(c1ccccc1)c1ccccc1,C13H12N2,powder,1.538,196.2478,225,95,0,0,organic_compound,,,,,,,
Indole-3-carboxaldehyde,,487-89-8,O=Cc1c[nH]c2ccccc12,C9H7NO,powder,1.278,145.158,339.1,193,0,0,organic_compound,,,,,,,
Glyoxal dimethyl acetal,,51673-84-8,COC(C=O)OC,C4H8O3,liquid,0.991,104.1045,63.9,,0,0,organic_compound,,,,,,,
"Methyllithium, 1.6 M sol. in diethyl ether",,917-54-4,C,CH3Li,liquid,,21.976,35,,0,0,organic_compound,,,,,,,
4-methylbenzaldehyde,,104-87-0,Cc1ccc(C=O)cc1,C8H8O,liquid,1.023,120.1485,204.5,-6,0,0,organic_compound,,,,,,,
Cyclobutanone,,1191-95-3,O=C1CCC1,C4H6O,liquid,1.038,70.0898,96.5,-50.9,0,0,organic_compound,,,,,,,
Iodocyclohexane,,626-62-0,IC1CCCCC1,C6H11I,liquid,1.62,210.056,190.3,,0,0,organic_compound,,,,,,,
L(-)-Carvone,,6485-40-1,C=C(C)C1C=CC(C)C(=O)C1,C10H14O,liquid,0.958,150.22,227,,0,0,organic_compound,,,,,,,
Triisobutylaluminum,,100-99-2,[Al+3].[CH2-]C(C)C.[CH2-]C(C)C.[CH2-]C(C)C,C12H27Al,liquid,0.786,198.3243,86,4,0,0,organic_compound,,,,,,,
Borane-tetrahydrofuran complex,,14044-65-6,C1CCOC1.[B],C4H8BO,liquid,0.898,82.917,68.3,,0,0,organic_compound,,,,,,,
"1,3-Benzodioxole",,274-09-9,c1ccc2c(c1)OCO2,C7H6O2,liquid,1.214,122.1213,148.365,-18,0,0,organic_compound,,,,,,,
Nitrosobenzene,,586-96-9,O=Nc1ccccc1,C6H5NO,powder,1.04,107.11,163.3,65,0,0,organic_compound,,,,,,,
3-Ethynylaniline,,54060-30-9,C#Cc1cccc(N)c1,C8H7N,liquid,1.05,117.1479,240.5,,0,0,organic_compound,,,,,,,
5-Nonanone,,502-56-7,CCCCC(=O)CCCC,C9H18O,liquid,0.816,142.2386,190,-50,0,0,organic_compound,,,,,,,
Cyclopropyldiphenylcarbinol,,5785-66-0,OC(c1ccccc1)(c1ccccc1)C1CC1,C16H16O,powder,1.16,224.2976,419,82,0,0,organic_compound,,,,,,,
tert-Butyl disulfide,,110-06-5,CC(C)(C)SSC(C)(C)C,C8H18S2,liquid,0.945,178.359,200.5,-5,0,0,organic_compound,,,,,,,
4-Aminostyrene,,1520-21-4,C=Cc1ccc(N)cc1,C8H9N,liquid,1.012,119.1638,238.8,,0,0,organic_compound,,,,,,,
Triphenylphosphine Borane,,2049-55-0,[B].c1ccc(P(c2ccccc2)c2ccccc2)cc1,C18H15BP,liquid,,273.096,360,,0,0,organic_compound,,,,,,,
Diethyl (bromodifluoromethyl)phosphonate,,65094-22-6,CCOP(=O)(OCC)C(F)(F)Br,C5H10BrF2O3P,liquid,1.551,267.006,195.7,,0,0,organic_compound,,,,,,,
5-bromo-2-fluorophenol,,112204-58-7,Oc1cc(Br)ccc1F,C6H4BrFO,liquid,1.788,190.998,212.1,,0,0,organic_compound,,,,,,,
"3,3-dimethyl-1-(trifluoromethyl)-1''3,2-benziodaoxole",,887144-97-0,CC1(C)OI(C(F)(F)F)c2ccccc21,C10H10F3IO,powder,,330.0855,,75,0,0,organic_compound,,,,,,,
Dimethyl dicarbonate,,4525-33-1,COC(=O)OC(=O)OC,C4H6O5,liquid,1.242,134.0874,171.4,15,0,0,organic_compound,,,,,,,
3-Fluorobenzaldehyde,,456-48-4,O=Cc1cccc(F)c1,C7H5FO,liquid,1.178,124.1124,173.2,,0,0,organic_compound,,,,,,,
"2,6-dibromopyridine 1-oxide",,25373-69-7,[O-][n+]1c(Br)cccc1Br,C5H3Br2NO,liquid,2.15,252.891,387.1,,0,0,organic_compound,,,,,,,
4-Fluorophenol,,371-41-5,Oc1ccc(F)cc1,C6H5FO,powder,1.217,112.1017,183.3,44,0,0,organic_compound,,,,,,,
o-Toluoyl chloride,,933-88-0,Cc1ccccc1C(=O)Cl,C8H7ClO,liquid,1.185,154.594,88,,0,0,organic_compound,,,,,,,
1-Bromo-2-butyne,,3355-28-0,CC#CCBr,C4H5Br,liquid,1.46,132.987,124.7,,0,0,organic_compound,,,,,,,
tert-Butyldimethylsilyl chloride,,18162-48-6,CC(C)(C)[Si](C)(C)Cl,C6H15ClSi,powder,0.81,150.722,130.035,85,0,0,organic_compound,,,,,,,
"2,3,4,6-Tetra-O-benzyl-D-glucopyranose",,4132-28-9,OC1OC(COCc2ccccc2)C(OCc2ccccc2)C(OCc2ccccc2)C1OCc1ccccc1,C34H36O6,powder,1.222,540.646,672.378,145,0,0,organic_compound,,,,,,,
5-bromo-1-benzothiophene,,4923-87-9,Brc1ccc2sccc2c1,C8H5BrS,powder,1.649,213.094,284.7,46,0,0,organic_compound,,,,,,,
4-(Trifluoromethyl)benzaldehyde,,455-19-6,O=Cc1ccc(C(F)(F)F)cc1,C8H5F3O,liquid,1.293,174.1199,176.4,,0,0,organic_compound,,,,,,,
Trimethylsilyl trifluoromethanesulfonate,,27607-77-8,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,C4H9F3O3SSi,liquid,1.793,222.258,434.7,,0,0,organic_compound,,,,,,,
Allyltrimethylsilane,,762-72-1,C=CC[Si](C)(C)C,C6H14Si,liquid,0.721,114.2609,84.9,,0,0,organic_compound,,,,,,,
p-Cresol,,106-44-5,Cc1ccc(O)cc1,C7H8O,powder,1.038,108.1378,202.279,32,0,0,organic_compound,,,,,,,
1-Bromo-3-methyl-2-butene,,870-63-3,CC(C)=CCBr,C5H9Br,liquid,1.266,149.029,132.6,,0,0,organic_compound,,,,,,,
Indene,,95-13-6,C1=Cc2ccccc2C1,C9H8,liquid,1.038,116.1598,181.6,-5,0,0,organic_compound,,,,,,,
Methyl Benzoylformate,,15206-55-0,COC(=O)C(=O)c1ccccc1,C9H8O3,liquid,1.164,164.158,247,,0,0,organic_compound,,,,,,,
Difurfuryl disulfide,,4437-20-1,c1coc(CSSCc2ccco2)c1,C10H10O2S2,liquid,1.282,226.315,324.5,10,0,0,organic_compound,,,,,,,
2-Methyl-3-buten-2-ol,,115-18-4,C=CC(C)(C)O,C5H10O,liquid,0.844,86.1323,114.1,-43,0,0,organic_compound,,,,,,,
4-Chloro-1-butanol,,928-51-8,OCCCCCl,C4H9ClO,liquid,1.049,108.567,178.5,,0,0,organic_compound,,,,,,,
3-Aminopropyltriethoxysilane,,919-30-2,CCO[Si](CCCN)(OCC)OCC,C9H23NO3Si,liquid,0.939,221.3693,222.1,-70,0,0,organic_compound,,,,,,,
4-Biphenylboronic acid,,5122-94-1,OB(O)c1ccc(-c2ccccc2)cc1,C12H11BO2,powder,1.18,198.026,385.5,232,0,0,organic_compound,,,,,,,
4-Phenyl-1-butene,,768-56-9,C=CCCc1ccccc1,C10H12,liquid,0.879,132.2023,176.7,,0,0,organic_compound,,,,,,,
4-(Hydroxymethyl)phenylboronic acid,,59016-93-2,OCc1ccc(B(O)O)cc1,C7H9BO3,powder,1.258,151.956,362.021,287,0,0,organic_compound,,,,,,,
1-Iodobutane,,542-69-8,CCCCI,C4H9I,liquid,1.622,184.0187,130.9,-103,0,0,organic_compound,,,,,,,
Naphthalene-2-boronic acid,,32316-92-0,OB(O)c1ccc2ccccc2c1,C10H9BO2,powder,1.21,171.988,381.9,269,0,0,organic_compound,,,,,,,
Pyridinium chlorochromate,,26299-14-9,[Cr+6].c1ccncc1,C5H6ClCrNO3,powder,,215.555,,205,0,0,metal_catalyst,,,,,,,
4-(2-Pyridyl)benzaldehyde,,127406-56-8,O=Cc1ccc(-c2ccccn2)cc1,C12H9NO,powder,1.147,183.206,340.4,51,0,0,organic_compound,,,,,,,
4'-Iodoacetophenone,,13329-40-3,CC(=O)c1ccc(I)cc1,C8H7IO,powder,1.72,246.045,279.9,82,0,0,organic_compound,,,,,,,
2-chloropyrimidine,,1722-12-9,Clc1ncccn1,C4H3ClN2,powder,1.303,114.533,199.2,66,0,0,organic_compound,,,,,,,
5-norbornene-2-carboxaldehyde,,5453-80-5,O=CC1CC2C=CC1C2,C8H10O,liquid,1.162,122.1644,182.2,,0,0,organic_compound,,,,,,,
Phenylhydrazine,,100-63-0,NNc1ccccc1,C6H8N2,liquid,1.099,108.1411,238,19,0,0,organic_compound,,,,,,,
Methyl 2-Octynoate,,111-12-6,CCCCCC#CC(=O)OC,C9H14O2,liquid,0.94,154.2063,218.5,,0,0,organic_compound,,,,,,,
4-Fluorobenzaldehyde,,459-57-4,O=Cc1ccc(F)cc1,C7H5FO,liquid,1.072,124.1124,157.7,-10,0,0,organic_compound,,,,,,,
1-Iodopropane,,107-08-4,CCCI,C3H7I,liquid,1.754,169.9922,102.9,-101,0,0,organic_compound,,,,,,,
"1,3-diphenyl-2-propyn-1-ol",,1817-49-8,OC(C#Cc1ccccc1)c1ccccc1,C15H12O,liquid,1.14,208.2552,364.7,,0,0,organic_compound,,,,,,,
3-methyl-1-pentyn-3-ol,,77-75-8,C#CC(C)(O)CC,C6H10O,liquid,0.901,98.143,120.5,-30,0,0,organic_compound,,,,,,,
2-Aminopyridine,,504-29-0,Nc1ccccn1,C5H6N2,powder,,94.1145,210.6,59,0,0,organic_compound,,,,,,,
N-Methylaniline,,100-61-8,CNc1ccccc1,C7H9N,liquid,0.992,107.1531,200.4,-57,0,0,organic_compound,,,,,,,
o-Phenylenediamine,,95-54-5,Nc1ccccc1N,C6H8N2,powder,1.15,108.1411,257,101,0,0,organic_compound,,,,,,,
N-Methyliminodiacetic acid,,4408-64-4,CN(CC(=O)O)CC(=O)O,C5H9NO4,powder,,147.1293,332.8,218,0,0,organic_compound,,,,,,,
"1,2-Dicyanobenzene",,91-15-6,N#Cc1ccccc1C#N,C8H4N2,powder,1.16,128.1308,304.6,138,0,0,organic_compound,,,,,,,
DL-2-phenyl-3-butyn-2-ol,,127-66-2,C#CC(C)(O)c1ccccc1,C10H10O,powder,1.064,146.1858,217.5,46,0,0,organic_compound,,,,,,,
Di-tert-butyl dicarbonate,,24424-99-5,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,C10H18O5,liquid,0.932,218.2469,185.342,22,0,0,organic_compound,,,,,,,
Pyridine borane,,110-51-0,[BH3-][n+]1ccccc1,C5H8BN,liquid,0.92,92.935,115.3,10,0,0,organic_compound,,,,,,,
Pyrazole,,288-13-1,c1cn[nH]c1,C3H4N2,powder,1.116,68.0773,187,66,0,0,organic_compound,,,,,,,
Tryptophol,,526-55-6,OCCc1c[nH]c2ccccc12,C10H11NO,powder,1.219,161.2004,357.8,57,0,0,organic_compound,,,,,,,
4-bromoindole,,52488-36-5,Brc1cccc2[nH]ccc12,C8H6BrN,liquid,1.77,196.044,336.4,17,0,0,organic_compound,,,,,,,
3-Hydroxyphenylacetylene,,10401-11-3,C#Cc1cccc(O)c1,C8H6O,liquid,1.12,118.1326,230.9,,0,0,organic_compound,,,,,,,
1-Heptyne,,628-71-7,C#CCCCCC,C7H12,liquid,0.752,96.1702,99.7,-81,0,0,organic_compound,,,,,,,
5-Hexynoic Acid,,53293-00-8,C#CCCCC(=O)O,C6H8O2,liquid,,112.1265,220.6,,0,0,organic_compound,,,,,,,
Cyclopropanecarboxaldehyde,,1489-69-6,O=CC1CC1,C4H6O,liquid,1.171,70.0898,99.5,,0,0,organic_compound,,,,,,,
azidotrimethylsilane,,4648-54-8,C[Si](C)(C)N=[N+]=[N-],C3H9N3Si,liquid,0.876,115.2092,95,-95,0,0,organic_compound,,,,,,,
Cyclohexanecarboxaldehyde,,2043-61-0,O=CC1CCCCC1,C7H12O,liquid,0.992,112.1696,159.5,,0,0,organic_compound,,,,,,,
Methyl 4-Formylbenzoate,,1571-08-0,COC(=O)c1ccc(C=O)cc1,C9H8O3,powder,,164.158,336.4,60,0,0,organic_compound,,,,,,,
Phenyl isocyanate,,103-71-9,O=C=Nc1ccccc1,C7H5NO,liquid,1,119.1207,163,-31.3,0,0,organic_compound,,,,,,,
"2,6-dichloropyridine 1-oxide",,2587-00-0,[O-][n+]1c(Cl)cccc1Cl,C5H3Cl2NO,liquid,,163.989,,,0,0,organic_compound,,,,,,,
9-Borabicyclo[3.3.1]nonane dimer,,21205-91-4,C1CC2CCCC(C1)B2B1C2CCCC1CCC2,C16H28B2,powder,,242.016,365.8,150,0,0,organic_compound,,,,,,,
"3,5-Difluorophenylboronic acid",,156545-07-2,OB(O)c1cc(F)cc(F)c1,C6H5BF2O2,powder,1.32,157.911,417.3,210,0,0,organic_compound,,,,,,,
2-Bromobenzaldehyde,,6630-33-7,O=Cc1ccccc1Br,C7H5BrO,liquid,1.41,185.018,522.3,21,0,0,organic_compound,,,,,,,
4-Cyanobenzenesulfonyl chloride,,49584-26-1,N#Cc1ccc(S(=O)(=O)Cl)cc1,C7H4ClNO2S,powder,1.535,201.63,333.855,107,0,0,organic_compound,,,,,,,
Methyl Benzoate,,93-58-3,COC(=O)c1ccccc1,C8H8O2,liquid,1.069,136.1479,199.5,-12,0,0,organic_compound,,,,,,,
oxo(diphenoxy)phosphanium,,4712-55-4,O=[PH](Oc1ccccc1)Oc1ccccc1,C12H10O3P,liquid,,233.1792,348.233,12,0,0,organic_compound,,,,,,,
4-Bromobenzenesulfonyl chloride,BrsCl,98-58-8,O=S(=O)(Cl)c1ccc(Br)cc1,C6H4BrClO2S,powder,1.795,255.517,287.2,74,0,0,organic_compound,,,,,,,
4-Nitroindole,,4769-97-5,O=[N+]([O-])c1cccc2[nH]ccc12,C8H6N2O2,powder,1.425,162.1454,362.6,203,0,0,organic_compound,,,,,,,
1-Naphthylacetic acid,,86-87-3,O=C(O)Cc1cccc2ccccc12,C12H10O2,powder,,186.2066,373.2,126,0,0,organic_compound,,,,,,,
"1,5,6,7-Tetrahydro-4H-indol-4-one",,13754-86-4,O=C1CCCc2[nH]ccc21,C8H9NO,powder,1.216,135.1632,310.6,188,0,0,organic_compound,,,,,,,
4-(Trifluoromethyl)benzenesulfonyl chloride,,2991-42-6,O=S(=O)(Cl)c1ccc(C(F)(F)F)cc1,C7H4ClF3O2S,liquid,,244.619,76,30,0,0,organic_compound,,,,,,,
4-Methylindole,,16096-32-5,Cc1cccc2[nH]ccc12,C9H9N,liquid,1.11,131.1745,267.8,5,0,0,organic_compound,,,,,,,
1-Propanesulfonyl Chloride,,10147-36-1,CCCS(=O)(=O)Cl,C3H7ClO2S,liquid,1.29,142.604,192.6,,0,0,organic_compound,,,,,,,
5-Fluoroindole,,399-52-0,Fc1ccc2[nH]ccc2c1,C8H6FN,powder,,135.1383,,44,0,0,organic_compound,,,,,,,
5-Methylindole,,614-96-0,Cc1ccc2[nH]ccc2c1,C9H9N,powder,1.11,131.1745,269,58,0,0,organic_compound,,,,,,,
4-Chloroindole,,25235-85-2,Clc1cccc2[nH]ccc12,C8H6ClN,liquid,1.331,151.593,293,,0,0,organic_compound,,,,,,,
benzoin,,119-53-9,O=C(c1ccccc1)C(O)c1ccccc1,C14H12O2,powder,1.179,212.2439,343,134,0,0,organic_compound,,,,,,,
"3,4-Dichlorobenzenesulfonyl Chloride",,98-31-7,O=S(=O)(Cl)c1ccc(Cl)c(Cl)c1,C6H3Cl3O2S,liquid,1.636,245.511,315,,0,0,organic_compound,,,,,,,
"2,3-Dibromopropionyl Chloride",,18791-02-1,O=C(Cl)C(Br)CBr,C3H3Br2ClO,liquid,2.209,250.316,192,,0,0,organic_compound,,,,,,,
4-Fluoroiodobenzene,,352-34-1,Fc1ccc(I)cc1,C6H4FI,liquid,1.351,221.9988,609.9,-20,0,0,organic_compound,,,,,,,
Benzenesulfonyl Hydrazide,,80-17-1,NNS(=O)(=O)c1ccccc1,C6H8N2O2S,powder,1.353,172.205,333.5,100,0,0,organic_compound,,,,,,,
4-Bromobiphenyl,,92-66-0,Brc1ccc(-c2ccccc2)cc1,C12H9Br,powder,0.9327,233.104,310,89,0,0,organic_compound,,,,,,,
2-Ethylbenzoic acid-in-Tol-10%,,612-19-1,CCc1ccccc1C(=O)O,,liquid,1,,,,0,0,organic_compound,,,,,,,
Meldrum's acid,,2033-24-1,CC1(C)OC(=O)CC(=O)O1,C6H8O4,powder,1.569,144.1253,324.6,92,0,0,organic_compound,,,,,,,
1-ethoxy-4-(2-P-tolylethynyl)benzene,,116903-46-9,CCOc1ccc(C#Cc2ccc(C)cc2)cc1,C17H16O,liquid,1.06,236.3083,365.6,,0,0,organic_compound,,,,,,,
Biphenyl-4-sulphonyl chloride,,1623-93-4,O=S(=O)(Cl)c1ccc(-c2ccccc2)cc1,C12H9ClO2S,liquid,1.32,252.717,375.3,,0,0,organic_compound,,,,,,,
Hexamethylenetetramine,,100-97-0,C1N2CN3CN1CN(C2)C3,C6H12N4,powder,1.331,140.1863,252.7,280,0,0,organic_compound,,,,,,,
Methyl (R)-(-)-mandelate,,20698-91-3,COC(=O)C(O)c1ccccc1,C9H10O3,powder,1.182,166.1739,258.1,54,0,0,organic_compound,,,,,,,
"2,2,2-Trifluoroacetophenone",,434-45-7,O=C(c1ccccc1)C(F)(F)F,C8H5F3O,liquid,1.169,174.1199,167.1,-40,0,0,organic_compound,,,,,,,
N-Chlorosuccinimide,,128-09-6,Oc1ccc(O)n1Cl,C4H4ClNO2,powder,1.5,133.533,200.5,144,0,0,organic_compound,,,,,,,
3-Methylbenzylamine,,100-81-2,Cc1cccc(CN)c1,C8H11N,liquid,0.966,121.1796,200.2,,0,0,organic_compound,,,,,,,
p-Anisidine-Tol-10%,,104-94-9,COc1ccc(N)cc1,C7H9NO,liquid,1.06,123.15,240,56,0,0,organic_compound,,,,,,,
2-Bromobenzyl bromide,,3433-80-5,BrCc1ccccc1Br,C7H6Br2,liquid,1.849,249.931,253,29,0,0,organic_compound,,,,,,,
Diethyl phosphite,,762-04-9,CCO[P+](=O)OCC,C4H11O3P,liquid,1.072,138.1021,204.072,-70,0,0,organic_compound,,,,,,,
dimethyl hydrogen phosphite,,868-85-9,CO[PH](=O)OC,C2H7O3P,liquid,1.2,110.0489,310.148,,0,0,organic_compound,,,,,,,
"1,2-Bis(diphenylphosphino)ethane nickel(II) chloride",,14647-23-5,[Ni+2].c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,C26H24Cl2NiP2,powder,,528.016,514.8,263,0,0,metal_catalyst,,,,,,,
Tetra-n-butylammonium trifluoromethanesulfonate,,35895-70-6,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])C(F)(F)F,C17H36F3NO3S,powder,,391.533,,112,0,0,organic_compound,,,,,,,
tert-Butylamine,,75-64-9,CC(C)(C)N,C4H11N,liquid,0.696,73.1368,44.4,-67,0,0,organic_compound,,,,,,,
o-Toluic acid,,118-90-1,Cc1ccccc1C(=O)O,C8H8O2,powder,1.062,136.1479,260.9,103,0,0,organic_compound,,,,,,,
4-Iodophenylboronic acid,,5122-99-6,OB(O)c1ccc(I)cc1,C6H6BIO2,powder,1.95,247.826,333.1,322,0,0,organic_compound,,,,,,,
4-Bromophenylboronic acid,,5467-74-3,OB(O)c1ccc(Br)cc1,C6H6BBrO2,powder,1.67,200.826,315,280,0,0,organic_compound,,,,,,,
2-Iodoaniline,,615-43-0,Nc1ccccc1I,C6H6IN,powder,1.924,219.023,262,53,0,0,organic_compound,,,,,,,
3-Chloro-2-methylpropene,,563-47-3,C=C(C)CCl,C4H7Cl,liquid,0.897,90.551,72.5,-80,0,0,organic_compound,,,,,,,
p-nitrocinnamic acid,,619-89-6,O=C(O)C=Cc1ccc([N+](=O)[O-])cc1,C9H7NO4,powder,1.411,193.1562,346.04,289,0,0,organic_compound,,,,,,,
(E)-o-hydroxycinnamic acid,,614-60-8,O=C(O)C=Cc1ccccc1O,C9H8O3,powder,1.329,164.158,348,217,0,0,organic_compound,,,,,,,
cinnamamide,,621-79-4,NC(=O)C=Cc1ccccc1,C9H9NO,powder,1.121,147.1739,350.3,146,0,0,organic_compound,,,,,,,
"3,4-Dichlorobenzaldehyde",,6287-38-3,O=Cc1ccc(Cl)c(Cl)c1,C7H4Cl2O,powder,1.4,175.012,248.8,40,0,0,organic_compound,,,,,,,
3-(4-Nitrophenyl)propanoic acid,,16642-79-8,O=C(O)CCc1ccc([N+](=O)[O-])cc1,C9H9NO4,liquid,1.343,195.1721,382.7,,0,0,organic_compound,,,,,,,
o-Tolyhdrazine hydrochloride,,635-26-7,Cc1ccccc1NN,C7H11ClN2,powder,,158.629,227.7,190,0,0,organic_compound,,,,,,,
Anthraquinone,,84-65-1,O=C1c2ccccc2C(=O)c2ccccc21,C14H8O2,powder,1.308,208.2121,377,284,0,0,organic_compound,,,,,,,
3-(4-Methoxyphenyl)propionic acid,,1929-29-9,COc1ccc(CCC(=O)O)cc1,C10H12O3,powder,,180.2005,318.5,99,0,0,organic_compound,,,,,,,
7-Hydroxycoumarin,,93-35-6,O=c1ccc2ccc(O)cc2o1,C9H6O3,powder,1.403,162.1421,382.1,228,0,0,organic_compound,,,,,,,
"6,11-Dihydrodibenzo[b,e]thiepin-11-one",,1531-77-7,O=C1c2ccccc2CSc2ccccc21,C14H10OS,powder,1.258,226.294,405.4,86,0,0,organic_compound,,,,,,,
Triphenylamine,,603-34-9,c1ccc(N(c2ccccc2)c2ccccc2)cc1,C18H15N,powder,,245.3184,365,125,0,0,organic_compound,,,,,,,
4-Chlorocinnamic acid,,1615-02-7,O=C(O)C=Cc1ccc(Cl)cc1,C9H7ClO2,powder,,182.604,325.3,246,0,0,organic_compound,,,,,,,
