name,smiles,motif_count,motifs,alt_motifs,error
5-Bromoindole,Brc1ccc2[nH]ccc2c1,3,Ar-Br / AromN-H / Indole,Ar-X / Pyrrole,
2-Bromobenzothiazole,Brc1nc2ccccc2s1,2,Ar-Br / Thiazole,Ar-X,
2-Iodobenzoxazole,Ic1nc2ccccc2o1,2,Ar-I / Oxazole,Ar-X,
3-Bromoquinoline,Brc1ccnc2ccccc12,2,Ar-Br / Quinoline,Ar-X,
3-Bromoquinoxaline,Brc1cnc2ccccc2n1,2,Ar-Br / Pyrimidine,Ar-X,
"2,5-Dichloropyridine",Clc1ccc(Cl)nc1,3,Ar-Cl / Ar-Cl / Pyridine,Ar-X / Ar-X,
Phenyl triflate,c1ccc(OS(=O)(=O)C(F)(F)F)cc1,1,Ar-OTf,Ar-OMs / Ar-OSO2R / Alkyl-F / Alkyl-X,
4-Methoxyphenyl triflate,COc1ccc(OS(=O)(=O)C(F)(F)F)cc1,2,Ar-OTf / Ar-OR,Ar-OMs / Ar-OSO2R / Alkyl-F / Alkyl-X / CH3-OR / Alkyl-OR,
Phenyl tosylate,c1ccc(OS(=O)(=O)c2ccc(C)cc2)cc1,1,Ar-OTs,Ar-OSO2R / Ar-R,
Phenyl mesylate,c1ccc(OS(=O)(=O)C)cc1,4,Ar-OMs / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Ar-OSO2R / Alkyl-H / Alkyl-H / Alkyl-H,
4-Cyanophenyl triflate,N#Cc1ccc(OS(=O)(=O)C(F)(F)F)cc1,2,Ar-OTf / Ar-CN,Ar-OMs / Ar-OSO2R / Alkyl-F / Alkyl-X,
Vinyl bromide,C=CBr,1,Alkenyl-Br,Any-Dienophile / Motif-C=C,
Vinyl chloride,C=CCl,1,Alkenyl-Cl,Any-Dienophile / Motif-C=C,
Vinyl iodide,C=CI,1,Alkenyl-I,Any-Dienophile / Motif-C=C,
(E)-1-Bromopropene,C/C=C/Br,2,Alkenyl-Br / Alkyl-C=C,Any-Dienophile / Motif-C=C,
2-Bromopropene,C=C(Br)C,2,Alkenyl-Br / Alkyl-C=C,Any-Dienophile / Motif-C=C,
α-Bromostyrene,BrC(=C)c1ccccc1,2,Alkenyl-Br / Ar-C=C,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
Ethyl bromide,CCBr,1,RCH2-Br,Alkyl-Br / RCH2-X / Alkyl-X,
Ethyl chloride,CCCl,1,RCH2-Cl,Alkyl-Cl / RCH2-X / Alkyl-X,
Ethyl iodide,CCI,1,RCH2-I,Alkyl-I / RCH2-X / Alkyl-X,
Isopropyl bromide,CC(C)Br,1,R2CH-Br,Alkyl-Br / R2CH-X / Alkyl-X,
tert-Butyl bromide,CC(C)(C)Br,1,R3C-Br,Alkyl-Br / R3C-X / Alkyl-X,
Benzyl bromide,BrCc1ccccc1,2,Ar-R / Bn-Br,RCH2-Br / Alkyl-Br / RCH2-X / Alkyl-X,
2-Phenylethyl bromide,C(Br)Cc1ccccc1,2,Ar-R / RCH2-Br,Alkyl-Br / RCH2-X / Alkyl-X,
4-Bromo-1-butene,C=CCCBr,2,Alkyl-C=CH2 / RCH2-Br,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-Br / RCH2-X / Alkyl-X,
3-Bromo-2-methylpropene (allylic),C=C(C)CBr,2,Alkyl-C=C / RCH2-Br,Alkyl-Br / RCH2-X / Alkyl-X,
Neopentyl bromide,CC(C)(C)CBr,1,RCH2-Br,Alkyl-Br / RCH2-X / Alkyl-X,
Phenylboronic acid,c1ccc(B(O)O)cc1,1,Ar-B(OH)2,,
4-Methoxyphenylboronic acid,COc1ccc(B(O)O)cc1,2,Ar-B(OH)2 / Ar-OR,CH3-OR / Alkyl-OR,
4-Cyanophenylboronic acid,N#Cc1ccc(B(O)O)cc1,2,Ar-B(OH)2 / Ar-CN,,
Phenylboronic acid pinacol ester,c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,1,Ar-Bpin,Ar-B(OR)2,
Potassium phenyltrifluoroborate,c1ccc([B-](F)(F)F)cc1.[K+],1,Ar-BF3K,,
Vinylboronic acid,C=CB(O)O,1,Alkenyl-B(OH)2,Any-Dienophile / Motif-C=C,
(E)-Propenylboronic acid,C/C=C/B(O)O,2,Alkenyl-B(OH)2 / Alkyl-C=C,Any-Dienophile / Motif-C=C,
Ethylboronic acid,CCB(O)O,1,RCH2-B(OH)2,Alkyl-B(OH)2,
Pyridine-4-boronic acid,c1ccncc1B(O)O,2,Ar-B(OH)2 / Pyridine,,
Furan-2-boronic acid,c1coc(B(O)O)c1,2,Ar-B(OH)2 / Furan,,
Thiophene-2-boronic acid,c1csc(B(O)O)c1,2,Ar-B(OH)2 / Thiophene,,
Aniline,c1ccc(N)cc1,1,Ar-NH2,,
Ethylamine,CCN,1,RCH2-NH2,Alkyl-NH2,
Isopropylamine,CC(C)N,1,R2CH-NH2,Alkyl-NH2,
tert-Butylamine,CC(C)(C)N,1,R3C-NH2,Alkyl-NH2,
N-Methylethylamine,CCNC,2,RCH2-NHR / CH3-NHR,Alkyl-NHR / Alkyl-NHR,
N-Methylaniline,c1ccc(NC)cc1,2,Ar-NHR / CH3-NHR,Alkyl-NHR,
"N,N-Dimethylaniline",c1ccc(N(C)C)cc1,2,Ar-NR2 / CH3-NR2,Alkyl-NR2,
4-Methoxyaniline,COc1ccc(N)cc1,2,Ar-OR / Ar-NH2,CH3-OR / Alkyl-OR,
4-Aminobenzonitrile,N#Cc1ccc(N)cc1,2,Ar-CN / Ar-NH2,,
4-Aminopyridine,Nc1ccncc1,2,Ar-NH2 / Pyridine,,
Indole,c1ccc2[nH]ccc2c1,2,AromN-H / Indole,Pyrrole,
3-Aminopyrrole,c1c[nH]c(N)c1,3,Ar-NH2 / AromN-H / Pyrrole,,
2-Methylaniline,Nc1ccccc1C,2,Ar-NH2 / Ar-R,,
"3,5-Dimethylaniline",Nc1cc(C)cc(C)c1,3,Ar-NH2 / Ar-R / Ar-R,,
Benzylamine,NCc1ccccc1,2,Ar-R / Bn-NH2,RCH2-NH2 / Alkyl-NH2,
Phenol,c1ccc(O)cc1,1,Ar-OH,,
Ethanol,CCO,1,RCH2-OH,Alkyl-OH,
Isopropanol,CC(C)O,1,R2CH-OH,Alkyl-OH,
tert-Butanol,CC(C)(C)O,1,R3C-OH,Alkyl-OH,
4-Methoxyphenol,COc1ccc(O)cc1,2,Ar-OR / Ar-OH,CH3-OR / Alkyl-OR,
4-Hydroxybenzonitrile,N#Cc1ccc(O)cc1,2,Ar-CN / Ar-OH,,
Benzyl alcohol,OCc1ccccc1,2,Ar-R / Bn-OH,RCH2-OH / Alkyl-OH,
4-Hydroxypyridine,Oc1ccncc1,2,Ar-OH / Pyridine,,
Thiophenol,c1ccc(S)cc1,1,Ar-SH,,
Ethanethiol,CCS,1,RCH2-SH,Alkyl-SH,
2-Propanethiol,CC(C)S,1,R2CH-SH,Alkyl-SH,
Thioanisole,CSc1ccccc1,1,Ar-SR,CH3-SR / Alkyl-SR,
Acetylene,C#C,1,Alkynyl-H,Any-C#C,
Phenylacetylene,C#Cc1ccccc1,1,Ar-C#CH,Ar-C#C / Alkynyl-H / Any-C#C,
"3,3-Dimethylbut-1-yne",C#CC(C)(C)C,1,Alkyl-C#CH,Alkynyl-H / Alkyl-C#C / Any-C#C,
Trimethylsilylacetylene,C#C[Si](C)(C)C,2,Alkynyl-Si / Alkyl-Si,Any-C#C,
Methyl propargyl ether,C#CCOC,4,Alkyl-C#CH / Propargyl-H / Propargyl-H / RCH2-OR,Alkynyl-H / Alkyl-C#C / Any-C#C / Alkyl-H / Alkyl-H / CH3-OR / Alkyl-OR,
4-Ethynylpyridine,C#Cc1ccncc1,2,Ar-C#CH / Pyridine,Ar-C#C / Alkynyl-H / Any-C#C,
Phenylmagnesium bromide,[Mg]Brc1ccccc1,1,Ar-Br,Ar-X,
Ethylmagnesium bromide,CC[Mg]Br,1,RCH2-Mg,Alkyl-Mg / Alkyl-M,
Phenylzinc chloride,Cl[Zn]c1ccccc1,1,Ar-Zn*,,
Ethylzinc bromide,CC[Zn]Br,1,RCH2-Zn,Alkyl-Zn / Alkyl-M,
Phenyltrimethylstannane,c1ccc([Sn](C)(C)C)cc1,2,Ar-Sn* / Alkyl-Sn,,
Vinyltrimethylstannane,C=C[Sn](C)(C)C,2,Alkenyl-Sn / Alkyl-Sn,Any-Dienophile / Motif-C=C,
4-Bromophenylboronic acid,Brc1ccc(B(O)O)cc1,2,Ar-B(OH)2 / Ar-Br,Ar-X,
4-Bromoaniline,Brc1ccc(N)cc1,2,Ar-NH2 / Ar-Br,Ar-X,
4-Bromophenol,Brc1ccc(O)cc1,2,Ar-OH / Ar-Br,Ar-X,
4-Bromophenylacetylene,Brc1ccc(C#C)cc1,2,Ar-C#CH / Ar-Br,Ar-C#C / Alkynyl-H / Any-C#C / Ar-X,
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,2,Ar-Br / Ar-Br,Ar-X / Ar-X,
"1,4-Phenylenediamine",Nc1ccc(N)cc1,2,Ar-NH2 / Ar-NH2,,
4-Bromo-N-Boc-aniline,Brc1ccc(NC(=O)OC(C)(C)C)cc1,2,Ar-Carbamate / Ar-Br,Ar-X,
4-Bromo-TBS-phenol,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1,2,Ar-Br / Alkyl-Si,Ar-X,
Methyl 4-bromobenzoate,Brc1ccc(C(=O)OC)cc1,2,Ar-CO2R / Ar-Br,Ar-X,
4-Bromobenzaldehyde,Brc1ccc(C=O)cc1,2,Ar-CHO / Ar-Br,Ar-X,
Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,6,Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-Br,Ar-X,
4-Bromo-tert-butylbenzene,Brc1ccc(C(C)(C)C)cc1,2,Ar-R / Ar-Br,Ar-X,
tert-Butylamine,CC(C)(C)N,1,R3C-NH2,Alkyl-NH2,
4-tert-Butylaniline,CC(C)(C)c1ccc(N)cc1,2,Ar-NH2 / Ar-R,,
4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,2,Ar-NO2 / Ar-Br,Ar-NR2 / Ar-X,
"4-Bromo-N,N-dimethylaniline",Brc1ccc(N(C)C)cc1,3,Ar-NR2 / Ar-Br / CH3-NR2,Ar-X / Alkyl-NR2,
"1-Bromo-2,3,4,5-tetramethoxybenzene",COc1cc(OC)c(Br)c(OC)c1OC,5,Ar-OR / Ar-OR / Ar-OR / Ar-OR / Ar-Br,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / Ar-X,
Pentafluorobromobenzene,Fc1c(F)c(F)c(Br)c(F)c1F,6,Ar-Br / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F,Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X,
"1,3,5-Tribromobenzene",Brc1cc(Br)cc(Br)c1,3,Ar-Br / Ar-Br / Ar-Br,Ar-X / Ar-X / Ar-X,
Pentafluorobromobenzene,Fc1c(F)c(F)c(Br)c(F)c1F,6,Ar-Br / Ar-F / Ar-F / Ar-F / Ar-F / Ar-F,Ar-X / Ar-X / Ar-X / Ar-X / Ar-X / Ar-X,
"2,5-Dichloropyridine",Clc1ccc(Cl)nc1,3,Ar-Cl / Ar-Cl / Pyridine,Ar-X / Ar-X,
"2,6-Dichloro-iodobenzene",Ic1c(Cl)cccc1Cl,3,Ar-Cl / Ar-Cl / Ar-I,Ar-X / Ar-X / Ar-X,
2-tert-Butylbromobenzene,Brc1ccccc1C(C)(C)C,2,Ar-R / Ar-Br,Ar-X,
"3,5-Diisopropylchlorobenzene",Clc1cc(C(C)C)ccc1C(C)C,3,Ar-R / Ar-R / Ar-Cl,Ar-X,
"2,6-Dimethoxyiodobenzene",Ic1c(OC)cccc1OC,3,Ar-OR / Ar-OR / Ar-I,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / Ar-X,
Pentamethylbromobenzene,Brc1c(C)c(C)c(C)c(C)c1C,6,Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-Br,Ar-X,
4-Iodo-N-Boc-aniline,Ic1ccc(NC(=O)OC(C)(C)C)cc1,2,Ar-Carbamate / Ar-I,Ar-X,
4-Bromo-N-Cbz-aniline,Brc1ccc(NC(=O)OCc2ccccc2)cc1,3,Ar-Carbamate / Ar-R / Ar-Br,Ar-X,
4-Chloro-N-Fmoc-aniline,Clc1ccc(NC(=O)OCC2c3ccccc3-c3ccccc32)cc1,4,Ar-Carbamate / Ar-R / Ar-Cl / Ar-Ar,Ar-X,
4-Bromo-TBS-phenol,Brc1ccc(O[Si](C)(C)C(C)(C)C)cc1,2,Ar-Br / Alkyl-Si,Ar-X,
4-Iodo-TIPS-phenol,Ic1ccc(O[Si](C(C)C)(C(C)C)C(C)C)cc1,2,Ar-I / Alkyl-Si,Ar-X,
4-Bromonitrobenzene,Brc1ccc([N+](=O)[O-])cc1,2,Ar-NO2 / Ar-Br,Ar-NR2 / Ar-X,
4-Chlorobenzonitrile,Clc1ccc(C#N)cc1,2,Ar-CN / Ar-Cl,Ar-X,
"4-Bromo-N,N-dimethylaniline",Brc1ccc(N(C)C)cc1,3,Ar-NR2 / Ar-Br / CH3-NR2,Ar-X / Alkyl-NR2,
4-Iodoanisole,Ic1ccc(OC)cc1,2,Ar-OR / Ar-I,CH3-OR / Alkyl-OR / Ar-X,
2-Bromophenyl diphenylphosphine,Brc1ccccc1P(c2ccccc2)c2ccccc2,2,Ar-PR2 / Ar-Br,Ar-X,
Phenylalanine,NC(Cc1ccccc1)C(=O)O,4,Ar-R / R2CH-CO2H / Alkyl-H-acidic / R2CH-NH2,Alkyl-CO2H / Alkyl-H / Alkyl-NH2,
Triphenylphosphine,c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,Ar-PR2,,
"1,8-Bis(dimethylphosphino)naphthalene",c1ccc2c(c1)c(P(C)C)ccc2P(C)C,2,Ar-PR2 / Ar-PR2,Alkyl-PR2 / Alkyl-PR2,
Ethane,CC,1,Alkyl-H,,
Anthracene,c1ccc2cc3ccccc3cc2c1,1,Ar-H,,
Coronene,c1ccc2cc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,1,Ar-Ar,,
2-Bromonaphthalene,Brc1ccc2ccccc2c1,1,Ar-Br,Ar-X,
9-Chloroanthracene,Clc1ccc2c3ccccc3ccc2c1,1,Ar-Cl,Ar-X,
Spiro[5.5]undecane,C1CCC2(CC1)CCCC2,1,Alkyl-H,,
"6-Bromo-spiro[chroman-2,1'-cyclohexane]",Brc1ccc2c(c1)C1(CCCC1)CCCC2,3,Ar-R / Ar-R / Ar-Br,Ar-X,
(S)-Alanine,C[C@H](N)C(=O)O,3,R2CH-CO2H / Alkyl-H-acidic / R2CH-NH2,Alkyl-CO2H / Alkyl-H / Alkyl-NH2,
"(2R,3R)-Butane-2,3-diol",C[C@H](O)[C@H](C)O,2,R2CH-OH / R2CH-OH,Alkyl-OH / Alkyl-OH,
"(1R,3R,5S)-1,3,5-Trimethylcyclohexane",C[C@H]1CC[C@@H](C)C[C@H]1C,1,Alkyl-H,,
(R)-Bromochlorofluoromethane,Br[C@H](Cl)F,3,Alkyl-Br / Alkyl-Cl / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X,
"2,4,5,6-Tetrachlorobromobenzene",Clc1cc(Cl)c(Br)c(Cl)c1,4,Ar-Br / Ar-Cl / Ar-Cl / Ar-Cl,Ar-X / Ar-X / Ar-X / Ar-X,
4-Bromo-N-benzoylaniline,Brc1ccc(NC(=O)c2ccccc2)cc1,2,Ar-Amide / Ar-Br,Ar-CONHR / Ar-X,
"(1S,2R,5S)-1,2,5-Trimethylcyclohexane",C[C@@H]1CCC[C@@H](C)[C@@H]1C,1,Alkyl-H,,
