schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,reaction_label,reaction_label_status,yield_pct,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,nucleophile_label,nucleophile_family,nucleophile_initial_h_count,nucleophile_contexts,nucleophile_availability,nucleophile_flags,product_connection_label,product_connection_json,spectator_group_ids,family_environment_json,reference,notes
1.1,31-614-CAS-28284151,86,rejected,unresolved_transformation,CS(C)=O.Cc1cc(C(=N)Nc2ccccc2)ccc1F>>Cc1cc(C2=NCOCN2c2ccccc2)ccc1F,unresolved,,unavailable,50.0,COND1:catalyst=34946-82-2|reagent=140681-55-6+7732-18-5|solvent=67-68-5,True,34946-82-2,140681-55-6|7732-18-5,67-68-5,,,,,,,,,,,,,,,,,"Organic Letters (2021), 23(10), 3960-3964",
1.1,31-614-CAS-30756150,88,rejected,unresolved_transformation,C(#Cc1ccccc1)c1ccccc1.COc1ccc(NC(=O)c2cc(N)ccc2F)cc1>>COc1ccc(-n2c(-c3ccccc3)c(-c3ccccc3)c3ccc(N)cc3c2=O)cc1,unresolved,,unavailable,97.0,COND1:catalyst=1295-35-8|reagent=534-17-8|solvent=68-12-2,True,1295-35-8,534-17-8,68-12-2,,,,,,,,,,,,,,,,,"Journal of the American Chemical Society (2020), 142(41), 17306-17311","alternate reaction conditions gave lower yield,glove box used,reaction in a screw capped vial"
1.1,31-614-CAS-31064518,89,rejected,unresolved_transformation,Cc1ccc(O)cc1.C1CCN(C2CCNCC2)CC1>>Cc1ccc(N2CCC(N3CCCCC3)CC2)cc1,unresolved,,unavailable,78.0,COND1:catalyst=2058260-36-7+497-19-8|reagent=unknown|solvent=142-82-5,False,2058260-36-7|497-19-8,,142-82-5,,,,,,,,,,,,,,,,,"Journal of the American Chemical Society (2022), 144(3), 1144-1151","glove box used, molecular sieves used, reaction in a sealed vial"
1.1,31-614-CAS-31541976,99,rejected,unresolved_transformation,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.Fc1ccc(-c2ccncc2)cc1>>O=[N+]([O-])c1ccc(-[n+]2ccc(-c3ccc(F)cc3)cc2)c([N+](=O)[O-])c1.[Cl-],unresolved,,unavailable,93.0,COND1:catalyst=unknown|reagent=unknown|solvent=67-64-1,False,,,67-64-1,,,,,,,,,,,,,,,,,"Organic Letters (2021), 23(15), 6126-6130",
1.1,31-614-CAS-31857325,107,rejected,unresolved_transformation,Brc1cccc2cccc(-c3c4[nH]c5ccccc5c4c(-c4cccc5cccc(Br)c45)c4[nH]c5ccccc5c34)c12>>c1cc2cccc3c2c(c1)c1c2c4ccccc4n4c5cccc6cccc(c65)c(c5c6ccccc6n3c15)c24,unresolved,,unavailable,82.0,COND1:catalyst=7681-65-4|reagent=2052-49-5|solvent=67-56-1+68-12-2,True,7681-65-4,2052-49-5,67-56-1|68-12-2,,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2022), 61(14), e202117181",
1.1,31-614-CAS-32086536,111,rejected,unresolved_transformation,CC(C)(C)OC(=O)N[C@@H]1COCC12CCN(c1cnc(C(=O)c3cccc(Cl)c3Cl)c(Cl)n1)CC2>>CC(C)(C)OC(=O)N[C@@H]1COCC12CCN(c1cnc3c(-c4cccc(Cl)c4Cl)n[nH]c3n1)CC2,unresolved,,unavailable,100.0,COND1:catalyst=unknown|reagent=7803-57-8|solvent=64-17-5,False,,7803-57-8,64-17-5,,,,,,,,,,,,,,,,,"Journal of Medicinal Chemistry (2021), 64(20), 15141-15169",
1.1,31-614-CAS-33432405,134,rejected,unresolved_transformation,NCCCc1ccccc1Br>>c1ccc2c(c1)CCCN2,unresolved,,unavailable,79.0,COND1:catalyst=1134-35-6+373-02-4|reagent=6674-22-2|solvent=109-99-9+67-68-5,True,1134-35-6|373-02-4,6674-22-2,109-99-9|67-68-5,,,,,,,,,,,,,,,,,"Journal of Organic Chemistry (2022), 87(15), 10285-10297","photochemical, sealed tube used, Buchwald-Hartwig coupling, purple LEDs light (30 W) used"
1.1,31-614-CAS-33736518,136,rejected,unresolved_transformation,Clc1ccc(NCCCNc2ccc(Cl)cc2)cc1>>Clc1ccc(N2CCCN2c2ccc(Cl)cc2)cc1,unresolved,,unavailable,85.0,COND1:catalyst=15243-48-8+7787-70-4|reagent=7782-44-7|solvent=75-09-2,True,15243-48-8|7787-70-4,7782-44-7,75-09-2,,,,,,,,,,,,,,,,,"Journal of the American Chemical Society (2021), 143(30), 11361-11369","photochemical, reaction carried out under air,irradiation with 12W blue LED at 456nm,Cu-CsPbBr3 nanocrystal catalyst prepared and used,recyclable catalyst"
1.1,31-614-CAS-33833332,138,rejected,unresolved_transformation,CN.CCOc1nc(OCC)nc(-c2ccccc2)n1>>CCOc1nc(NC)nc(-c2ccccc2)n1,unresolved,,unavailable,99.0,COND1:catalyst=unknown|reagent=unknown|solvent=67-56-1,False,,,67-56-1,,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2022), 61(36), e202205515",Schlenk flask used
1.1,31-614-CAS-33904659,139,rejected,unresolved_transformation,Cc1ccc(S(=O)(=O)NN=CC=Cc2ccccc2)cc1.O=S(=O)([O-])C(F)(F)F.c1ccc([I+]c2ccccc2)cc1>>Cc1ccc(S(=O)(=O)c2ccccc2)cc1.c1ccc(-c2ccn(-c3ccccc3)n2)cc1,unresolved,,unavailable,96.0,COND1:catalyst=142-71-2|reagent=534-17-8|solvent=68-12-2,True,142-71-2,534-17-8,68-12-2,,,,,,,,,,,,,,,,,"Organic & Biomolecular Chemistry (2022), 20(35), 7011-7016","regioselective, scalable, optimization study, optimized on catalyst, solvent and temperature"
1.1,31-614-CAS-33981404,144,rejected,unresolved_transformation,Brc1ccc(I)cc1.COc1ccc(/N=N/[Si](C)(C)C)cc1>>COc1ccc(/N=N/c2ccc(Br)cc2)cc1,unresolved,,unavailable,71.0,COND1:catalyst=72287-26-4|reagent=12125-02-9+534-17-8|solvent=108-88-3+7732-18-5,True,72287-26-4,12125-02-9|534-17-8,108-88-3|7732-18-5,,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2022), 61(40), e202210907",
1.1,31-614-CAS-35100866,159,rejected,unresolved_transformation,N#Cc1c(-c2ccccc2Br)c(N)n2ccccc12>>N#Cc1c2c3ccccc3[nH]c2n2ccccc12,unresolved,,unavailable,74.0,COND1:catalyst=51-35-4+7681-65-4|reagent=534-17-8|solvent=67-68-5,True,51-35-4|7681-65-4,534-17-8,67-68-5,,,,,,,,,,,,,,,,,"Journal of Organic Chemistry (2023), 88(1), 745-754",
1.1,31-614-CAS-35655096,168,rejected,unresolved_transformation,C[C@H]1COC(=O)N1.COc1ccc([I+]c2ccc(OC)cc2)cc1.O=S(=O)([O-])C(F)(F)F>>COc1ccc(N2C(=O)OC[C@@H]2C)cc1,unresolved,,unavailable,64.0,COND1:catalyst=7681-65-4|reagent=121-44-8|solvent=108-88-3,True,7681-65-4,121-44-8,108-88-3,,,,,,,,,,,,,,,,,"Organic & Biomolecular Chemistry (2023), 21(9), 1952-1957",screw-cap vial used
1.1,31-614-CAS-35765973,170,rejected,unresolved_transformation,O=c1[nH]c2ccccc2c(=O)o1.COC(=O)c1ccc([I+]c2c(OC)cc(OC)cc2OC)cc1.O=C([O-])C(F)(F)F>>COC(=O)c1ccc(-n2c(=O)oc(=O)c3ccccc32)cc1,unresolved,,unavailable,66.0,COND1:catalyst=7787-70-4|reagent=121-44-8|solvent=107-06-2,True,7787-70-4,121-44-8,107-06-2,,,,,,,,,,,,,,,,,"Journal of Organic Chemistry (2023), 88(6), 3567-3581","chemoselective, sealed Schlenk tube used"
1.1,31-614-CAS-36427837,172,rejected,unresolved_transformation,O=C(CC(=O)c1ccc(Cl)cc1)Nc1ccccc1.COC(=O)O[C@@H]1C=C[C@H](OC(=O)OC)CC1>>O=C(c1ccc(Cl)cc1)[C@@H]1C(=O)N(c2ccccc2)[C@H]2C=CCC[C@@H]12,unresolved,,unavailable,83.0,COND1:catalyst=12012-95-2+918545-92-3|reagent=6674-22-2|solvent=109-99-9,True,12012-95-2|918545-92-3,6674-22-2,109-99-9,,,,,,,,,,,,,,,,,"Organic Chemistry Frontiers (2023), 10(7), 1731-1737","stereoselective (94% ee, dr >20:1), Schlenk tube used"
1.1,31-614-CAS-36833733,186,rejected,unresolved_transformation,CC1(C)C(=O)Nc2cc(Br)cnc21.COC(=O)C12C3C4C1C1C2C3C41C(=O)OI(OC(=O)C12C3C4C1C1C2C3C41C(=O)OC)c1c(C)cc(C)cc1C>>COC(=O)C12C3C4C1C1C2C3C41N1C(=O)C(C)(C)c2ncc(Br)cc21,unresolved,,unavailable,51.0,COND1:catalyst=1335047-34-1+13395-16-9|reagent=6674-22-2|solvent=123-91-1,True,1335047-34-1|13395-16-9,6674-22-2,123-91-1,,,,,,,,,,,,,,,,,"Nature (London, United Kingdom) (2023), 618(7965), 513-518","photochemical, blue LED (450 nm) used"
1.1,31-614-CAS-36839163,187,rejected,unresolved_transformation,COc1ccc([I+]c2c(C)cc(C)cc2C)cc1.O=S(=O)([O-])C(F)(F)F>>COc1ccc(/N=N/c2ccc(OC)cc2)cc1,unresolved,,unavailable,98.0,COND1:catalyst=2423104-33-8+7681-65-4|reagent=121-44-8+1445-69-8|solvent=68-12-2,True,2423104-33-8|7681-65-4,121-44-8|1445-69-8,68-12-2,,,,,,,,,,,,,,,,,"Organic Chemistry Frontiers (2023), 10(11), 2701-2707","in the dark, stereoselective, Schlenk tube used, reaction conducted in the presence of air"
1.1,31-614-CAS-36888259,188,rejected,unresolved_transformation,N#Cc1ccc([N+](=O)[O-])cc1F>>Nc1n[nH]c2cc([N+](=O)[O-])ccc12,unresolved,,unavailable,82.0,COND1:catalyst=unknown|reagent=302-01-2|solvent=71-36-3,False,,302-01-2,71-36-3,,,,,,,,,,,,,,,,,"European Journal of Medicinal Chemistry (2023), 257115456",
1.1,31-614-CAS-36889683,190,rejected,unresolved_transformation,CCCCCCCCc1ccc(NC(=O)c2ccc3[nH]c4c(C(=O)c5ccccc5Br)nccc4c3c2)cc1>>CCCCCCCCc1ccc(NC(=O)c2ccc3[nH]c4c5[n+](ccc4c3c2)-c2ccccc2C5=O)cc1.[Br-],unresolved,,unavailable,78.0,COND1:catalyst=unknown|reagent=unknown|solvent=107-21-1,False,,,107-21-1,,,,,,,,,,,,,,,,,"European Journal of Medicinal Chemistry (2023), 254115348","thermal, sealed stainless-steel hydrothermal reactor used, decahydronaphthalene solvent may also be used"
1.1,31-614-CAS-37258968,198,rejected,unresolved_transformation,c1ccc2c(c1)CCN2.COc1ccc([I+][C-]2C(=O)CCCC2=O)cc1>>COc1ccc(N2CCc3ccccc32)cc1,unresolved,,unavailable,51.0,COND1:catalyst=7758-98-7|reagent=unknown|solvent=7732-18-5,False,7758-98-7,,7732-18-5,,,,,,,,,,,,,,,,,"Beilstein Journal of Organic Chemistry (2023), 191008-1014",green chemistry
1.1,31-614-CAS-37345058,200,rejected,unresolved_transformation,Clc1ccccc1.c1ccc(C2=NCCCC2)cc1>>c1ccc([C@H]2NCCC[C@H]2c2ccccc2)cc1.c1ccc(C2=C(c3ccccc3)N(c3ccccc3)CCC2)cc1,unresolved,,unavailable,71.0,COND1:catalyst=51364-51-3+564483-18-7|reagent=144-55-8+16940-66-2+865-48-5|solvent=108-88-3+123-91-1+67-56-1+7732-18-5,True,51364-51-3|564483-18-7,144-55-8|16940-66-2|865-48-5,108-88-3|123-91-1|67-56-1|7732-18-5,,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2023), 62(36), e202307638","regioselective, stereoselective (dr >20:1), product depends on reaction conditions, optimization study, optimized on ligand, optimized on stoichiometry, scalable, molecular sieves used (stage 1)"
1.1,31-614-CAS-37448035,204,rejected,unresolved_transformation,O=C1C=CCC1.Brc1ccc(C=NNc2ccccc2)cc1>>O=C1CCc2c1c(-c1ccc(Br)cc1)nn2-c1ccccc1,unresolved,,unavailable,51.0,COND1:catalyst=7447-39-4|reagent=unknown|solvent=107-06-2,False,7447-39-4,,107-06-2,,,,,,,,,,,,,,,,,"Asian Journal of Organic Chemistry (2023), 12(9), e202300258",Schlenk tube used
