material_id,condition_core_id,condition_group_id,centroid_similarity,assignment_margin,assignment_status,observation_count,exact_recipe_id_count,core_display,solvent_cross_reference,additive_cross_reference,other_context_cross_reference,complete_condition_display,assignment_reason,parse_warnings
CMAT1:0d14b43c1d1b5217ea9dd737cef942579328ce5f59f7d237256d0b03d51db44c,CCOREPOC1:894dc934ee9824f9f3f1a8ec43ee3f3b4d50383c70efcb052d6d4c258e40eb5f,CGPOC2:a055495df2bc6449ab288cfd1597e765727922724ff49dad604d1dbfa3da6dc2,0.998792,0.195801,supported,5,5,"Cs2CO3 [base]; CuI [catalyst]; 4,7-(MeO)2-Phen [ligand]",dioxane,,,"Cs2CO3 [base]; CuI [catalyst]; 4,7-(MeO)2-Phen [ligand]; Dioxane [solvent]",LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d1786bbefb7144cbe9bd2d919513b22890fd85db9295bffc3c8317c9abe21ab,CCOREPOC1:9136d08337a0bec6cb0ff3051ecfe40d96a64938dc0613d4346aff1a29b0b9ca,CGPOC2:f166bf537c02590ef07c3c9d9b9ca028b3e48b46fe5bcd5e3aebf72c9b873d7b,0.998512,0.190198,supported,1,1,LiHMDS [base]; CuI [catalyst]; diphenethyloxamide [ligand],phme,,,LiHMDS [base]; CuI [catalyst]; diphenethyloxamide [ligand]; PhMe [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d18a6de9673be4c3d441ef20e3c5f3a00a099a51a6f8b587db937ccd2a5c195,CCOREPOC1:3076409b21b0af4ba5b687e4fd1f930c1984762fe49964a8d7cd1f4ef42336f5,CGPOC2:41ad8802f6ef622a14aa208518f0cb31b1bf6148f78375d35132b8be629c2e3c,1.0,0.095437,supported,1,1,tBuXPhos Pd(allyl)OTf [catalyst]; Me4tBuXPhos [ligand],cyrene,,,tBuXPhos Pd(allyl)OTf [catalyst]; Me4tBuXPhos [ligand]; Cyrene [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d1a872ab84d78f3dca3d865792edfbdc77e98e41975f65bbb2afbba4d13fd4b,CCOREPOC1:60ca36ad8f2f8e07304431d1434bea26297f19e8808307220d7965efab1207c9,CGPOC2:1422d48ef72381e8e1cd15ca0997e4e36c8a82b9f6a2ce329920597e0d8fffaf,1.0,0.145668,supported,5,5,K2CO3 [base],dioxane,,,K2CO3 [base]; Dioxane [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d1cced004465809d99c25af542c37174f06f46c31ba611fa9313cbbb8b24cc8,CCOREPOC1:205a12048e541cdcd52dfac252d6eec120dc7215b9ae04dcb23ff4cfc56f7729,CGPOC2:05ab93755391964e155e1e507172ce0686f7ea2a44aa8ecc206302fb6c001d41,1.0,0.137818,supported,4,4,K3PO4 [base],phme + water,,,K3PO4 [base]; PhMe [solvent]; water [solvent]; No ligand,LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d1df8987ce07d6245ec809f17847bb7270dcbe110f88e6238f992e32e8cb7a7,CCOREPOC1:0f0b04222a42ac2fa624598d748b683df2288c7164b27f06f4ee339f8fc6d2d4,CGPOC2:7044ebddd3745e706854bef662d594d6580c468b7f32c5f7ec6db8cc569afde5,0.941956,0.531389,supported,2,2,DIPEA [base]; Me3(OMe)tBuXPhos Pd G3 [catalyst]; Me3(OMe)-tBuXPhos [ligand],anisole,,,DIPEA [base]; Me3(OMe)tBuXPhos Pd G3 [catalyst]; Me3(OMe)-tBuXPhos [ligand]; anisole [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d1eb564164e2f04a679cb35f80e377011e3dd58438e3e0dc308eb1a497fb922,CCOREPOC1:67d9e57bdd2ada33d96707c64e89737576d6215cf9cd4af5ea9c8c96fdabf61c,CGPOC2:8246b1f2de5d1a8fa561bb0c59f5b27c9119e5e86980f24229ad3bac6d685e17,0.904655,0.041305,provisional,1,1,TMSOK [base]; tBuBrettPhos Pd G3 [catalyst]; tBuBrettPhos [ligand],methf,b(ome)3,,B(OMe)3 [additive]; TMSOK [base]; tBuBrettPhos Pd G3 [catalyst]; tBuBrettPhos [ligand]; MeTHF [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d22b3985d4986aaeadc615c08bc7806da673266ccb3358cbbcae5b76222f945,CCOREPOC1:42dda5169bea318343c8ad52c4e540a57faecf7538714a7b18db097899892dc5,CGPOC2:33d3a1c4b311aca3a40e268e34d44d0a7946dc83c063d862ca2f2438109ec394,0.996234,0.066684,supported,2,2,K3PO4 [base]; AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand],dmi + water,,,K3PO4 [base]; AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; DMI [solvent]; water [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d323431b00acc38ada48b2ff7f2416b752d947abd824336796fd505b4d15c44,CCOREPOC1:3f273f46f2fbad38d03cf734c5726098b957a8c39ace3df624db4b797df5a628,CGPOC2:9391e57f727dda7f1b28f535b560dbc6f04eb8e3ddc3048a29a8c5ba16b733aa,0.986638,0.079191,supported,1,1,SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand],methf,water,,water [additive]; SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; MeTHF [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d32bc35e3493424156a203b95757a3f2a2dcc0c56940a19e2d2e7d9d849b2cb,CCOREPOC1:43c936d9a7def6f25519acd4395ac80cfe4004e43cb9c8b8b59c8ff86eea3b27,CGPOC2:eac4764fe5191676cc01b7ec32e6e1fa8193eefe0606ef91987e0168ff1f6ed4,0.993903,0.026629,provisional,2,1,"K2CO3 [base]; CuO [catalyst]; N,N-Dimethylglycine hydrochloride [ligand]",tamoh,,,"K2CO3 [base]; CuO [catalyst]; N,N-Dimethylglycine hydrochloride [ligand]; tAmOH [solvent]",LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d34dd5f675bfc60a4a5b455fb784e821cd28bda794287800710451a71a3ab92,CCOREPOC1:eff8311332b4ea8b0d5450415cf956a7b96119769cfd3204b124eeea8bd9c416,CGPOC2:e83b9d829160c02f168ff9227742c80e3beeb4b00eb06005ded9cc441fa3bc0a,0.991352,0.067475,supported,4,4,Cs2CO3 [base]; PEPPSI-IPENT [catalyst]; IPent [ligand],mecn,,,Cs2CO3 [base]; PEPPSI-IPENT [catalyst]; IPent [ligand]; MeCN [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d3671d988161a0bcf6611a5369f4c8760bb752ba5007a6ab29c76747a35c781,CCOREPOC1:6253f19c30204b4450068934d45c9d2a8079829b03d7b410960500d7d50ac633,CGPOC2:896899974226b9d60c74658f7766721fe56cfc056c552459715f1e26dd8c4e2b,0.953073,0.062732,supported,1,1,Cs2CO3 [base]; BippyPhos Pd(allyl)OTf [catalyst]; BippyPhos [ligand],tamoh,tbac,,TBAC [additive]; Cs2CO3 [base]; BippyPhos Pd(allyl)OTf [catalyst]; BippyPhos [ligand]; tAmOH [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d38bd4c371073d67394afa595bb06caea2ad2f9f0df852a9f01c38545bfc28b,CCOREPOC1:aa1e52e6202f42884e9054439b7ac004fcaf64535a198ab820f7a2d3205c648a,CGPOC2:5086ffe8aefb330f7c80a6680f9353df32c871d56a2cd5b3f8975283d2478f8f,0.906283,0.030091,provisional,1,1,K2CO3 [base]; Pd-PEPPSI-IPent Cl 3-chloropyridine [catalyst]; IPENT Cl [ligand],tamoh,,,K2CO3 [base]; Pd-PEPPSI-IPent Cl 3-chloropyridine [catalyst]; IPENT Cl [ligand]; tAmOH [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d38c2eb6ed087994f9536ed72d87439aa6098fe84e45228dbea750eb732d2a6,CCOREPOC1:0daf08bdb51127f6199ea5578068bf44540a45b5a0dd3fff1fde1cb44cfc0376,CGPOC2:7a74bf58faa74212cc60c2453f8c9e7bb789e66509806917fde2f1e9539ddfd3,0.810883,0.117279,provisional,1,1,TMSOK [base]; cPhos Pd G3 [catalyst]; PyBrOP [coupling_reagent]; cPhos [ligand],phme,tbab,,TBAB [additive]; TMSOK [base]; cPhos Pd G3 [catalyst]; PyBrOP [coupling_reagent]; cPhos [ligand]; PhMe [solvent],LEARNED_DECISIVE_CORE_GROUP,
CMAT1:0d3a5af90f36f503dcb2d6cb5fb5781cbfa1d4aaf6f652475d8fc7b46e6960e6,CCOREPOC1:9ed1109bdf52f9aa3a02c5911638c8bc8603e9feb196c9f824e14afb9dea2a88,CGPOC2:4c95ef950455ea61fc7987b7a24c83346dacdcfadfd90e602373780ba31c08c5,0.995358,0.047942,provisional,1,1,Potassium 2-ethylhexanoate [base]; SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand],thf,,,Potassium 2-ethylhexanoate [base]; SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; THF [solvent],LEARNED_DECISIVE_CORE_GROUP,
