CCc1nn(Cc2ccccc2I)c(N)c1C(=O)N	HBGPIRLHLWUYAZ-UHFFFAOYSA-N	X-Iodide_Phe,Amide,Heterocycle5_polyHet,Heterocycle5_polyHet,Amine_Primary_Het5	1.0	Amine_Primary_Het5	Amine_Heteroaromatic	Amine
COC(=O)c1ccc(NCc2ccc(cc2)C#C)cc1F	PGEOXNYBTMIDKF-UHFFFAOYSA-N	X-Fluoride_Phe,EsterAcyclic,AlkyneTerminalAromatic,Amine_AcyclicSecondary_SaturatedAliphatic-Aromatic	1.0	Amine_AcyclicSecondary_SaturatedAliphatic-Aromatic	Amine_Aromatic	Amine
COC(=O)c1ccc2c(c1)[C@@H](N)CO2	DOVGWMYKEBIZCG-QMMMGPOBSA-N	EsterAcyclic,EtherMixCyclic,Benzylamine_primary	1.0	Benzylamine_primary	Benzyl_amine_primary	Amine
Cc1c(N)c(N)ccc1C(F)F	RTTSLGRRHGJWGE-UHFFFAOYSA-N	CF2,Amine_Primary_Phe,Amine_Primary_Phe	2.0	Amine_Primary_Phe	Amine_Aromatic	Amine
COc1ccc(Cl)cc1[C@H](C)N[C@@H](C)c2ccccc2	DBGMUCMCCTVOIX-STQMWFEESA-N	X-Chloride_Phe,EtherMixAcyclic,Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	1.0	Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	Amine_Aliphatic	Amine
CNCc1cn(Cc2ccc(C)c(C)c2)nc1O	VOXMPZLSMAQAAI-UHFFFAOYSA-N	PhenolHeteroaromatic5membered,Heterocycle5_polyHet,Heterocycle5_polyHet,Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	1.0	Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	Amine_Aliphatic	Amine
COc1ccc(cc1C)n2nc(C(F)F)c(CN)c2N	ZJSFAROOWNDQRQ-UHFFFAOYSA-N	CF2,EtherMixAcyclic,Heterocycle5_polyHet,Heterocycle5_polyHet,HeteroBenzylamine_primary,Amine_Primary_Het5	2.0	Amine_Primary_Het5	Amine_Heteroaromatic	Amine
Nc1cccc2oc(CC#N)nc12	WVBGQWXESUVDFG-UHFFFAOYSA-N	Nitrile_SaturatedAliphatic,Heterocycle5_polyHet,Heterocycle5_O,Amine_Primary_PheHet5	1.0	Amine_Primary_PheHet5	Amine_Heteroaromatic	Amine
N[C@@H]1COC[C@@H]1F	QEFNMXYQEIJFEA-IUYQGCFVSA-N	X-Fluoride_Aliph,EtherAliphaticCyclic,Amine_Primary_SaturatedAliphatic	1.0	Amine_Primary_SaturatedAliphatic	Amine_Aliphatic	Amine
CCOC(=O)Cc1c(N)ccc(OC(F)F)c1C(C)C	IFRKZFMVLHQNOS-UHFFFAOYSA-N	EsterAcyclic,CF2,EtherMixAcyclic,Amine_Primary_Phe	1.0	Amine_Primary_Phe	Amine_Aromatic	Amine
CC[C@@H](C)[C@H](CO)NCc1ccc(F)cc1OC	QFDMGWDCGCXNNV-MFKMUULPSA-N	X-Fluoride_Phe,EtherMixAcyclic,PrimaryAlcoholAliphatic,Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	1.0	Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	Amine_Aliphatic	Amine
Cc1cccc(CCNCc2cc(F)c(F)cc2Cl)c1	DIKRKKQRQHFRAR-UHFFFAOYSA-N	X-Fluoride_Phe,X-Fluoride_Phe,X-Chloride_Phe,Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	1.0	Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	Amine_Aliphatic	Amine
COC(=O)c1cc(N)c(OC)c(OC(C)=O)c1	HEGONEBYQYAEGR-UHFFFAOYSA-N	EsterAcyclic,EsterAcyclic,EtherMixAcyclic,Amine_Primary_Phe	1.0	Amine_Primary_Phe	Amine_Aromatic	Amine
COc1ccc(NCCC(=O)O)c(Cl)c1	HQIKZTPXNDZSTC-UHFFFAOYSA-N	Acid_SaturatedAliphatic,X-Chloride_Phe,EtherMixAcyclic,Amine_AcyclicSecondary_SaturatedAliphatic-Aromatic	3.0	Amine_AcyclicSecondary_SaturatedAliphatic-Aromatic	Amine_Aromatic	Amine
COc1ccc(N)c(N)c1OC(F)F	WDKZKDKIOAGKRU-UHFFFAOYSA-N	CF2,EtherMixAcyclic,EtherMixAcyclic,Amine_Primary_Phe,Amine_Primary_Phe	2.0	Amine_Primary_Phe	Amine_Aromatic	Amine
Cc1c(CNCc2cccs2)sc3ccccc13	YLORYNPLKJPXIN-UHFFFAOYSA-N	Heterocycle5_S,Heterocycle5_S,Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	1.0	Amine_AcyclicSecondary_SaturatedAliphatic-SaturatedAliphatic	Amine_Aliphatic	Amine
