name,aliases,roles,mention_count,source_columns,reconciliation_status
Me3(OMe)-tBuXPhos,Me3(OMe)-tBuXPhos,ligand,375,Ligand,unresolved
Me3(OMe)tBuXPhos Pd G3,Me3(OMe)tBuXPhos Pd G3,catalyst,375,Catalyst,unresolved
Me4tBuXPhos Pd G3,Me4tBuXPhos Pd G3,catalyst,300,Catalyst,unresolved
meCgPPh Pd G3,meCgPPh Pd G3,catalyst,1311,Catalyst,unresolved
MeO2CH,MeO2CH,solvent,12,Solvent,unresolved
MeOAc,MeOAc,solvent,12,Solvent,unresolved
MNBO,MNBO,ligand,236,Ligand,unresolved
MNFO,MNFO,ligand,20,Ligand,unresolved
MorDalphos Pd G3,MorDalphos Pd G3,catalyst,711,Catalyst,unresolved
MorDalPhos Pd G6 Br,MorDalPhos Pd G6 Br,catalyst,204,Catalyst,unresolved
MukayamaReagent,MukayamaReagent,coupling_reagent,146,Coupling Reagent,unresolved
N-(Dicyclohexylphosphino)-2-(2′-methoxyphenyl)indole,N-(Dicyclohexylphosphino)-2-(2′-methoxyphenyl)indole,ligand,8,Ligand,unresolved
N-Hydroxyphtalimide,N-Hydroxyphtalimide,additive,40,Additive,unresolved
N-Methyldicyclohexylamin,N-Methyldicyclohexylamin,base,256,Base,unresolved
N-XantPhos Pd G3,N-XantPhos Pd G3,catalyst,173,Catalyst,unresolved
Na2WO4,Na2WO4,additive,28,Additive,unresolved
Na3PO4,Na3PO4,base,12,Base,unresolved
NaBHT,NaBHT,additive | base,110,Additive | Base,unresolved
NBO,NBO,ligand,8,Ligand,unresolved
NBP,NBP,solvent,172,Secondary Solvent | Solvent,unresolved
NBu4SCN,NBu4SCN,additive,12,Additive,unresolved
NFO,NFO,ligand,115,Ligand,unresolved
(NHP-DalPhos)NiCl(o-tol),(NHP-DalPhos)NiCl(o-tol),catalyst,8,Catalyst,unresolved
Ni(COD)(DQ),Ni(COD)(DQ),catalyst,24,Catalyst,unresolved
NiCl2-glyme,NiCl2-glyme,catalyst,32,Catalyst,unresolved
NiI2,NiI2,catalyst,24,Catalyst,unresolved
nPrOAc,nPrOAc,solvent,6,Secondary Solvent,unresolved
oxalyl chloride,oxalyl chloride,coupling_reagent,12,Coupling Reagent,unresolved
P(Cy)3 Pd(crotyl)Cl,P(Cy)3 Pd(crotyl)Cl,catalyst,384,Catalyst,unresolved
P(Cy3) Pd G2,P(Cy3) Pd G2,catalyst,12,Catalyst,unresolved
P(Cy3) Pd G3,P(Cy3) Pd G3,catalyst,57,Catalyst,unresolved
P(oTol)3 Pd(crotyl)Cl,P(oTol)3 Pd(crotyl)Cl,catalyst,138,Catalyst,unresolved
P(tBu)2Ph)2PdCl2,P(tBu)2Ph)2PdCl2,catalyst,174,Catalyst,unresolved
P(tBu)3 Pd(crotyl)Cl,P(tBu)3 Pd(crotyl)Cl,catalyst,1724,Catalyst,unresolved
P(tBu)3 Pd G2,P(tBu)3 Pd G2,catalyst,204,Catalyst,unresolved
P(tBu)3 Pd G6,P(tBu)3 Pd G6,catalyst,224,Catalyst,unresolved
P(tBu)(Cy)2,P(tBu)(Cy)2,ligand,219,Ligand,unresolved
P(tBu)(Cy)2)2PdCl2,P(tBu)(Cy)2)2PdCl2,catalyst,219,Catalyst,unresolved
P1-tBu,P1-tBu,base,16,Base,unresolved
P2Et,P2Et,base,20,Base,unresolved
P4S10,P4S10,additive,42,Additive,unresolved
PBu3,PBu3,ligand,16,Ligand,unresolved
[Pd(allyl)(Ad-BippyPhos)]OTf,[Pd(allyl)(Ad-BippyPhos)]OTf,catalyst,36,Catalyst,unresolved
[Pd(allyl)(Ad-BrettPhos)]OTf,[Pd(allyl)(Ad-BrettPhos)]OTf,catalyst,8,Catalyst,unresolved
[Pd(allyl)(AlPhos)]OTf,[Pd(allyl)(AlPhos)]OTf,catalyst,42,Catalyst,unresolved
[Pd(allyl)(cataCXiumPCy)]OTf,[Pd(allyl)(cataCXiumPCy)]OTf,catalyst,18,Catalyst,unresolved
[Pd(allyl)(cataCXiumPOMeCy)]OTf,[Pd(allyl)(cataCXiumPOMeCy)]OTf,catalyst,17,Catalyst,unresolved
Pd(allyl)Cl)2,Pd(allyl)Cl)2,catalyst,24,Catalyst,unresolved
[Pd(allyl)(CPhos-Hybrid)]OTf,[Pd(allyl)(CPhos-Hybrid)]OTf,catalyst,17,Catalyst,unresolved
[Pd(allyl)(JohnPhos)]OTf,[Pd(allyl)(JohnPhos)]OTf,catalyst,52,Catalyst,unresolved
[Pd(allyl)(Me4-tBu-XPhos)]OTf,[Pd(allyl)(Me4-tBu-XPhos)]OTf,catalyst,341,Catalyst,unresolved
[Pd(allyl)(Ph-DavePhos)]OTf,[Pd(allyl)(Ph-DavePhos)]OTf,catalyst,21,Catalyst,unresolved
[Pd(allyl)(Ph-SPhos)]OTf,[Pd(allyl)(Ph-SPhos)]OTf,catalyst,17,Catalyst,unresolved
[Pd(allyl)(RockPhos)]OTf,[Pd(allyl)(RockPhos)]OTf,catalyst,177,Catalyst,unresolved
[Pd(allyl)(XPhos)]OTf,[Pd(allyl)(XPhos)]OTf,catalyst,8,Catalyst,unresolved
Pd/C,Pd/C,catalyst,160,Catalyst,unresolved
Pd(Cinnamyl)Cl)2,Pd(Cinnamyl)Cl)2,catalyst,33,Catalyst,unresolved
[Pd(OTf)2(DPPP)],[Pd(OTf)2(DPPP)],catalyst,14,Catalyst,unresolved
Pd(OTFA)2,Pd(OTFA)2,catalyst,14,Catalyst,unresolved
Pd-PEPPSI-IHept Cl 3-chloropyridine,Pd-PEPPSI-IHept Cl 3-chloropyridine,catalyst,326,Catalyst,unresolved
Pd-PEPPSI-IPent Cl 3-chloropyridine,Pd-PEPPSI-IPent Cl 3-chloropyridine,catalyst,432,Catalyst,unresolved
Pd-PEPPSI-IPent Cl o-picoline,Pd-PEPPSI-IPent Cl o-picoline,catalyst,803,Catalyst,unresolved
PEP-K,PEP-K,coupling_reagent,120,Coupling Reagent,unresolved
PEPPSI-IPENT,PEPPSI-IPENT,catalyst,426,Catalyst,unresolved
PEPPSI SIPr,PEPPSI SIPr,catalyst,8,Catalyst,unresolved
Ph-SPhos,Ph-SPhos,ligand,17,Ligand,unresolved
Ph3P AuCl,Ph3P AuCl,catalyst,40,Catalyst,unresolved
Piperidinyl-amino-pincer,Piperidinyl-amino-pincer,ligand,85,Ligand,unresolved
Piperidinyl-amino-pincer PdCl,Piperidinyl-amino-pincer PdCl,catalyst,85,Catalyst,unresolved
PMBCl,PMBCl,additive,24,Additive,unresolved
PPBO,PPBO,ligand,58,Ligand,unresolved
PPh2-Andole-Phos,PPh2-Andole-Phos,ligand,60,Ligand,unresolved
PPh3)2PdCl2,PPh3)2PdCl2,catalyst,851,Catalyst,unresolved
PrOH,PrOH,solvent,218,Secondary Solvent | Solvent,unresolved
