schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,named_family,reaction_label,yield_pct,temperature_c,time_h,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,transfer_label,transfer_context,transfer_handle,transfer_steric_class,transfer_electronic_class,transfer_flags,spectator_group_ids,family_environment_json,spectator_groups_json,reference,notes
1.0,31-177-CAS-18742813,16,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,O=[N+]([O-])c1ccc(I)cc1.C=C1CC2(C/C1=C/B1OC(C)(C)C(C)(C)O1)Cc1ccccc1C2=O>>C=C1CC2(C/C1=C/c1ccc([N+](=O)[O-])cc1)Cc1ccccc1C2=O,reactant_grammar_only,,,82.0,,,COND1:catalyst=14221-01-3|reagent=584-08-7|solvent=108-88-3+64-17-5+7732-18-5,True,14221-01-3,584-08-7,108-88-3|64-17-5|7732-18-5,,,,,,,,,,,,,,,[],"Chemical Communications (Cambridge, United Kingdom) (2018), 54(19), 2357-2360","stereoselective, Suzuki coupling"
1.0,31-177-CAS-19761886,18,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,OB(O)/C=C/c1ccccc1.COC(=O)c1ccc(C(=O)OC)c(Br)c1>>COC(=O)c1ccc(C(=O)OC)c(/C=C/c2ccccc2)c1,reactant_grammar_only,,,83.0,,,COND1:catalyst=40691-33-6|reagent=497-19-8|solvent=110-71-4+7732-18-5,True,40691-33-6,497-19-8,110-71-4|7732-18-5,,,,,,,,,,,,,,,[],"Journal of Medicinal Chemistry (2018), 61(22), 10067-10083",Suzuki coupling
1.0,31-177-CAS-525188,20,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,OB(O)/C=C/c1ccccc1.O=c1[nH]c2ccc(Br)cc2o1>>O=c1[nH]c2ccc(/C=C/c3ccccc3)cc2o1,reactant_grammar_only,,,74.0,,,COND1:catalyst=14221-01-3|reagent=497-19-8|solvent=108-88-3+64-17-5+7732-18-5,True,14221-01-3,497-19-8,108-88-3|64-17-5|7732-18-5,,,,,,,,,,,,,,,[],"Journal of Medicinal Chemistry (2015), 58(23), 9258-9272","microwave irradiation, Suzuki-Miyaura reaction"
1.0,31-179-CAS-11540147,29,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,Clc1cc(Cl)cc(Cl)c1.COc1cccc(B(O)O)c1>>COc1cccc(-c2cc(-c3cccc(OC)c3)cc(-c3cccc(OC)c3)c2)c1,reactant_grammar_only,,,88.0,,,COND1:catalyst=321921-71-5+51364-51-3|reagent=7778-53-2|solvent=108-88-3,True,321921-71-5|51364-51-3,7778-53-2,108-88-3,,,,,,,,,,,,,,,[],"Tetrahedron (2016), 72(8), 1083-1094","sealed tube used, Suzuki-Miyaura coupling"
1.0,31-179-CAS-11590403,30,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,Clc1cc(Cl)c(Cl)nc1Cl.CCCCCCB(O)O>>CCCCCCc1cc(CCCCCC)c(CCCCCC)nc1CCCCCC,reactant_grammar_only,,,75.0,,,COND1:catalyst=321921-71-5+51364-51-3|reagent=7778-53-2|solvent=108-88-3,True,321921-71-5|51364-51-3,7778-53-2,108-88-3,,,,,,,,,,,,,,,[],"Tetrahedron (2015), 71(33), 5371-5384","Suzuki-Miyaura cross-coupling, reaction in a sealed tube"
1.0,31-179-CAS-11733201,31,review,multiple_products,CC1(C)OB(c2ccc3ncccc3c2)OC1(C)C.Clc1ccc(C23CCN(CC2)C3)cn1>>Cl.c1cnc2ccc(-c3ccc(C45CCN(CC4)C5)cn3)cc2c1,exact_product_reconstruction,suzuki_miyaura,HeteroAr–Cl + Ar–BPin → HeteroAr–Ar,61.0,,,COND1:catalyst=13965-03-2|reagent=497-19-8+584-08-7+7647-01-0|solvent=110-71-4+67-63-0+7732-18-5,True,13965-03-2,497-19-8|584-08-7|7647-01-0,110-71-4|67-63-0|7732-18-5,HeteroAr–Cl,HeteroAr,Cl,open,electron_poor,challenging_oxidative_addition|coordination_risk|electron_poor|heteroaryl_partner,Ar–BPin,Ar,BPin,open,neutral,coordination_risk,heteroaryl_nitrogen|tertiary_amine,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""suzuki_miyaura"", ""feature_version"": ""1.0"", ""flags"": [""electrophile:challenging_oxidative_addition"", ""electrophile:coordination_risk"", ""electrophile:electron_poor"", ""electrophile:heteroaryl_partner"", ""transfer_partner:coordination_risk""], ""partners"": [{""anchor_context"": ""HeteroAr"", ""chemist_label"": ""HeteroAr–Cl"", ""competing_site_labels"": [], ""component_index"": 1, ""coordination_group_ids"": [""heteroaryl_nitrogen"", ""tertiary_amine""], ""electronic"": {""class"": ""electron_poor"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.65}, ""flags"": [""challenging_oxidative_addition"", ""coordination_risk"", ""electron_poor"", ""heteroaryl_partner""], ""handle_token"": ""Cl"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 1, ""group_id"": ""heteroaryl_nitrogen"", ""label"": ""HetAr–N"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom1:site0"", ""spectator_group_ids"": [""heteroaryl_nitrogen"", ""tertiary_amine""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–BPin"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [""heteroaryl_nitrogen""], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""flags"": [""coordination_risk""], ""handle_token"": ""BPin"", ""nearby_groups"": [{""distance"": 2, ""group_id"": ""ether"", ""label"": ""R–O–R"", ""tags"": [""hydrogen_bond_acceptor"", ""metal_binding""]}, {""distance"": 2, ""group_id"": ""ether"", ""label"": ""R–O–R"", ""tags"": [""hydrogen_bond_acceptor"", ""metal_binding""]}], ""role"": ""transfer_partner"", ""site_id"": ""mol0:atom3:site0"", ""spectator_group_ids"": [""heteroaryl_nitrogen""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 8, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}]}","[{""atom_indices"": [9], ""chemist_label"": ""HetAr–N"", ""component_index"": 0, ""graph_distance"": 4, ""group_id"": ""heteroaryl_nitrogen"", ""nearest_reactive_site_id"": ""mol0:atom3:site0"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}, {""atom_indices"": [13], ""chemist_label"": ""HetAr–N"", ""component_index"": 1, ""graph_distance"": 1, ""group_id"": ""heteroaryl_nitrogen"", ""nearest_reactive_site_id"": ""mol0:atom1:site0"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}, {""atom_indices"": [8], ""chemist_label"": ""R3N"", ""component_index"": 1, ""graph_distance"": 6, ""group_id"": ""tertiary_amine"", ""nearest_reactive_site_id"": ""mol0:atom1:site0"", ""tags"": [""basic"", ""nucleophilic"", ""metal_binding"", ""strong_metal_binding""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}]","Journal of Organic Chemistry (2011), 76(20), 8336-8346",Suzuki-Miyaura cross-coupling reaction
1.0,31-179-CAS-1196468,32,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,CCS(=O)(=O)c1cccc(B(O)O)c1.COC(=O)c1cc(I)c2c([nH]c3ncc(C)cc32)c1C>>CCS(=O)(=O)c1cccc(-c2cc(C(=O)O)c(C)c3[nH]c4ncc(C)cc4c23)c1,reactant_grammar_only,,,88.0,,,COND1:catalyst=14221-01-3|reagent=1310-73-2+584-08-7+7647-01-0|solvent=127-19-5+7732-18-5,True,14221-01-3,1310-73-2|584-08-7|7647-01-0,127-19-5|7732-18-5,,,,,,,,,,,,,,,[],"Journal of Organic Chemistry (2015), 80(3), 1564-1568",Suzuki coupling (stage 1)
1.0,31-179-CAS-1256004,33,review,incomplete_condition_identity,COc1cncc(Br)c1.Cc1nnc2n1-c1c(F)cc(B(O)O)cc1CC2>>COc1cncc(-c2cc(F)c3c(c2)CCc2nnc(C)n2-3)c1,exact_product_reconstruction,suzuki_miyaura,HeteroAr–Br + Ar–B(OH)2 → HeteroAr–Ar,89.0,,,COND1:catalyst=unknown|reagent=unknown|solvent=108-93-0,False,,,108-93-0,HeteroAr–Br,HeteroAr,Br,open,neutral,coordination_risk|heteroaryl_partner,Ar–B(OH)2,Ar,B(OH)2,open,neutral,competing_reactive_handle|coordination_risk,aryl_halide|ether|heteroaryl_nitrogen,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""suzuki_miyaura"", ""feature_version"": ""1.0"", ""flags"": [""electrophile:coordination_risk"", ""electrophile:heteroaryl_partner"", ""transfer_partner:competing_reactive_handle"", ""transfer_partner:coordination_risk""], ""partners"": [{""anchor_context"": ""HeteroAr"", ""chemist_label"": ""HeteroAr–Br"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [""heteroaryl_nitrogen""], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.325}, ""flags"": [""coordination_risk"", ""heteroaryl_partner""], ""handle_token"": ""Br"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 2, ""group_id"": ""heteroaryl_nitrogen"", ""label"": ""HetAr–N"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""]}, {""distance"": 3, ""group_id"": ""ether"", ""label"": ""R–O–R"", ""tags"": [""hydrogen_bond_acceptor"", ""metal_binding""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom6:site0"", ""spectator_group_ids"": [""ether"", ""heteroaryl_nitrogen""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–B(OH)2"", ""competing_site_labels"": [""Ar–F""], ""component_index"": 1, ""coordination_group_ids"": [""heteroaryl_nitrogen""], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""flags"": [""competing_reactive_handle"", ""coordination_risk""], ""handle_token"": ""B(OH)2"", ""nearby_groups"": [{""distance"": 2, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}], ""role"": ""transfer_partner"", ""site_id"": ""mol0:atom10:site1"", ""spectator_group_ids"": [""aryl_halide"", ""heteroaryl_nitrogen""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 8, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}]}","[{""atom_indices"": [4], ""chemist_label"": ""HetAr–N"", ""component_index"": 0, ""graph_distance"": 2, ""group_id"": ""heteroaryl_nitrogen"", ""nearest_reactive_site_id"": ""mol0:atom6:site0"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}, {""atom_indices"": [1], ""chemist_label"": ""R–O–R"", ""component_index"": 0, ""graph_distance"": 3, ""group_id"": ""ether"", ""nearest_reactive_site_id"": ""mol0:atom6:site0"", ""tags"": [""hydrogen_bond_acceptor"", ""metal_binding""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}, {""atom_indices"": [7, 8], ""chemist_label"": ""Ar–X"", ""component_index"": 1, ""graph_distance"": 2, ""group_id"": ""aryl_halide"", ""nearest_reactive_site_id"": ""mol0:atom10:site1"", ""tags"": [""competing_coupling_handle""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}, {""atom_indices"": [5], ""chemist_label"": ""HetAr–N"", ""component_index"": 1, ""graph_distance"": 4, ""group_id"": ""heteroaryl_nitrogen"", ""nearest_reactive_site_id"": ""mol0:atom10:site1"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}, {""atom_indices"": [2], ""chemist_label"": ""HetAr–N"", ""component_index"": 1, ""graph_distance"": 6, ""group_id"": ""heteroaryl_nitrogen"", ""nearest_reactive_site_id"": ""mol0:atom10:site1"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}, {""atom_indices"": [3], ""chemist_label"": ""HetAr–N"", ""component_index"": 1, ""graph_distance"": 6, ""group_id"": ""heteroaryl_nitrogen"", ""nearest_reactive_site_id"": ""mol0:atom10:site1"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""], ""unchanged_evidence"": ""exact_product_reconstruction_event_exclusion""}]","Journal of Medicinal Chemistry (2015), 58(5), 2530-2537",
1.0,31-179-CAS-12634842,34,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,Clc1cc(Br)c2cc[nH]c2c1.Cc1nc(C(=O)Nc2cc(B3OC(C)(C)CC(C)(C)O3)cc3nn(C4CCCCO4)cc23)cs1>>Cc1nc(C(=O)Nc2cc(-c3cc(Cl)cc4[nH]ccc34)cc3[nH]ncc23)cs1,reactant_grammar_only,,,71.0,,,COND1:catalyst=72287-26-4|reagent=497-19-8|solvent=123-91-1+7732-18-5,True,72287-26-4,497-19-8,123-91-1|7732-18-5,,,,,,,,,,,,,,,[],"Journal of Medicinal Chemistry (2015), 58(18), 7381-7399","microwave irradiation, Suzuki-Miyaura cross-coupling reaction"
1.0,31-179-CAS-14703585,40,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,Brc1cnccc1I.CC(C)(C)OC(=O)n1cccc1B(O)O>>CC(C)(C)OC(=O)n1cccc1-c1ccncc1-c1cccn1C(=O)OC(C)(C)C,reactant_grammar_only,,,78.0,,,COND1:catalyst=14221-01-3|reagent=584-08-7|solvent=108-88-3+64-17-5+7732-18-5,True,14221-01-3,584-08-7,108-88-3|64-17-5|7732-18-5,,,,,,,,,,,,,,,[],"Tetrahedron Letters (2015), 56(41), 5564-5567",Suzuki-Miyaura coupling reaction
1.0,31-179-CAS-15658587,46,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,Brc1ccc(-c2nc3ccccc3nc2-c2ccc(Br)cc2)cc1.CC1(C)OB(c2ccccc2)OC1(C)C>>c1ccc(-c2ccc(-c3nc4ccccc4nc3-c3ccc(-c4ccccc4)cc3)cc2)cc1,reactant_grammar_only,,,80.0,,,COND1:catalyst=13965-03-2|reagent=584-08-7|solvent=109-99-9+7732-18-5,True,13965-03-2,584-08-7,109-99-9|7732-18-5,,,,,,,,,,,,,,,[],"ACS Catalysis (2016), 6(6), 3771-3783",Suzuki-Miyaura coupling
1.0,31-179-CAS-15832467,49,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,Cc1ccc(B(O)O)cc1.Clc1ccc2ccc(Cl)nc2n1>>Cc1ccc(-c2ccc3ccc(-c4ccc(C)cc4)nc3n2)cc1,reactant_grammar_only,,,74.0,,,COND1:catalyst=51364-51-3+657408-07-6|reagent=7778-53-2|solvent=123-91-1,True,51364-51-3|657408-07-6,7778-53-2,123-91-1,,,,,,,,,,,,,,,[],"Organic Letters (2016), 18(11), 2730-2733",sealed tube used
1.0,31-179-CAS-16249488,52,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,C#Cc1ccc(C(F)(F)F)cc1.Clc1nc2ccccc2nc1Cl.COc1cc(B(O)O)cc(OC)c1OC>>COc1cc(-c2nc3ccccc3nc2C#Cc2ccc(C(F)(F)F)cc2)cc(OC)c1OC,reactant_grammar_only,,,76.0,,,COND1:catalyst=13965-03-2|reagent=121-44-8|solvent=68-12-2,True,13965-03-2,121-44-8,68-12-2,,,,,,,,,,,,,,,[],"Journal of Organic Chemistry (2016), 81(20), 9912-9923","sealed tube used, Sonogashira reaction, Suzuki coupling"
1.0,31-179-CAS-16514540,58,review,incomplete_condition_identity,OB(O)c1ccccc1.CSc1ccc2cc(Br)ccc2c1>>CSc1ccc2cc(-c3ccccc3)ccc2c1,exact_product_reconstruction,suzuki_miyaura,Ar–Br + Ar–B(OH)2 → Ar–Ar,79.0,,,COND1:catalyst=1643-19-2+3375-31-3|reagent=unknown|solvent=68-12-2,False,1643-19-2|3375-31-3,,68-12-2,Ar–Br,Ar,Br,open,neutral,,Ar–B(OH)2,Ar,B(OH)2,open,neutral,,,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""suzuki_miyaura"", ""feature_version"": ""1.0"", ""flags"": [], ""partners"": [{""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–Br"", ""competing_site_labels"": [], ""component_index"": 1, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""flags"": [], ""handle_token"": ""Br"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom7:site0"", ""spectator_group_ids"": [], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–B(OH)2"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""flags"": [], ""handle_token"": ""B(OH)2"", ""nearby_groups"": [], ""role"": ""transfer_partner"", ""site_id"": ""mol0:atom0:site0"", ""spectator_group_ids"": [], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 8, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}]}",[],"Organic Chemistry Frontiers (2015), 2(4), 350-353","stereoselective, Suzuki coupling, Schlenk flask used"
1.0,31-179-CAS-16686634,59,review,missing_suzuki_family_environment|not_verified_as_suzuki_miyaura|reaction_not_exactly_verified,OB(O)c1ccccc1.Brc1ccc(Br)c2nsnc12>>c1ccc(-c2ccc(-c3ccccc3)c3nsnc23)cc1,reactant_grammar_only,,,96.0,,,COND1:catalyst=95408-45-0|reagent=121-44-8|solvent=7732-18-5,True,95408-45-0,121-44-8,7732-18-5,,,,,,,,,,,,,,,[],"Organic Letters (2017), 19(3), 654-657","green chemistry-reagent, Kolliphor EL surfactant used, Suzuki-Miyaura coupling, under air"
