reaction_type,reaction_category,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive
Reduction,,77.02,0.77,Any-Alkene,Any-Alkene,Strykers reagent,Josiphos SL-J002-1,,PhMe,tAmOH
Deoxyfluorination,,16.55,-1.01,R2CH-OH,R2CH-OH,,No Ligand,,DCM,DBU
Deoxyfluorination,,67.09,0.78,R2CH-OH,R2CH-OH,,No Ligand,,DCM,Et3N.3HF
Cn_Coupling,C-N Coupling,17.55,0.18,Ar-Cl,R2CH-NH2,dppf Pd G3,dppf,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,50.6,0.58,Ar-Cl,R2CH-NH2,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,16.28,0.62,Ar-Cl,R2CH-NH2,dppf Pd G3,dppf,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,0,-0.4,R2CH-NH2,Ar-Br,dppf Pd G3,dppf,NaOtBu,PhMe,
Condensation,,38.49,0.37,enolether,Any-OR,,No Ligand,NH3,PhMe,water
Condensation,,19.14,-0.61,R-Cl,R-NH2,,No Ligand,K3PO4,"EtOH, water","TBAB, water"
Condensation,,63.08,1.2,R-Cl,R-NH2,,No Ligand,NMM,MeTHF,water
C_H_Activation,C-H Activation,43.44,2.02,Ar-H,Ar-I,XantPhosPdCl2,XantPhos,K2CO3,DMI,KOAc
Cn_Coupling,C-N Coupling,0,-0.92,Ar-NH2,Ar-Br,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"Dioxane, water",
Snar,,71.37,1.77,Any-CONHR,R2CH-OH,,No Ligand,"DBU, NaOtBu",THF,PyBrOP
Cn_Coupling,C-N Coupling,0,-0.6,AromN-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,0,-0.6,AromN-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"PhMe, water",
Cn_Coupling,C-N Coupling,0,-0.87,AromN-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,water
Cn_Coupling,C-N Coupling,3.77,-0.72,AromN-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"PhMe, water",
Cn_Coupling,C-N Coupling,1.55,-0.21,Ar-Cl,AromN-H,AlphosPd)2cod,AlPhos,K3PO4,PhMe,water
Cn_Coupling,C-N Coupling,0,-0.85,AromN-H,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"PhMe, water",
Cn_Coupling,C-N Coupling,0,-1.05,AromN-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"PhMe, water",
Cn_Coupling,C-N Coupling,100,1.42,Ar-Br,R2CH-NH2,CuI,No Ligand,K3PO4,DMSO,water
Cn_Coupling,C-N Coupling,95.74,1.28,Ar-Br,R2CH-NH2,CuI,No Ligand,K3PO4,DMSO,water
Cn_Coupling,C-N Coupling,75.29,0.6,Ar-Br,R2CH-NH2,Cu2O,No Ligand,K3PO4,"PrOH, water",water
Cn_Coupling,C-N Coupling,93.87,1.22,Ar-Br,R2CH-NH2,Cu2O,No Ligand,K3PO4,"BuOH, DMSO",
Cn_Coupling,C-N Coupling,78.52,1.38,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,PhMe,
Cn_Coupling,C-N Coupling,63.09,0.77,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,0,-1.76,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,MeTHF,water
Cn_Coupling,C-N Coupling,84.01,1.6,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,tAmOH,TBAB
Cn_Coupling,C-N Coupling,95.74,2.08,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,tAmOH,TBAB
Cn_Coupling,C-N Coupling,5.26,-1.55,R-Carbamate,Ar-I,CuI,No Ligand,K2CO3,tAmOH,
Cn_Coupling,C-N Coupling,54.31,0.41,R-Carbamate,Ar-I,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,
