reaction_type,reaction_category,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive
Suzuki_Miyaura,,88.53,-0.38,Ar-Br,Ar-B(OH)2,PPh3)2PdCl2,PPh3,K2CO3,"PhMe, water",
Suzuki_Miyaura,,78.28,1.64,Ar-Br,Ar-B(OH)2,PPh3)2PdCl2,PPh3,Na2CO3,"PhMe, water",
Suzuki_Miyaura,,17.41,-2.06,Ar-Br,Ar-B(OH)2,PPh3)2PdCl2,PPh3,Na2CO3,"PhMe, water",
Cn_Coupling,C-N Coupling,0,-0.4,Ar-Br,R2CH-NHR,rac-BINAP Pd G3,BINAP,LiHMDS,MeTHF,
Cn_Coupling,C-N Coupling,86.94,0.48,Ar-Cl,Ar-NH2,BrettPhos Pd(crotyl)OTf,BrettPhos,K2CO3,PhMe,
Suzuki_Miyaura,,8.74,-0.09,Ar-Br,Alkenyl-B(OR)2,PPh3)2PdCl2,PPh3,Na2CO3,"PhMe, water",
Cn_Coupling,C-N Coupling,0,-0.71,Ar-NH2,Ar-Cl,AlphosPd)2cod,AlPhos,K2CO3,PhMe,
Co_Coupling,,0,-0.37,Ar-Br,Ar-OH,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,PhMe,
Suzuki_Miyaura,,1.91,-2.22,Alkenyl-B(OR)2,Ar-Br,dpppPdCl2,dppp,Na2CO3,"PhMe, water",
Suzuki_Miyaura,,1.46,-1.65,Alkenyl-B(OR)2,Ar-Br,dpppPdCl2,dppp,Na2CO3,"PhMe, water",
Suzuki_Miyaura,,14.38,-0.48,Ar-I,Ar-B(OR)2,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K2CO3,tAmOH,
Cn_Coupling,C-N Coupling,30.11,1.44,Ar-I,Ar-NHR,P(tBu)3 Pd G2,P(tBu)3,K3PO4,PhMe,
Cn_Coupling,C-N Coupling,5.84,-0.24,Ar-I,Ar-NHR,rac-BINAP Pd G3,BINAP,Cs2CO3,MeTHF,
Suzuki_Miyaura,,20.9,-0.48,Ar-Br,Ar-BF3K,PPh3)2PdCl2,PPh3,K2CO3,"PhMe, water",
Suzuki_Miyaura,,0,-1.73,Ar-Br,Ar-B(OH)2,dtbpfPdCl2,dtbpf,K3PO4,"tAmOH, water",
Amide_Formation,,44.64,1.7,R-CO2H,R-NH2,,No Ligand,DIPEA,DCM,PyBrOP
Cn_Coupling,C-N Coupling,29.75,0.8,Ar-OSO2R,R-NH2,AlphosPd)2cod,AlPhos,NaOtBu,MeTHF,
Cn_Coupling,C-N Coupling,0,-0.9,R-NH2,Ar-OSO2R,AlphosPd)2cod,AlPhos,NaOtBu,MeTHF,
Cn_Coupling,C-N Coupling,0,-0.42,Ar-Br,R-NHR,QPhos Pd(crotyl)Cl,QPhos,Na2CO3,"PhMe, water",
C_H_Borylation,,0.32,-0.38,Ar-H,Ar-H,[Ir(cod)Cl]2,dtbpy,,cyclohexane,
Cn_Coupling,C-N Coupling,0,-1,AromN-H,Ar-Cl,(R)-BINAP Pd(allyl)Cl,BINAP,K3PO4,tAmOH,water
Cn_Coupling,C-N Coupling,0,-0.33,Ar-Br,AromN-H,CuI,Salicylaldoxime,Cs2CO3,DMSO,
Cn_Coupling,C-N Coupling,50.09,1.55,Ar-NH2,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,Dioxane,
Amide_Formation,,16.46,-1.7,R2CH-NHR,R-CO2H,,No Ligand,,DCM,"HOSu, EDC"
Amide_Formation,,81.11,0.61,R2CH-NHR,R-CO2H,,No Ligand,,"EtOAc, PhMe","HOPO, DIC"
Amide_Formation,,94.39,1.08,R2CH-NHR,R-CO2H,,No Ligand,,"MeCN, PhMe","HOPO, DIC"
Amide_Formation,,21.76,-0.98,R-NH2,R-NH2,,No Ligand,,anisole,"HOSu, EDC"
Cn_Coupling,C-N Coupling,46.48,0.93,Ar-Br,R-CONH2,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K3PO4,"Dioxane, water",
Hydration,,7.07,-0.01,R-CN,R-CN,,No Ligand,NaHCO3,"anisole, water",TBAHS
Suzuki_Miyaura,,34.97,0.89,Ar-Cl,Ar-B(OR)2,dppfPdCl2,dppf,Cs2CO3,iPrOAc,water
Cn_Coupling,C-N Coupling,87.04,1.35,Ar-NH2,Ar-Cl,BippyPhos Pd(allyl)OTf,BippyPhos,Cs2CO3,MeCN,water
Cn_Coupling,C-N Coupling,9.57,0.05,Ar-Br,AromN-H,tBuXPhos Pd G3,tBuXPhos,K2CO3,MeCN,
Amide_Formation,,73.07,0.78,Ar-NH2,R-CO2H,,No Ligand,NEt3,EtOAc,T3P
Amide_Formation,,66.63,0.58,Ar-NH2,R-CO2H,,No Ligand,NEt3,MeCN,"HOPO, DIC"
Cn_Coupling,C-N Coupling,1.01,-1.26,AromN-H,Ar-Br,CuI,No Ligand,K3PO4,DMSO,
Cn_Coupling,C-N Coupling,0,-0.44,Ar-Cl,R2CH-NHR,dpppPdCl2,dppp,NaOtBu,Dioxane,
Glycosidation,,30.64,-0.29,RCH2-OH,R-Ester,,No Ligand,,anisole,
Glycosidation,,65.86,1.31,RCH2-OH,R-Ester,,No Ligand,,AcOH,
Cn_Coupling,C-N Coupling,17.36,-1.07,AromN-H,Ar-Br,CuI,"4,7-(MeO)2-Phen",K3PO4,DMSO,
Cn_Coupling,C-N Coupling,83.44,1.51,Ar-Br,R2CH-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NaOtBu,Dioxane,
Suzuki_Miyaura,,6.17,1.34,Ar-B(OH)2,R-CONHR,dtbpfPdCl2,dtbpf,"DBU, Na2CO3","acetone, water",PyClOP
Cn_Coupling,C-N Coupling,35.1,-0.61,Ar-Br,R2CH-NH2,XPhos Pd G2,XPhos,Cs2CO3,tAmOH,
Hydrolysis,,0,-0.72,Ar-Br,Ar-Br,MorDalphos Pd G3,MorDalphos,K3PO4,"MeTHF, water",benzaldehyde oxime
Hydrolysis,,9.52,-0.34,Ar-Br,Ar-Br,BrettPhos Pd(crotyl)OTf,BrettPhos,Cs2CO3,tAmOH,B(OH)3
Condensation,,0,-0.26,R-Carbamate,R2CH-NH2,,No Ligand,K3PO4,"anisole, water",BOP-Cl
Amide_Formation,,0,-0.7,R-CO2H,R2CH-NH2,,No Ligand,DBU,THF,T3P
Amide_Formation,,0,-0.7,R-CO2H,R2CH-NH2,,No Ligand,Cs2CO3,,"HOPO, DIC"
Suzuki_Miyaura,,79.5,1.22,Alkenyl-B(OR)2,Ar-Br,PPh3)2PdCl2,PPh3,K3PO4,"MeCN, water",
Stannylation,,1,-0.48,Ar-Br,R-Sn,dppfPdCl2,dppf,,Dioxane,
Stannylation,,0,-0.54,Ar-Br,R-Sn,dppfPdCl2,dppf,,Dioxane,
Cn_Coupling,C-N Coupling,5.25,-0.63,Ar-Cl,R2CH-NH2,BippyPhos Pd(allyl)OTf,BippyPhos,K3PO4,"anisole, water",
Cn_Coupling,C-N Coupling,10.44,-0.37,Ar-Cl,R2CH-NH2,,No Ligand,KF,TPGS-750M,
Cn_Coupling,C-N Coupling,0,-0.52,Ar-Br,R-NH2,QPhos Pd(crotyl)Cl,QPhos,KOH,"tAmOH, water",
Cn_Coupling,C-N Coupling,0,-0.21,R-NH2,Ar-Br,QPhos Pd(crotyl)Cl,QPhos,KHMDS,tAmOH,
Cn_Coupling,C-N Coupling,82.48,1.25,R2CH-NH2,Ar-Br,XantPhosPdCl2,XantPhos,Cs2CO3,MeCN,
Cn_Coupling,C-N Coupling,92.3,1.55,R2CH-NH2,Ar-Br,XantPhosPdCl2,XantPhos,Cs2CO3,tAmOH,
Cn_Coupling,C-N Coupling,23.72,-0.51,R2CH-NH2,Ar-Br,XantPhosPdCl2,XantPhos,Cs2CO3,tAmOH,
Co_Coupling,,0.33,-0.64,Ar-OH,Ar-Br,CuI,"4,7-(MeO)2-Phen",K3PO4,DMAc,
Amide_Formation,,39.8,0.42,R-NHR,R-CO2H,,No Ligand,DIPEA,DMF,PyBrOP
Cn_Coupling,C-N Coupling,0,-0.5,AromN-H,Ar-Br,CuI,"N,N-Dimethylglycine hydrochloride",Cs2CO3,Dioxane,
Condensation,,0,-0.74,Ar-NH2,R-SO2Cl,,No Ligand,Cs2CO3,MeCN,BSTFA
Condensation,,10.04,-0.34,Ar-NH2,R-SO2Cl,,No Ligand,NaOtBu,PhMe,
Condensation,,63.9,1.8,Ar-NH2,R-SO2Cl,,No Ligand,lutidine,MeCN,
Co_Coupling,,0,-0.3,Ar-Br,R2CH-OH,CuI,NN-Dibenzyloxamide,LiHMDS,Dioxane,
Suzuki_Miyaura,,31.59,-1.32,Ar-Br,RCH2-B(OH)2,P(Cy)3 Pd(crotyl)Cl,P(Cy)3,Ag2O,PhMe,
Suzuki_Miyaura,,0.73,-0.97,Ar-B(OH)2,Ar-Br,RuPhos Pd(crotyl)Cl,RuPhos,K2CO3,PhMe,
Suzuki_Miyaura,,17.62,1.47,Ar-B(OH)2,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"TBME, water",
Amide_Formation,,57.47,2.11,R-CO2H,Ar-NH2,,No Ligand,DBU,THF,T3P
Amide_Formation,,19.86,0.27,R-CO2H,Ar-NH2,,No Ligand,NMM,MeCN,"DMF, CyanuricChloride"
Amide_Formation,,0,-0.7,R-CO2H,Ar-NH2,,No Ligand,,acetone,PivCl
Amide_Formation,,0,-0.7,R-CO2H,Ar-NH2,,No Ligand,"lutidine, NEt3",THF,PivCl
Snar,,43.35,1.43,Ar-F,AromN-H,,No Ligand,DBU,DMSO,
Snar,,16.1,-0.28,Ar-F,AromN-H,,No Ligand,K3PO4,DCM,
Arylation_Acidic_C_H,,5.55,-0.11,Ar-Br,R-H-acidic,CuI,Picolinic acid,K3PO4,PhMe,
Arylation_Acidic_C_H,,4.53,-0.18,Ar-Br,R-H-acidic,Me3(OMe)tBuXPhos Pd G3,Me3(OMe)-tBuXPhos,DBU,DMSO,
Arylation_Acidic_C_H,,3.1,-0.26,Ar-Br,R-H-acidic,Me3(OMe)tBuXPhos Pd G3,Me3(OMe)-tBuXPhos,lutidine,DMSO,
Arylation_Acidic_C_H,,0,-0.6,Ar-Br,R-H-acidic,CuI,Picolinic acid,K3PO4,PhMe,
Arylation_Acidic_C_H,,0.94,-0.56,Ar-Br,R-H-acidic,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,KHMDS,PhMe,
Co_Coupling,,4.73,0.41,Ar-OH,Ar-Br,Cu2O,"2,2,6,6-Tetramethyl-3,5-heptanedione",K3PO4,"Propionitrile, water",
Co_Coupling,,52.93,1.47,Ar-OH,Ar-I,CuI,"4,7-(MeO)2-Phen",K3PO4,DMSO,
Co_Coupling,,50.94,1.37,Ar-OH,Ar-I,CuO,bpy,K3PO4,"Propionitrile, water",
Co_Coupling,,2.23,-1.03,Ar-OH,Ar-I,Cu2O,BPPO,K3PO4,"MeCN, water",
Co_Coupling,,8.63,-0.71,Ar-OH,Ar-I,Cu2O,trans-Hyp,K2CO3,Propionitrile,
Co_Coupling,,2.08,-1.04,Ar-OH,Ar-I,Cu2O,NN-Dibenzyloxamide,DBU,MeCN,
Suzuki_Miyaura,,1.3,-1.11,Ar-Cl,Ar-B(OR)2,meCgPPh Pd G3,meCgPPh,K3PO4,"ethylene glycol, water",
Suzuki_Miyaura,,46.73,1.06,Ar-Cl,Ar-B(OR)2,meCgPPh Pd G3,meCgPPh,K3PO4,"MeOH, water",TBAC
C_H_Activation,C-H Activation,0,-0.82,Ar-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,"K2CO3, KOAc",DMSO,
C_H_Activation,C-H Activation,28.15,1.5,Ar-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,K2CO3,"anisole, water",Potassium 2-ethylhexanoate
C_H_Activation,C-H Activation,18.09,0.67,Ar-H,Ar-Cl,XantPhos Pd(allyl)Cl,XantPhos,NaHCO3,"water, xylenes",Potassium 2-ethylhexanoate
Heck,,0,-0.76,Ar-Cl,Any-Alkene,XantPhos Pd(allyl)Cl,XantPhos,DBU,DMSO,
Heck,,17.49,0.57,Ar-Cl,Any-Alkene,QPhos Pd(crotyl)Cl,QPhos,DIPEA,tAmOH,TBAC
Heck,,0,-0.76,Ar-Cl,Any-Alkene,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,TMG,tAmOH,TBAC
Heck,,29.16,1.45,Ar-Cl,Any-Alkene,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,N-Methyldicyclohexylamin,tAmOH,TBAC
Dimerization_Reductive,,11.34,0.04,Ar-OSO2R,Ar-OSO2R,XPhos Pd(crotyl)Cl,XPhos,"K2CO3, Potassium 2-ethylhexanoate","iPrOAc, water",
Dimerization_Reductive,,17.38,0.54,Ar-OSO2R,Ar-OSO2R,meCgPPh Pd G3,meCgPPh,K3PO4,"Propionitrile, water",
Suzuki_Miyaura,,85.97,0.26,Ar-Cl,Ar-B(OH)2,PPh3)2PdCl2,PPh3,K3PO4,"MeCN, water",
Arylation_Acidic_C_H,,16.49,0.62,Ar-Br,R-H-acidic,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,Cs2CO3,Propionitrile,
Arylation_Acidic_C_H,,0,-0.5,Ar-Br,R-H-acidic,RuPhos Pd G4,RuPhos,LiHMDS,PhMe,
Arylation_Acidic_C_H,,0,-0.5,Ar-Br,R-H-acidic,RuPhos Pd G4,RuPhos,LiHMDS,PhMe,
Cn_Coupling,C-N Coupling,0.67,-0.89,Any-CONHR,Ar-Cl,XantPhosPdCl2,XantPhos,K3PO4,"MeCN, water",
Cn_Coupling,C-N Coupling,49.17,0.95,Ar-Cl,Ar-NH2,XantPhos Pd(allyl)Cl,XantPhos,KOH,"MeCN, water",
Cn_Coupling,C-N Coupling,58.3,1.32,Ar-Cl,Ar-NH2,XantPhos Pd(allyl)Cl,XantPhos,KHMDS,PhMe,
C_H_Activation,C-H Activation,25.24,0.9,Ar-H,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,NaHCO3,Propionitrile,TBAB
C_H_Activation,C-H Activation,17.76,0.3,Ar-H,Ar-Br,XantPhos Pd(allyl)Cl,XantPhos,"NaHCO3, Potassium 2-ethylhexanoate","water, xylenes",TBAB
Dehydration,,0,-0.53,R-CONHR,R-CONHR,,No Ligand,NMM,THF,PivCl
Dehydration,,13.35,0.94,R-CONHR,R-CONHR,,No Ligand,DBU,MeCN,PyClOP
Cn_Coupling,C-N Coupling,0,-0.78,Ar-Cl,R2CH-NH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,LiHMDS,PhMe,
Cn_Coupling,C-N Coupling,9.18,-0.37,Ar-Cl,R2CH-NH2,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,Na2CO3,"MeOH, water",
Cn_Coupling,C-N Coupling,23.7,0.28,Ar-Cl,R2CH-NH2,QPhos Pd(crotyl)Cl,QPhos,K3PO4,"MeTHF, water",
Suzuki_Miyaura,,16.03,1.28,Ar-Br,Ar-Br,cataCXiumA Pd G3,CataCXiumA,"K3PO4, Potassium 2-ethylhexanoate","PhMe, water",TBAB
Suzuki_Miyaura,,2.87,-0.81,Ar-Br,Ar-Br,cataCXiumA Pd G3,CataCXiumA,"K3PO4, Potassium 2-ethylhexanoate","PhMe, water",TBAB
Snar,,38.46,0.99,R2CH-OH,Ar-F,,No Ligand,LiHMDS,DMSO,
Suzuki_Miyaura,,0,-0.2,Ar-Br,Ar-Br,AmPhos2PdCl2,AmPhos,K3PO4,"THF, TPGS-750M",
Negishi_In_Situ,,3.1,0.57,R-I,Ar-Br,"Cu2O, Ni(OAc)2",Me4phen,,"1-Octanol, Brij 35",
Miyaura_Borylation,,0,-0.77,Ar-Br,Ar-Br,CataCXiumA Pd(allyl)Cl,CataCXiumA,Potassium 2-ethylhexanoate,"PhMe, water",
Negishi_In_Situ,,0,-0.28,R-I,Ar-Br,VPhos Pd G3,VPhos,,water,"Octanoic acid, TMEDA"
Negishi_In_Situ,,0,-0.13,R-I,Ar-Br,VPhos Pd G3,VPhos,,water,"Octanoic acid, TMEDA"
Condensation,,41.76,0.15,R-Ester,R-NH2,,No Ligand,NaOtBu,MeOH,HFIP
Condensation,,27.11,-0.37,R-Ester,R-NH2,,No Ligand,NaOtBu,"iPrOH, MeOH",TBAB
Condensation,,36.08,-0.05,R-Ester,R-NH2,,No Ligand,NaOtBu,"MeOH, tAmOH",
Amide_Formation,,2.28,-0.62,R-CO2H,Ar-NH2,,No Ligand,DIPEA,DCM,PyBrOP
Arylation_Acidic_C_H,,5.89,-0.59,Ar-Br,R-H-acidic,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,Cs2CO3,MeCN,
Arylation_Acidic_C_H,,45.42,1.7,Ar-Br,R-H-acidic,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,NaH,Dioxane,
Arylation_Acidic_C_H,,36.71,1.2,Ar-Br,R-H-acidic,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,NaH,THF,
Negishi_In_Situ,,34.56,1,Ar-Br,R-Br,AmPhos2PdCl2,AmPhos,,"MeCN, water","Octanoic acid, TMEDA"
Negishi_In_Situ,,14.07,-0.24,Ar-Br,R-Br,AmPhos2PdCl2,AmPhos,,"MeCN, water","Octanoic acid, TMEDA"
Negishi_In_Situ,,5.61,-0.76,Ar-Br,R-Br,AmPhos2PdCl2,AmPhos,,tAmOH,TMEDA
Negishi_In_Situ,,37.59,1.19,Ar-Br,R-Br,AmPhos2PdCl2,AmPhos,,"MeCN, water","Octanoic acid, TMEDA"
Negishi_In_Situ,,31.02,0.79,Ar-Br,R-Br,AmPhos2PdCl2,AmPhos,,"MeCN, water","Octanoic acid, TMEDA"
Cn_Coupling,C-N Coupling,27.22,1.04,Ar-Cl,R-CONH2,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,tAmOH,
Cn_Coupling,C-N Coupling,0,-0.54,Ar-Cl,R-CONH2,dppdtbpf)PdCl2,dppdtbpf,NaHCO3,tAmOH,
Cn_Coupling,C-N Coupling,19.72,0.6,Ar-Cl,R-CONH2,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,KHMDS,MeTHF,
Alkylation,,86.84,0.97,R-OSO2R,AromN-H,,No Ligand,K2CO3,MeCN,
Alkylation,,90.99,1.1,R-OSO2R,AromN-H,,No Ligand,K2CO3,MeCN,LiI
Suzuki_Miyaura,,0,-0.56,Alkenyl-B(OR)2,Ar-Cl,dtbpfPdCl2,dtbpf,K3PO4,"PrOH, water",
Suzuki_Miyaura,,0,-0.56,Alkenyl-B(OR)2,Ar-Cl,meCgPPh Pd G3,meCgPPh,K2CO3,"Brij 35, MeCN",Octanoic acid
Suzuki_Miyaura,,61.76,1.45,Alkenyl-B(OR)2,Ar-Cl,triisobutylphosphatrane Pd G6,triisobutylphosphatrane,K2CO3,"THF, water",Sodium octanoate
Suzuki_Miyaura,,0,-0.56,Alkenyl-B(OR)2,Ar-Cl,dppfPdCl2,dppf,Na2CO3,"THF, water",Sodium octanoate
Alkylation,,10.73,-0.57,R-OSO2R,AromN-H,,No Ligand,K2CO3,MeCN,
Alkylation,,8.46,-0.64,R-OSO2R,AromN-H,,No Ligand,NaH,DMPU,LiI
Suzuki_Miyaura,,63.52,0.65,Alkenyl-B(OR)2,Ar-Br,dtbpfPdCl2,dtbpf,K3PO4,"PrOH, water",
Negishi_In_Situ,,4.12,-0.71,Ar-Br,R-Br,AmPhos2PdCl2,AmPhos,,"MeCN, water","Octanoic acid, TMEDA"
Negishi_In_Situ,,7.96,-0.51,Ar-Br,R-Br,XPhos Pd(crotyl)Cl,XPhos,TMEDA,"MeTHF, TPGS-750M",Octanoic acid
Negishi_In_Situ,,8.82,-0.46,Ar-Br,R-Br,AmPhos2PdCl2,AmPhos,,"Brij 35, PhMe",
Negishi_In_Situ,,30.48,0.66,Ar-Br,R-Br,AmPhos2PdCl2,AmPhos,,"Brij 35, PhMe",
Negishi_In_Situ,,3.13,-0.76,Ar-Br,R-Br,"Cu2O, Ni(OAc)2",Me4phen,,"Brij 35, MeTHF",Potassium 2-ethylhexanoate
Suzuki_Miyaura,,73.06,1.32,Ar-Cl,RCH2-B(OR)2,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"PhMe, water",TBAB
Suzuki_Miyaura,,18.72,-0.51,Ar-Cl,RCH2-B(OR)2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"MeOH, PhMe",
Condensation,,0,-0.44,R-NH2,R-OR,,No Ligand,,HCOOH,
Suzuki_Miyaura,,0,-0.26,Ar-Cl,Ar-Cl,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"MeTHF, water",
Negishi,,12.29,-0.31,Ar-Cl,Ar-Cl,AmPhos2PdCl2,AmPhos,,PhMe,
Negishi,,57.91,1.37,Ar-Cl,Ar-Cl,XPhos Pd(crotyl)Cl,XPhos,,MeCN,
Cn_Coupling,C-N Coupling,0,-0.36,Ar-Cl,R2CH-NHR,dppf Pd G3,dppf,Zinc acetate,Dioxane,
Cyclization,,3.91,-0.39,R-Hydrazine,R-CO2H,,No Ligand,NMM,Propionitrile,PyBrOP
Cyclization,,0,-0.59,R-Hydrazine,R-CO2H,,No Ligand,DBU,DMI,CDI
Suzuki_Miyaura,,85.77,-0.11,Ar-Cl,Ar-B(OH)2,PPh3)2PdCl2,PPh3,K3PO4,"iPrOAc, water",
Addition,,21.1,1.61,R-H-acidic,R-CN,,No Ligand,Zinc acetate,TPGS-750M,
Negishi_In_Situ,,0,-0.37,Ar-Cl,Ar-Br,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,"acetone, Brij 35","Octanoic acid, TMSCl"
Suzuki_In_Situ,,0.2,-0.67,Ar-Br,Alkenyl-I,"CuI, dppfPdCl2",dppf,,Brij 35,
Suzuki_In_Situ,,0,-0.5,Ar-Cl,Ar-Br,SPhos Pd(crotyl)Cl,SPhos,,"Brij 35, PhMe","TMEDA, water"
Suzuki_In_Situ,,1.69,-0.3,Ar-Cl,Ar-Br,cBridP Pd(allyl)Cl,cBridP,,MeTHF,
Hydrolysis,,0,-0.32,Ar-Cl,Ar-Cl,AlphosPd)2cod,AlPhos,K3PO4,"tAmOH, water",benzaldehyde oxime
Cn_Coupling,C-N Coupling,0,-0.74,R2CH-NHR,Ar-Br,rac-BINAP Pd G3,BINAP,Zinc acetate,Dioxane,
Cn_Coupling,C-N Coupling,1.02,-0.69,R2CH-NHR,Ar-Br,RuPhos Pd(crotyl)Cl,RuPhos,Sodium phenoxide,PhMe,
Cn_Coupling,C-N Coupling,0.5,-0.72,R2CH-NHR,Ar-Br,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,NaOtBu,PhMe,
Cn_Coupling,C-N Coupling,0.88,-0.7,R2CH-NHR,Ar-Br,AlPhosPd G6 Br,AlPhos,K3PO4,"MeCN, water",
Cn_Coupling,C-N Coupling,83.16,3.35,R2CH-NHR,Ar-Br,Pd-PEPPSI-IPent Cl 3-chloropyridine,IPENT Cl,NaOtBu,"PhMe, tAmOH",Potassium 2-ethylhexanoate
Cn_Coupling,C-N Coupling,11.2,-0.19,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,10.64,-0.22,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,15.13,0,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,16.25,0.06,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,17.13,0.1,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,0,-0.74,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,6.28,-0.43,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,22.08,0.35,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,2.13,-0.64,R2CH-NHR,Ar-Br,cBridP Pd(allyl)Cl,cBridP,NaOtBu,tAmOH,
Cn_Coupling,C-N Coupling,0,-0.74,R2CH-NHR,Ar-Br,meCgPPh Pd G3,meCgPPh,NaOtBu,CPME,
Cn_Coupling,C-N Coupling,49.23,1.68,R2CH-NHR,Ar-Br,cPhos Pd G3,cPhos,NaOtBu,CPME,
Cn_Coupling,C-N Coupling,7.59,-0.37,R2CH-NHR,Ar-Br,JackiePhos Pd G3,JackiePhos,NaOtBu,CPME,
Cn_Coupling,C-N Coupling,12.15,-0.14,R2CH-NHR,Ar-Br,CyJohnPhos Pd G3,CyJohnPhos,NaOtBu,CPME,
Cn_Coupling,C-N Coupling,8.75,-0.31,R2CH-NHR,Ar-Br,,No Ligand,NaOtBu,"CPME, PhMe",
Cn_Coupling,C-N Coupling,0,-0.74,R2CH-NHR,Ar-Br,RockPhos Pd G6 Br,RockPhos,KOH,"tAmOH, water",
Cn_Coupling,C-N Coupling,61.94,2.31,R2CH-NHR,Ar-Br,,No Ligand,,"HFIP, PhMe",
Cn_Coupling,C-N Coupling,0.75,-0.7,R2CH-NHR,Ar-Br,,No Ligand,KOH,"tAmOH, water",
Cn_Coupling,C-N Coupling,25.45,0.51,R2CH-NHR,Ar-Br,Pd-PEPPSI-IPent Cl 3-chloropyridine,IPENT Cl,NaOtBu,CPME,
Cn_Coupling,C-N Coupling,14.22,1.62,Ar-Cl,R2CH-NH2,,No Ligand,DIPEA,DMSO,ZnBr2
Cn_Coupling,C-N Coupling,0,-0.46,Ar-OH,R2CH-NH2,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,DBU,PhMe,"TBAB, PyBrOP"
Cn_Coupling,C-N Coupling,0.77,-0.37,Ar-OH,R2CH-NH2,,No Ligand,NMI,chlorobenzene,PyBrOP
Cn_Coupling,C-N Coupling,0,-0.81,Ar-Br,Ar-NH2,SPhos Pd(crotyl)Cl,SPhos,TMSOK,PhMe,
Cn_Coupling,C-N Coupling,6.83,-0.34,Ar-Br,Ar-NH2,CuI,"4,7-(MeO)2-Phen",NaOtBu,tAmOH,
Suzuki_In_Situ,,0.71,-0.76,Ar-Br,Ar-Cl,AmPhos Pd(crotyl)Cl,AmPhos,,PhMe,TMSCl
Suzuki_In_Situ,,21.75,0.32,Ar-Br,Ar-Cl,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,"Brij 35, THF",Potassium 2-ethylhexanoate
Suzuki_In_Situ,,19.32,0.2,Ar-Br,Ar-Cl,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,THF,"Brij 35, Octanoic acid"
Suzuki_In_Situ,,9.88,-0.29,Ar-Br,Ar-Cl,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,"THF, water","AcOH, Brij 35"
Suzuki_In_Situ,,0.2,-0.79,Ar-Br,Ar-Cl,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,MeCN,"Brij 35, water"
Suzuki_In_Situ,,10.71,-0.25,Ar-Br,Ar-Cl,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,THF,"Brij 35, Octanoic acid"
Suzuki_In_Situ,,57.96,2.19,Ar-Br,Ar-Cl,,No Ligand,K3PO4,THF,Sodium octanoate
