reaction_id,yield,z_score,reactant_1,reactant_2,reactant_3,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Minisci,93,0.0,R2CH-CO2H,Ar-CO2R,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,O=C(O)C1CCCCC1.COC(=O)c1ccnc2ccccc12>>COC(=O)c1cc(C2CCCCC2)nc2ccccc12,Quinoline / CO2R,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,91,0.0,R2CH-CO2H,Ar-CO2R,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,O=C(O)C1CCCCC1.COC(=O)c1cncc2ccccc12>>COC(=O)c1cnc(C2CCCCC2)c2ccccc12,Isoquinoline / CO2R,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,84,0.0,R2CH-CO2H,R_acidic-H,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,O=C(O)C1CCCCC1.CC(=O)OC[C@H]1O[C@@H](n2cnc3cncnc32)[C@@H](OC(C)=O)[C@@H]1OC(C)=O>>CC(=O)OC[C@H]1O[C@@H](n2cnc3c(C4CCCCC4)ncnc32)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,Pyrimidine / AromN / CO2R / OR,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,87,0.0,R2CH-CO2H,RCH2-NHR,Inorganic,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3/Et3N,,,,HFIP,,1829-26-1,DCM,False,O=C(O)C1CCCCC1.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N1CCCN(S(=O)(=O)c2cccc3c(C4CCCCC4)nccc23)CC1,Isoquinoline / Pyridine / N(R)SO2R / SO2NR2,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,89,0.0,R2CH-CO2H,Ar-Cl,,"Tris(2,2'-bipyridine)ruthenium dichloride",,K2CO3,,,,HFIP,,1829-26-1,,False,O=C(O)C1CCCCC1.Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1>>Fc1ccc(Oc2cc(C3CCCCC3)nc3cc(Cl)cc(Cl)c23)cc1,Quinoline / Cl / F / OR,"Asian Journal of Organic Chemistry (2018), 7(7), 1307-1310"
Minisci,82,0.48,R2CH-CO2H,Ar-Alkyl,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,O=C(O)C1CCCCC1.Cc1ccnc2ccccc12>>Cc1cc(C2CCCCC2)nc2ccccc12,Quinoline,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,80,-0.11,Ar-Alkyl,R2CH-CO2H,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,Cc1ccc2ccccc2n1.O=C(O)C1CCCCC1>>Cc1cc(C2CCCCC2)c2ccccc2n1,Pyridine / Quinoline,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,91,0.0,R2CH-CO2H,Ar-Alkyl,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,O=C(O)C1CCCCC1.Cc1cc2ccccc2cn1>>Cc1cc2ccccc2c(C2CCCCC2)n1,Isoquinoline / Pyridine,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,80,0.0,R2CH-CO2H,Ar-H,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,O=C(O)C1CCCCC1.c1ccc2c(c1)cnc1ccccc12>>c1ccc2c(c1)nc(C1CCCCC1)c1ccccc12,Isoquinoline / Pyridine / Quinoline,"Organic Letters (2018), 20(21), 6863-6867"
Minisci,77,0.0,R2CH-CO2H,Ar-H,,,,,,(NH4)2S2O8,,,,,DMSO/H2O,False,O=C(O)C1CCCCC1.c1ccc2ncncc2c1>>c1ccc2c(C3CCCCC3)ncnc2c1,Pyrimidine,"Organic Letters (2018), 20(21), 6863-6867"
