reaction_id,detected_reaction_type,reaction_smiles,yield,z_score,reactant_1,reactant_2,reactant_3,formed_motifs,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,spectator_groups,reference,Reaction_Key
suzuki_miyaura_sample500,c_h_arylation,COc1ccc(COc2cc3c(cc2OC)CCOB3O)cc1.Clc1cc2ccc3c(c2cn1)OCO3>>COc1ccc(COc2cc(-c3cc4ccc5c(c4cn3)OCO5)c(CCO)cc2OC)cc1,76,-0.92,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,COc1ccc(COc2cc3c(cc2OC)B(O)OCC3)cc1.COc1ccc2cc(Cl)ncc2c1OC>>COc1ccc(COc2cc(CCO)c(-c3cc4ccc(OC)c(OC)c4cn3)cc2OC)cc1,88,0.89,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,OB1OCCc2cc3c(cc21)OCO3.COc1ccc(COc2c(OC)ccc3cc(Cl)ncc23)cc1>>COc1ccc(COc2c(OC)ccc3cc(-c4cc5c(cc4CCO)OCO5)ncc23)cc1,78,-0.62,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,COc1cc2c(cc1OC)B(O)OCC2.COc1ccc(COc2c(OC)ccc3c(C)c(Cl)ncc23)cc1>>COc1ccc(COc2c(OC)ccc3c(C)c(-c4cc(OC)c(OC)cc4CCO)ncc23)cc1,83,0.13,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,COc1ccc(COc2cc3c(cc2OC)CCOB3O)cc1.COc1ccc(COc2ccc3cc(Cl)ncc3c2OC)cc1>>COc1ccc(COc2cc(-c3cc4ccc(OCc5ccc(OC)cc5)c(OC)c4cn3)c(CCO)cc2OC)cc1,76,-0.92,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,COc1cc2c(cc1OC)B(O)OCC2.Clc1cc2ccc3c(c2cn1)OCO3>>COc1cc(CCO)c(-c2cc3ccc4c(c3cn2)OCO4)cc1OC,88,0.89,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,OB1OCCc2cc3c(cc21)OCO3.COc1c(Br)ccc2cc(Br)ncc12>>COc1c(Br)ccc2cc(-c3cc4c(cc3CCO)OCO4)ncc12,73,0.0,Ar-OR,Ar-Br,,Ar-Ar|RCH2-OH,Pd2(dba)3,PPh3,Na2CO3,,,,,,,EtOH/PhMe/H2O,Isoquinoline / Br / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Br -> RCH2-OH || Ar-Alkyl|Ar-Br|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,OB1OCCc2cc3c(cc21)OCO3.COc1ccc(COc2ccc3cc(Cl)ncc3c2OC)cc1>>COc1ccc(COc2ccc3cc(-c4cc5c(cc4CCO)OCO5)ncc3c2OC)cc1,81,-0.17,Ar-OR,Ar-Cl,,Ar-Ar|RCH2-OH,Pd2(dba)3,XPhos,Na2CO3,,,,,,,EtOH/PhMe,Isoquinoline / OR,"Organic Letters (2021), 23(4), 1327-1332",Ar-Cl -> RCH2-OH || Ar-Alkyl|Ar-OR|Isoquinoline
suzuki_miyaura_sample500,c_h_arylation,Cc1ccc2c(c1)C(C)(C)OB2O.Brc1ccc2c(c1)c1cc(Br)ccc1c1c3ccc(Br)cc3c3cc(Br)ccc3c21>>Cc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(C)cc4C(C)(C)O)ccc2c2c4ccc(-c5ccc(C)cc5C(C)(C)O)cc4c4cc(-c5ccc(C)cc5C(C)(C)O)ccc4c32)c(C(C)(C)O)c1,90,-0.71,Ar-Alkyl,Ar-Br,,Ar-Alkyl|Ar-Ar|R3C-OH,dppf-PdCl2,,Na2CO3,,,,,,,DME/H2O,,"Organic Chemistry Frontiers (2021), 8(11), 2393-2401",Ar-Br -> R3C-OH || Ar-Alkyl
suzuki_miyaura_sample500,c_h_arylation,Cc1ccc2c(c1)C(C)(C)OB2O.Brc1ccc2c3ccc(Br)cc3c3c4cc(Br)ccc4c4ccc(Br)cc4c3c2c1>>Cc1ccc(-c2ccc3c4ccc(-c5ccc(C)cc5C(C)(C)O)cc4c4c5cc(-c6ccc(C)cc6C(C)(C)O)ccc5c5ccc(-c6ccc(C)cc6C(C)(C)O)cc5c4c3c2)c(C(C)(C)O)c1,98,0.71,Ar-Alkyl,Ar-Br,,Ar-Alkyl|Ar-Ar|R3C-OH,dppf-PdCl2,,Na2CO3,,,,,,,DME/H2O,,"Organic Chemistry Frontiers (2021), 8(11), 2393-2401",Ar-Br -> R3C-OH || Ar-Alkyl
suzuki_miyaura_sample500,c_h_arylation,Brc1ccc2c(c1)c1cc(Br)ccc1c1c3ccc(Br)cc3c3cc(Br)ccc3c21.COc1ccc2c(c1)C(C)(C)OB2O>>COc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(OC)cc4C(C)(C)O)ccc2c2c4ccc(-c5ccc(OC)cc5C(C)(C)O)cc4c4cc(-c5ccc(OC)cc5C(C)(C)O)ccc4c32)c(C(C)(C)O)c1,77,0.0,Ar-Br,Ar-OR,,Ar-Alkyl|Ar-Ar|Ar-OR|R3C-OH,dppf-PdCl2,,Na2CO3,,,,,,,DME/H2O,OR,"Organic Chemistry Frontiers (2021), 8(11), 2393-2401",Ar-Br -> R3C-OH || Ar-Alkyl|Ar-OR
