identifier,source_field,resolution_status,match_kind,substance_id,canonical_name,role_ids,family_ids,coverage_category,coverage_flags,occurrence_count,dataset_count,datasets,dataset_occurrences_json,reaction_count,reaction_ids
1122-58-3,reagent_cas,resolved,exact_cas,cas:1122-58-3,DMAP,additive|base,lewis_acid_promoters|nucleophilic_catalyst_bases,multiple_roles,MULTIPLE_POSSIBLE_ROLES,6,1,amide_formation,"{""amide_formation"": 6}",6,31-352-CAS-13721263|31-367-CAS-17188533|31-367-CAS-18669776|31-367-CAS-19125376|31-614-CAS-34006118|31-614-CAS-40897516
64-19-7,reagent_cas,resolved,exact_cas,cas:64-19-7,AcOH,additive|solvent,carboxylate_promoters_ch_activation|carboxylic_acids,multiple_roles,MULTIPLE_POSSIBLE_ROLES,5,3,c_n_coupling|c_o_coupling|c_s_coupling,"{""c_n_coupling"": 2, ""c_o_coupling"": 2, ""c_s_coupling"": 1}",5,31-170-CAS-22826945|31-614-CAS-24225456|31-614-CAS-34408153|31-614-CAS-37369898|31-614-CAS-39899848
7440-66-6,reagent_cas,resolved,exact_cas,cas:7440-66-6,Zn,additive|reductant,lewis_acid_promoters|metal_powders,multiple_roles,MULTIPLE_POSSIBLE_ROLES,5,2,c_n_coupling|c_s_coupling,"{""c_n_coupling"": 1, ""c_s_coupling"": 4}",5,31-171-CAS-18010575|31-171-CAS-3467500|31-171-CAS-471706|31-171-CAS-7946800|31-298-CAS-19837381
64-19-7,solvent_cas,resolved,exact_cas,cas:64-19-7,AcOH,additive|solvent,carboxylate_promoters_ch_activation|carboxylic_acids,multiple_roles,MULTIPLE_POSSIBLE_ROLES,4,4,amide_formation|c_n_coupling|c_o_coupling|c_s_coupling,"{""amide_formation"": 1, ""c_n_coupling"": 1, ""c_o_coupling"": 1, ""c_s_coupling"": 1}",4,31-170-CAS-23414106|31-172-CAS-13318707|31-614-CAS-32951108|31-614-CAS-36210008
7440-66-6,catalyst_cas,resolved,exact_cas,cas:7440-66-6,Zn,additive|reductant,lewis_acid_promoters|metal_powders,multiple_roles,MULTIPLE_POSSIBLE_ROLES,4,2,c_n_coupling|c_s_coupling,"{""c_n_coupling"": 1, ""c_s_coupling"": 3}",4,31-172-CAS-22606468|31-614-CAS-24633254|31-614-CAS-24633273|31-614-CAS-24633279
920-66-1,solvent_cas,resolved,exact_cas,cas:920-66-1,HFIP,additive|solvent,fluoride_sources_activators|fluorinated_alcohols,multiple_roles,MULTIPLE_POSSIBLE_ROLES,4,2,c_o_coupling|suzuki_miyaura,"{""c_o_coupling"": 3, ""suzuki_miyaura"": 1}",4,31-614-CAS-37581252|31-614-CAS-37581322|31-614-CAS-37581333|31-614-CAS-41607377
937-14-4,reagent_cas,resolved,exact_cas,cas:937-14-4,3-Chloroperoxybenzoic acid,organic_compound|oxidant,peroxides_hydroperoxides,multiple_roles,MULTIPLE_POSSIBLE_ROLES|GENERIC_AND_SPECIFIC_ROLES,4,2,c_s_coupling|suzuki_miyaura,"{""c_s_coupling"": 2, ""suzuki_miyaura"": 2}",4,31-144-CAS-11274147|31-144-CAS-16190519|31-614-CAS-39519764|31-614-CAS-40245431
76-05-1,catalyst_cas,resolved,exact_cas,cas:76-05-1,TFA,additive|solvent,carboxylic_acids|fluoride_sources_activators,multiple_roles,MULTIPLE_POSSIBLE_ROLES,3,1,c_n_coupling,"{""c_n_coupling"": 3}",3,31-614-CAS-37344679|31-614-CAS-46765518|31-614-CAS-46765522
534-16-7,reagent_cas,resolved,exact_cas,cas:534-16-7,Silver carbonate,additive|oxidant,metal_salt_reoxidants|silver_salts_halide_scavengers,multiple_roles,MULTIPLE_POSSIBLE_ROLES,2,2,c_n_coupling|c_o_coupling,"{""c_n_coupling"": 1, ""c_o_coupling"": 1}",2,31-614-CAS-34797253|31-614-CAS-36552428
110-18-9,catalyst_cas,resolved,exact_cas,cas:110-18-9,TMEDA,base|ligand,diamines|tertiary_amines_aliphatic,multiple_roles,MULTIPLE_POSSIBLE_ROLES,1,1,amide_formation,"{""amide_formation"": 1}",1,31-172-CAS-16282128
142-71-2,reagent_cas,resolved,exact_cas,cas:142-71-2,Copper(II) acetate,metal_catalyst|oxidant,cu_ii_salts|metal_salt_reoxidants,multiple_roles,MULTIPLE_POSSIBLE_ROLES,1,1,amide_formation,"{""amide_formation"": 1}",1,31-574-CAS-10779078
2564-83-2,reagent_cas,resolved,exact_cas,cas:2564-83-2,TEMPO,additive|oxidant,nitroxyl_radical_catalysts|radical_suppressors,multiple_roles,MULTIPLE_POSSIBLE_ROLES,1,1,c_n_coupling,"{""c_n_coupling"": 1}",1,31-614-CAS-24353535
26628-22-8,reagent_cas,resolved,exact_cas,cas:26628-22-8,NaN3,additive|inorganic_compound,al_salt,multiple_roles,MULTIPLE_POSSIBLE_ROLES|GENERIC_AND_SPECIFIC_ROLES,1,1,c_n_coupling,"{""c_n_coupling"": 1}",1,31-172-CAS-22786914
64-19-7,catalyst_cas,resolved,exact_cas,cas:64-19-7,AcOH,additive|solvent,carboxylate_promoters_ch_activation|carboxylic_acids,multiple_roles,MULTIPLE_POSSIBLE_ROLES,1,1,c_o_coupling,"{""c_o_coupling"": 1}",1,31-170-CAS-22724922
75-89-8,solvent_cas,resolved,exact_cas,cas:75-89-8,TFE,additive|solvent,fluoride_sources_activators|fluorinated_alcohols,multiple_roles,MULTIPLE_POSSIBLE_ROLES,1,1,c_n_coupling,"{""c_n_coupling"": 1}",1,31-614-CAS-38484525
76-05-1,solvent_cas,resolved,exact_cas,cas:76-05-1,TFA,additive|solvent,carboxylic_acids|fluoride_sources_activators,multiple_roles,MULTIPLE_POSSIBLE_ROLES,1,1,amide_formation,"{""amide_formation"": 1}",1,31-367-CAS-8462026
