source_reaction_type,reactive_site_1_normalized_label,reactive_site_2_normalized_label,reactive_site_1_display_label,reactive_site_2_display_label,yield_pct,z_score,catalyst,ligand,base,primary_solvent,secondary_solvent,tertiary_solvent,additive,coupling_reagent,procedure_text,reactive_site_1_source_label,reactive_site_1_signature,reactive_site_1_center_class,reactive_site_1_attachment_class,reactive_site_1_alpha_branched,reactive_site_1_qualifier_scope,reactive_site_1_mapping_status,reactive_site_2_source_label,reactive_site_2_signature,reactive_site_2_center_class,reactive_site_2_attachment_class,reactive_site_2_alpha_branched,reactive_site_2_qualifier_scope,reactive_site_2_mapping_status
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,26.5,0.55,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,NaOtBu,PhMe,,,Potassium 2-ethylhexanoate,,3.5 h at 80 °C,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,N-XantPhos Pd G3,N-XantPhos,K3PO4,MeCN,water,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,MeCN,water,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,rac-BINAP Pd G3,BINAP,K3PO4,MeCN,water,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,bridged tBuPhosphinito PdCl2,bridged tBuPhosphinito,K3PO4,MeCN,water,,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,0,-0.75,,No Ligand,K3PO4,MeCN,PhMe,water,,,,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,5.16,-0.49,meCgPPh Pd G3,meCgPPh,KOtBu,CPME,,,,,"3 h at 60 °C, then 3 h at 80 °C",R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,66.63,2.51,,No Ligand,,DMF,tAmOH,,,,"2 h at 60 °C, then 16 h at 80 °C",R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,6.3,-0.44,"Pd-PEPPSI-IPent Cl 3-chloropyridine, XantPhos Pd(allyl)Cl","IPENT Cl, XantPhos",NaOtBu,CPME,,,,,"3.7 h at 60 °C, then 17.8 h at 80 °C",R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Br,R¹R²–NH (≥1 α-C branched),Ar–Br,19.28,0.2,"Pd-PEPPSI-IPent Cl 3-chloropyridine, XantPhos Pd(allyl)Cl","IPENT Cl, XantPhos",NaOtBu,CPME,,,,,"2 h at 60 °C, then 21 h at 80 °C",R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified,ArBr,LG|Ar|Br,,,,,canonical
CN-Coupling,Ar-Cl,R-NH2,Ar–Cl,R–NH₂ (α-C branched),0,-0.47,,No Ligand,Cs2CO3,TPGS-750M,,,BF3.OEt2,,,ArCl,LG|Ar|Cl,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Br,R1R2-NH,Ar–Br,R¹R²–NH,71.74,1.29,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,NaOtBu,PhMe,,,,,"3 h at 60 °C, then 19 h at 80 °C",ArBr,LG|Ar|Br,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
Buchwald-Hartwig,Ar-OH,R-NH2,Ar–OH,R–NH₂ (α-C branched),0,-0.46,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,DBU,MeTHF,,,Sodium trifluoroacetate,PyBrOP,,ArOH,XH|O|H1|Ar,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-OH,R-NH2,Ar–OH,R–NH₂ (α-C branched),0,-0.46,GPhos Pd G6 TES,GPhos,lutidine,PhMe,,,Sodium trifluoroacetate,PyBrOP,,ArOH,XH|O|H1|Ar,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-OH,R-NH2,Ar–OH,R–NH₂ (α-C branched),0,-0.46,,No Ligand,Cs2CO3,DMSO,,,,PyBrOP,,ArOH,XH|O|H1|Ar,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Br,Ar-NH2,Ar–Br,Ar–NH₂,0,-0.81,dcypfPdCl2,dcypf,NaOtBu,PhMe,,,,,,ArBr,LG|Ar|Br,,,,,canonical,ArNH2,XH|N|H2|Ar,primary,,,,canonical
Buchwald-Hartwig,Ar-Br,Ar-NH2,Ar–Br,Ar–NH₂,27.72,1.09,CuI,BTMO,Cs2CO3,DMSO,,,,,6 h at 100 °C,ArBr,LG|Ar|Br,,,,,canonical,ArNH2,XH|N|H2|Ar,primary,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Br,Ar-Cl,Ar–Br,Ar–Cl,4.4,-0.57,AmPhos2PdCl2,AmPhos,,MeCN,,,"Brij 35, Sodium octanoate",,"6 h at 45 °C, then 14 h at 60 °C",ArBr,LG|Ar|Br,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Br,Ar-Cl,Ar–Br,Ar–Cl,5.58,-0.51,P(tBu)(Cy)2)2PdCl2,P(tBu)(Cy)2,,anisole,Brij 35,,Sodium octanoate,,48 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Br,Ar-Cl,Ar–Br,Ar–Cl,10.06,-0.28,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,THF,,,"Brij 35, Octanoic acid",,3 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Br,Ar-Cl,Ar–Br,Ar–Cl,27.27,0.61,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,anisole,,,"Brij 35, Octanoic acid",,"5 h at 20 °C, then 15.5 h at 45 °C",ArBr,LG|Ar|Br,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Br,Ar-Cl,Ar–Br,Ar–Cl,1.26,-0.73,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,THF,,,"Brij 35, water",,"4.5 h at 10 °C, then 65.5 h at 25 °C",ArBr,LG|Ar|Br,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Br,Ar-Cl,Ar–Br,Ar–Cl,40.75,1.3,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,THF,,,"Octanoic acid, water",,3 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Br,Ar-Cl,Ar–Br,Ar–Cl,0,-0.8,AmPhos2PdCl2,AmPhos,,THF,,,Octanoic acid,,,ArBr,LG|Ar|Br,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Br,Ar-Cl,Ar–Br,Ar–Cl,77.32,3.18,,No Ligand,Na2CO3,THF,,,Brij 35,,21 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
"Suzuki-Miyaura, in situ",Ar-Br,Ar-Cl,Ar–Br,Ar–Cl,25.1,0.5,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,THF,,,"AcOH, Brij 35",,1 h at 25 °C,ArBr,LG|Ar|Br,,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,R1R2-NH,Ar-Cl,R¹R²–NH,Ar–Cl,97.79,1.17,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,DBU,PhMe,,,Sodium trifluoroacetate,,3 h at 80 °C,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,Ar-I,R1R2-NH,Ar–I,R¹R²–NH,0.81,-0.19,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,DBU,PhMe,,,Sodium trifluoroacetate,,20 h at 80 °C,ArI,LG|Ar|I,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
Alkylation,R-OSO2R,AromN-H,R–OSO₂R,AromN–H,77.14,2.57,,No Ligand,Cs2CO3,DMF,,,,,46 h at 90 °C,Alkyl-OSO2R,LG|Alkyl|OSO2R,,,,,canonical,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical
Buchwald-Hartwig,Ar-Br,AromN-H,Ar–Br,AromN–H,0.76,-0.2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K2CO3,tAmOH,,,,,4 h at 80 °C,ArBr,LG|Ar|Br,,,,,canonical,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical
Buchwald-Hartwig,Ar-Br,AromN-H,Ar–Br,AromN–H,0,-0.41,cPhos Pd G3,cPhos,Cs2CO3,tAmOH,,,,,,ArBr,LG|Ar|Br,,,,,canonical,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical
Suzuki-Miyaura,Ar-Cl,Alkenyl-B(OR)2,Ar–Cl,Alkenyl–B(OR)₂,69.21,0.85,dtbpfPdCl2,dtbpf,Cs2CO3,iPrOAc,,,"Potassium 2-ethylhexanoate, water",,1 h at 60 °C,ArCl,LG|Ar|Cl,,,,,canonical,alkeneB(OR)2,TM|Alkenyl|B(OR)2,,,,,canonical
Buchwald-Hartwig,R-NH2,Ar-Br,R–NH₂,Ar–Br,0.28,-0.7,Pd-PEPPSI-IHept Cl 3-chloropyridine,IHept Cl,DBU,PhMe,,,Sodium trifluoroacetate,,3 h at 80 °C,RNH2,XH|N|H2|Alkyl,primary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Cyclization,Lactam,R-Cl,Lactam,R–Cl,52.78,2.24,,No Ligand,NaH,DMI,,,,,"2.5 h at 45 °C, then 3 h at 80 °C",Lactam,,,,,,unresolved,Alkyl-Cl,LG|Alkyl|Cl,,,,,canonical
CN-Coupling,Ar-Cl,R1R2-NH,Ar–Cl,R¹R²–NH,66.32,1.59,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,Cs2CO3,PhMe,,,,,68 h at 80 °C,ArCl,LG|Ar|Cl,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
CN-Coupling,Ar-Cl,R1R2-NH,Ar–Cl,R¹R²–NH,0,-1.06,,No Ligand,K3PO4,MeCN,water,,,,,ArCl,LG|Ar|Cl,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
Buchwald-Hartwig,Ar-Cl,AromN-H,Ar–Cl,AromN–H,4.5,-0.39,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,DBU,PhMe,,,Sodium trifluoroacetate,,20 h at 80 °C,ArCl,LG|Ar|Cl,,,,,canonical,arom. NH,XH|N_aromatic|H1|HeteroAr,,,,,canonical
Buchwald-Hartwig,Ar-NH2,Ar-I,Ar–NH₂,Ar–I,1.2,-0.68,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,DBU,PhMe,,,Sodium trifluoroacetate,,22 h at 80 °C,ArNH2,XH|N|H2|Ar,primary,,,,canonical,ArI,LG|Ar|I,,,,,canonical
Buchwald-Hartwig,Ar-NH2,Ar-Cl,Ar–NH₂,Ar–Cl,0,-0.47,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,DBU,PhMe,,,Sodium trifluoroacetate,,,ArNH2,XH|N|H2|Ar,primary,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,Ar-NH2,Ar-Cl,Ar–NH₂,Ar–Cl,0.61,-0.42,MorDalphos Pd G3,MorDalphos,K2CO3,PhMe,,,,,24 h at 80 °C,ArNH2,XH|N|H2|Ar,primary,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Amide coupling,R-NH2,RCO2H or M,R–NH₂ (α-C branched),RCO2H or M,21.91,-0.32,,No Ligand,NEt3,MeCN,,,TBAC,EDC,19 h at 25 °C,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified,RCO2H or M,,,,,,unresolved
Amide coupling,R-NH2,RCO2H or M,R–NH₂ (α-C branched),RCO2H or M,29.9,0.08,,No Ligand,NaHCO3,water,,,HOPO,DIC,5.5 h at 45 °C,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified,RCO2H or M,,,,,,unresolved
Amide coupling,R-NH2,RCO2H or M,R–NH₂ (α-C branched),RCO2H or M,72.59,2.19,,No Ligand,K3PO4,water,,,HOPO,DIC,8.5 h at 25 °C,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified,RCO2H or M,,,,,,unresolved
Buchwald-Hartwig,R-NH2,Ar-Br,R–NH₂,Ar–Br,56.38,1.8,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,PhMe,water,,,,"6 h at 80 °C, then 17 h at 110 °C",RNH2,XH|N|H2|Alkyl,primary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,Ar-Cl,R-NH2,Ar–Cl,R–NH₂ (α-C branched),34.97,2.21,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,Cs2CO3,MeTHF,,,water,,"7 h at 60 °C, then 15 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Cl,R-NH2,Ar–Cl,R–NH₂ (α-C branched),30.44,1.85,cBridP Pd(allyl)Cl,cBridP,KHMDS,PhMe,,,water,,3.5 h at 40 °C,ArCl,LG|Ar|Cl,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Cl,Ar-NH2,Ar–Cl,Ar–NH₂,10.07,-0.48,AlphosPd)2cod,AlPhos,K3PO4,THF,water,,,,"4 h at 40 °C, then 4 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,ArNH2,XH|N|H2|Ar,primary,,,,canonical
Buchwald-Hartwig,Ar-Cl,Ar-NH2,Ar–Cl,Ar–NH₂,39.13,0.69,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K3PO4,tAmOH,water,,,,5 h at 40 °C,ArCl,LG|Ar|Cl,,,,,canonical,ArNH2,XH|N|H2|Ar,primary,,,,canonical
Buchwald-Hartwig,Ar-NH-R,Ar-Cl,Ar–NH–R,Ar–Cl,73.47,0.88,P(tBu)(Cy)2)2PdCl2,P(tBu)(Cy)2,KHMDS,tAmOH,,,,,3 h at 60 °C,ArNHR,"XH|N|H1|Ar,Alkyl",secondary,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,Ar-Cl,Ar-NH-R,Ar–Cl,Ar–NH–R,18.07,-0.96,meCgPPh Pd G3,meCgPPh,LiHMDS,PhMe,,,,,"3 h at 60 °C, then 17 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,ArNHR,"XH|N|H1|Ar,Alkyl",secondary,,,,canonical
Buchwald-Hartwig,Ar-Cl,R1R2-NH,Ar–Cl,R¹R²–NH (≥1 α-C branched),0,-0.69,SPhos Pd(crotyl)Cl,SPhos,LiHMDS,PhMe,,,,,,ArCl,LG|Ar|Cl,,,,,canonical,R2NH a-branch,"XH|N|H1|Alkyl,Alkyl",secondary,,true,any_attached_alkyl,qualified
Buchwald-Hartwig,Ar-Cl,Ar-NH2,Ar–Cl,Ar–NH₂,18.12,0.86,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,KOH,DMAc,water,,,,"3.5 h at 60 °C, then 17.5 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,ArNH2,XH|N|H2|Ar,primary,,,,canonical
Buchwald-Hartwig,Ar-Cl,Ar-NH2,Ar–Cl,Ar–NH₂,0.49,-0.72,N-XantPhos Pd G3,N-XantPhos,LiOH anh,CPME,,,,,"2.5 h at 80 °C, then 17.5 h at 100 °C",ArCl,LG|Ar|Cl,,,,,canonical,ArNH2,XH|N|H2|Ar,primary,,,,canonical
Buchwald-Hartwig,R-NH2,Ar-Cl,R–NH₂ (α-C branched),Ar–Cl,1.39,-1.12,meCgPPh Pd G3,meCgPPh,Cs2CO3,tAmOH,,,,,"3 h at 60 °C, then 19 h at 80 °C",RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified,ArCl,LG|Ar|Cl,,,,,canonical
CN-Coupling,Ar-I,R1R2-NH,Ar–I,R¹R²–NH,3.89,-0.24,CuI,BTMO,Cs2CO3,Dioxane,,,,,15 h at 105 °C,ArI,LG|Ar|I,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
Buchwald-Hartwig,Ar-NH2,Ar-Cl,Ar–NH₂,Ar–Cl,9.99,-0.36,AdBrettPhosPd G6 Br,Ad-BrettPhos,K2CO3,MeCN,,,water,,"4 h at 45 °C, then 18 h at 80 °C",ArNH2,XH|N|H2|Ar,primary,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Buchwald-Hartwig,Ar-NH2,Ar-Cl,Ar–NH₂,Ar–Cl,0.07,-0.66,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,Propionitrile,,,KOAc,,8 h at 80 °C,ArNH2,XH|N|H2|Ar,primary,,,,canonical,ArCl,LG|Ar|Cl,,,,,canonical
Suzuki-Miyaura,Ar-B(OR)2,Ar-Br,Ar–B(OR)₂,Ar–Br,19.67,-0.89,PPh3)2PdCl2,PPh3,K3PO4,MeCN,water,,,,18.5 h at 60 °C,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Suzuki-Miyaura,Ar-B(OR)2,Ar-Br,Ar–B(OR)₂,Ar–Br,18.48,-0.93,cataCXiumA Pd G3,CataCXiumA,K3PO4,PhMe,water,,,,22 h at 60 °C,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Suzuki-Miyaura,Ar-Cl,Ar-B(OR)2,Ar–Cl,Ar–B(OR)₂,0,-0.42,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,NaHCO3,PhMe,water,,MeOH,,,ArCl,LG|Ar|Cl,,,,,canonical,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical
Suzuki-Miyaura,Ar-Cl,Ar-B(OR)2,Ar–Cl,Ar–B(OR)₂,0,-0.42,RockPhos Pd G3,RockPhos,Cs2CO3,TBME,,,water,,,ArCl,LG|Ar|Cl,,,,,canonical,ArB(OR)2,TM|Ar|B(OR)2,,,,,canonical
"Negishi, in-situ",Ar-Br,R-I,Ar–Br,R–I,0,-0.48,"Cu(MeCN)4BF4, Ni(OAc)2",Me4phen,,Brij 35,THF,,,,,ArBr,LG|Ar|Br,,,,,canonical,Alkyl-I,LG|Alkyl|I,,,,,canonical
Buchwald-Hartwig,Ar-Br,R-NH2,Ar–Br,R–NH₂ (α-C branched),60.3,0.91,CuI,trans-Hyp,K3PO4,DMSO,water,,,,20 h at 105 °C,ArBr,LG|Ar|Br,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Buchwald-Hartwig,Ar-Br,R-NH2,Ar–Br,R–NH₂ (α-C branched),64.35,1.11,Cu2O,BPMPO,DBU,DMSO,,,,,3 h at 105 °C,ArBr,LG|Ar|Br,,,,,canonical,RNH2 a-branch,XH|N|H2|Alkyl,primary,,true,attached_alkyl,qualified
Suzuki-Miyaura,Ar-Br,Ar-B(OH)2,Ar–Br,Ar–B(OH)₂,31.11,0.71,XPhos Pd(crotyl)Cl,XPhos,KF,PhMe,water,,,,"3 h at 80 °C, then 33 h at 110 °C",ArBr,LG|Ar|Br,,,,,canonical,ArB(OH)2,TM|Ar|B(OH)2,,,,,canonical
CN-Coupling,Ar-Br,R1R2-NH,Ar–Br,R¹R²–NH,0.5,-0.44,QPhos Pd(crotyl)Cl,QPhos,Cs2CO3,MeCN,,,,,"3.5 h at 80 °C, then 16.5 h at 100 °C",ArBr,LG|Ar|Br,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
CN-Coupling,Ar-Br,R1R2-NH,Ar–Br,R¹R²–NH,8.1,0.25,Jackie CPhos Pd G4,Jackie CPhos,Cs2CO3,tAmOH,,,LiCl,,2 h at 45 °C,ArBr,LG|Ar|Br,,,,,canonical,R2NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,,canonical
Alkylation,R-C(O)-NHR,R-Br,R–C(O)–NHR,R–Br,100,1.3,,No Ligand,Cs2CO3,DMF,,,,,2 h at 45 °C,RCONHR,"XH|N|H1|C(O)R,Alkyl",secondary,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
Alkylation,R-NH2,R-Br,R–NH₂,R–Br,89.89,0.79,,No Ligand,lutidine,DMF,,,,,3 h at 30 °C,RNH2,XH|N|H2|Alkyl,primary,,,,canonical,Alkyl-Br,LG|Alkyl|Br,,,,,canonical
CN-Coupling,R-S(O)2-NHR,Ar-Br,R–S(O)₂–NHR,Ar–Br,7.96,-0.53,CuI,BPMPO,Cs2CO3,DMF,,,,,9 h at 100 °C,RSO2NHR,"XH|N|H1|SO2R,Alkyl",secondary,,,,canonical,ArBr,LG|Ar|Br,,,,,canonical
Buchwald-Hartwig,Ar-Cl,Ar-NH2,Ar–Cl,Ar–NH₂,0.11,-0.5,cataCXiumA Pd G6 Br)2,CataCXiumA,Na2CO3,PhMe,,,,,"3 h at 60 °C, then 17 h at 80 °C",ArCl,LG|Ar|Cl,,,,,canonical,ArNH2,XH|N|H2|Ar,primary,,,,canonical
Suzuki-Miyaura,Ar-Cl,Ar-B(OH)2,Ar–Cl,Ar–B(OH)₂,20.05,2.35,AmPhos Pd(crotyl)Cl,AmPhos,K2CO3,Dioxane,water,,,,3 h at 80 °C,ArCl,LG|Ar|Cl,,,,,canonical,ArB(OH)2,TM|Ar|B(OH)2,,,,,canonical
Suzuki-Miyaura,Ar-Cl,Ar-B(OH)2,Ar–Cl,Ar–B(OH)₂,14.12,1.51,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,K2CO3,Dioxane,,,water,,"1 h at 40 °C, then 2 h at 60 °C",ArCl,LG|Ar|Cl,,,,,canonical,ArB(OH)2,TM|Ar|B(OH)2,,,,,canonical
