fold,group,rows,stage1_spearman,stage1_apyr,stage1_top1_hit_ge_50,stage1_top1_hit_ge_70,stage1_top3_hit_ge_50,stage1_top3_hit_ge_70,stage1_top5_hit_ge_50,stage1_top5_hit_ge_70,stage2_spearman,stage2_apyr,stage2_top1_hit_ge_50,stage2_top1_hit_ge_70,stage2_top3_hit_ge_50,stage2_top3_hit_ge_70,stage2_top5_hit_ge_50,stage2_top5_hit_ge_70,final_spearman,final_apyr,final_top1_hit_ge_50,final_top1_hit_ge_70,final_top3_hit_ge_50,final_top3_hit_ge_70,final_top5_hit_ge_50,final_top5_hit_ge_70
11,COC(=O)c1oc(S(N)(=O)=O)cc1C,222,0.6617035110303038,97.74774774774775,1.0,1.0,1.0,1.0,1.0,1.0,0.7999526169219373,94.74474474474475,1.0,1.0,1.0,1.0,1.0,1.0,0.503370603647884,97.74774774774775,1.0,1.0,1.0,1.0,1.0,1.0
12,COCCCCS(N)(=O)=O,111,0.8532648875326013,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9480009214065586,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6259566299355783,100.0,1.0,1.0,1.0,1.0,1.0,1.0
13,COCCOc1ccccc1S(N)(=O)=O,222,0.6549062052727099,96.17117117117118,1.0,1.0,1.0,1.0,1.0,1.0,0.7554836277320719,97.44744744744746,1.0,1.0,1.0,1.0,1.0,1.0,0.42700167465679545,96.17117117117118,1.0,1.0,1.0,1.0,1.0,1.0
14,COc1cccc(CS(N)(=O)=O)c1,16,0.9176470588235294,93.75,1.0,0.0,1.0,1.0,1.0,1.0,0.8941176470588235,93.75,1.0,0.0,1.0,1.0,1.0,1.0,0.9147058823529413,93.75,1.0,0.0,1.0,1.0,1.0,1.0
15,COc1cccc2c(S(N)(=O)=O)cccc12,111,0.7404609124075813,97.2972972972973,1.0,0.0,1.0,1.0,1.0,1.0,0.7536147948433966,98.79879879879881,1.0,1.0,1.0,1.0,1.0,1.0,0.4239030054175681,97.2972972972973,1.0,0.0,1.0,1.0,1.0,1.0
16,CS(N)(=O)=O,16,0.9294117647058824,81.25,1.0,0.0,1.0,0.0,1.0,0.0,0.8911764705882352,81.25,1.0,0.0,1.0,0.0,1.0,0.0,0.9058823529411765,81.25,1.0,0.0,1.0,0.0,1.0,0.0
17,C[Si](C)(C)CCS(N)(=O)=O,15,0.5392857142857141,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.682142857142857,96.66666666666666,1.0,0.0,1.0,0.0,1.0,0.0,0.5821428571428571,100.0,1.0,0.0,1.0,0.0,1.0,0.0
18,Cc1c(Cl)cccc1S(N)(=O)=O,15,0.6749999999999999,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5142857142857142,76.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6321428571428571,100.0,1.0,0.0,1.0,0.0,1.0,0.0
19,Cc1cc(CS(N)(=O)=O)no1,222,0.6062455083349619,99.0990990990991,1.0,1.0,1.0,1.0,1.0,1.0,0.5283062740454672,99.0990990990991,1.0,1.0,1.0,1.0,1.0,1.0,0.4266149851566713,99.0990990990991,1.0,1.0,1.0,1.0,1.0,1.0
20,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,222,0.8115429853900525,99.0990990990991,1.0,1.0,1.0,1.0,1.0,1.0,0.7466565102011605,93.01801801801803,1.0,1.0,1.0,1.0,1.0,1.0,0.5742272612923909,99.0990990990991,1.0,1.0,1.0,1.0,1.0,1.0
21,Cc1cccnc1S(N)(=O)=O,16,0.2735294117647059,43.75,0.0,0.0,1.0,0.0,1.0,0.0,0.38235294117647056,43.75,0.0,0.0,1.0,0.0,1.0,0.0,0.3382352941176471,43.75,0.0,0.0,0.0,0.0,1.0,0.0
22,Cc1nn(C)cc1S(N)(=O)=O,15,0.7964285714285713,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7035714285714285,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.782142857142857,100.0,1.0,0.0,1.0,0.0,1.0,0.0
23,Cn1cc(S(N)(=O)=O)c2ccccc21,111,0.585957377162164,87.38738738738738,0.0,0.0,0.0,0.0,0.0,0.0,0.6320040477373876,87.38738738738738,0.0,0.0,0.0,0.0,1.0,0.0,0.4195439199777612,87.38738738738738,0.0,0.0,0.0,0.0,0.0,0.0
24,N#CCCCS(N)(=O)=O,222,0.7530143644005732,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0,0.8573774454187801,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0,0.5169556526366458,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0
25,N#Cc1ccccc1CS(N)(=O)=O,16,0.8117647058823528,68.75,1.0,1.0,1.0,1.0,1.0,1.0,0.6176470588235293,68.75,1.0,1.0,1.0,1.0,1.0,1.0,0.7735294117647058,68.75,1.0,1.0,1.0,1.0,1.0,1.0
26,NS(=O)(=O)C(F)(F)F,15,-0.2928571428571428,26.666666666666668,0.0,0.0,1.0,0.0,1.0,0.0,-0.36785714285714277,33.333333333333336,0.0,0.0,0.0,0.0,1.0,0.0,-0.34642857142857136,26.666666666666668,0.0,0.0,0.0,0.0,1.0,0.0
27,NS(=O)(=O)CCc1ccccc1,111,0.7861986359237851,96.3963963963964,1.0,0.0,1.0,1.0,1.0,1.0,0.8777836034234955,90.09009009009009,1.0,0.0,1.0,1.0,1.0,1.0,0.593889924156778,96.3963963963964,1.0,0.0,1.0,1.0,1.0,1.0
28,NS(=O)(=O)Cc1cccc(C(F)(F)F)c1,111,0.7487292662558955,95.4954954954955,1.0,1.0,1.0,1.0,1.0,1.0,0.6530288106123352,95.4954954954955,1.0,1.0,1.0,1.0,1.0,1.0,0.48587831235055395,95.4954954954955,1.0,1.0,1.0,1.0,1.0,1.0
29,NS(=O)(=O)Cc1ccccc1,15,0.5892857142857142,86.66666666666667,1.0,0.0,1.0,0.0,1.0,0.0,0.6642857142857141,86.66666666666667,1.0,0.0,1.0,0.0,1.0,0.0,0.6,86.66666666666667,1.0,0.0,1.0,0.0,1.0,0.0
30,NS(=O)(=O)c1c(Cl)nc2sccn12,16,0.4676470588235294,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,71.875,0.0,0.0,0.0,0.0,0.0,0.0,0.43529411764705883,87.5,0.0,0.0,0.0,0.0,0.0,0.0
31,NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,16,-0.1264705882352941,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22058823529411767,75.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.12058823529411765,75.0,0.0,0.0,0.0,0.0,1.0,0.0
32,NS(=O)(=O)c1c(F)cccc1Br,16,0.9176470588235294,93.75,1.0,0.0,1.0,1.0,1.0,1.0,0.1411764705882353,62.5,0.0,0.0,1.0,0.0,1.0,1.0,0.8617647058823529,93.75,1.0,0.0,1.0,1.0,1.0,1.0
33,NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,111,0.3707135790678906,92.7927927927928,1.0,1.0,1.0,1.0,1.0,1.0,0.3998516988509428,92.7927927927928,1.0,1.0,1.0,1.0,1.0,1.0,0.18433076897068384,92.7927927927928,1.0,1.0,1.0,1.0,1.0,1.0
34,NS(=O)(=O)c1cc(Cl)ccc1[N+](=O)[O-],16,-0.09705882352941177,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5558823529411765,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.047058823529411764,56.25,0.0,0.0,0.0,0.0,1.0,1.0
35,NS(=O)(=O)c1ccc(-c2ccccn2)s1,111,0.7509406943479034,96.3963963963964,1.0,1.0,1.0,1.0,1.0,1.0,0.6182108636160435,96.3963963963964,1.0,1.0,1.0,1.0,1.0,1.0,0.46738579201331837,96.3963963963964,1.0,1.0,1.0,1.0,1.0,1.0
36,NS(=O)(=O)c1ccc(Cl)s1,16,0.4941176470588235,87.5,1.0,0.0,1.0,0.0,1.0,1.0,0.6058823529411764,75.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5323529411764706,87.5,1.0,0.0,1.0,0.0,1.0,1.0
37,NS(=O)(=O)c1ccc(OC(F)(F)F)cc1Cl,15,-0.42142857142857143,53.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.175,76.66666666666667,0.0,0.0,1.0,1.0,1.0,1.0,-0.25,53.333333333333336,0.0,0.0,0.0,0.0,1.0,1.0
38,NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,111,0.5313598252010582,87.38738738738738,1.0,0.0,1.0,0.0,1.0,0.0,0.5150470123157787,39.86486486486486,0.0,0.0,1.0,0.0,1.0,0.0,0.17540002037226715,53.6036036036036,1.0,0.0,1.0,0.0,1.0,0.0
39,NS(=O)(=O)c1ccc2c(c1)CCC2,111,0.8673884190739254,98.1981981981982,1.0,1.0,1.0,1.0,1.0,1.0,0.890967126282088,98.1981981981982,1.0,1.0,1.0,1.0,1.0,1.0,0.6315564499097236,98.1981981981982,1.0,1.0,1.0,1.0,1.0,1.0
40,NS(=O)(=O)c1cccc(F)n1,222,0.5520507760275692,97.97297297297297,1.0,1.0,1.0,1.0,1.0,1.0,0.6577567748328631,98.64864864864865,1.0,1.0,1.0,1.0,1.0,1.0,0.40621317778849875,97.97297297297297,1.0,1.0,1.0,1.0,1.0,1.0
41,NS(=O)(=O)c1cccc2nonc12,16,0.014705882352941175,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2735294117647059,75.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.02058823529411765,75.0,0.0,0.0,0.0,0.0,0.0,0.0
42,NS(=O)(=O)c1ccccc1,16,0.9176470588235294,93.75,1.0,0.0,1.0,0.0,1.0,0.0,0.8647058823529412,90.625,1.0,0.0,1.0,0.0,1.0,0.0,0.8852941176470588,93.75,1.0,0.0,1.0,0.0,1.0,0.0
43,NS(=O)(=O)c1ccccc1I,222,0.6669193188612567,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0,0.6401788990041787,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0,0.5255936696929417,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0
44,NS(=O)(=O)c1cnc(Cl)c(Cl)c1,16,0.40294117647058825,56.25,1.0,1.0,1.0,1.0,1.0,1.0,0.008823529411764706,56.25,1.0,1.0,1.0,1.0,1.0,1.0,0.19117647058823528,56.25,1.0,1.0,1.0,1.0,1.0,1.0
