shortlist_k,w_stage1,w_stage2,apyr_mean,spearman_mean,top1_hit_ge_70,top3_hit_ge_70,objective_score
15,0.0,1.0,81.68453112203112,0.4280402293012594,0.4318181818181818,0.5795454545454546,0.5985000639664999
15,0.1,0.9,81.51181579306581,0.4331807652119534,0.4318181818181818,0.5795454545454546,0.5768631331311772
15,0.2,0.8,80.57674720174721,0.43425423310912864,0.4318181818181818,0.5909090909090909,0.46622097301278353
15,0.3,0.7,81.25611203736204,0.43590823855128547,0.4318181818181818,0.5909090909090909,0.5462031701861345
15,0.4,0.6,82.0760391072891,0.4362041133537286,0.4090909090909091,0.5681818181818182,0.3755826582163
15,0.5,0.5,81.7586762899263,0.4362468879942822,0.42045454545454547,0.5681818181818182,0.45661203252478383
15,0.6,0.4,82.0718587906088,0.43206345266157253,0.42045454545454547,0.5795454545454546,0.4947029619873553
15,0.7,0.30000000000000004,83.01679261906536,0.4294817800960726,0.4318181818181818,0.5568181818181818,0.7118769731068302
15,0.8,0.19999999999999996,83.41802029302029,0.419122134425327,0.4318181818181818,0.5340909090909091,0.7302722949163848
15,0.9,0.09999999999999998,84.33029620529622,0.4174198446425987,0.4318181818181818,0.5340909090909091,0.8358844327018663
15,1.0,0.0,84.48556511056512,0.4207579419714795,0.4318181818181818,0.5340909090909091,0.8529516082756404
20,0.0,1.0,81.67224610974613,0.44782419793279193,0.4318181818181818,0.5795454545454546,0.6146647417939759
20,0.1,0.9,81.52921956046957,0.4534425226712408,0.4318181818181818,0.5795454545454546,0.5971038743046929
20,0.2,0.8,80.58308470808471,0.4544228329286488,0.4318181818181818,0.5795454545454546,0.47668493915425847
20,0.3,0.7,81.27384486759487,0.45685634048262497,0.4318181818181818,0.5909090909090909,0.5670975280524067
20,0.4,0.6,82.0816232037823,0.4571328111109278,0.4090909090909091,0.5681818181818182,0.3949664118371432
20,0.5,0.5,81.7642603864195,0.45708243538949167,0.42045454545454547,0.5681818181818182,0.47591256702539103
20,0.6,0.4,82.0718587906088,0.4528619527967527,0.42045454545454547,0.5795454545454546,0.5132840264782143
20,0.7,0.30000000000000004,83.01679261906536,0.45074688579769284,0.4318181818181818,0.5568181818181818,0.7308748959319664
20,0.8,0.19999999999999996,83.41802029302029,0.4400489033313292,0.4318181818181818,0.5340909090909091,0.7489679527811561
20,0.9,0.09999999999999998,84.33029620529622,0.43800942458393005,0.4318181818181818,0.5340909090909091,0.8542788510610275
20,1.0,0.0,84.48556511056512,0.44072941681657896,0.4318181818181818,0.5340909090909091,0.8707938209189776
25,0.0,1.0,81.67224610974613,0.46138159779310667,0.4318181818181818,0.5795454545454546,0.6267767171525629
25,0.1,0.9,81.52921956046957,0.46704441259310986,0.4318181818181818,0.5795454545454546,0.6092555964093226
25,0.2,0.8,80.58308470808471,0.4680507994456862,0.4318181818181818,0.5795454545454546,0.48885995769340873
