fold,group,rows,stage1_spearman,stage1_apyr,stage1_top1_hit_ge_50,stage1_top1_hit_ge_70,stage1_top3_hit_ge_50,stage1_top3_hit_ge_70,stage1_top5_hit_ge_50,stage1_top5_hit_ge_70,stage2_spearman,stage2_apyr,stage2_top1_hit_ge_50,stage2_top1_hit_ge_70,stage2_top3_hit_ge_50,stage2_top3_hit_ge_70,stage2_top5_hit_ge_50,stage2_top5_hit_ge_70,final_spearman,final_apyr,final_top1_hit_ge_50,final_top1_hit_ge_70,final_top3_hit_ge_50,final_top3_hit_ge_70,final_top5_hit_ge_50,final_top5_hit_ge_70
33,NS(=O)(=O)c1cc(Cl)c(F)cc1Cl,111,0.3707135790678906,92.7927927927928,1.0,1.0,1.0,1.0,1.0,1.0,0.40230876060045484,92.7927927927928,1.0,1.0,1.0,1.0,1.0,1.0,0.20296224891473602,92.7927927927928,1.0,1.0,1.0,1.0,1.0,1.0
34,NS(=O)(=O)c1cc(Cl)ccc1[N+](=O)[O-],16,-0.09705882352941177,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5176470588235293,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2323529411764706,78.125,0.0,0.0,1.0,1.0,1.0,1.0
35,NS(=O)(=O)c1ccc(-c2ccccn2)s1,111,0.7509406943479034,96.3963963963964,1.0,1.0,1.0,1.0,1.0,1.0,0.6163327768812763,96.3963963963964,1.0,1.0,1.0,1.0,1.0,1.0,0.41601081229166026,96.3963963963964,1.0,1.0,1.0,1.0,1.0,1.0
36,NS(=O)(=O)c1ccc(Cl)s1,16,0.4941176470588235,87.5,1.0,0.0,1.0,0.0,1.0,1.0,0.5676470588235295,75.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6058823529411764,75.0,1.0,0.0,1.0,0.0,1.0,1.0
37,NS(=O)(=O)c1ccc(OC(F)(F)F)cc1Cl,15,-0.42142857142857143,53.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.2178571428571428,76.66666666666667,0.0,0.0,1.0,1.0,1.0,1.0,0.06785714285714285,53.333333333333336,0.0,0.0,1.0,1.0,1.0,1.0
38,NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,111,0.5313598252010582,87.38738738738738,1.0,0.0,1.0,0.0,1.0,0.0,0.5105015378270349,39.86486486486486,1.0,0.0,1.0,0.0,1.0,0.0,0.0609588421286139,39.86486486486486,1.0,0.0,1.0,0.0,1.0,0.0
39,NS(=O)(=O)c1ccc2c(c1)CCC2,111,0.8673884190739254,98.1981981981982,1.0,1.0,1.0,1.0,1.0,1.0,0.8860793927819217,98.1981981981982,1.0,1.0,1.0,1.0,1.0,1.0,0.5410247429704095,98.1981981981982,1.0,1.0,1.0,1.0,1.0,1.0
40,NS(=O)(=O)c1cccc(F)n1,222,0.5520507760275692,97.97297297297297,1.0,1.0,1.0,1.0,1.0,1.0,0.6451454571664531,92.94294294294293,1.0,1.0,1.0,1.0,1.0,1.0,0.40108813264830573,94.7072072072072,1.0,1.0,1.0,1.0,1.0,1.0
41,NS(=O)(=O)c1cccc2nonc12,16,0.014705882352941175,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2735294117647059,75.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2029411764705882,75.0,0.0,0.0,1.0,1.0,1.0,1.0
42,NS(=O)(=O)c1ccccc1,16,0.9176470588235294,93.75,1.0,0.0,1.0,0.0,1.0,0.0,0.8823529411764707,90.625,1.0,0.0,1.0,0.0,1.0,0.0,0.8735294117647058,93.75,1.0,0.0,1.0,0.0,1.0,0.0
43,NS(=O)(=O)c1ccccc1I,222,0.6669193188612567,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0,0.6440535660079203,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0,0.4979979834217099,98.42342342342343,1.0,1.0,1.0,1.0,1.0,1.0
44,NS(=O)(=O)c1cnc(Cl)c(Cl)c1,16,0.40294117647058825,56.25,1.0,1.0,1.0,1.0,1.0,1.0,0.03529411764705882,56.25,1.0,1.0,1.0,1.0,1.0,1.0,0.17941176470588235,56.25,1.0,1.0,1.0,1.0,1.0,1.0
