reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-006-CAS-20035200,31-006-CAS-20035200,4.rdf,Kumada coupling,70,,,C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.Nc1c(F)cc(Br)cc1C(F)(F)F,CC(=O)c1cc(F)c(N)c(C(F)(F)F)c1,C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC.Nc1c(F)cc(Br)cc1C(F)(F)F>>CC(=O)c1cc(F)c(N)c(C(F)(F)F)c1,: Preparation of aryl-substituted dihydrooxadiazinones as phosphodiesterase 3 inhibitors useful for treatment of hyperproliferative diseases,"Ellermann, Manuel; Gradl, Stefan Nikolaus; Kopitz, Charlotte Christine; Lange, Martin; Tersteegen, Adrian; Lienau, Philip; Hegele-Hartung, Christa; Suelzle, Detlev; Lewis, Timothy A.; Greulich, Heidi; Wu, Xiaoyun; Meyerson, Matthew; Burgin, Alex","World Intellectual Property Organization, WO2019025562 A1 2019-02-07",": Preparation of aryl-substituted dihydrooxadiazinones as phosphodiesterase 3 inhibitors useful for treatment of hyperproliferative diseases | Ellermann, Manuel; Gradl, Stefan Nikolaus; Kopitz, Charlotte Christine; Lange, Martin; Tersteegen, Adrian; Lienau, Philip; Hegele-Hartung, Christa; Suelzle, Detlev; Lewis, Timothy A.; Greulich, Heidi; Wu, Xiaoyun; Meyerson, Matthew; Burgin, Alex | World Intellectual Property Organization, WO2019025562 A1 2019-02-07","97674-02-7, 875664-46-3",1260895-98-4,7647-01-0,14221-01-3,"123-91-1, 7732-18-5",,,,,,,2,1,70,,,,,,,"{""1"": 70}","[{""index"": 1, ""cas_rn"": ""97674-02-7"", ""smiles"": ""C=[C](OCC)[Sn]([CH2]CCC)([CH2]CCC)[CH2]CCC""}, {""index"": 2, ""cas_rn"": ""875664-46-3"", ""smiles"": ""Nc1c(F)cc(Br)cc1C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""1260895-98-4"", ""yield_pct"": ""70"", ""smiles"": ""CC(=O)c1cc(F)c(N)c(C(F)(F)F)c1""}]","[{""index"": 1, ""cas_rn"": ""7647-01-0""}]","[{""index"": 1, ""cas_rn"": ""14221-01-3""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",Stille coupling (stage 1),
31-176-CAS-13279124,31-176-CAS-13279124,1.rdf,Kumada coupling,92,,,COc1ccc(Cl)cc1.Cc1cccc[c]1[Mg][Cl],COc1ccc(-c2ccccc2C)cc1,COc1ccc(Cl)cc1.Cc1cccc[c]1[Mg][Cl]>>COc1ccc(-c2ccccc2C)cc1,"Synthesis, Characterization, and Catalytic Activity of Nickel(II) Alkyl Complexes Supported by Pyrrole-Diphosphine Ligands","Venkanna, Gopaladasu T.; Tammineni, Swetha; Arman, Hadi D.; Tonzetich, Zachary J.","Organometallics (2013), 32(16), 4656-4663","Synthesis, Characterization, and Catalytic Activity of Nickel(II) Alkyl Complexes Supported by Pyrrole-Diphosphine Ligands | Venkanna, Gopaladasu T.; Tammineni, Swetha; Arman, Hadi D.; Tonzetich, Zachary J. | Organometallics (2013), 32(16), 4656-4663","623-12-1, 33872-80-9",92495-54-0,7732-18-5,1410026-59-3,"108-88-3, 109-99-9",,,,,,"General Procedure for Cross-Coupling Reactions. A Schlenk tube was charged with 2.0 mg (4 μmol) of the desired nickel complex and 3 mL of toluene or THF. The electrophilic coupling partner (1.0 mmol) was then added, followed by the Grignard reagent (1.3 mmol) as a solution in THF. The reaction mixture was stirred at room temperature for 6-12 h before being quenched with 5 mL of deionized water. To the quenched reaction mixture was added 10 mL of diethyl ether, causing separation of the organic layer. The organic layer was extracted and dried over Na2SO4. After filtration and evaporation of the solvents the crude product was purified by column chromatography on Al2O3 (3% EtOAc in hexanes). Yield 92%.",2,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""623-12-1"", ""smiles"": ""COc1ccc(Cl)cc1""}, {""index"": 2, ""cas_rn"": ""33872-80-9"", ""smiles"": ""Cc1cccc[c]1[Mg][Cl]""}]","[{""index"": 1, ""cas_rn"": ""92495-54-0"", ""yield_pct"": ""92"", ""smiles"": ""COc1ccc(-c2ccccc2C)cc1""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","[{""index"": 1, ""cas_rn"": ""1410026-59-3""}]","[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""109-99-9""}]","catalyst prepared and used, Kumada cross-coupling",
31-176-CAS-13281831,31-176-CAS-13281831,3.rdf,Kumada coupling,80,,,Fc1ccc(I)cc1.[Br][Mg][c]1ccccn1,Fc1ccc(-c2ccccn2)cc1,Fc1ccc(I)cc1.[Br][Mg][c]1ccccn1>>Fc1ccc(-c2ccccn2)cc1,Kumada-Corriu Cross-Couplings with 2-Pyridyl Grignard Reagents,"Ackermann, Lutz; Potukuchi, Harish K.; Kapdi, Anant R.; Schulzke, Carola","Chemistry - A European Journal (2010), 16(11), 3300-3303, S3300/1-S3300/47","Kumada-Corriu Cross-Couplings with 2-Pyridyl Grignard Reagents | Ackermann, Lutz; Potukuchi, Harish K.; Kapdi, Anant R.; Schulzke, Carola | Chemistry - A European Journal (2010), 16(11), 3300-3303, S3300/1-S3300/47","352-34-1, 21970-13-8",58861-53-3,,1226769-60-3,109-99-9,,,,,,,1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""352-34-1"", ""smiles"": ""Fc1ccc(I)cc1""}, {""index"": 2, ""cas_rn"": ""21970-13-8"", ""smiles"": ""[Br][Mg][c]1ccccn1""}]","[{""index"": 1, ""cas_rn"": ""58861-53-3"", ""yield_pct"": ""80"", ""smiles"": ""Fc1ccc(-c2ccccn2)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""1226769-60-3""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]","dropwise addition of reagent in substage 1, Kumada-Corriu cross coupling",
31-176-CAS-13302780,31-176-CAS-13302780,2.rdf,Kumada coupling,87,,,COc1ccc(F)cc1.[Br][Mg][c]1ccccc1,COc1ccc(-c2ccccc2)cc1,COc1ccc(F)cc1.[Br][Mg][c]1ccccc1>>COc1ccc(-c2ccccc2)cc1,Air-stable diaminophosphine sulfides as preligands for nickel-catalyzed cross-couplings of unactivated fluoro(hetero)arenes,"Ackermann, Lutz; Wechsler, Cindy; Kapdi, Anant R.; Althammer, Andreas","Synlett (2010), (2), 294-298","Air-stable diaminophosphine sulfides as preligands for nickel-catalyzed cross-couplings of unactivated fluoro(hetero)arenes | Ackermann, Lutz; Wechsler, Cindy; Kapdi, Anant R.; Althammer, Andreas | Synlett (2010), (2), 294-298","459-60-9, 100-58-3",613-37-6,,"3264-82-2, 1220450-25-8",109-99-9,,,,,,"Synthesis of 5a (Table 1, Entry 9); Typical Procedure [Ni(acac)2] (7 mg, 0.03 mmol, 3.0 mol%) and 2 (13 mg, 0.03 mmol, 3.0 mol%) were stirred in THF (2.0 mL) for 10 min at ambient temperature under N2. Compound 3d (126 mg, 1.00 mmol) was added, and the solution was stirred for additional 5 min. Thereafter, 4d (1.75 M in THF, 0.85 mL, 1.50 mmol) was added, and the resulting solution was stirred for 21 h at ambient temperature. EtOAc (75 mL) and H2O (75 mL) were added, and the separated aqueous phase was extracted with EtOAc (2 × 75 mL). The combined organic layers were dried over MgSO4 and concentrated in vacuo. The remaining residue was purified by column chromatography on silica gel (n-hexane-EtOAc, 300:1 → 200:1 → 150:1 → 100:1). yield 5a (160 mg, 87%) as a colorless solid. Mp 88-89 °C; 1H NMR (300 MHz, CDCl3): δ = 7.61-7.51 (m, 4 H), 7.40 (md, J = 8.1 Hz, 2 H), 7.3 (d, J = 7.4 Hz, 1 H), 6.96 (md, J = 8.9 Hz, 2 H), 3.87 (s, 3 H). 13C NMR (75 MHz, CDCl3): δ = 159.1 (Cq), 140.8 (Cq), 133.7 (Cq), 128.7 (CH), 128.1 (CH), 126.7 (CH), 126.6 (CH), 114.2 (CH), 55.3 (OCH3). IR (KBr): 2929, 2839, 1611, 1519, 1487, 1044, 836, 571, 438, 411 cm-1. MS (EI): m/z (%) = 184 (100) [M+], 169 (35), 141 (24), 115 (12), 92 (2), 76 (2), 63 (2). ESI-HRMS: m/z calcd for C13H12O: 184.0888; found: 184.0881. The spectral data are in accordance with those reported in the literature.20",3,1,87,,,,,,,"{""1"": 87}","[{""index"": 1, ""cas_rn"": ""459-60-9"", ""smiles"": ""COc1ccc(F)cc1""}, {""index"": 2, ""cas_rn"": ""100-58-3"", ""smiles"": ""[Br][Mg][c]1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""613-37-6"", ""yield_pct"": ""87"", ""smiles"": ""COc1ccc(-c2ccccc2)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""3264-82-2""}, {""index"": 2, ""cas_rn"": ""1220450-25-8""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]",Kumada-Corriu coupling,
31-176-CAS-13311937,31-176-CAS-13311937,1.rdf,Kumada coupling,99,,,Clc1ccccc1.Cc1cc[c]([Mg][Br])cc1,Cc1ccc(-c2ccccc2)cc1,Clc1ccccc1.Cc1cc[c]([Mg][Br])cc1>>Cc1ccc(-c2ccccc2)cc1,Nickel-Catalyzed Cross-Coupling of Non-Activated or Functionalized Aryl Halides with Aryl Grignard Reagents,"Xie, Lan-Gui; Wang, Zhong-Xia","Chemistry - A European Journal (2010), 16(34), 10332-10336, S10332/1-S10332/49","Nickel-Catalyzed Cross-Coupling of Non-Activated or Functionalized Aryl Halides with Aryl Grignard Reagents | Xie, Lan-Gui; Wang, Zhong-Xia | Chemistry - A European Journal (2010), 16(34), 10332-10336, S10332/1-S10332/49","108-90-7, 4294-57-9",644-08-6,7732-18-5,1254720-69-8,60-29-7,,,,,,,2,1,99,,,,,,,"{""1"": 99}","[{""index"": 1, ""cas_rn"": ""108-90-7"", ""smiles"": ""Clc1ccccc1""}, {""index"": 2, ""cas_rn"": ""4294-57-9"", ""smiles"": ""Cc1cc[c]([Mg][Br])cc1""}]","[{""index"": 1, ""cas_rn"": ""644-08-6"", ""yield_pct"": ""99"", ""smiles"": ""Cc1ccc(-c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","[{""index"": 1, ""cas_rn"": ""1254720-69-8""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}]","alternative preparation shown, Kumada reaction",
31-176-CAS-13312936,31-176-CAS-13312936,2.rdf,Kumada coupling,91,,3.0,[Cl][Mg][c]1ccccc1.COc1cccc(Br)c1,COc1cccc(-c2ccccc2)c1,[Cl][Mg][c]1ccccc1.COc1cccc(Br)c1>>COc1cccc(-c2ccccc2)c1,Copolymer-Incarcerated Nickel Nanoparticles with N-Heterocyclic Carbene Precursors as Active Cross-Linking Agents for Corriu-Kumada-Tamao Reaction,"Soule, Jean-Francois; Miyamura, Hiroyuki; Kobayashi, Shu","Journal of the American Chemical Society (2013), 135(29), 10602-10605","Copolymer-Incarcerated Nickel Nanoparticles with N-Heterocyclic Carbene Precursors as Active Cross-Linking Agents for Corriu-Kumada-Tamao Reaction | Soule, Jean-Francois; Miyamura, Hiroyuki; Kobayashi, Shu | Journal of the American Chemical Society (2013), 135(29), 10602-10605","100-59-4, 2398-37-0",2113-56-6,"64-17-5, 12125-02-9",148695-66-3,"109-99-9, 7732-18-5",,,,"reaction products with a bromoalkyl polystyrene, nickel, LiBEt3H, and DBU",,"General/Typical Procedure: General procedure for the KCT reaction A. PICB-NHC-Ni catalyst 6b (14.5 mg to 19 mg, 0.00013 mmol, 0.25 mol% as Ni) (loading of cat 6b is depending of the lot: 0.086 mmol/g to 0.066 mmol/g) was placed in a Schlenk tube-type and heated with a hair dryer in vacuo for 2 minutes. Aryl, Vinyl, or Alkyl halide (0.5 mmol, 1 equiv) and Grignard reagents (0.63 mmol, 1.25 equiv) were introduced, and then the solvent volume was adjusted with dried and degassed THF to a volume of 0.75 mL. The mixture was stirred for 12 h at room temperature. The reaction was quenched by adding EtOH (0.5 mL). The catalyst was collected by filtration using KIRIYAMAROHTO® funnel and washed with EtOAc. The solution was hydrolyzed with saturated aqueous NH4Cl (10 mL) and the aqueous phase was extracted with EtOAc (3 x 10 mL). The combined organic phases were dried over MgSO4 and the solvent was removed in vacuo. The residue was purified by TLC preparative. 3-bromo""tolyl (61 μL, 0.5 mmol, 1 equiv) and phenylmagnesium chloride (0.32 mL, 0.63 mmol, 2M in THF solution, 1.25 equiv) in THF (0.35 mL). The crude reaction mixture was purified TLC preparative hexane (100%). 1-bromo 3-methoxybenzene (64 μL, 0.5 mmol, 1 equiv) and phenylmagnesium chloride (0.32 mL, 0.63 mmol, 2M in THF solution, 1.25 equiv) in THF (0.35 mL). The crude reaction mixture was purified TLC preparative hexane/Et2O (98:2). 3-Methoxybiphenyl as colorless oil, yield 84 mg, 91%. 1H NMR (600 MHz, CDCl3, 25°C): δ (ppm) 7.61 (d, J = 7 Hz, 2H), 7.45 (t, J = 8.5 Hz, 2H), 7.38-7.35 (m, 2H), 7.20 (d, J = 7 Hz, 1H), 7.15-7.14 (m, 1H), 3.87 (s, 3H); 13C NMR (150 MHz, CDCl3, 25°C): δ (ppm) 160.1, 143.0, 141.2, 129.9, 128.9, 127.6, 127.4, 119.9, 113.1, 112.9, 55.5.",3,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""100-59-4"", ""smiles"": ""[Cl][Mg][c]1ccccc1""}, {""index"": 2, ""cas_rn"": ""2398-37-0"", ""smiles"": ""COc1cccc(Br)c1""}]","[{""index"": 1, ""cas_rn"": ""2113-56-6"", ""yield_pct"": ""91"", ""smiles"": ""COc1cccc(-c2ccccc2)c1""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}, {""index"": 2, ""cas_rn"": ""12125-02-9""}]","[{""index"": 1, ""cas_rn"": ""148695-66-3"", ""amd"": ""reaction products with a bromoalkyl polystyrene, nickel, LiBEt3H, and DBU""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","catalyst prepared and used, catalyst is a reaction product with a bromoalkyl polystyrene, nickel, LiBEt3H, and DBU",
31-176-CAS-13341109,31-176-CAS-13341109,1.rdf,Kumada coupling,98,,,[Br][Mg][c]1ccccc1.Ic1ccccc1,c1ccc(-c2ccccc2)cc1,[Br][Mg][c]1ccccc1.Ic1ccccc1>>c1ccc(-c2ccccc2)cc1,Fluorous Oxime Palladacycle: A Precatalyst for Carbon-Carbon Coupling Reactions in Aqueous and Organic Medium,"Susanto, Woen; Chu, Chi-Yuan; Ang, Wei Jie; Chou, Tzyy-Chao; Lo, Lee-Chiang; Lam, Yulin","Journal of Organic Chemistry (2012), 77(6), 2729-2742","Fluorous Oxime Palladacycle: A Precatalyst for Carbon-Carbon Coupling Reactions in Aqueous and Organic Medium | Susanto, Woen; Chu, Chi-Yuan; Ang, Wei Jie; Chou, Tzyy-Chao; Lo, Lee-Chiang; Lam, Yulin | Journal of Organic Chemistry (2012), 77(6), 2729-2742","100-58-3, 591-50-4",92-52-4,,1356815-59-2,109-99-9,,,,,,"General/Typical Procedure: General Procedure for the Kumada Cross-Coupling between Grignard Reagents with Various Halides under Microwave Heating. To a solution of the respective halide (0.25 mmol) and anhydrous THF (1 mL) in a pressure tube was added palladacycle 1 (0.05 mol %) followed by 1 M Grignard reagent in THF (0.3 mL). The reaction mixture was microwave irradiated (with the heating program starting at 150 W) at 100 °C, and the reaction was monitored by TLC. When the reaction has completed, the reaction mixture was cooled to room temperature, poured into EtOAc (20 mL), and washed successively with water (3 × 10 mL). The organic layer was dried over anhydrous MgSO4, filtered, and concentrated. The crude product obtained was purified by column chromatography. On the basis of the 1H NMR, the purities of compounds were determined to be ≥. Biphenyl (10e), yield 98%. Mp: 66-68 °C (lit.55 mp 66-68 °C). 1H NMR (500 MHz, CDCl3): δ 7.64-7.63 (m, 4H), 7.49-7.46 (m, 4H), 7.40- 7.37 (m, 2H). 13C NMR (125 MHz, CDCl3): δ 141.2, 128.7, 127.2, 127.1. HRMS (EI): calcd for C12H10 154.0783, found 154.0785.",1,1,98,,,,,,,"{""1"": 98}","[{""index"": 1, ""cas_rn"": ""100-58-3"", ""smiles"": ""[Br][Mg][c]1ccccc1""}, {""index"": 2, ""cas_rn"": ""591-50-4"", ""smiles"": ""Ic1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""92-52-4"", ""yield_pct"": ""98"", ""smiles"": ""c1ccc(-c2ccccc2)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""1356815-59-2""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]","green chemistry-catalyst, microwave irradiation (150 W), thermal, alternative preparation shown, Kumada cross-coupling reaction, pressure tube used",
31-176-CAS-13342131,31-176-CAS-13342131,2.rdf,Kumada coupling,89,,,Clc1ccccn1.Cc1cccc[c]1[Mg][Br],Cc1ccccc1-c1ccccn1,Clc1ccccn1.Cc1cccc[c]1[Mg][Br]>>Cc1ccccc1-c1ccccn1,Cross-Coupling of ArX with ArMgBr Catalyzed by N-Heterocyclic Carbene-Based Nickel Complexes,"Guo, Wang-Jun; Wang, Zhong-Xia","Journal of Organic Chemistry (2013), 78(3), 1054-1061","Cross-Coupling of ArX with ArMgBr Catalyzed by N-Heterocyclic Carbene-Based Nickel Complexes | Guo, Wang-Jun; Wang, Zhong-Xia | Journal of Organic Chemistry (2013), 78(3), 1054-1061","109-09-1, 932-31-0",10273-89-9,7732-18-5,1418217-39-6,60-29-7,,,,,,"General/Typical Procedure: General Procedures for the Cross-Coupling Reactions. A Schlenk tube was charged with nickel complex (the amount needed), aryl halide (0.5 mmol) and THF (1.5 mL). To the solution was added dropwise a solution of ArMgBr (1.5 mL, 0.5 M in THF, 0.75 mmol) at 25 °C and the resulting solution stirred for 24 h. The reaction was quenched with water and the mixture was extracted with diethyl ether (3 × 5 mL). The combined organic phases were dried over Na2SO4, concentrated by rotary evaporation and purified by column chromatography on silica gel (eluent: a mixture of petroleum ether and ethyl acetate). Spectral Data of the Cross-Coupling Products. 4-(N,N-Dimethylamino)-2′,5′-dimethylbiphenyl.26 2-o-Tolylpyridine.38 Yield 89%. 1H NMR: δ 2.35 (s, 3H), 7.10−7.18 (m, 1H), 7.21−7.27 (m, 3H), 7.32−7.39 (m, 2H), 7.61−7.68 (m, 1H), 8.66 (d, J = 3.9 Hz, 1H). 13C NMR: δ 20.2, 121.5, 123.9, 125.7, 128.1, 129.5, 130.6, 135.6, 136.0, 140.3, 149.0, 159.9.",2,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""109-09-1"", ""smiles"": ""Clc1ccccn1""}, {""index"": 2, ""cas_rn"": ""932-31-0"", ""smiles"": ""Cc1cccc[c]1[Mg][Br]""}]","[{""index"": 1, ""cas_rn"": ""10273-89-9"", ""yield_pct"": ""89"", ""smiles"": ""Cc1ccccc1-c1ccccn1""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","[{""index"": 1, ""cas_rn"": ""1418217-39-6""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}]","alternative preparation shown, Kumada reaction, dropwise addition of ArMgBr/THF (stage 1)",
31-176-CAS-13344518,31-176-CAS-13344518,1.rdf,Kumada coupling,93,,,Clc1ccccn1.COc1cc[c]([Mg][Br])cc1,COc1ccc(-c2ccccn2)cc1,Clc1ccccn1.COc1cc[c]([Mg][Br])cc1>>COc1ccc(-c2ccccn2)cc1,"Biphenyl-Based Diaminophosphine Oxides as Air-Stable Preligands for the Nickel-Catalyzed Kumada-Tamao-Corriu Coupling of Deactivated Aryl Chlorides, Fluorides, and Tosylates","Jin, Zhong; Li, Yan-Jing; Ma, Yong-Qiang; Qiu, Ling-Ling; Fang, Jian-Xin","Chemistry - A European Journal (2012), 18(2), 446-450, S446/1-S446/93","Biphenyl-Based Diaminophosphine Oxides as Air-Stable Preligands for the Nickel-Catalyzed Kumada-Tamao-Corriu Coupling of Deactivated Aryl Chlorides, Fluorides, and Tosylates | Jin, Zhong; Li, Yan-Jing; Ma, Yong-Qiang; Qiu, Ling-Ling; Fang, Jian-Xin | Chemistry - A European Journal (2012), 18(2), 446-450, S446/1-S446/93","109-09-1, 13139-86-1",5957-90-4,108-90-7,"7791-20-0, 1361965-05-0",109-99-9,,,,,,,1,1,93,,,,,,,"{""1"": 93}","[{""index"": 1, ""cas_rn"": ""109-09-1"", ""smiles"": ""Clc1ccccn1""}, {""index"": 2, ""cas_rn"": ""13139-86-1"", ""smiles"": ""COc1cc[c]([Mg][Br])cc1""}]","[{""index"": 1, ""cas_rn"": ""5957-90-4"", ""yield_pct"": ""93"", ""smiles"": ""COc1ccc(-c2ccccn2)cc1""}]","[{""index"": 1, ""cas_rn"": ""108-90-7""}]","[{""index"": 1, ""cas_rn"": ""7791-20-0""}, {""index"": 2, ""cas_rn"": ""1361965-05-0""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]","chemoselective, no crosscoupling with chlorobenzene observed, competitive experiment, catalyst prepared and used, Kumada-Tamao-Corriu coupling",
31-176-CAS-13371069,31-176-CAS-13371069,5.rdf,Kumada coupling,2,,,Clc1ccc(Cl)s1.[Cl][Zn][c]1ccccc1,c1ccc(-c2ccc(-c3ccccc3)s2)cc1.Clc1ccc(-c2ccccc2)s1,Clc1ccc(Cl)s1.[Cl][Zn][c]1ccccc1>>c1ccc(-c2ccc(-c3ccccc3)s2)cc1.Clc1ccc(-c2ccccc2)s1,Selective and general exhaustive cross-coupling of di-chloroarenes with a deficit of nucleophiles mediated by a Pd-NHC complex,"Groombridge, Benjamin J.; Goldup, Stephen M.; Larrosa, Igor","Chemical Communications (Cambridge, United Kingdom) (2015), 51(18), 3832-3834","Selective and general exhaustive cross-coupling of di-chloroarenes with a deficit of nucleophiles mediated by a Pd-NHC complex | Groombridge, Benjamin J.; Goldup, Stephen M.; Larrosa, Igor | Chemical Communications (Cambridge, United Kingdom) (2015), 51(18), 3832-3834","3172-52-9, 28557-00-8","1445-78-9, 35717-20-5",,1158652-41-5,"109-99-9, 872-50-4",,,,,,,1,1,2,58,,,,,,"{""1"": 2, ""2"": 58}","[{""index"": 1, ""cas_rn"": ""3172-52-9"", ""smiles"": ""Clc1ccc(Cl)s1""}, {""index"": 2, ""cas_rn"": ""28557-00-8"", ""smiles"": ""[Cl][Zn][c]1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1445-78-9"", ""yield_pct"": ""2"", ""smiles"": ""c1ccc(-c2ccc(-c3ccccc3)s2)cc1""}, {""index"": 2, ""cas_rn"": ""35717-20-5"", ""yield_pct"": ""58"", ""smiles"": ""Clc1ccc(-c2ccccc2)s1""}]",[],"[{""index"": 1, ""cas_rn"": ""1158652-41-5""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""872-50-4""}]","microwave irradiation, alternative preparation shown, Negishi coupling",
31-176-CAS-13380208,31-176-CAS-13380208,4.rdf,Kumada coupling,61,,,Cc1ccc2ccccc2c1Br.[Br][Mg][c]1ccccn1,Cc1ccc2ccccc2c1-c1ccccn1,Cc1ccc2ccccc2c1Br.[Br][Mg][c]1ccccn1>>Cc1ccc2ccccc2c1-c1ccccn1,Kumada-Corriu Cross-Couplings with 2-Pyridyl Grignard Reagents,"Ackermann, Lutz; Potukuchi, Harish K.; Kapdi, Anant R.; Schulzke, Carola","Chemistry - A European Journal (2010), 16(11), 3300-3303, S3300/1-S3300/47","Kumada-Corriu Cross-Couplings with 2-Pyridyl Grignard Reagents | Ackermann, Lutz; Potukuchi, Harish K.; Kapdi, Anant R.; Schulzke, Carola | Chemistry - A European Journal (2010), 16(11), 3300-3303, S3300/1-S3300/47","2586-62-1, 21970-13-8",92855-17-9,,"51364-51-3, 131266-79-0",109-99-9,,,,,,,3,1,61,,,,,,,"{""1"": 61}","[{""index"": 1, ""cas_rn"": ""2586-62-1"", ""smiles"": ""Cc1ccc2ccccc2c1Br""}, {""index"": 2, ""cas_rn"": ""21970-13-8"", ""smiles"": ""[Br][Mg][c]1ccccn1""}]","[{""index"": 1, ""cas_rn"": ""92855-17-9"", ""yield_pct"": ""61"", ""smiles"": ""Cc1ccc2ccccc2c1-c1ccccn1""}]",[],"[{""index"": 1, ""cas_rn"": ""51364-51-3""}, {""index"": 2, ""cas_rn"": ""131266-79-0""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]","dropwise addition of reagent in stage 3 substage 1, Kumada-Corriu cross coupling",
31-176-CAS-1338794,31-176-CAS-1338794,1.rdf,Kumada coupling,99,,,Clc1nc2ccccc2o1.Cc1cccc[c]1[Mg][Br],Cc1ccccc1-c1nc2ccccc2o1,Clc1nc2ccccc2o1.Cc1cccc[c]1[Mg][Br]>>Cc1ccccc1-c1nc2ccccc2o1,"Kumada Coupling of Aryl, Heteroaryl, and Vinyl Chlorides Catalyzed by Amido Pincer Nickel Complexes","Liu, Ning; Wang, Zhong-Xia","Journal of Organic Chemistry (2011), 76(24), 10031-10038","Kumada Coupling of Aryl, Heteroaryl, and Vinyl Chlorides Catalyzed by Amido Pincer Nickel Complexes | Liu, Ning; Wang, Zhong-Xia | Journal of Organic Chemistry (2011), 76(24), 10031-10038","615-18-9, 932-31-0",32959-60-7,,1073194-66-7,"60-29-7, 7732-18-5",,,,,,"General/Typical Procedure: (1). Representative Procedure for the Kumada Coupling of Aryl Chlorides. A Schlenk tube was charged with nickel complex 2 (0.05 mL, 0.05 M solution in THF, 0.0025 mmol), THF (1.5 mL), and PhCl (0.056 g, 0.5 mmol). To the solution was added dropwise a solution of p-MeC6H4MgBr (1.5 mL, 0.5 M in THF, 0.75 mmol) at 25 °C with stirring. After stirring at this temperature for 24 h, the reaction mixture was quenched with water and extracted with diethyl ether (3 × 10 mL). The combined organic phases were dried over Na2SO4, concentrated by rotary evaporation, and purified by column chromatography (silica gel, eluted using petroleum ether). p-MeC6H4Ph (0.084 g, 99%). 2-(2′-Methylphenyl)benzoxazole.63 1H NMR (CDCl3): δ 2.68 (s, 3H), 7.13-7.9 (m, 5H), 7.40-7.46 (m, 1H), 7.66-7.69 (m, 1H), 8.03-8.06 (m, 1H). 13C NMR (CDCl3): δ 22.3, 110.5, 120.2, 124.4, 125.1, 126.1, 130.0, 130.9, 131.8, 138.9, 142.3, 150.4, 163.4.",2,1,99,,,,,,,"{""1"": 99}","[{""index"": 1, ""cas_rn"": ""615-18-9"", ""smiles"": ""Clc1nc2ccccc2o1""}, {""index"": 2, ""cas_rn"": ""932-31-0"", ""smiles"": ""Cc1cccc[c]1[Mg][Br]""}]","[{""index"": 1, ""cas_rn"": ""32959-60-7"", ""yield_pct"": ""99"", ""smiles"": ""Cc1ccccc1-c1nc2ccccc2o1""}]",[],"[{""index"": 1, ""cas_rn"": ""1073194-66-7""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",Kumada coupling,
