reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-031-CAS-11801158,31-031-CAS-11801158,Reaction_20251105_1650 (2).rdf,Hydrazinolysis,48,,,O=C(CCl)CCl.Cc1n[nH]c(=NN)n(N)c1=O,CC1=NNC2=NNCC(CCl)=NN2C1=O,O=C(CCl)CCl.Cc1n[nH]c(=NN)n(N)c1=O>>CC1=NNC2=NNCC(CCl)=NN2C1=O,"Facile synthesis of [1,2,4]triazino[4,3-b][1,2,4,5]tetrazepin derivatives by a one-pot reactions using 4-amino-3-hydrazinyl-6-methyl-1,2,4-triazin-5(4H)-one","Vahedi, Hooshang; Rajabzadeh, Ghadir; Farvandi, Fahimeh","Chinese Chemical Letters (2010), 21(12), 1419-1422","Facile synthesis of [1,2,4]triazino[4,3-b][1,2,4,5]tetrazepin derivatives by a one-pot reactions using 4-amino-3-hydrazinyl-6-methyl-1,2,4-triazin-5(4H)-one | Vahedi, Hooshang; Rajabzadeh, Ghadir; Farvandi, Fahimeh | Chinese Chemical Letters (2010), 21(12), 1419-1422","534-07-6, 89124-32-3",1257325-40-8,,7664-93-9,75-05-8,,,,,,,1,1,48,,,,,,,"{""1"": 48}","[{""index"": 1, ""cas_rn"": ""534-07-6"", ""smiles"": ""O=C(CCl)CCl""}, {""index"": 2, ""cas_rn"": ""89124-32-3"", ""smiles"": ""Cc1n[nH]c(=NN)n(N)c1=O""}]","[{""index"": 1, ""cas_rn"": ""1257325-40-8"", ""yield_pct"": ""48"", ""smiles"": ""CC1=NNC2=NNCC(CCl)=NN2C1=O""}]",[],"[{""index"": 1, ""cas_rn"": ""7664-93-9""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","regioselective, solid-supported catalyst (on silica gel)",
31-310-CAS-15713820,31-310-CAS-15713820,Reaction_20251105_1650 (1).rdf,Hydrazinolysis,93,,,O=Cc1ccccc1.NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1,O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccccc2)s1)N/N=C/c1ccccc1,O=Cc1ccccc1.NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1>>O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccccc2)s1)N/N=C/c1ccccc1,"Synthesis of novel 2,5-disubstituted-1,3,4-thiadiazoles clubbed 1,2,4-triazole, 1,3,4-thiadiazole, 1,3,4-oxadiazole and/or schiff base as potential antimicrobial and antiproliferative agents","Rezki, Nadjet; Al-Yahyawi, Amjad M.; Bardaweel, Sanaa K.; Al-Blewi, Fawzia F.; Aouad, Mohamed R.","Molecules (2015), 20(9), 16048-16067","Synthesis of novel 2,5-disubstituted-1,3,4-thiadiazoles clubbed 1,2,4-triazole, 1,3,4-thiadiazole, 1,3,4-oxadiazole and/or schiff base as potential antimicrobial and antiproliferative agents | Rezki, Nadjet; Al-Yahyawi, Amjad M.; Bardaweel, Sanaa K.; Al-Blewi, Fawzia F.; Aouad, Mohamed R. | Molecules (2015), 20(9), 16048-16067","100-52-7, 1870802-65-5",1870802-85-9,,7647-01-0,64-17-5,,,,,,,1,1,93,,,,,,,"{""1"": 93}","[{""index"": 1, ""cas_rn"": ""100-52-7"", ""smiles"": ""O=Cc1ccccc1""}, {""index"": 2, ""cas_rn"": ""1870802-65-5"", ""smiles"": ""NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1""}]","[{""index"": 1, ""cas_rn"": ""1870802-85-9"", ""yield_pct"": ""93"", ""smiles"": ""O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccccc2)s1)N/N=C/c1ccccc1""}]",[],"[{""index"": 1, ""cas_rn"": ""7647-01-0""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",stereoselective,
31-310-CAS-15713821,31-310-CAS-15713821,Reaction_20251105_1650 (1).rdf,Hydrazinolysis,91,,,O=Cc1ccc(F)cc1.NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1,O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccc(F)cc2)s1)N/N=C/c1ccc(F)cc1,O=Cc1ccc(F)cc1.NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1>>O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccc(F)cc2)s1)N/N=C/c1ccc(F)cc1,"Synthesis of novel 2,5-disubstituted-1,3,4-thiadiazoles clubbed 1,2,4-triazole, 1,3,4-thiadiazole, 1,3,4-oxadiazole and/or schiff base as potential antimicrobial and antiproliferative agents","Rezki, Nadjet; Al-Yahyawi, Amjad M.; Bardaweel, Sanaa K.; Al-Blewi, Fawzia F.; Aouad, Mohamed R.","Molecules (2015), 20(9), 16048-16067","Synthesis of novel 2,5-disubstituted-1,3,4-thiadiazoles clubbed 1,2,4-triazole, 1,3,4-thiadiazole, 1,3,4-oxadiazole and/or schiff base as potential antimicrobial and antiproliferative agents | Rezki, Nadjet; Al-Yahyawi, Amjad M.; Bardaweel, Sanaa K.; Al-Blewi, Fawzia F.; Aouad, Mohamed R. | Molecules (2015), 20(9), 16048-16067","459-57-4, 1870802-65-5",1870802-86-0,,7647-01-0,64-17-5,,,,,,,1,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""459-57-4"", ""smiles"": ""O=Cc1ccc(F)cc1""}, {""index"": 2, ""cas_rn"": ""1870802-65-5"", ""smiles"": ""NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1""}]","[{""index"": 1, ""cas_rn"": ""1870802-86-0"", ""yield_pct"": ""91"", ""smiles"": ""O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccc(F)cc2)s1)N/N=C/c1ccc(F)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""7647-01-0""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",stereoselective,
31-310-CAS-15713822,31-310-CAS-15713822,Reaction_20251105_1650 (1).rdf,Hydrazinolysis,94,,,O=Cc1ccc(C(F)(F)F)cc1.NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1,O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccc(C(F)(F)F)cc2)s1)N/N=C/c1ccc(C(F)(F)F)cc1,O=Cc1ccc(C(F)(F)F)cc1.NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1>>O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccc(C(F)(F)F)cc2)s1)N/N=C/c1ccc(C(F)(F)F)cc1,"Synthesis of novel 2,5-disubstituted-1,3,4-thiadiazoles clubbed 1,2,4-triazole, 1,3,4-thiadiazole, 1,3,4-oxadiazole and/or schiff base as potential antimicrobial and antiproliferative agents","Rezki, Nadjet; Al-Yahyawi, Amjad M.; Bardaweel, Sanaa K.; Al-Blewi, Fawzia F.; Aouad, Mohamed R.","Molecules (2015), 20(9), 16048-16067","Synthesis of novel 2,5-disubstituted-1,3,4-thiadiazoles clubbed 1,2,4-triazole, 1,3,4-thiadiazole, 1,3,4-oxadiazole and/or schiff base as potential antimicrobial and antiproliferative agents | Rezki, Nadjet; Al-Yahyawi, Amjad M.; Bardaweel, Sanaa K.; Al-Blewi, Fawzia F.; Aouad, Mohamed R. | Molecules (2015), 20(9), 16048-16067","455-19-6, 1870802-65-5",1870802-87-1,,7647-01-0,64-17-5,,,,,,,1,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""455-19-6"", ""smiles"": ""O=Cc1ccc(C(F)(F)F)cc1""}, {""index"": 2, ""cas_rn"": ""1870802-65-5"", ""smiles"": ""NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1""}]","[{""index"": 1, ""cas_rn"": ""1870802-87-1"", ""yield_pct"": ""94"", ""smiles"": ""O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccc(C(F)(F)F)cc2)s1)N/N=C/c1ccc(C(F)(F)F)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""7647-01-0""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",stereoselective,
31-310-CAS-15713823,31-310-CAS-15713823,Reaction_20251105_1650 (1).rdf,Hydrazinolysis,90,,,O=Cc1ccc(Br)cc1.NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1,O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccc(Br)cc2)s1)N/N=C/c1ccc(Br)cc1,O=Cc1ccc(Br)cc1.NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1>>O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccc(Br)cc2)s1)N/N=C/c1ccc(Br)cc1,"Synthesis of novel 2,5-disubstituted-1,3,4-thiadiazoles clubbed 1,2,4-triazole, 1,3,4-thiadiazole, 1,3,4-oxadiazole and/or schiff base as potential antimicrobial and antiproliferative agents","Rezki, Nadjet; Al-Yahyawi, Amjad M.; Bardaweel, Sanaa K.; Al-Blewi, Fawzia F.; Aouad, Mohamed R.","Molecules (2015), 20(9), 16048-16067","Synthesis of novel 2,5-disubstituted-1,3,4-thiadiazoles clubbed 1,2,4-triazole, 1,3,4-thiadiazole, 1,3,4-oxadiazole and/or schiff base as potential antimicrobial and antiproliferative agents | Rezki, Nadjet; Al-Yahyawi, Amjad M.; Bardaweel, Sanaa K.; Al-Blewi, Fawzia F.; Aouad, Mohamed R. | Molecules (2015), 20(9), 16048-16067","1122-91-4, 1870802-65-5",1870802-88-2,,7647-01-0,64-17-5,,,,,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""1122-91-4"", ""smiles"": ""O=Cc1ccc(Br)cc1""}, {""index"": 2, ""cas_rn"": ""1870802-65-5"", ""smiles"": ""NNC(=O)CCCSc1nnc(SCCCC(=O)NN)s1""}]","[{""index"": 1, ""cas_rn"": ""1870802-88-2"", ""yield_pct"": ""90"", ""smiles"": ""O=C(CCCSc1nnc(SCCCC(=O)N/N=C/c2ccc(Br)cc2)s1)N/N=C/c1ccc(Br)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""7647-01-0""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",stereoselective,
31-310-CAS-1585380,31-310-CAS-1585380,Reaction_20251105_1650 (1).rdf,Hydrazinolysis,79,,,O=Cc1ccc([N+](=O)[O-])cc1.Cc1occc1SCC(=O)NN,Cc1occc1SCC(=O)NN=Cc1ccc([N+](=O)[O-])cc1,O=Cc1ccc([N+](=O)[O-])cc1.Cc1occc1SCC(=O)NN>>Cc1occc1SCC(=O)NN=Cc1ccc([N+](=O)[O-])cc1,Synthesis of S-(2-methylfuran-3-yl) mercapto-acetylhydrazone,"Zhou, Hong-yan; Yu, Ai-nong; Feng, Fu; Hu, Wei-bing","Huaxue Shiji (2012), 34(6), 563-564, 566","Synthesis of S-(2-methylfuran-3-yl) mercapto-acetylhydrazone | Zhou, Hong-yan; Yu, Ai-nong; Feng, Fu; Hu, Wei-bing | Huaxue Shiji (2012), 34(6), 563-564, 566","555-16-8, 1395060-47-5",1395060-55-5,,,64-17-5,,,,,,,1,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""555-16-8"", ""smiles"": ""O=Cc1ccc([N+](=O)[O-])cc1""}, {""index"": 2, ""cas_rn"": ""1395060-47-5"", ""smiles"": ""Cc1occc1SCC(=O)NN""}]","[{""index"": 1, ""cas_rn"": ""1395060-55-5"", ""yield_pct"": ""79"", ""smiles"": ""Cc1occc1SCC(=O)NN=Cc1ccc([N+](=O)[O-])cc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",,
31-310-CAS-1594440,31-310-CAS-1594440,Reaction_20251105_1650 (2).rdf,Hydrazinolysis,52,,,COc1ccc(C=O)cc1.O=C1NC(=S)OC12CCCCC2,COc1ccc(C=NNC2=NC(=O)C3(CCCCC3)O2)cc1,COc1ccc(C=O)cc1.O=C1NC(=S)OC12CCCCC2>>COc1ccc(C=NNC2=NC(=O)C3(CCCCC3)O2)cc1,"Hydrazinolysis of 5,5-dialkyl-2-thioxo-4-oxazolidinones","Davidson, John S.","Journal fuer Praktische Chemie (Leipzig) (1974), 316(6), 1037-40","Hydrazinolysis of 5,5-dialkyl-2-thioxo-4-oxazolidinones | Davidson, John S. | Journal fuer Praktische Chemie (Leipzig) (1974), 316(6), 1037-40","123-11-5, 54671-49-7",54671-46-4,302-01-2,,,,,,,,,1,1,52,,,,,,,"{""1"": 52}","[{""index"": 1, ""cas_rn"": ""123-11-5"", ""smiles"": ""COc1ccc(C=O)cc1""}, {""index"": 2, ""cas_rn"": ""54671-49-7"", ""smiles"": ""O=C1NC(=S)OC12CCCCC2""}]","[{""index"": 1, ""cas_rn"": ""54671-46-4"", ""yield_pct"": ""52"", ""smiles"": ""COc1ccc(C=NNC2=NC(=O)C3(CCCCC3)O2)cc1""}]","[{""index"": 1, ""cas_rn"": ""302-01-2""}]",[],[],,
31-310-CAS-1603072,31-310-CAS-1603072,Reaction_20251105_1650 (1).rdf,Hydrazinolysis,81,,,COc1cc(C=O)ccc1O.NNS(=O)(=O)c1ccc2c(c1)OCCOCCOCCOCCO2,COc1cc(C=NNS(=O)(=O)c2ccc3c(c2)OCCOCCOCCOCCO3)ccc1O,COc1cc(C=O)ccc1O.NNS(=O)(=O)c1ccc2c(c1)OCCOCCOCCOCCO2>>COc1cc(C=NNS(=O)(=O)c2ccc3c(c2)OCCOCCOCCOCCO3)ccc1O,"Synthesis 1,4,7,10,13-benzopentaoxacyclopentadecin-15-sulfonic acid (arylmethylene)hydrazide derivatives and determination of their anion recognition properties","Wei, Tai-Bao; Wang, Jun; Luo, Rong; Zhang, You-Ming","Youji Huaxue (2007), 27(11), 1381-1385","Synthesis 1,4,7,10,13-benzopentaoxacyclopentadecin-15-sulfonic acid (arylmethylene)hydrazide derivatives and determination of their anion recognition properties | Wei, Tai-Bao; Wang, Jun; Luo, Rong; Zhang, You-Ming | Youji Huaxue (2007), 27(11), 1381-1385","121-33-5, 1062323-11-8",1062323-22-1,,,64-17-5,,,,,,"General/Typical Procedure: 10 mL anhydrous ethanol, 0.05 g furfuraldehyde and 0.18 g compound 2 were dissolved in a 25 mL round-bottom flask. The reaction mixture was stirred at room temperature for 3 min, after that large amounts of precipitate formed. The reaction was performed for further 0.5 h. The insoluble substance was filtrated with suction, washed with anhydrous ethanol and recrystallized from DMF-ethanol-H2O to give 3a as an acicular crystal (0.20 g). 3h, 81 %, white solid m.p. 208-209 °C; 1H NMR (DMSO-d6, 300 MHz) δ: 11.01 (s, 1H, NH), 9.52 (s, 1H, OH), 7.79 (s, 1H, CH = N), 6.76-7.45 (m, 6H, ArH), 3.58-4.10 (m, 16H, 4 × OCH2CH2O), 3.42 (s, 3H, CH3O); 13C NMR δ: 152.1, 148.9, 148.0, 147.9, 147.7, 130.5, 125.1, 121.3, 121.2, 115.4, 112.4, 111.8, 109.3, 70.5, 69.6, 68.4, 55.5; IR (KBr) ν: 3186 (NH), 1593 (N=C), 1281, 1040 (Ar-O-CH2), 1137 (CH2-O-CH2) cm-1; MS m/z (%): 496.2 (M+, 0.44), 468.1 (2.86), 300.0 (9.46), 269.1 (3.38), 268.1 (18.32), 182.9 (14.08), 168.0 (26.15), 163.9 (12.64), 151.0 (11.78), 137.0 (100), 136.0 (94.46), 120.9 (27.43), 106.9 (29.36), 79.9 (15.38). Anal. calcd for C22H28N2SO9: C 53.22, H 5.68, N 5.64; found C 53.39, H 5.62, N 5.68.",1,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""121-33-5"", ""smiles"": ""COc1cc(C=O)ccc1O""}, {""index"": 2, ""cas_rn"": ""1062323-11-8"", ""smiles"": ""NNS(=O)(=O)c1ccc2c(c1)OCCOCCOCCOCCO2""}]","[{""index"": 1, ""cas_rn"": ""1062323-22-1"", ""yield_pct"": ""81"", ""smiles"": ""COc1cc(C=NNS(=O)(=O)c2ccc3c(c2)OCCOCCOCCOCCO3)ccc1O""}]",[],[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",,
31-310-CAS-1614613,31-310-CAS-1614613,Reaction_20251105_1650 (1).rdf,Hydrazinolysis,91,,,O=Cc1cccc(Cl)c1.CN1C(=O)NC(=O)CC1=NN,CN1C(=O)NC(=O)CC1=NN=Cc1cccc(Cl)c1,O=Cc1cccc(Cl)c1.CN1C(=O)NC(=O)CC1=NN>>CN1C(=O)NC(=O)CC1=NN=Cc1cccc(Cl)c1,A novel one-pot and efficient procedure for synthesis of new fused uracil derivatives for DNA binding,"Mousa, Bothaina A.; Bayoumi, Ashraf H.; Korraa, Makarem M.; Assy, Mohamed G.; El-Kalyoubi, Samar A.","International Journal of Organic Chemistry (2015), 5(1), 37-47","A novel one-pot and efficient procedure for synthesis of new fused uracil derivatives for DNA binding | Mousa, Bothaina A.; Bayoumi, Ashraf H.; Korraa, Makarem M.; Assy, Mohamed G.; El-Kalyoubi, Samar A. | International Journal of Organic Chemistry (2015), 5(1), 37-47","587-04-2, 66726-98-5",1799795-01-9,,,64-17-5,,,,,,,1,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""587-04-2"", ""smiles"": ""O=Cc1cccc(Cl)c1""}, {""index"": 2, ""cas_rn"": ""66726-98-5"", ""smiles"": ""CN1C(=O)NC(=O)CC1=NN""}]","[{""index"": 1, ""cas_rn"": ""1799795-01-9"", ""yield_pct"": ""91"", ""smiles"": ""CN1C(=O)NC(=O)CC1=NN=Cc1cccc(Cl)c1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",,
31-310-CAS-16290091,31-310-CAS-16290091,Reaction_20251105_1650 (1).rdf,Hydrazinolysis,82,,,O=Cc1c[nH]c2ccccc12.NNC(=O)c1cc2ccccc2[nH]1,O=C(NN=Cc1c[nH]c2ccccc12)c1cc2ccccc2[nH]1,O=Cc1c[nH]c2ccccc12.NNC(=O)c1cc2ccccc2[nH]1>>O=C(NN=Cc1c[nH]c2ccccc12)c1cc2ccccc2[nH]1,Synthesis of new functionalized indoles based on ethyl indol-2-carboxylate,"Boraei, Ahmed T. A.; El Ashry, El Sayed H.; Barakat, Assem; Ghabbour, Hazem A.","Molecules (2016), 21(3), 333/1-333/12","Synthesis of new functionalized indoles based on ethyl indol-2-carboxylate | Boraei, Ahmed T. A.; El Ashry, El Sayed H.; Barakat, Assem; Ghabbour, Hazem A. | Molecules (2016), 21(3), 333/1-333/12","487-89-8, 5055-39-0",15315-75-0,,64-19-7,64-17-5,,,,,,,1,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""487-89-8"", ""smiles"": ""O=Cc1c[nH]c2ccccc12""}, {""index"": 2, ""cas_rn"": ""5055-39-0"", ""smiles"": ""NNC(=O)c1cc2ccccc2[nH]1""}]","[{""index"": 1, ""cas_rn"": ""15315-75-0"", ""yield_pct"": ""82"", ""smiles"": ""O=C(NN=Cc1c[nH]c2ccccc12)c1cc2ccccc2[nH]1""}]",[],"[{""index"": 1, ""cas_rn"": ""64-19-7""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",stereoselective,
31-310-CAS-16290092,31-310-CAS-16290092,Reaction_20251105_1650 (2).rdf,Hydrazinolysis,71,,,O=Cc1cccnc1.NNC(=O)c1cc2ccccc2[nH]1,O=C(N/N=C/c1cccnc1)c1cc2ccccc2[nH]1,O=Cc1cccnc1.NNC(=O)c1cc2ccccc2[nH]1>>O=C(N/N=C/c1cccnc1)c1cc2ccccc2[nH]1,Synthesis of new functionalized indoles based on ethyl indol-2-carboxylate,"Boraei, Ahmed T. A.; El Ashry, El Sayed H.; Barakat, Assem; Ghabbour, Hazem A.","Molecules (2016), 21(3), 333/1-333/12","Synthesis of new functionalized indoles based on ethyl indol-2-carboxylate | Boraei, Ahmed T. A.; El Ashry, El Sayed H.; Barakat, Assem; Ghabbour, Hazem A. | Molecules (2016), 21(3), 333/1-333/12","500-22-1, 5055-39-0",1812875-76-5,,64-19-7,64-17-5,,,,,,,1,1,71,,,,,,,"{""1"": 71}","[{""index"": 1, ""cas_rn"": ""500-22-1"", ""smiles"": ""O=Cc1cccnc1""}, {""index"": 2, ""cas_rn"": ""5055-39-0"", ""smiles"": ""NNC(=O)c1cc2ccccc2[nH]1""}]","[{""index"": 1, ""cas_rn"": ""1812875-76-5"", ""yield_pct"": ""71"", ""smiles"": ""O=C(N/N=C/c1cccnc1)c1cc2ccccc2[nH]1""}]",[],"[{""index"": 1, ""cas_rn"": ""64-19-7""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",stereoselective,
31-310-CAS-16290093,31-310-CAS-16290093,Reaction_20251105_1650 (2).rdf,Hydrazinolysis,60,,,CC(=O)c1ccccc1N.NNC(=O)c1cc2ccccc2[nH]1,CC(=NNC(=O)c1cc2ccccc2[nH]1)c1ccccc1N,CC(=O)c1ccccc1N.NNC(=O)c1cc2ccccc2[nH]1>>CC(=NNC(=O)c1cc2ccccc2[nH]1)c1ccccc1N,Synthesis of new functionalized indoles based on ethyl indol-2-carboxylate,"Boraei, Ahmed T. A.; El Ashry, El Sayed H.; Barakat, Assem; Ghabbour, Hazem A.","Molecules (2016), 21(3), 333/1-333/12","Synthesis of new functionalized indoles based on ethyl indol-2-carboxylate | Boraei, Ahmed T. A.; El Ashry, El Sayed H.; Barakat, Assem; Ghabbour, Hazem A. | Molecules (2016), 21(3), 333/1-333/12","551-93-9, 5055-39-0",2043668-94-4,,64-19-7,64-17-5,,,,,,,1,1,60,,,,,,,"{""1"": 60}","[{""index"": 1, ""cas_rn"": ""551-93-9"", ""smiles"": ""CC(=O)c1ccccc1N""}, {""index"": 2, ""cas_rn"": ""5055-39-0"", ""smiles"": ""NNC(=O)c1cc2ccccc2[nH]1""}]","[{""index"": 1, ""cas_rn"": ""2043668-94-4"", ""yield_pct"": ""60"", ""smiles"": ""CC(=NNC(=O)c1cc2ccccc2[nH]1)c1ccccc1N""}]",[],"[{""index"": 1, ""cas_rn"": ""64-19-7""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",stereoselective,
31-310-CAS-16290094,31-310-CAS-16290094,Reaction_20251105_1650 (1).rdf,Hydrazinolysis,90,,,O=Cc1ccc(C=O)cc1.NNC(=O)c1cc2ccccc2[nH]1,O=C(NN=Cc1ccc(C=NNC(=O)c2cc3ccccc3[nH]2)cc1)c1cc2ccccc2[nH]1,O=Cc1ccc(C=O)cc1.NNC(=O)c1cc2ccccc2[nH]1>>O=C(NN=Cc1ccc(C=NNC(=O)c2cc3ccccc3[nH]2)cc1)c1cc2ccccc2[nH]1,Synthesis of new functionalized indoles based on ethyl indol-2-carboxylate,"Boraei, Ahmed T. A.; El Ashry, El Sayed H.; Barakat, Assem; Ghabbour, Hazem A.","Molecules (2016), 21(3), 333/1-333/12","Synthesis of new functionalized indoles based on ethyl indol-2-carboxylate | Boraei, Ahmed T. A.; El Ashry, El Sayed H.; Barakat, Assem; Ghabbour, Hazem A. | Molecules (2016), 21(3), 333/1-333/12","623-27-8, 5055-39-0",1789710-64-0,,64-19-7,64-17-5,,,,,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""623-27-8"", ""smiles"": ""O=Cc1ccc(C=O)cc1""}, {""index"": 2, ""cas_rn"": ""5055-39-0"", ""smiles"": ""NNC(=O)c1cc2ccccc2[nH]1""}]","[{""index"": 1, ""cas_rn"": ""1789710-64-0"", ""yield_pct"": ""90"", ""smiles"": ""O=C(NN=Cc1ccc(C=NNC(=O)c2cc3ccccc3[nH]2)cc1)c1cc2ccccc2[nH]1""}]",[],"[{""index"": 1, ""cas_rn"": ""64-19-7""}]","[{""index"": 1, ""cas_rn"": ""64-17-5""}]",stereoselective,
31-310-CAS-16545384,31-310-CAS-16545384,Reaction_20251105_1650 (2).rdf,Hydrazinolysis,56,,,Cn1c(=O)c(C(=O)CC(=O)O)c(O)c2ccccc21,Cn1c(=O)c(C2=NNC(=O)C2)c(O)c2ccccc21,Cn1c(=O)c(C(=O)CC(=O)O)c(O)c2ccccc21>>Cn1c(=O)c(C2=NNC(=O)C2)c(O)c2ccccc21,"Substituted Quinolinones. Part 16. Preparation and reactions of 3-(4-hydroxy-1-methyl-2-oxo-1,2-dihydro-3-quinolinyl)-3-oxopropanoic acid","Abass, Mohamed; Ali Mohamed, Elhossain; Ismail, Mostafa Mohamed; Mayas, Aisha Saleh","European Journal of Chemistry (2011), 2(3), 378-387","Substituted Quinolinones. Part 16. Preparation and reactions of 3-(4-hydroxy-1-methyl-2-oxo-1,2-dihydro-3-quinolinyl)-3-oxopropanoic acid | Abass, Mohamed; Ali Mohamed, Elhossain; Ismail, Mostafa Mohamed; Mayas, Aisha Saleh | European Journal of Chemistry (2011), 2(3), 378-387",1375007-02-5,329713-55-5,7803-57-8,,68-12-2,,,,,,,1,1,56,,,,,,,"{""1"": 56}","[{""index"": 1, ""cas_rn"": ""1375007-02-5"", ""smiles"": ""Cn1c(=O)c(C(=O)CC(=O)O)c(O)c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""329713-55-5"", ""yield_pct"": ""56"", ""smiles"": ""Cn1c(=O)c(C2=NNC(=O)C2)c(O)c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""7803-57-8""}]",[],"[{""index"": 1, ""cas_rn"": ""68-12-2""}]",alternative preparation shown,
31-310-CAS-16551493,31-310-CAS-16551493,Reaction_20251105_1650 (2).rdf,Hydrazinolysis,75,,,NNc1ccccc1.O=C(CC(C(=O)O)C1CCCCC1=O)c1ccc(Br)cc1,O=C(O)C1CC(c2ccc(Br)cc2)=NN(c2ccccc2)C2=C1CCCC2,NNc1ccccc1.O=C(CC(C(=O)O)C1CCCCC1=O)c1ccc(Br)cc1>>O=C(O)C1CC(c2ccc(Br)cc2)=NN(c2ccccc2)C2=C1CCCC2,Aza- and carba-Michael adducts as building blocks in heterocyclic synthesis,"El-Hashash, Maher A.; Rizk, Sameh A.; El-Badry, Yaser A.","International Journal of Basic Medical Sciences and Pharmacy (2012), 2(1), 28-38","Aza- and carba-Michael adducts as building blocks in heterocyclic synthesis | El-Hashash, Maher A.; Rizk, Sameh A.; El-Badry, Yaser A. | International Journal of Basic Medical Sciences and Pharmacy (2012), 2(1), 28-38","100-63-0, 1395225-51-0",1395225-53-2,,,64-17-5,,,,,,,1,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""100-63-0"", ""smiles"": ""NNc1ccccc1""}, {""index"": 2, ""cas_rn"": ""1395225-51-0"", ""smiles"": ""O=C(CC(C(=O)O)C1CCCCC1=O)c1ccc(Br)cc1""}]","[{""index"": 1, ""cas_rn"": ""1395225-53-2"", ""yield_pct"": ""75"", ""smiles"": ""O=C(O)C1CC(c2ccc(Br)cc2)=NN(c2ccccc2)C2=C1CCCC2""}]",[],[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",,
