reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-010-CAS-12705523,31-010-CAS-12705523,Reaction_20251110_1415.rdf,Swern oxidation,98,,,C[Si](C)(C)OS(=O)(=O)C(F)(F)F.CCc1oc([C@@H](C)[C@@H](O)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)CO)c(C)c(=O)c1C,CCc1oc([C@@H](C)[C@@H](O[Si](C)(C)C)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)C=O)c(C)c(=O)c1C,C[Si](C)(C)OS(=O)(=O)C(F)(F)F.CCc1oc([C@@H](C)[C@@H](O)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)CO)c(C)c(=O)c1C>>CCc1oc([C@@H](C)[C@@H](O[Si](C)(C)C)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)C=O)c(C)c(=O)c1C,Total Synthesis of Siphonarin B and Dihydrosiphonarin B,"Paterson, Ian; Chen, David Yu-Kai; Franklin, Alison S.","Organic Letters (2002), 4(3), 391-394","Total Synthesis of Siphonarin B and Dihydrosiphonarin B | Paterson, Ian; Chen, David Yu-Kai; Franklin, Alison S. | Organic Letters (2002), 4(3), 391-394","27607-77-8, 275355-99-2",402571-23-7,"108-48-5, 584-08-7, 110-86-1, 87413-09-0",,"75-09-2, 67-56-1",,,,,,"Compound 19, yield 98%.",3,1,98,,,,,,,"{""1"": 98}","[{""index"": 1, ""cas_rn"": ""27607-77-8"", ""smiles"": ""C[Si](C)(C)OS(=O)(=O)C(F)(F)F""}, {""index"": 2, ""cas_rn"": ""275355-99-2"", ""smiles"": ""CCc1oc([C@@H](C)[C@@H](O)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)CO)c(C)c(=O)c1C""}]","[{""index"": 1, ""cas_rn"": ""402571-23-7"", ""yield_pct"": ""98"", ""smiles"": ""CCc1oc([C@@H](C)[C@@H](O[Si](C)(C)C)[C@H](C)[C@H](OCc2ccc(OC)cc2)[C@H](C)C=O)c(C)c(=O)c1C""}]","[{""index"": 1, ""cas_rn"": ""108-48-5""}, {""index"": 2, ""cas_rn"": ""584-08-7""}, {""index"": 3, ""cas_rn"": ""110-86-1""}, {""index"": 4, ""cas_rn"": ""87413-09-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""67-56-1""}]","chemoselective, stereoselective, Dess-Martin oxidation in 3rd stage, buffered soln.",
31-480-CAS-12066304,31-480-CAS-12066304,Reaction_20251110_1415.rdf,Swern oxidation,93,,,OCC12CC3CC(CC(C3)C1)C2,O=CC12CC3CC(CC(C3)C1)C2,OCC12CC3CC(CC(C3)C1)C2>>O=CC12CC3CC(CC(C3)C1)C2,New odorless method for the Corey-Kim and Swern oxidations utilizing dodecyl methyl sulfide (Dod-S-Me),"Ohsugi, Shin-ichi; Nishide, Kiyoharu; Oono, Keiji; Okuyama, Kazunori; Fudesaka, Masato; Kodama, Sumiaki; Node, Manabu","Tetrahedron (2003), 59(42), 8393-8398","New odorless method for the Corey-Kim and Swern oxidations utilizing dodecyl methyl sulfide (Dod-S-Me) | Ohsugi, Shin-ichi; Nishide, Kiyoharu; Oono, Keiji; Okuyama, Kazunori; Fudesaka, Masato; Kodama, Sumiaki; Node, Manabu | Tetrahedron (2003), 59(42), 8393-8398",770-71-8,2094-74-8,"79-37-8, 3079-30-9, 121-44-8, 7647-01-0",,"75-09-2, 7732-18-5",,,,,,,5,1,93,,,,,,,"{""1"": 93}","[{""index"": 1, ""cas_rn"": ""770-71-8"", ""smiles"": ""OCC12CC3CC(CC(C3)C1)C2""}]","[{""index"": 1, ""cas_rn"": ""2094-74-8"", ""yield_pct"": ""93"", ""smiles"": ""O=CC12CC3CC(CC(C3)C1)C2""}]","[{""index"": 1, ""cas_rn"": ""79-37-8""}, {""index"": 2, ""cas_rn"": ""3079-30-9""}, {""index"": 3, ""cas_rn"": ""121-44-8""}, {""index"": 4, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-480-CAS-12069344,31-480-CAS-12069344,Reaction_20251110_1416.rdf,Swern oxidation,79,,,OC1CCOc2ccccc21,O=C1CCOc2ccccc21,OC1CCOc2ccccc21>>O=C1CCOc2ccccc21,Activation of DMSO by phosphonitrilic chloride. An efficient method for oxidation of alcohols,"Pandey, Sanjay K.; Bisai, Alakesh; Singh, Vinod K.","Synthetic Communications (2007), 37(23), 4099-4103","Activation of DMSO by phosphonitrilic chloride. An efficient method for oxidation of alcohols | Pandey, Sanjay K.; Bisai, Alakesh; Singh, Vinod K. | Synthetic Communications (2007), 37(23), 4099-4103",1481-93-2,491-37-2,"67-68-5, 940-71-6, 121-44-8",,75-09-2,,,,,,"General/Typical Procedure: GENERAL PROCEDURE DMSO (4 mmol) was added to a solution of phosphonitrilic chloride (1.0 mmol) in CH2Cl2 (5 mL) at -40°C. The color of the solution turned milky white. After 1 h, 1 equivalent of an alcohol solution in CH2Cl2 (2 mL) was added, and the reaction mixture was stirred at the same temperature for 45 min, when Et3N (5 mmol) was added. The reaction mixture was slowly allowed to come to rt (8 h). The reaction mixture was taken in CH2Cl2 and washed with water and brine. The organic layer was dried over Na2SO4 and condensed. The crude product was chromatographed over silica gel by column chromatography to provide pure ketones in high yields (Table 1). All the carbonyl compounds are either commercially available or known in literature. They were characterized by the usual spectral data and compared with authentic samples. Table 1, S. no. 10, yield 79%.",3,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""1481-93-2"", ""smiles"": ""OC1CCOc2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""491-37-2"", ""yield_pct"": ""79"", ""smiles"": ""O=C1CCOc2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""940-71-6""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-480-CAS-12112155,31-480-CAS-12112155,Reaction_20251110_1416.rdf,Swern oxidation,80,,,OCc1cc2c(cc1CO)C1c3ccccc3C2c2ccccc21,O=Cc1cc2c(cc1C=O)C1c3ccccc3C2c2ccccc21,OCc1cc2c(cc1CO)C1c3ccccc3C2c2ccccc21>>O=Cc1cc2c(cc1C=O)C1c3ccccc3C2c2ccccc21,Tetrathiafulvalene-functionalized triptycenes: synthetic protocols and elucidation of intramolecular Coulomb repulsions in the oxidized species,"Rybacek, Jiri; Rybackova, Marketa; Hoj, Martin; Belohradsky, Martin; Holy, Petr; Kilsa, Kristine; Nielsen, Mogens Brondsted","Tetrahedron (2007), 63(36), 8840-8854","Tetrathiafulvalene-functionalized triptycenes: synthetic protocols and elucidation of intramolecular Coulomb repulsions in the oxidized species | Rybacek, Jiri; Rybackova, Marketa; Hoj, Martin; Belohradsky, Martin; Holy, Petr; Kilsa, Kristine; Nielsen, Mogens Brondsted | Tetrahedron (2007), 63(36), 8840-8854",947243-09-6,947243-12-1,"67-68-5, 79-37-8, 121-44-8",,"75-09-2, 67-68-5, 7732-18-5",,,,,,,5,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""947243-09-6"", ""smiles"": ""OCc1cc2c(cc1CO)C1c3ccccc3C2c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""947243-12-1"", ""yield_pct"": ""80"", ""smiles"": ""O=Cc1cc2c(cc1C=O)C1c3ccccc3C2c2ccccc21""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""67-68-5""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",,
31-480-CAS-12124841,31-480-CAS-12124841,Reaction_20251110_1415.rdf,Swern oxidation,92,,,CC(C)(C)OC(=O)NC1(C(=O)OC(C)(C)C)CC(O)C1,CC(C)(C)OC(=O)NC1(C(=O)OC(C)(C)C)CC(=O)C1,CC(C)(C)OC(=O)NC1(C(=O)OC(C)(C)C)CC(O)C1>>CC(C)(C)OC(=O)NC1(C(=O)OC(C)(C)C)CC(=O)C1,"Synthesis and evaluation of [123I] labeled iodovinyl amino acids syn-, anti-1-amino-3-[2-iodoethenyl]-cyclobutane-1-carboxylic acid, and 1-amino-3-iodomethylene-cyclobutane-1-carboxylic acid as potential SPECT brain tumor imaging agents","Yu, Weiping; Williams, Larry; Malveaux, Eugene; Camp, Vernon M.; Olson, Jeffrey J.; Goodman, Mark M.","Bioorganic & Medicinal Chemistry Letters (2008), 18(4), 1264-1268","Synthesis and evaluation of [123I] labeled iodovinyl amino acids syn-, anti-1-amino-3-[2-iodoethenyl]-cyclobutane-1-carboxylic acid, and 1-amino-3-iodomethylene-cyclobutane-1-carboxylic acid as potential SPECT brain tumor imaging agents | Yu, Weiping; Williams, Larry; Malveaux, Eugene; Camp, Vernon M.; Olson, Jeffrey J.; Goodman, Mark M. | Bioorganic & Medicinal Chemistry Letters (2008), 18(4), 1264-1268",1018478-18-6,1018478-24-4,"67-68-5, 79-37-8, 121-44-8",,75-09-2,,,,,,,2,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""1018478-18-6"", ""smiles"": ""CC(C)(C)OC(=O)NC1(C(=O)OC(C)(C)C)CC(O)C1""}]","[{""index"": 1, ""cas_rn"": ""1018478-24-4"", ""yield_pct"": ""92"", ""smiles"": ""CC(C)(C)OC(=O)NC1(C(=O)OC(C)(C)C)CC(=O)C1""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","chemoselective, Swern oxidation",
31-480-CAS-12155303,31-480-CAS-12155303,Reaction_20251110_1415.rdf,Swern oxidation,93,,,OC1CCCCC1N1CCOCC1,O=C1CCCCC1N1CCOCC1,OC1CCCCC1N1CCOCC1>>O=C1CCCCC1N1CCOCC1,The effect of different amine bases in the Swern oxidation of β-amino alcohols,"Chrisman, William; Singaram, Bakthan","Tetrahedron Letters (1997), 38(12), 2053-2056","The effect of different amine bases in the Swern oxidation of β-amino alcohols | Chrisman, William; Singaram, Bakthan | Tetrahedron Letters (1997), 38(12), 2053-2056",99176-18-8,14909-84-3,"79-37-8, 67-68-5, 766-09-6, 7647-01-0",,"75-09-2, 7732-18-5",,,,,,,4,1,93,,,,,,,"{""1"": 93}","[{""index"": 1, ""cas_rn"": ""99176-18-8"", ""smiles"": ""OC1CCCCC1N1CCOCC1""}]","[{""index"": 1, ""cas_rn"": ""14909-84-3"", ""yield_pct"": ""93"", ""smiles"": ""O=C1CCCCC1N1CCOCC1""}]","[{""index"": 1, ""cas_rn"": ""79-37-8""}, {""index"": 2, ""cas_rn"": ""67-68-5""}, {""index"": 3, ""cas_rn"": ""766-09-6""}, {""index"": 4, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",Swern oxidn.; effect of amines as bases was studied,
31-480-CAS-12199421,31-480-CAS-12199421,Reaction_20251110_1416.rdf,Swern oxidation,83,,,CC1(C)O[C@H]2O[C@H]([C@@H]3COC(C)(C)O3)[C@H](O)[C@H]2O1,CC1(C)OC[C@@H]([C@H]2O[C@@H]3OC(C)(C)O[C@@H]3C2=O)O1,CC1(C)O[C@H]2O[C@H]([C@@H]3COC(C)(C)O3)[C@H](O)[C@H]2O1>>CC1(C)OC[C@@H]([C@H]2O[C@@H]3OC(C)(C)O[C@@H]3C2=O)O1,The fluorous Swern and Corey-Kim reactions: scope and mechanism,"Crich, David; Neelamkavil, Santhosh","Tetrahedron (2002), 58(20), 3865-3870","The fluorous Swern and Corey-Kim reactions: scope and mechanism | Crich, David; Neelamkavil, Santhosh | Tetrahedron (2002), 58(20), 3865-3870",13100-30-6,26597-73-9,"79-37-8, 357604-65-0, 7087-68-5, 7732-18-5",,75-09-2,,,,,,,4,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""13100-30-6"", ""smiles"": ""CC1(C)O[C@H]2O[C@H]([C@@H]3COC(C)(C)O3)[C@H](O)[C@H]2O1""}]","[{""index"": 1, ""cas_rn"": ""26597-73-9"", ""yield_pct"": ""83"", ""smiles"": ""CC1(C)OC[C@@H]([C@H]2O[C@@H]3OC(C)(C)O[C@@H]3C2=O)O1""}]","[{""index"": 1, ""cas_rn"": ""79-37-8""}, {""index"": 2, ""cas_rn"": ""357604-65-0""}, {""index"": 3, ""cas_rn"": ""7087-68-5""}, {""index"": 4, ""cas_rn"": ""7732-18-5""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","86% of sulfoxide was recovered, fluorous Swern oxidn.",
31-480-CAS-12205482,31-480-CAS-12205482,Reaction_20251110_1416.rdf,Swern oxidation,73,,,OC1C2C=CC(C2)C1O,O=C1C(=O)C2C=CC1C2,OC1C2C=CC(C2)C1O>>O=C1C(=O)C2C=CC1C2,"Swern oxidation of bicyclo[2.2.1]hept-5-ene-2,3-diol and its pyrazine-fused derivatives: An improved synthesis of bicyclo[2.2.1]hept-5-ene-2,3-dione and an unexpected ring-opening reaction","Kobayashi, Tomoshige; Kobayashi, Sayuri","Molecules [online computer file] (2000), 5(9), 1062-1067","Swern oxidation of bicyclo[2.2.1]hept-5-ene-2,3-diol and its pyrazine-fused derivatives: An improved synthesis of bicyclo[2.2.1]hept-5-ene-2,3-dione and an unexpected ring-opening reaction | Kobayashi, Tomoshige; Kobayashi, Sayuri | Molecules [online computer file] (2000), 5(9), 1062-1067",122306-47-2,17994-26-2,"67-68-5, 358-23-6, 121-44-8, 7647-01-0",,75-09-2,,,,,,,4,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""122306-47-2"", ""smiles"": ""OC1C2C=CC(C2)C1O""}]","[{""index"": 1, ""cas_rn"": ""17994-26-2"", ""yield_pct"": ""73"", ""smiles"": ""O=C1C(=O)C2C=CC1C2""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""358-23-6""}, {""index"": 3, ""cas_rn"": ""121-44-8""}, {""index"": 4, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-480-CAS-12233337,31-480-CAS-12233337,Reaction_20251110_1415.rdf,Swern oxidation,86,,,O=[N+]([O-])c1ccccc1CO,O=Cc1ccccc1[N+](=O)[O-],O=[N+]([O-])c1ccccc1CO>>O=Cc1ccccc1[N+](=O)[O-],The fluorous Swern and Corey-Kim reactions: scope and mechanism,"Crich, David; Neelamkavil, Santhosh","Tetrahedron (2002), 58(20), 3865-3870","The fluorous Swern and Corey-Kim reactions: scope and mechanism | Crich, David; Neelamkavil, Santhosh | Tetrahedron (2002), 58(20), 3865-3870",612-25-9,552-89-6,"128-09-6, 87851-84-1, 121-44-8",,108-88-3,,,,,,,3,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""612-25-9"", ""smiles"": ""O=[N+]([O-])c1ccccc1CO""}]","[{""index"": 1, ""cas_rn"": ""552-89-6"", ""yield_pct"": ""86"", ""smiles"": ""O=Cc1ccccc1[N+](=O)[O-]""}]","[{""index"": 1, ""cas_rn"": ""128-09-6""}, {""index"": 2, ""cas_rn"": ""87851-84-1""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}]","73% of sulfoxide was recovered, alternative prepn. shown, fluorous Corey-Kim oxidn.",
31-480-CAS-12249588,31-480-CAS-12249588,Reaction_20251110_1416.rdf,Swern oxidation,81,,,COc1ccccc1C(=O)N1CCC[C@H]1CO,COc1ccccc1C(=O)N1CCC[C@H]1C=O,COc1ccccc1C(=O)N1CCC[C@H]1CO>>COc1ccccc1C(=O)N1CCC[C@H]1C=O,An enantioselective method for reductive alkylation of aromatic carboxylic acid derivatives. Examination of the factors that provide stereoselectivity,"Schultz, Arthur G.; Macielag, Mark; Sundararaman, Padmanabhan; Taveras, Arthur G.; Welch, Martha","Journal of the American Chemical Society (1988), 110(23), 7828-41","An enantioselective method for reductive alkylation of aromatic carboxylic acid derivatives. Examination of the factors that provide stereoselectivity | Schultz, Arthur G.; Macielag, Mark; Sundararaman, Padmanabhan; Taveras, Arthur G.; Welch, Martha | Journal of the American Chemical Society (1988), 110(23), 7828-41",102069-83-0,115512-84-0,"67-68-5, 79-37-8, 121-44-8",,75-09-2,,,,,,,2,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""102069-83-0"", ""smiles"": ""COc1ccccc1C(=O)N1CCC[C@H]1CO""}]","[{""index"": 1, ""cas_rn"": ""115512-84-0"", ""yield_pct"": ""81"", ""smiles"": ""COc1ccccc1C(=O)N1CCC[C@H]1C=O""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-480-CAS-12251405,31-480-CAS-12251405,Reaction_20251110_1416.rdf,Swern oxidation,80,,,OCCCc1ccccc1,O=CCCc1ccccc1,OCCCc1ccccc1>>O=CCCc1ccccc1,Heterogeneous Swern Oxidation. Selective Oxidation of Alcohols by DMSO/SiO2-Cl System,"Firouzabadi, H.; Hassani, H.; Hazarkhani, H.","Phosphorus, Sulfur and Silicon and the Related Elements (2003), 178(1), 149-153","Heterogeneous Swern Oxidation. Selective Oxidation of Alcohols by DMSO/SiO2-Cl System | Firouzabadi, H.; Hassani, H.; Hazarkhani, H. | Phosphorus, Sulfur and Silicon and the Related Elements (2003), 178(1), 149-153",122-97-4,104-53-0,"67-68-5, 7631-86-9, 16887-00-6, 121-44-8",,"75-09-2, 7732-18-5",,,"chlorinated, with Silica",,,"General/Typical Procedure: Methylene chloride (10 ml) and SiO2-Cl (1.5-2 g) were placed in a 100 ml flask equipped with a magnetic stirrer. The contents of the flask were cooled below -60°C and DMSO (3-5 mmol) in CH2Cl2 (5 ml) was added dropwise to the stirred cold solution in 5 min. Steering was continued at -60°C for 20 min. To the resulting mixture, a solution of an alcohol (1 mmol) in CH2Cl2 (5-10 ml) was added dropwise in 5 min. The mixture was stirred at -60°C for 10 min followed by the dropwise addition of TEA (5 ml) in CH2Cl2 for 5 min. The reaction mixture was allowed to warm up to room temperature and then H2O (50 ml) was added to the mixture. The aqueous layer was separated and extracted with another portion of CH2Cl2 (50 ml). The organic extracts were combined and washed with dilute aqueous solution of HCl (1%, 50 mI), H2O (50 ml), dilute aqueous solution of NaHCO3 (5%, 50 ml) and H2O (50 mI). The resulting organic solution was evaporated to dryness to give the highly pure corresponding carbonyl compound (Table I). TABLE I Entry: 14, Yield 80%.",4,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""122-97-4"", ""smiles"": ""OCCCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""104-53-0"", ""yield_pct"": ""80"", ""smiles"": ""O=CCCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""7631-86-9"", ""amd"": ""chlorinated""}, {""index"": 3, ""cas_rn"": ""16887-00-6"", ""amd"": ""with Silica""}, {""index"": 4, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",Swern oxidn.,
31-480-CAS-12259954,31-480-CAS-12259954,Reaction_20251110_1415.rdf,Swern oxidation,87,,,CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O[C@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O[C@H]2O[C@H](COCc3ccccc3)C(=O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O[C@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1>>CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O[C@H]2O[C@H](COCc3ccccc3)C(=O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,"Synthesis of methyl α-D-glucopyranosyl-(1,4)-α-D-galactopyranoside and methyl α-D-xylo-hex-4-ulopyranosyl-(1,4)-α-D-galactopyranoside","Liotta, L. J.; Capotosto, R. D.; Garbitt, R. A.; Horan, B. M.; Kelly, P. J.; Koleros, A. P.; Brouillette, L. M.; Kuhn, A. M.; Targontsidis, S.","Carbohydrate Research (2001), 331(3), 247-253","Synthesis of methyl α-D-glucopyranosyl-(1,4)-α-D-galactopyranoside and methyl α-D-xylo-hex-4-ulopyranosyl-(1,4)-α-D-galactopyranoside | Liotta, L. J.; Capotosto, R. D.; Garbitt, R. A.; Horan, B. M.; Kelly, P. J.; Koleros, A. P.; Brouillette, L. M.; Kuhn, A. M.; Targontsidis, S. | Carbohydrate Research (2001), 331(3), 247-253",347837-98-3,347837-99-4,"67-68-5, 79-37-8, 121-44-8",,75-09-2,,,,,,,2,1,87,,,,,,,"{""1"": 87}","[{""index"": 1, ""cas_rn"": ""347837-98-3"", ""smiles"": ""CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O[C@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""347837-99-4"", ""yield_pct"": ""87"", ""smiles"": ""CO[C@H]1O[C@H](COCc2ccccc2)[C@H](O[C@H]2O[C@H](COCc3ccccc3)C(=O)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-480-CAS-12264306,31-480-CAS-12264306,Reaction_20251110_1415.rdf,Swern oxidation,88,,,C=CC(O)CCc1ccccc1,C=CC(=O)CCc1ccccc1,C=CC(O)CCc1ccccc1>>C=CC(=O)CCc1ccccc1,Tandem Oxidation/Halogenation of Aryl Allylic Alcohols under Moffatt-Swern Conditions,"Yin, Jiandong; Gallis, Christina E.; Chisholm, John D.","Journal of Organic Chemistry (2007), 72(18), 7054-7057","Tandem Oxidation/Halogenation of Aryl Allylic Alcohols under Moffatt-Swern Conditions | Yin, Jiandong; Gallis, Christina E.; Chisholm, John D. | Journal of Organic Chemistry (2007), 72(18), 7054-7057",37904-38-4,53931-59-2,"67-68-5, 79-37-8, 121-44-8",,75-09-2,,,,,,General/Typical Procedure: General Procedures for the formation of α-Halo Ketones,3,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""37904-38-4"", ""smiles"": ""C=CC(O)CCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""53931-59-2"", ""yield_pct"": ""88"", ""smiles"": ""C=CC(=O)CCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""79-37-8""}, {""index"": 3, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","green chemistry (process simplification), Moffatt-Swern conditions",
31-480-CAS-12344450,31-480-CAS-12344450,Reaction_20251110_1416.rdf,Swern oxidation,81,,,CCCCCCC(C)O,CCCCCCC(C)=O,CCCCCCC(C)O>>CCCCCCC(C)=O,New odorless method for the Corey-Kim and Swern oxidations utilizing dodecyl methyl sulfide (Dod-S-Me),"Ohsugi, Shin-ichi; Nishide, Kiyoharu; Oono, Keiji; Okuyama, Kazunori; Fudesaka, Masato; Kodama, Sumiaki; Node, Manabu","Tetrahedron (2003), 59(42), 8393-8398","New odorless method for the Corey-Kim and Swern oxidations utilizing dodecyl methyl sulfide (Dod-S-Me) | Ohsugi, Shin-ichi; Nishide, Kiyoharu; Oono, Keiji; Okuyama, Kazunori; Fudesaka, Masato; Kodama, Sumiaki; Node, Manabu | Tetrahedron (2003), 59(42), 8393-8398",123-96-6,111-13-7,"79-37-8, 3079-30-9, 121-44-8, 7647-01-0",,"75-09-2, 7732-18-5",,,,,,,5,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""123-96-6"", ""smiles"": ""CCCCCCC(C)O""}]","[{""index"": 1, ""cas_rn"": ""111-13-7"", ""yield_pct"": ""81"", ""smiles"": ""CCCCCCC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""79-37-8""}, {""index"": 2, ""cas_rn"": ""3079-30-9""}, {""index"": 3, ""cas_rn"": ""121-44-8""}, {""index"": 4, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
