reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-046-CAS-3822845,31-046-CAS-3822845,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,100,,,BrC1=C(Br)c2ccc(Br)c3c(Br)ccc1c23,ClC1(Cl)c2ccc(Br)c3c(Br)ccc(c23)C1(Cl)Cl,BrC1=C(Br)c2ccc(Br)c3c(Br)ccc1c23>>ClC1(Cl)c2ccc(Br)c3c(Br)ccc(c23)C1(Cl)Cl,"Photochemical bromination of 5,6-dibromoacenaphthene","Usachenko, V. G.; Petrenko, G. P.","Ukrainskii Khimicheskii Zhurnal (Russian Edition) (1975), 41(6), 663","Photochemical bromination of 5,6-dibromoacenaphthene | Usachenko, V. G.; Petrenko, G. P. | Ukrainskii Khimicheskii Zhurnal (Russian Edition) (1975), 41(6), 663",56564-74-0,56564-75-1,7782-50-5,,,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""56564-74-0"", ""smiles"": ""BrC1=C(Br)c2ccc(Br)c3c(Br)ccc1c23""}]","[{""index"": 1, ""cas_rn"": ""56564-75-1"", ""yield_pct"": ""100"", ""smiles"": ""ClC1(Cl)c2ccc(Br)c3c(Br)ccc(c23)C1(Cl)Cl""}]","[{""index"": 1, ""cas_rn"": ""7782-50-5""}]",[],[],,
31-268-CAS-10416394,31-268-CAS-10416394,Reaction_20251110_1707 (2).rdf,Addition of Halogens to Double or Triple Bonds,71,,,C=Cc1ccccc1,BrCC(Br)c1ccccc1,C=Cc1ccccc1>>BrCC(Br)c1ccccc1,"Efficient bromination of olefins, alkynes, and ketones with dimethyl sulfoxide and hydrobromic acid","Song, Song; Li, Xinwei; Sun, Xiang; Yuan, Yizhi; Jiao, Ning","Green Chemistry (2015), 17(6), 3285-3289","Efficient bromination of olefins, alkynes, and ketones with dimethyl sulfoxide and hydrobromic acid | Song, Song; Li, Xinwei; Sun, Xiang; Yuan, Yizhi; Jiao, Ning | Green Chemistry (2015), 17(6), 3285-3289",100-42-5,93-52-7,"67-68-5, 10035-10-6",,"141-78-6, 7732-18-5",,,,,,,1,1,71,,,,,,,"{""1"": 71}","[{""index"": 1, ""cas_rn"": ""100-42-5"", ""smiles"": ""C=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""93-52-7"", ""yield_pct"": ""71"", ""smiles"": ""BrCC(Br)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""10035-10-6""}]",[],"[{""index"": 1, ""cas_rn"": ""141-78-6""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",reaction conducted in the presence of air,
31-268-CAS-10424292,31-268-CAS-10424292,Reaction_20251110_1707 (2).rdf,Addition of Halogens to Double or Triple Bonds,70,,,CC1=CC(=NS(=O)(=O)c2cccc([N+](=O)[O-])c2)C=CC1=O,CC1=CC(=NS(=O)(=O)c2cccc([N+](=O)[O-])c2)C(Br)C(Br)C1=O,CC1=CC(=NS(=O)(=O)c2cccc([N+](=O)[O-])c2)C=CC1=O>>CC1=CC(=NS(=O)(=O)c2cccc([N+](=O)[O-])c2)C(Br)C(Br)C1=O,"Halogenation of N-substituted p-quinone imines and p-quinone oxime esters: IV. Chlorination and bromination of N-arylsulfonyl-2(3)-methyl(2-chloro)-1,4-benzoquinone monoimines","Avdeenko, A. P.; Konovalova, S. A.","Russian Journal of Organic Chemistry (2006), 42(3), 349-364","Halogenation of N-substituted p-quinone imines and p-quinone oxime esters: IV. Chlorination and bromination of N-arylsulfonyl-2(3)-methyl(2-chloro)-1,4-benzoquinone monoimines | Avdeenko, A. P.; Konovalova, S. A. | Russian Journal of Organic Chemistry (2006), 42(3), 349-364",308292-06-0,928631-71-4,7726-95-6,,"64-19-7, 67-66-3, 68-12-2",,,,,,"General/Typical Procedure: Bromination of compounds XIa-XIc, XIIa-XIIc, XXa-XXc, XXIa-XXIc, XXXa-XXXc, andXXXIa-XXXIc ( general procedure ). To a solution of 2 mmol of the corresponding substrate in 3 ml of chloroform, acetic acid, or DMF-AcOH (1:5) we added dropwise under vigorous stirring a solution of bromine in the same solvent to attain a required substrate-to-bromine molar ratio (1:1, 1:3, 1:5, or 1:8). The products were purified by recrystallization from acetic acid. The melting points and analytical data are given below only for products isolated as individual substances. Compound XLIVc. Yield 70%. mp 131-132°C. 1H NMR spectrum, δ, ppm: Z isomer: 2.22 d (3H, Me), 4.81 d (1H, 6-H), 4.95 q (1H, 5-H, J 5,6 = 3 Hz), 7.82 q (1H, 3-H, J 3,5 = 2. 4, J 3,2-Me = 1.5 Hz), 7.80-8.88 m (4H, C6H4); E isomer: 2.15 d (3H, Me), 4.78 d (1H, 6-H), 6.28 q (1H, 5-H, J 5,6 = 2.7 Hz), 6.70 q (1H, 3-H, J 3,5 = 2. 4, J 3,2-Me = 1.5 Hz), 7.80-8.88 m (4H, C6H4). Found, %: Br 34.35, 34.42. C13H10Br2N2O5S. Calculated, %: Br 34.29.",1,1,70,,,,,,,"{""1"": 70}","[{""index"": 1, ""cas_rn"": ""308292-06-0"", ""smiles"": ""CC1=CC(=NS(=O)(=O)c2cccc([N+](=O)[O-])c2)C=CC1=O""}]","[{""index"": 1, ""cas_rn"": ""928631-71-4"", ""yield_pct"": ""70"", ""smiles"": ""CC1=CC(=NS(=O)(=O)c2cccc([N+](=O)[O-])c2)C(Br)C(Br)C1=O""}]","[{""index"": 1, ""cas_rn"": ""7726-95-6""}]",[],"[{""index"": 1, ""cas_rn"": ""64-19-7""}, {""index"": 2, ""cas_rn"": ""67-66-3""}, {""index"": 3, ""cas_rn"": ""68-12-2""}]",regioselective,
31-268-CAS-10426555,31-268-CAS-10426555,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,91,,,C=CC,CC(Br)CBr,C=CC>>CC(Br)CBr,The conversion of propene to other useful organic compounds,"Unuigboje, Alofoje","Journal of Chemical Society of Nigeria (2008), 33(1), 235-243","The conversion of propene to other useful organic compounds | Unuigboje, Alofoje | Journal of Chemical Society of Nigeria (2008), 33(1), 235-243",115-07-1,78-75-1,7726-95-6,,7732-18-5,,,,,,,1,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""115-07-1"", ""smiles"": ""C=CC""}]","[{""index"": 1, ""cas_rn"": ""78-75-1"", ""yield_pct"": ""91"", ""smiles"": ""CC(Br)CBr""}]","[{""index"": 1, ""cas_rn"": ""7726-95-6""}]",[],"[{""index"": 1, ""cas_rn"": ""7732-18-5""}]",,
31-268-CAS-10442281,31-268-CAS-10442281,Reaction_20251110_1707 (1).rdf,Addition of Halogens to Double or Triple Bonds,82,,,C#Cc1ccccc1,BrC=C(Br)c1ccccc1,C#Cc1ccccc1>>BrC=C(Br)c1ccccc1,N-bromosuccinimide and lithium bromide. An efficient combination for the dibromination of carbon-carbon unsaturated bonds,"Shao, Li-Xiong; Shi, Min","Synlett (2006), (8), 1269-1271","N-bromosuccinimide and lithium bromide. An efficient combination for the dibromination of carbon-carbon unsaturated bonds | Shao, Li-Xiong; Shi, Min | Synlett (2006), (8), 1269-1271",536-74-3,6607-46-1,"128-08-5, 7550-35-8, 7772-98-7",,"109-99-9, 7732-18-5",,,,,,"General/Typical Procedure: Alkene 1a (0.2 mmol), LiBr (0.4 mmol), NBS (0.4 mmol), and THF (2.0 mL) were added to a Schlenk tube successively under an ambient atmosphere. The mixture was stirred at r.t. for the appropriate time. Sat. aq Na2S2O3 was added to quench the reaction, the organic layer was washed, then dried over anhyd Na2SO4. Flash column chromatography gave the pure product 2a. Compound 4a, yield 82%.",2,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""536-74-3"", ""smiles"": ""C#Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""6607-46-1"", ""yield_pct"": ""82"", ""smiles"": ""BrC=C(Br)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""128-08-5""}, {""index"": 2, ""cas_rn"": ""7550-35-8""}, {""index"": 3, ""cas_rn"": ""7772-98-7""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry-solvent, Schlenk tube used",
31-268-CAS-10456486,31-268-CAS-10456486,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,96,,,C=CCOc1ccc(C#N)cc1,N#Cc1ccc(OCC(Br)CBr)cc1,C=CCOc1ccc(C#N)cc1>>N#Cc1ccc(OCC(Br)CBr)cc1,"Reinvestigation of a Catalytic, Enantioselective Alkene Dibromination and Chlorohydroxylation","Denmark, Scott E.; Carson, Nessa","Organic Letters (2015), 17(23), 5728-5731","Reinvestigation of a Catalytic, Enantioselective Alkene Dibromination and Chlorohydroxylation | Denmark, Scott E.; Carson, Nessa | Organic Letters (2015), 17(23), 5728-5731",33148-47-9,1824737-30-5,"39416-48-3, 7772-98-7",,"64-17-5, 75-09-2, 7732-18-5",,,,,,,2,1,96,,,,,,,"{""1"": 96}","[{""index"": 1, ""cas_rn"": ""33148-47-9"", ""smiles"": ""C=CCOc1ccc(C#N)cc1""}]","[{""index"": 1, ""cas_rn"": ""1824737-30-5"", ""yield_pct"": ""96"", ""smiles"": ""N#Cc1ccc(OCC(Br)CBr)cc1""}]","[{""index"": 1, ""cas_rn"": ""39416-48-3""}, {""index"": 2, ""cas_rn"": ""7772-98-7""}]",[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}, {""index"": 2, ""cas_rn"": ""75-09-2""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]","alternative preparation shown, caped vial used",
31-268-CAS-10480768,31-268-CAS-10480768,Reaction_20251110_1707 (2).rdf,Addition of Halogens to Double or Triple Bonds,80,,,C=Cc1ccc2ccccc2c1,BrCC(Br)c1ccc2ccccc2c1,C=Cc1ccc2ccccc2c1>>BrCC(Br)c1ccc2ccccc2c1,"Efficient bromination of olefins, alkynes, and ketones with dimethyl sulfoxide and hydrobromic acid","Song, Song; Li, Xinwei; Sun, Xiang; Yuan, Yizhi; Jiao, Ning","Green Chemistry (2015), 17(6), 3285-3289","Efficient bromination of olefins, alkynes, and ketones with dimethyl sulfoxide and hydrobromic acid | Song, Song; Li, Xinwei; Sun, Xiang; Yuan, Yizhi; Jiao, Ning | Green Chemistry (2015), 17(6), 3285-3289",827-54-3,156635-83-5,"67-68-5, 10035-10-6",,"141-78-6, 7732-18-5",,,,,,,1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""827-54-3"", ""smiles"": ""C=Cc1ccc2ccccc2c1""}]","[{""index"": 1, ""cas_rn"": ""156635-83-5"", ""yield_pct"": ""80"", ""smiles"": ""BrCC(Br)c1ccc2ccccc2c1""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""10035-10-6""}]",[],"[{""index"": 1, ""cas_rn"": ""141-78-6""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","optimized on solvent, amount of solvent and time, reaction conducted in the presence of air, optimization study",
31-268-CAS-10488267,31-268-CAS-10488267,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,96,,,C=CCc1ccc(Cl)cc1,Clc1ccc(CC(Br)CBr)cc1,C=CCc1ccc(Cl)cc1>>Clc1ccc(CC(Br)CBr)cc1,"Metal-Free, Regio- and Stereoselective Synthesis of Linear (E)-Allylic Compounds Using C, N, O, and S Nucleophiles","Huang, Xiaojun; Fulton, Brandon; White, Kana; Bugarin, Alejandro","Organic Letters (2015), 17(11), 2594-2597","Metal-Free, Regio- and Stereoselective Synthesis of Linear (E)-Allylic Compounds Using C, N, O, and S Nucleophiles | Huang, Xiaojun; Fulton, Brandon; White, Kana; Bugarin, Alejandro | Organic Letters (2015), 17(11), 2594-2597",1745-18-2,1774353-82-0,"7726-95-6, 7782-44-7",,67-66-3,,,,,,,1,1,96,,,,,,,"{""1"": 96}","[{""index"": 1, ""cas_rn"": ""1745-18-2"", ""smiles"": ""C=CCc1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""1774353-82-0"", ""yield_pct"": ""96"", ""smiles"": ""Clc1ccc(CC(Br)CBr)cc1""}]","[{""index"": 1, ""cas_rn"": ""7726-95-6""}, {""index"": 2, ""cas_rn"": ""7782-44-7""}]",[],"[{""index"": 1, ""cas_rn"": ""67-66-3""}]",,
31-268-CAS-10492193,31-268-CAS-10492193,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,100,,,COC(=NC(Cl)=C(Cl)Cl)c1ccc(Cl)cc1,COC(=NC(Cl)(Cl)C(Cl)(Cl)Cl)c1ccc(Cl)cc1,COC(=NC(Cl)=C(Cl)Cl)c1ccc(Cl)cc1>>COC(=NC(Cl)(Cl)C(Cl)(Cl)Cl)c1ccc(Cl)cc1,Halogenation of N-perchlorovinylimino ethers,"Drach, B. S.; Kovalev, V. A.; Lavrenyuk, T. Ya.","Zhurnal Organicheskoi Khimii (1975), 11(9), 1913-17","Halogenation of N-perchlorovinylimino ethers | Drach, B. S.; Kovalev, V. A.; Lavrenyuk, T. Ya. | Zhurnal Organicheskoi Khimii (1975), 11(9), 1913-17",57806-91-4,57806-98-1,7782-50-5,,,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""57806-91-4"", ""smiles"": ""COC(=NC(Cl)=C(Cl)Cl)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""57806-98-1"", ""yield_pct"": ""100"", ""smiles"": ""COC(=NC(Cl)(Cl)C(Cl)(Cl)Cl)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""7782-50-5""}]",[],[],,
31-268-CAS-10510891,31-268-CAS-10510891,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,92,,,C=Cc1ccccc1,BrCC(Br)c1ccccc1,C=Cc1ccccc1>>BrCC(Br)c1ccccc1,Vanadium bromoperoxidases mimicking systems: bromohydrins formation as evidence of the occurrence of a hypobromite-like vanadium complex,"Andersson, Malin; Conte, Valeria; Di Furia, Fulvio; Moro, Stefano","Tetrahedron Letters (1995), 36(15), 2675-8","Vanadium bromoperoxidases mimicking systems: bromohydrins formation as evidence of the occurrence of a hypobromite-like vanadium complex | Andersson, Malin; Conte, Valeria; Di Furia, Fulvio; Moro, Stefano | Tetrahedron Letters (1995), 36(15), 2675-8",100-42-5,93-52-7,7726-95-6,,,,,,,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""100-42-5"", ""smiles"": ""C=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""93-52-7"", ""yield_pct"": ""92"", ""smiles"": ""BrCC(Br)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7726-95-6""}]",[],[],,
31-268-CAS-10517694,31-268-CAS-10517694,Reaction_20251110_1707 (1).rdf,Addition of Halogens to Double or Triple Bonds,85,,,CC(=CCl)CCl,C[C@](Br)(CCl)[C@@H](Cl)Br,CC(=CCl)CCl>>C[C@](Br)(CCl)[C@@H](Cl)Br,"Cohalogenation of unsaturated compounds. XVI. Stereochemistry and regioselectivity of halogenation of 2-substituted 1,3-dichloro-1-propenes in liquid hydrogen fluoride","Mel'nikova, N. B.; Yasman, Ya. B.; Boguslavskaya, L. S.; Kartashov, V. R.","Zhurnal Organicheskoi Khimii (1980), 16(10), 2026-32","Cohalogenation of unsaturated compounds. XVI. Stereochemistry and regioselectivity of halogenation of 2-substituted 1,3-dichloro-1-propenes in liquid hydrogen fluoride | Mel'nikova, N. B.; Yasman, Ya. B.; Boguslavskaya, L. S.; Kartashov, V. R. | Zhurnal Organicheskoi Khimii (1980), 16(10), 2026-32",3375-22-2,77753-31-2,,,,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""3375-22-2"", ""smiles"": ""CC(=CCl)CCl""}]","[{""index"": 1, ""cas_rn"": ""77753-31-2"", ""yield_pct"": ""85"", ""smiles"": ""C[C@](Br)(CCl)[C@@H](Cl)Br""}]",[],[],[],,
31-268-CAS-10532119,31-268-CAS-10532119,Reaction_20251110_1707 (1).rdf,Addition of Halogens to Double or Triple Bonds,90,,,C=CCCCCCC,CCCCCCC(Br)CBr,C=CCCCCCC>>CCCCCCC(Br)CBr,Mild oxidative bromination of alkenes and alkynes with zinc bromide and lead tetraacetate,"Muathen, Hussni A.","Synthetic Communications (2004), 34(19), 3545-3552","Mild oxidative bromination of alkenes and alkynes with zinc bromide and lead tetraacetate | Muathen, Hussni A. | Synthetic Communications (2004), 34(19), 3545-3552",111-66-0,6269-92-7,"546-67-8, 7699-45-8",,67-66-3,,,,,,"General/Typical Procedure: Method A To a vigorously stirred solution of dry ZnBr2 (1.13 g, 5 mmol) in CHCl3 (25 mL) was added Pb(OAc)4 (1.11 g, 2.5 mmol). Stirring continued for 5 min while a solution of the alkene or the alkyne (2 mmol) in CHCl3 (5 mL) was added all at once. The mixture was stirred for the specified reaction time and then filtered by suction. The filtrate was washed with aqueous sodium metabisulfite and water. It was dried (Na2SO4) and evaporated in vacuo to give the dibromide. The yields were measured by GC and H NMR. 1,2-Dibromooctane, yield 90%. Mp. °C, or bp. °C/torr: Found, 118-120/15; Lit. 119/151[7]",2,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""111-66-0"", ""smiles"": ""C=CCCCCCC""}]","[{""index"": 1, ""cas_rn"": ""6269-92-7"", ""yield_pct"": ""90"", ""smiles"": ""CCCCCCC(Br)CBr""}]","[{""index"": 1, ""cas_rn"": ""546-67-8""}, {""index"": 2, ""cas_rn"": ""7699-45-8""}]",[],"[{""index"": 1, ""cas_rn"": ""67-66-3""}]",,
31-268-CAS-1055261,31-268-CAS-1055261,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,100,,,C=CCS(=O)(=O)C(Cl)C(F)(F)F,O=S(=O)(CC(Cl)CCl)C(Cl)C(F)(F)F,C=CCS(=O)(=O)C(Cl)C(F)(F)F>>O=S(=O)(CC(Cl)CCl)C(Cl)C(F)(F)F,An easy preparation of per- and poly-fluoroalkyl propenyl sulfones,"Dmowski, Wojciech; Piasecka-Maciejewska, Krystyna","Journal of Fluorine Chemistry (2005), 126(6), 877-882","An easy preparation of per- and poly-fluoroalkyl propenyl sulfones | Dmowski, Wojciech; Piasecka-Maciejewska, Krystyna | Journal of Fluorine Chemistry (2005), 126(6), 877-882",881901-13-9,881901-18-4,7782-50-5,,56-23-5,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""881901-13-9"", ""smiles"": ""C=CCS(=O)(=O)C(Cl)C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""881901-18-4"", ""yield_pct"": ""100"", ""smiles"": ""O=S(=O)(CC(Cl)CCl)C(Cl)C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""7782-50-5""}]",[],"[{""index"": 1, ""cas_rn"": ""56-23-5""}]",mixture of isomers,
31-268-CAS-10556963,31-268-CAS-10556963,Reaction_20251110_1707 (1).rdf,Addition of Halogens to Double or Triple Bonds,85,,,CC1=CCCN(C(=O)OC(C)(C)C)C1=O,CC(C)(C)OC(=O)N1CC[C@@H](Br)[C@](C)(Br)C1=O,CC1=CCCN(C(=O)OC(C)(C)C)C1=O>>CC(C)(C)OC(=O)N1CC[C@@H](Br)[C@](C)(Br)C1=O,"Bromination/hydrolytic fragmentation reactions of α,β-unsaturated N-Boc lactams for the synthesis of ω-amino-trisubstituted (E)-vinyl bromides","Jung, Soo-Im; Nguyen, Thanh Tam; Cho, Cheon-Gyu","Bulletin of the Korean Chemical Society (2009), 30(12), 2863-2864","Bromination/hydrolytic fragmentation reactions of α,β-unsaturated N-Boc lactams for the synthesis of ω-amino-trisubstituted (E)-vinyl bromides | Jung, Soo-Im; Nguyen, Thanh Tam; Cho, Cheon-Gyu | Bulletin of the Korean Chemical Society (2009), 30(12), 2863-2864",1224134-87-5,1224134-91-1,7726-95-6,,75-09-2,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""1224134-87-5"", ""smiles"": ""CC1=CCCN(C(=O)OC(C)(C)C)C1=O""}]","[{""index"": 1, ""cas_rn"": ""1224134-91-1"", ""yield_pct"": ""85"", ""smiles"": ""CC(C)(C)OC(=O)N1CC[C@@H](Br)[C@](C)(Br)C1=O""}]","[{""index"": 1, ""cas_rn"": ""7726-95-6""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",stereoselective,
31-268-CAS-10565442,31-268-CAS-10565442,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,94,,,C=Cc1ccc(Br)cc1,BrCC(Br)c1ccc(Br)cc1,C=Cc1ccc(Br)cc1>>BrCC(Br)c1ccc(Br)cc1,Bromination of alkenes and alkynes with (bromodimethyl)sulfonium bromide,"Das, Biswanath; Srinivas, Yallamalla; Sudhakar, Chittaluri; Ravikanth, Bommena","Journal of Chemical Research (2008), (4), 188-190","Bromination of alkenes and alkynes with (bromodimethyl)sulfonium bromide | Das, Biswanath; Srinivas, Yallamalla; Sudhakar, Chittaluri; Ravikanth, Bommena | Journal of Chemical Research (2008), (4), 188-190",2039-82-9,33458-10-5,50450-21-0,,75-05-8,,,,,,,1,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""2039-82-9"", ""smiles"": ""C=Cc1ccc(Br)cc1""}]","[{""index"": 1, ""cas_rn"": ""33458-10-5"", ""yield_pct"": ""94"", ""smiles"": ""BrCC(Br)c1ccc(Br)cc1""}]","[{""index"": 1, ""cas_rn"": ""50450-21-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}]",,
31-268-CAS-10572592,31-268-CAS-10572592,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,100,,15.0,CCCn1c(=O)n2n(c1=O)C1C=CC2C1,CCCn1c(=O)n2n(c1=O)[C@H]1C[C@@H]2[C@H](Br)[C@@H]1Br,CCCn1c(=O)n2n(c1=O)C1C=CC2C1>>CCCn1c(=O)n2n(c1=O)[C@H]1C[C@@H]2[C@H](Br)[C@@H]1Br,Stereospecific vs stereoselective bromination of non-conjugated heterocyclic alkenes,"Mallakpour, Shadpour E.; Zolfigol, Mohammad Ali","Indian Journal of Chemistry, Section B: Organic Chemistry Including Medicinal Chemistry (1995), 34B(4), 302-9","Stereospecific vs stereoselective bromination of non-conjugated heterocyclic alkenes | Mallakpour, Shadpour E.; Zolfigol, Mohammad Ali | Indian Journal of Chemistry, Section B: Organic Chemistry Including Medicinal Chemistry (1995), 34B(4), 302-9",166273-60-5,166273-63-8,7726-95-6,,56-23-5,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""166273-60-5"", ""smiles"": ""CCCn1c(=O)n2n(c1=O)C1C=CC2C1""}]","[{""index"": 1, ""cas_rn"": ""166273-63-8"", ""yield_pct"": ""100"", ""smiles"": ""CCCn1c(=O)n2n(c1=O)[C@H]1C[C@@H]2[C@H](Br)[C@@H]1Br""}]","[{""index"": 1, ""cas_rn"": ""7726-95-6""}]",[],"[{""index"": 1, ""cas_rn"": ""56-23-5""}]","15 H, 20.deg.",
31-268-CAS-10579310,31-268-CAS-10579310,Reaction_20251110_1707.rdf,Addition of Halogens to Double or Triple Bonds,97,,,O=C(/C=C/c1ccccc1)c1ccccc1,O=C(c1ccccc1)[C@@H](Br)[C@@H](Br)c1ccccc1,O=C(/C=C/c1ccccc1)c1ccccc1>>O=C(c1ccccc1)[C@@H](Br)[C@@H](Br)c1ccccc1,"Simple and practical halogenation of arenes, alkenes, and alkynes with hydrohalic acid/H2O2 (or TBHP)","Barhate, Nivrutti B.; Gajare, Anil S.; Wakharkar, Radhika D.; Bedekar, Ashutosh V.","Tetrahedron (1999), 55(36), 11127-11142","Simple and practical halogenation of arenes, alkenes, and alkynes with hydrohalic acid/H2O2 (or TBHP) | Barhate, Nivrutti B.; Gajare, Anil S.; Wakharkar, Radhika D.; Bedekar, Ashutosh V. | Tetrahedron (1999), 55(36), 11127-11142",614-47-1,16197-80-1,"7722-84-1, 10035-10-6",,"56-23-5, 7732-18-5",,,,,,,2,1,97,,,,,,,"{""1"": 97}","[{""index"": 1, ""cas_rn"": ""614-47-1"", ""smiles"": ""O=C(/C=C/c1ccccc1)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""16197-80-1"", ""yield_pct"": ""97"", ""smiles"": ""O=C(c1ccccc1)[C@@H](Br)[C@@H](Br)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7722-84-1""}, {""index"": 2, ""cas_rn"": ""10035-10-6""}]",[],"[{""index"": 1, ""cas_rn"": ""56-23-5""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
