reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-513-CAS-19455122,31-513-CAS-19455122,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,90,,,CCN(CC)N=Nc1ccc(C#Cc2ccc(C#Cc3ccc(C=O)cc3)cc2C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)cc1C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C,CCN(CC)N=Nc1ccc(C#Cc2ccc(C#Cc3ccc(CO)cc3)cc2C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)cc1C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C,CCN(CC)N=Nc1ccc(C#Cc2ccc(C#Cc3ccc(C=O)cc3)cc2C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)cc1C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C>>CCN(CC)N=Nc1ccc(C#Cc2ccc(C#Cc3ccc(CO)cc3)cc2C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)cc1C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C,Synthesis and photophysical properties of ferrocene-oligo(benzoateethynylene)- fulleropyrrolidines dyads and triads. Implications in photovoltaic cells,"Flores, J. R.; Perez, F.; Jimenez-Barrera, R. M.; Arias, E.; Moggio, I.; Torres, R.; Rodriguez, G.; Ottonelli, M.; Ziolo, R. F.","Journal of Organometallic Chemistry (2018), 861131-141","Synthesis and photophysical properties of ferrocene-oligo(benzoateethynylene)- fulleropyrrolidines dyads and triads. Implications in photovoltaic cells | Flores, J. R.; Perez, F.; Jimenez-Barrera, R. M.; Arias, E.; Moggio, I.; Torres, R.; Rodriguez, G.; Ottonelli, M.; Ziolo, R. F. | Journal of Organometallic Chemistry (2018), 861131-141",2234275-23-9,2234275-58-0,16940-66-2,,109-99-9,,,,,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""2234275-23-9"", ""smiles"": ""CCN(CC)N=Nc1ccc(C#Cc2ccc(C#Cc3ccc(C=O)cc3)cc2C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)cc1C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""2234275-58-0"", ""yield_pct"": ""90"", ""smiles"": ""CCN(CC)N=Nc1ccc(C#Cc2ccc(C#Cc3ccc(CO)cc3)cc2C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)cc1C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}]",,
31-513-CAS-19455124,31-513-CAS-19455124,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,90,,,CC(C)(C)[Si](C)(C)OCCCCCCCCCOC(=O)c1cc(C#Cc2ccc(C=O)cc2)ccc1C#Cc1ccc(C#C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)c(C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)c1,CC(C)(C)[Si](C)(C)OCCCCCCCCCOC(=O)c1cc(C#Cc2ccc(CO)cc2)ccc1C#Cc1ccc(C#C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)c(C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)c1,CC(C)(C)[Si](C)(C)OCCCCCCCCCOC(=O)c1cc(C#Cc2ccc(C=O)cc2)ccc1C#Cc1ccc(C#C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)c(C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)c1>>CC(C)(C)[Si](C)(C)OCCCCCCCCCOC(=O)c1cc(C#Cc2ccc(CO)cc2)ccc1C#Cc1ccc(C#C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)c(C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)c1,Synthesis and photophysical properties of ferrocene-oligo(benzoateethynylene)- fulleropyrrolidines dyads and triads. Implications in photovoltaic cells,"Flores, J. R.; Perez, F.; Jimenez-Barrera, R. M.; Arias, E.; Moggio, I.; Torres, R.; Rodriguez, G.; Ottonelli, M.; Ziolo, R. F.","Journal of Organometallic Chemistry (2018), 861131-141","Synthesis and photophysical properties of ferrocene-oligo(benzoateethynylene)- fulleropyrrolidines dyads and triads. Implications in photovoltaic cells | Flores, J. R.; Perez, F.; Jimenez-Barrera, R. M.; Arias, E.; Moggio, I.; Torres, R.; Rodriguez, G.; Ottonelli, M.; Ziolo, R. F. | Journal of Organometallic Chemistry (2018), 861131-141",2243803-13-4,2243803-14-5,16940-66-2,,109-99-9,,,,,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""2243803-13-4"", ""smiles"": ""CC(C)(C)[Si](C)(C)OCCCCCCCCCOC(=O)c1cc(C#Cc2ccc(C=O)cc2)ccc1C#Cc1ccc(C#C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)c(C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)c1""}]","[{""index"": 1, ""cas_rn"": ""2243803-14-5"", ""yield_pct"": ""90"", ""smiles"": ""CC(C)(C)[Si](C)(C)OCCCCCCCCCOC(=O)c1cc(C#Cc2ccc(CO)cc2)ccc1C#Cc1ccc(C#C[c-]23->[Fe+2]456789%10(<-[cH]%11[cH]->4[cH]->5[cH-]->6[cH]->7%11)<-[cH]([cH]->8[cH]->92)[cH]->%103)c(C(=O)OCCCCCCCCCO[Si](C)(C)C(C)(C)C)c1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}]",,
31-513-CAS-19460324,31-513-CAS-19460324,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,92,,,O=CC=Cc1ccccc1,OCC=Cc1ccccc1,O=CC=Cc1ccccc1>>OCC=Cc1ccccc1,The novel and efficient reduction of graphene oxide using Ocimum sanctum L. leaf extract as an alternative renewable bio-resource,"Mahata, Suhasini; Sahu, Anjumala; Shukla, Prashant; Rai, Ankita; Singh, Manorama; Rai, Vijai K.","New Journal of Chemistry (2018), 42(24), 19945-19952","The novel and efficient reduction of graphene oxide using Ocimum sanctum L. leaf extract as an alternative renewable bio-resource | Mahata, Suhasini; Sahu, Anjumala; Shukla, Prashant; Rai, Ankita; Singh, Manorama; Rai, Vijai K. | New Journal of Chemistry (2018), 42(24), 19945-19952",104-55-2,104-54-1,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""104-55-2"", ""smiles"": ""O=CC=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""104-54-1"", ""yield_pct"": ""92"", ""smiles"": ""OCC=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","graphene oxide reduced by using Ocimum sanctum L. leaf extract before used,catalyst prepared and used",
31-513-CAS-19466324,31-513-CAS-19466324,Reaction_20251106_1651.rdf,NaBH4 carbonyl reductions,80,,,O=C1CC2CC(=O)CC2C1,O[C@H]1C[C@H]2C[C@@H](O)C[C@H]2C1.O[C@H]1C[C@H]2C[C@H](O)C[C@H]2C1.OC1C[C@H]2C[C@@H](O)C[C@H]2C1,O=C1CC2CC(=O)CC2C1>>O[C@H]1C[C@H]2C[C@@H](O)C[C@H]2C1.O[C@H]1C[C@H]2C[C@H](O)C[C@H]2C1.OC1C[C@H]2C[C@@H](O)C[C@H]2C1,Sustainable Polycarbonates from a Citric Acid-Based Rigid Diol and Recycled BPA-PC: From Synthesis to Properties,"Pang, Chengcai; Jiang, Xueshuang; Yu, Yan; Liu, Xiaohan; Lian, Jingyan; Ma, Jianbiao; Gao, Hui","ACS Sustainable Chemistry & Engineering (2018), 6(12), 17059-17067","Sustainable Polycarbonates from a Citric Acid-Based Rigid Diol and Recycled BPA-PC: From Synthesis to Properties | Pang, Chengcai; Jiang, Xueshuang; Yu, Yan; Liu, Xiaohan; Lian, Jingyan; Ma, Jianbiao; Gao, Hui | ACS Sustainable Chemistry & Engineering (2018), 6(12), 17059-17067",74513-16-9,"63641-28-1, 344428-79-1, 2135951-25-4",16940-66-2,,67-56-1,,,,,,,1,1,,,80,,,,,"{""3"": 80}","[{""index"": 1, ""cas_rn"": ""74513-16-9"", ""smiles"": ""O=C1CC2CC(=O)CC2C1""}]","[{""index"": 1, ""cas_rn"": ""63641-28-1"", ""smiles"": ""O[C@H]1C[C@H]2C[C@@H](O)C[C@H]2C1""}, {""index"": 2, ""cas_rn"": ""344428-79-1"", ""smiles"": ""O[C@H]1C[C@H]2C[C@H](O)C[C@H]2C1""}, {""index"": 3, ""cas_rn"": ""2135951-25-4"", ""yield_pct"": ""80"", ""smiles"": ""OC1C[C@H]2C[C@@H](O)C[C@H]2C1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",,
31-513-CAS-194811,31-513-CAS-194811,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,91,,,CC(=O)c1cccc2ccccc12,CC(O)c1cccc2ccccc12,CC(=O)c1cccc2ccccc12>>CC(O)c1cccc2ccccc12,"Highly efficient reduction of carbonyls, azides, and benzyl halides by NaBH4 in water catalyzed by PANF-immobilized quaternary ammonium salts","Du, Jianguo; Xu, Gang; Lin, Huikun; Wang, Guangwei; Tao, Minli; Zhang, Wenqin","Green Chemistry (2016), 18(9), 2726-2735","Highly efficient reduction of carbonyls, azides, and benzyl halides by NaBH4 in water catalyzed by PANF-immobilized quaternary ammonium salts | Du, Jianguo; Xu, Gang; Lin, Huikun; Wang, Guangwei; Tao, Minli; Zhang, Wenqin | Green Chemistry (2016), 18(9), 2726-2735",941-98-0,1517-72-2,"1310-73-2, 16940-66-2, 10035-10-6","25014-41-9, 1874205-42-1",7732-18-5,,,,immobilized on polyacrylonitrile fiber,,,2,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""941-98-0"", ""smiles"": ""CC(=O)c1cccc2ccccc12""}]","[{""index"": 1, ""cas_rn"": ""1517-72-2"", ""yield_pct"": ""91"", ""smiles"": ""CC(O)c1cccc2ccccc12""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""16940-66-2""}, {""index"": 3, ""cas_rn"": ""10035-10-6""}]","[{""index"": 1, ""cas_rn"": ""25014-41-9""}, {""index"": 2, ""cas_rn"": ""1874205-42-1"", ""amd"": ""immobilized on polyacrylonitrile fiber""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","green chemistry, polyacrylonitrile fiber-immobilized quaternary ammonium salt catalyst prepared and used in stage 1, alternate reaction conditions gave lower yield",
31-513-CAS-19596493,31-513-CAS-19596493,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,94,,,O=Cc1ccccc1,OCc1ccccc1,O=Cc1ccccc1>>OCc1ccccc1,A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water,"Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama","Tetrahedron Letters (2019), 60(7), 524-529","A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water | Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama | Tetrahedron Letters (2019), 60(7), 524-529",100-52-7,100-51-6,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""100-52-7"", ""smiles"": ""O=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""yield_pct"": ""94"", ""smiles"": ""OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","chemoselective, regioselective, optimization study, optimized on catalyst and its stoichiometry, time, catalyst prepared and used, NaBH4 also acts as catalyst, reusable and recyclable catalyst used",
31-513-CAS-19596494,31-513-CAS-19596494,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,96,,,COc1ccc(C=O)cc1,COc1ccc(CO)cc1,COc1ccc(C=O)cc1>>COc1ccc(CO)cc1,A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water,"Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama","Tetrahedron Letters (2019), 60(7), 524-529","A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water | Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama | Tetrahedron Letters (2019), 60(7), 524-529",123-11-5,105-13-5,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,96,,,,,,,"{""1"": 96}","[{""index"": 1, ""cas_rn"": ""123-11-5"", ""smiles"": ""COc1ccc(C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""105-13-5"", ""yield_pct"": ""96"", ""smiles"": ""COc1ccc(CO)cc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","chemoselective, regioselective, catalyst prepared and used, NaBH4 also acts as catalyst, reusable and recyclable catalyst used",
31-513-CAS-19596495,31-513-CAS-19596495,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,89,,,COc1cccc(C=O)c1,COc1cccc(CO)c1,COc1cccc(C=O)c1>>COc1cccc(CO)c1,A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water,"Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama","Tetrahedron Letters (2019), 60(7), 524-529","A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water | Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama | Tetrahedron Letters (2019), 60(7), 524-529",591-31-1,6971-51-3,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""591-31-1"", ""smiles"": ""COc1cccc(C=O)c1""}]","[{""index"": 1, ""cas_rn"": ""6971-51-3"", ""yield_pct"": ""89"", ""smiles"": ""COc1cccc(CO)c1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","chemoselective, regioselective, catalyst prepared and used, NaBH4 also acts as catalyst, reusable and recyclable catalyst used",
31-513-CAS-19596496,31-513-CAS-19596496,Reaction_20251106_1651 (1).rdf,NaBH4 carbonyl reductions,97,,,O=Cc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(CO)cc1,O=Cc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(CO)cc1,A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water,"Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama","Tetrahedron Letters (2019), 60(7), 524-529","A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water | Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama | Tetrahedron Letters (2019), 60(7), 524-529",555-16-8,619-73-8,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,97,,,,,,,"{""1"": 97}","[{""index"": 1, ""cas_rn"": ""555-16-8"", ""smiles"": ""O=Cc1ccc([N+](=O)[O-])cc1""}]","[{""index"": 1, ""cas_rn"": ""619-73-8"", ""yield_pct"": ""97"", ""smiles"": ""O=[N+]([O-])c1ccc(CO)cc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","chemoselective, regioselective, catalyst prepared and used, NaBH4 also acts as catalyst, other reagent may also be used (acetophenone), reusable and recyclable catalyst used",
31-513-CAS-19596497,31-513-CAS-19596497,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,93,,,O=Cc1cccc([N+](=O)[O-])c1,O=[N+]([O-])c1cccc(CO)c1,O=Cc1cccc([N+](=O)[O-])c1>>O=[N+]([O-])c1cccc(CO)c1,A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water,"Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama","Tetrahedron Letters (2019), 60(7), 524-529","A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water | Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama | Tetrahedron Letters (2019), 60(7), 524-529",99-61-6,619-25-0,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,93,,,,,,,"{""1"": 93}","[{""index"": 1, ""cas_rn"": ""99-61-6"", ""smiles"": ""O=Cc1cccc([N+](=O)[O-])c1""}]","[{""index"": 1, ""cas_rn"": ""619-25-0"", ""yield_pct"": ""93"", ""smiles"": ""O=[N+]([O-])c1cccc(CO)c1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","chemoselective, regioselective, catalyst prepared and used, NaBH4 also acts as catalyst, reusable and recyclable catalyst used",
31-513-CAS-19596498,31-513-CAS-19596498,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,90,,,O=Cc1ccccc1[N+](=O)[O-],O=[N+]([O-])c1ccccc1CO,O=Cc1ccccc1[N+](=O)[O-]>>O=[N+]([O-])c1ccccc1CO,A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water,"Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama","Tetrahedron Letters (2019), 60(7), 524-529","A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water | Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama | Tetrahedron Letters (2019), 60(7), 524-529",552-89-6,612-25-9,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""552-89-6"", ""smiles"": ""O=Cc1ccccc1[N+](=O)[O-]""}]","[{""index"": 1, ""cas_rn"": ""612-25-9"", ""yield_pct"": ""90"", ""smiles"": ""O=[N+]([O-])c1ccccc1CO""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","chemoselective, regioselective, catalyst prepared and used, NaBH4 also acts as catalyst, reusable and recyclable catalyst used",
31-513-CAS-19596499,31-513-CAS-19596499,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,90,,,O=Cc1ccc(Cl)cc1,OCc1ccc(Cl)cc1,O=Cc1ccc(Cl)cc1>>OCc1ccc(Cl)cc1,A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water,"Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama","Tetrahedron Letters (2019), 60(7), 524-529","A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water | Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama | Tetrahedron Letters (2019), 60(7), 524-529",104-88-1,873-76-7,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""104-88-1"", ""smiles"": ""O=Cc1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""873-76-7"", ""yield_pct"": ""90"", ""smiles"": ""OCc1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","chemoselective, regioselective, catalyst prepared and used, NaBH4 also acts as catalyst, other reagent may also be used (acetophenone), reusable and recyclable catalyst used",
31-513-CAS-19596500,31-513-CAS-19596500,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,86,,,O=Cc1ccccc1Cl,OCc1ccccc1Cl,O=Cc1ccccc1Cl>>OCc1ccccc1Cl,A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water,"Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama","Tetrahedron Letters (2019), 60(7), 524-529","A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water | Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama | Tetrahedron Letters (2019), 60(7), 524-529",89-98-5,17849-38-6,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""89-98-5"", ""smiles"": ""O=Cc1ccccc1Cl""}]","[{""index"": 1, ""cas_rn"": ""17849-38-6"", ""yield_pct"": ""86"", ""smiles"": ""OCc1ccccc1Cl""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","chemoselective, regioselective, catalyst prepared and used, NaBH4 also acts as catalyst, reusable and recyclable catalyst used",
31-513-CAS-19596501,31-513-CAS-19596501,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,88,,,O=Cc1ccccc1O,OCc1ccccc1O,O=Cc1ccccc1O>>OCc1ccccc1O,A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water,"Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama","Tetrahedron Letters (2019), 60(7), 524-529","A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water | Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama | Tetrahedron Letters (2019), 60(7), 524-529",90-02-8,90-01-7,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""90-02-8"", ""smiles"": ""O=Cc1ccccc1O""}]","[{""index"": 1, ""cas_rn"": ""90-01-7"", ""yield_pct"": ""88"", ""smiles"": ""OCc1ccccc1O""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","chemoselective, regioselective, catalyst prepared and used, NaBH4 also acts as catalyst, reusable and recyclable catalyst used",
31-513-CAS-19596502,31-513-CAS-19596502,Reaction_20251106_1651 (2).rdf,NaBH4 carbonyl reductions,92,,,Cc1ccc(C=O)cc1,Cc1ccc(CO)cc1,Cc1ccc(C=O)cc1>>Cc1ccc(CO)cc1,A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water,"Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama","Tetrahedron Letters (2019), 60(7), 524-529","A novel carbocatalytic hydride transfer strategy for efficient reduction of structurally different aldehydes and ketones in water | Rai, Vijai K.; Mahata, Suhasini; Bhardiya, Smita R.; Shukla, Prashant; Rai, Ankita; Singh, Manorama | Tetrahedron Letters (2019), 60(7), 524-529",104-87-0,589-18-4,16940-66-2,1034343-98-0,7732-18-5,,,,oxide,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""104-87-0"", ""smiles"": ""Cc1ccc(C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""589-18-4"", ""yield_pct"": ""92"", ""smiles"": ""Cc1ccc(CO)cc1""}]","[{""index"": 1, ""cas_rn"": ""16940-66-2""}]","[{""index"": 1, ""cas_rn"": ""1034343-98-0"", ""amd"": ""oxide""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","chemoselective, regioselective, catalyst prepared and used, NaBH4 also acts as catalyst, reusable and recyclable catalyst used",
