schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,reaction_label,reaction_label_status,yield_pct,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,nucleophile_label,nucleophile_family,nucleophile_contexts,nucleophile_availability,nucleophile_flags,product_connection_label,product_connection_json,spectator_group_ids,family_environment_json,reference,notes
1.1,31-614-CAS-31534005,186,rejected,unresolved_transformation,CC(C)(C)c1ccc(O)cc1.CC(=O)[O-].COc1cc(OC)c([I+]c2ccccc2)c(OC)c1>>CC(C)(C)c1ccc(Oc2ccccc2)cc1,unresolved,,unavailable,94.0,COND1:catalyst=unknown|reagent=12125-02-9+497-19-8|solvent=75-09-2+7732-18-5,False,,12125-02-9|497-19-8,75-09-2|7732-18-5,,,,,,,,,,,,,,,,"Organic Letters (2022), 24(10), 1924-1928","selective reaction, optimization study, optimized on base, optimized on solvent"
1.1,31-614-CAS-31534042,187,rejected,unresolved_transformation,Oc1ccc2ccccc2c1Br.CC(=O)[O-].COc1cc(OC)c([I+]c2ccccc2)c(OC)c1>>Brc1c(Oc2ccccc2)ccc2ccccc12,unresolved,,unavailable,75.0,COND1:catalyst=unknown|reagent=12125-02-9+497-19-8|solvent=75-09-2+7732-18-5,False,,12125-02-9|497-19-8,75-09-2|7732-18-5,,,,,,,,,,,,,,,,"Organic Letters (2022), 24(10), 1924-1928",selective reaction
1.1,31-614-CAS-32258121,191,rejected,unresolved_transformation,Oc1ccccc1.[Na].CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1[I+]c1c(C)noc1C.Cc1ccc(S(=O)(=O)[O-])cc1>>CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1Oc1ccccc1,unresolved,,unavailable,83.0,COND1:catalyst=unknown|reagent=2926-30-9+534-17-8|solvent=108-88-3,False,,2926-30-9|534-17-8,108-88-3,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2022), 61(28), e202201240",
1.1,31-614-CAS-32730765,194,rejected,unresolved_transformation,COC(=O)c1ccc(I)cc1.CC(C)Cc1ccc(C(C)C(=O)O)cc1>>COC(=O)c1ccc(OC(=O)C(C)c2ccc(CC(C)C)cc2)cc1,unresolved,,unavailable,80.0,COND1:catalyst=28923-39-9+72914-19-3|reagent=6674-22-2+7647-14-5|solvent=109-99-9+7732-18-5,True,28923-39-9|72914-19-3,6674-22-2|7647-14-5,109-99-9|7732-18-5,,,,,,,,,,,,,,,,"Organic Chemistry Frontiers (2022), 9(14), 3847-3853","photochemical, reaction in a Schlenk tube in stage 1, irradiated with 450 nm LEDs"
1.1,31-614-CAS-34199427,201,rejected,unresolved_transformation,COc1cc(CCc2cc(C)ccc2O)c(Br)c(OC)c1OC>>COc1cc2c(c(OC)c1OC)Oc1ccc(C)cc1CC2,unresolved,,unavailable,71.0,COND1:catalyst=unknown|reagent=54678-23-8+7646-69-7+7647-01-0|solvent=110-86-1+7732-18-5,False,,54678-23-8|7646-69-7|7647-01-0,110-86-1|7732-18-5,,,,,,,,,,,,,,,,"Bioorganic & Medicinal Chemistry Letters (2022), 75128955",
1.1,31-614-CAS-36269741,219,rejected,unresolved_transformation,CC(=O)O.COc1ccc([I+]c2ccccc2/N=N/c2ccccc2)cc1.Cc1ccc(S(=O)(=O)[O-])cc1>>CC(=O)Oc1ccccc1/N=N/c1ccccc1,unresolved,,unavailable,70.0,COND1:catalyst=unknown|reagent=865-47-4|solvent=108-88-3,False,,865-47-4,108-88-3,,,,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2023), 59(34), 5047-5050",
1.1,31-614-CAS-36269742,220,rejected,unresolved_transformation,Oc1ccccc1.COc1ccc([I+]c2ccccc2/N=N/c2ccccc2)cc1.Cc1ccc(S(=O)(=O)[O-])cc1>>c1ccc(/N=N/c2ccccc2Oc2ccccc2)cc1,unresolved,,unavailable,75.0,COND1:catalyst=unknown|reagent=7732-18-5+865-47-4|solvent=108-88-3,False,,7732-18-5|865-47-4,108-88-3,,,,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2023), 59(34), 5047-5050",
1.1,31-614-CAS-36417466,221,rejected,unresolved_transformation,Cc1ccc(C=O)c(O)c1.O=S(=O)([O-])C(F)(F)F.c1ccc([I+]c2ccccc2)cc1>>Cc1ccc(C=O)c(Oc2ccccc2)c1,unresolved,,unavailable,95.0,COND1:catalyst=unknown|reagent=865-47-4|solvent=109-99-9,False,,865-47-4,109-99-9,,,,,,,,,,,,,,,,"Chemical Science (2023), 14(13), 3493-3500",
1.1,31-614-CAS-37581252,234,rejected,unresolved_transformation,O=C(O)c1ccccc1.[Ag].Ic1ccccc1>>O=C(Oc1ccccc1)c1ccccc1,unresolved,,unavailable,91.0,COND1:catalyst=854045-95-7|reagent=26042-64-8+90076-65-6|solvent=920-66-1,True,854045-95-7,26042-64-8|90076-65-6,920-66-1,,,,,,,,,,,,,,,,"Organic Letters (2023), 25(34), 6334-6339","chemoselective, thermal"
1.1,31-614-CAS-37581322,235,rejected,unresolved_transformation,Ic1ccc(-c2ccccc2)cc1.Cc1cccc(C(=O)O)c1.[Ag]>>Cc1cccc(C(=O)Oc2ccc(-c3ccccc3)cc2)c1,unresolved,,unavailable,86.0,COND1:catalyst=854045-95-7|reagent=26042-64-8+90076-65-6|solvent=920-66-1,True,854045-95-7,26042-64-8|90076-65-6,920-66-1,,,,,,,,,,,,,,,,"Organic Letters (2023), 25(34), 6334-6339","chemoselective, thermal"
1.1,31-614-CAS-37581333,236,rejected,unresolved_transformation,Ic1ccc(-c2ccccc2)cc1.O=C(O)c1cccc(Cl)c1.[Ag]>>O=C(Oc1ccc(-c2ccccc2)cc1)c1cccc(Cl)c1,unresolved,,unavailable,81.0,COND1:catalyst=854045-95-7|reagent=26042-64-8+90076-65-6|solvent=920-66-1,True,854045-95-7,26042-64-8|90076-65-6,920-66-1,,,,,,,,,,,,,,,,"Organic Letters (2023), 25(34), 6334-6339","chemoselective, thermal"
1.1,31-614-CAS-41256852,268,rejected,unresolved_transformation,CC(=O)c1ccc(C(=O)O)cc1.COc1ccc(I)cc1Cl>>COc1ccc(OC(=O)c2ccc(C(C)=O)cc2)cc1Cl,unresolved,,unavailable,74.0,COND1:catalyst=119-61-9+2043952-58-3+26042-64-8|reagent=497-19-8|solvent=107-06-2,True,119-61-9|2043952-58-3|26042-64-8,497-19-8,107-06-2,,,,,,,,,,,,,,,,"JACS Au (2024), 4(8), 3084-3093","chemoselective, photochemical, sealed vial used, Kessil blue LED light (465 nm) used"
1.1,31-614-CAS-41256856,269,rejected,unresolved_transformation,Cc1ccc(C(=O)O)cc1.COc1ccc(I)cc1F>>COc1ccc(OC(=O)c2ccc(C)cc2)cc1F,unresolved,,unavailable,84.0,COND1:catalyst=119-61-9+2043952-58-3+26042-64-8|reagent=497-19-8|solvent=107-06-2,True,119-61-9|2043952-58-3|26042-64-8,497-19-8,107-06-2,,,,,,,,,,,,,,,,"JACS Au (2024), 4(8), 3084-3093","chemoselective, photochemical, sealed vial used, Kessil blue LED light (465 nm) used, alternative catalyst may gave lower yield"
1.1,31-614-CAS-41256857,270,rejected,unresolved_transformation,O=C(O)c1ccsc1.Ic1ccc(-c2ccc(I)cc2)cc1>>O=C(Oc1ccc(-c2ccc(I)cc2)cc1)c1ccsc1,unresolved,,unavailable,83.0,COND1:catalyst=119-61-9+2043952-58-3+26042-64-8|reagent=497-19-8|solvent=107-06-2,True,119-61-9|2043952-58-3|26042-64-8,497-19-8,107-06-2,,,,,,,,,,,,,,,,"JACS Au (2024), 4(8), 3084-3093","photochemical, sealed vial used, Kessil blue LED light (465 nm) used, alternative catalyst may gave lower yield"
