substance_id,name,abbreviation,cas,smiles,formula,type,density,mw,bp,mp,volatile,viscose,role_1,family_1,tag_1,role_2,family_2,tag_2,status,source,curator_notes
cas:33636-93-0,Stryker's reagent,,33636-93-0,[Cu].[Cu].[Cu].[Cu].[Cu].[Cu].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,C108H90Cu6P6,,,1955.028,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:11982471,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): catalyst. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:3470-98-2,"2-Pyrrolidinone, 1-butyl-",,3470-98-2,CCCCN1CCCC1=O,C8H15NO,liquid,,141.214,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:18984,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): solvent. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:39207-65-3,2-(2-Methylpropanoyl)cyclohexan-1-one,,39207-65-3,CC(C)C(=O)C1CCCCC1=O,C10H16O2,,,168.236,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:11469301,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:40759-64-6,Ni(COD)(DQ),,40759-64-6,C1=C\CC/C=C\CC/1.CC1=C(C)C(=O)C(C)=C(C)C1=O.[Ni],C18H24NiO2,,,331.081,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:88698930,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): catalyst. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:53716-82-8,"(1S,5R)-6,8-dioxabicyclo(3.2.1)octan-4-one",,53716-82-8,O=C1CC[C@H]2CO[C@@H]1O2,C6H8O3,,,128.127,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:10975499,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): solvent. CAS evidence: CAS Common Chemistry / established registry identity. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:563-63-3,Silver acetate,,563-63-3,CC(=O)[O-].[Ag+],C2H3AgO2,liquid,,166.912,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:11246,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): base. CAS evidence: CAS Common Chemistry / established registry identity. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:566940-03-2,"4,4'-Bi-1,3-benzodioxole-5,5'-diylbis{bis[4-methoxy-3,5-bis(2-methyl-2-propanyl)phenyl]phosphine}",,566940-03-2,COc1c(C(C)(C)C)cc(P(c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c2ccc3c(c2-c2c(P(c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)ccc4c2OCO4)OCO3)cc1C(C)(C)C,C74H100O8P2,,,1179.554,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:11194192,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:5807-14-7,Triazabicyclodecene,,5807-14-7,C1CN=C2NCCCN2C1,C7H13N3,liquid,,139.202,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:79873,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): additive | base. CAS evidence: CAS Common Chemistry / established registry identity. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:63517-33-9,XtalFluor-M,,63517-33-9,F[B-](F)(F)F.F[S+](F)N1CCOCC1,C4H8BF6NOS,,,242.981,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:54772265,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): coupling_reagent. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:745038-86-2,Isopropylmagnesium chloride lithium chloride complex,,745038-86-2,C[CH-]C.[Cl-].[Cl-].[Li+].[Mg+2],C3H7Cl2LiMg,,,145.241,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:11275082,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): base. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:75-12-7,Formamide,,75-12-7,NC=O,CH3NO,liquid,,45.041,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:713,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): solvent. CAS evidence: CAS Common Chemistry / established registry identity. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:7560-83-0,N-Methyl dicyclohexylamine,,7560-83-0,CN(C1CCCCC1)C1CCCCC1,C13H25N,,,195.35,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:24210,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): base. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:76189-55-4,"Binap, (A+-)-",,76189-55-4,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,C44H32P2,,,622.688,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:634876,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: CAS Common Chemistry / established registry identity. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:7758-11-4,"Potassium Phosphate, Dibasic",,7758-11-4,O=P([O-])([O-])O.[K+].[K+],HK2O4P,powder,,174.174,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:24450,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): base. CAS evidence: CAS Common Chemistry / established registry identity. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:81675-81-2,Phosphazene base P1-t-Bu,,81675-81-2,CN(C)P(=NC(C)(C)C)(N(C)C)N(C)C,C10H27N4P,,,234.328,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:4195269,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): base. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:82737-61-9,"1,3,2,4-Dithiadiphosphetane, 2,4-bis(methylthio)-, 2,4-disulfide",,82737-61-9,CSP1(=S)SP(=S)(SC)S1,C2H6P2S6,,,284.42,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:4520958,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): additive. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:898838-07-8,"Lithium magnesium chloride 2,2,6,6-tetramethylpiperidin-1-ide (1/1/2/1)",,898838-07-8,CC1(C)CCCC(C)(C)[N-]1.[Cl-].[Cl-].[Li+].[Mg+2],C9H18Cl2LiMgN,,,242.402,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:23690313,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): base. CAS evidence: supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:92149-07-0,"4,7-Dimethoxy-1,10-phenanthroline",,92149-07-0,COc1ccnc2c1ccc1c(OC)ccnc12,C14H12N2O2,,,240.262,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:10462298,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:947402-60-0,1-(Dicyclohexylphosphanyl)-2-(2-methoxyphenyl)-1H-indole,,947402-60-0,COc1ccccc1-c1cc2ccccc2n1P(C1CCCCC1)C1CCCCC1,C27H34NOP,,,419.549,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:16747908,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): ligand. CAS evidence: supplier/registry name match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:94790-35-9,"Chloro-N,N,N',N'-tetramethylformamidinium Hexafluorophosphate",,94790-35-9,CN(C)C(Cl)=[N+](C)C.F[P-](F)(F)(F)(F)F,C5H12ClF6N2P,,,280.58,,,,,,,,,,,active,weak_label_v2.1:user_possible_cas_reconciliation+pubchem:cid:10989639,Imported from curator-updated weak-label unresolved-compounds CSV. Observed source roles (contextual only): coupling_reagent. CAS evidence: current supplier catalog match. Intrinsic registry roles were intentionally not inferred from dataset columns.
cas:7440-05-3,Palladium,PALLADIUM,7440-05-3,[Pd],Pd,solid,12.02,106.42,2963,1554.9,,,metal_catalyst,pure_metal,,,,,active,pubchem:cid:23938,"Web auto-fill sources:
https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/7440-05-3/property/Title,IUPACName,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey/JSON
https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/7440-05-3/synonyms/JSON
https://pubchem.ncbi.nlm.nih.gov/compound/23938
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23938/JSON?heading=Density
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23938/JSON?heading=Boiling%20Point
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23938/JSON?heading=Melting%20Point
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23938/JSON?heading=Physical%20Description
Lookup warning: PUBCHEM_EXPERIMENTAL_FIELDS_REQUIRE_REVIEW
Condition roles and families were not inferred; review them manually."
