Reaction_Type_Standardized,Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,Reactant_Types_Key,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Any-OR|Ar-OAr|Ar-OR|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Any-OR|Ar-OAr|Ar-OR|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-B(OH)2,Any-B(OH)2,Ar-OAr,Any-OR,Ar-OR","H-NHR,Any-NH2,Ar-OAr,Any-OR,Ar-OR,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Any-OR|Ar-OAr|Ar-OR|H-NHR,Any-B(OH)2|Any-NH2|Any-OR|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-OAr|Ar-OR|Ar-SO2NH2|H-NHR,Any-NH2|Any-OR|Any-Sulfonamide|Ar-OAr|Ar-OR|H-NHR|H-Sulfonamide,71.0,Nc1ccccc1S(N)(=O)=O.OB(O)c1ccc(Oc2ccccc2)cc1>>Nc1ccccc1S(=O)(=O)Nc1ccc(Oc2ccccc2)cc1,7758-89-6,,Et3N,"1,4-Dioxane",,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CHO|Ar-CHO|AromN-H|Benzimidazole|H-AromN,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CHO|Ar-CHO|AromN-H|Benzimidazole|H-AromN,False,"H-NHR,Any-NH2,H-AromN,AromN-H,Benzimidazole","Ar-B(OH)2,Any-B(OH)2,Ar-CHO,Any-CHO","Ar-CHO,Any-CHO,Ar-NHAr,H-AromN,AromN-H,Benzimidazole",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-CHO|Ar-CHO|AromN-H|Benzimidazole|H-AromN,Any-B(OH)2|Any-CHO|Any-NH2|Ar-B(OH)2|Ar-CHO|AromN-H|Benzimidazole|H-AromN|H-NHR,Any-CHO|Ar-CHO|Ar-NHAr|AromN-H|Benzimidazole|H-AromN,82.0,Nc1nc2ccccc2[nH]1.O=Cc1ccc(B(O)O)cc1>>O=Cc1ccc(Nc2nc3ccccc3[nH]2)cc1,Cu(OAc)2,bpy,Cs2CO3,DMF,,,,0.0
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Any-SR|Ar-SR|H-NHR|R-SR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Any-SR|Ar-SR|H-NHR|R-SR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-B(OH)2,Any-B(OH)2,Ar-SR,Any-SR,R-SR","Ar-SR,Any-SR,R-SR,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Any-SR|Ar-SR|H-NHR|R-SR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Any-SR|Ar-B(OH)2|Ar-SO2NH2|Ar-SR|H-NHR|R-SR,Any-NH2|Any-SR|Any-Sulfonamide|Ar-SR|H-NHR|H-Sulfonamide|R-SR,65.0,Nc1ccccc1S(N)(=O)=O.CSc1ccc(B(O)O)cc1>>CSc1ccc(NS(=O)(=O)c2ccccc2N)cc1,7758-89-6,,Et3N,"1,4-Dioxane",,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Cl|Ar-X|AromN-H|Benzimidazole|H-AromN,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Cl|Ar-X|AromN-H|Benzimidazole|H-AromN,False,"H-NHR,Any-NH2,H-AromN,AromN-H,Benzimidazole","Ar-Cl,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-Cl,Ar-X,Ar-NHAr,H-AromN,AromN-H,Benzimidazole",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Cl|Ar-X|AromN-H|Benzimidazole|H-AromN,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-Cl|Ar-X|AromN-H|Benzimidazole|H-AromN|H-NHR,Ar-Cl|Ar-NHAr|Ar-X|AromN-H|Benzimidazole|H-AromN,75.0,Nc1nc2ccccc2[nH]1.OB(O)c1cccc(Cl)c1>>Clc1cccc(Nc2nc3ccccc3[nH]2)c1,Cu(OAc)2,bpy,Cs2CO3,DMF,,,,-0.7071067811865476
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-OCF3|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-OCF3|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-OCF3,Ar-B(OH)2,Any-B(OH)2","Ar-OCF3,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-OCF3|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-OCF3|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|Ar-OCF3|H-NHR|H-Sulfonamide,59.0,Nc1ccccc1S(N)(=O)=O.OB(O)c1ccc(OC(F)(F)F)cc1>>Nc1ccccc1S(=O)(=O)Nc1ccc(OC(F)(F)F)cc1,7758-89-6,,Et3N,"1,4-Dioxane",,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NO2|Ar-NO2|AromN-H|Benzimidazole|H-AromN,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NO2|Ar-NO2|AromN-H|Benzimidazole|H-AromN,False,"H-NHR,Any-NH2,H-AromN,AromN-H,Benzimidazole","Ar-B(OH)2,Any-B(OH)2,Ar-NO2,Any-NO2","Ar-NO2,Any-NO2,Ar-NHAr,H-AromN,AromN-H,Benzimidazole",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-NO2|Ar-NO2|AromN-H|Benzimidazole|H-AromN,Any-B(OH)2|Any-NH2|Any-NO2|Ar-B(OH)2|Ar-NO2|AromN-H|Benzimidazole|H-AromN|H-NHR,Any-NO2|Ar-NHAr|Ar-NO2|AromN-H|Benzimidazole|H-AromN,73.0,Nc1nc2ccccc2[nH]1.O=[N+]([O-])c1cccc(B(O)O)c1>>O=[N+]([O-])c1cccc(Nc2nc3ccccc3[nH]2)c1,Cu(OAc)2,bpy,Cs2CO3,DMF,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|AromN-H|Benzimidazole|H-AromN|R-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|AromN-H|Benzimidazole|H-AromN|R-OR,False,"H-NHR,Any-NH2,H-AromN,AromN-H,Benzimidazole","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-NHAr,Ar-OR,Any-OR,R-OR,H-AromN,AromN-H,Benzimidazole",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|AromN-H|Benzimidazole|H-AromN|R-OR,Any-B(OH)2|Any-NH2|Any-OR|Ar-B(OH)2|Ar-OR|AromN-H|Benzimidazole|H-AromN|H-NHR|R-OR,Any-OR|Ar-NHAr|Ar-OR|AromN-H|Benzimidazole|H-AromN|R-OR,78.0,Nc1nc2ccccc2[nH]1.COc1ccc(B(O)O)cc1>>COc1ccc(Nc2nc3ccccc3[nH]2)cc1,Cu(OAc)2,bpy,Cs2CO3,DMF,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|AromN-H|Benzimidazole|H-AromN|R-OR|RCH2-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|AromN-H|Benzimidazole|H-AromN|R-OR|RCH2-OR,False,"H-NHR,Any-NH2,H-AromN,AromN-H,Benzimidazole","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR,RCH2-OR","Ar-NHAr,Ar-OR,Any-OR,R-OR,RCH2-OR,H-AromN,AromN-H,Benzimidazole",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OR|AromN-H|Benzimidazole|H-AromN|R-OR|RCH2-OR,Any-B(OH)2|Any-NH2|Any-OR|Ar-B(OH)2|Ar-OR|AromN-H|Benzimidazole|H-AromN|H-NHR|R-OR|RCH2-OR,Any-OR|Ar-NHAr|Ar-OR|AromN-H|Benzimidazole|H-AromN|R-OR|RCH2-OR,80.0,Nc1nc2ccccc2[nH]1.CCOc1ccc(B(O)O)cc1>>CCOc1ccc(Nc2nc3ccccc3[nH]2)cc1,Cu(OAc)2,bpy,Cs2CO3,DMF,,,,-0.5773502691896274
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Any-OR|Ar-OR|H-NHR|R-OR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Any-OR|Ar-OR|H-NHR|R-OR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","H-NHR,Any-NH2,Ar-OR,Any-OR,R-OR,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Any-OR|Ar-OR|H-NHR|R-OR,Any-B(OH)2|Any-NH2|Any-OR|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-OR|Ar-SO2NH2|H-NHR|R-OR,Any-NH2|Any-OR|Any-Sulfonamide|Ar-OR|H-NHR|H-Sulfonamide|R-OR,63.0,Nc1ccccc1S(N)(=O)=O.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2ccccc2N)cc1,7758-89-6,,Et3N,"1,4-Dioxane",,,,-0.7071067811865476
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OAr|Ar-OR|AromN-H|Benzimidazole|H-AromN,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OAr|Ar-OR|AromN-H|Benzimidazole|H-AromN,False,"H-NHR,Any-NH2,H-AromN,AromN-H,Benzimidazole","Ar-B(OH)2,Any-B(OH)2,Ar-OAr,Any-OR,Ar-OR","Ar-NHAr,Ar-OAr,Any-OR,Ar-OR,H-AromN,AromN-H,Benzimidazole",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-OR|Ar-OAr|Ar-OR|AromN-H|Benzimidazole|H-AromN,Any-B(OH)2|Any-NH2|Any-OR|Ar-B(OH)2|Ar-OAr|Ar-OR|AromN-H|Benzimidazole|H-AromN|H-NHR,Any-OR|Ar-NHAr|Ar-OAr|Ar-OR|AromN-H|Benzimidazole|H-AromN,80.0,Nc1nc2ccccc2[nH]1.OB(O)c1ccc(Oc2ccccc2)cc1>>c1ccc(Oc2ccc(Nc3nc4ccccc4[nH]3)cc2)cc1,Cu(OAc)2,bpy,Cs2CO3,DMF,,,,0.0
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-R|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|Ar-R|H-NHR|H-Sulfonamide,68.0,Nc1ccccc1S(N)(=O)=O.CCc1ccc(B(O)O)cc1>>CCc1ccc(NS(=O)(=O)c2ccccc2N)cc1,7758-89-6,,Et3N,"1,4-Dioxane",,,,0.22176388783429182
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Br|Ar-X|AromN-H|Benzimidazole|H-AromN,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Br|Ar-X|AromN-H|Benzimidazole|H-AromN,False,"H-NHR,Any-NH2,H-AromN,AromN-H,Benzimidazole","Ar-Br,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-Br,Ar-X,Ar-NHAr,H-AromN,AromN-H,Benzimidazole",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Br|Ar-X|AromN-H|Benzimidazole|H-AromN,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-Br|Ar-X|AromN-H|Benzimidazole|H-AromN|H-NHR,Ar-Br|Ar-NHAr|Ar-X|AromN-H|Benzimidazole|H-AromN,81.0,Nc1nc2ccccc2[nH]1.OB(O)c1ccc(Br)cc1>>Brc1ccc(Nc2nc3ccccc3[nH]2)cc1,Cu(OAc)2,bpy,Cs2CO3,DMF,,,,0.7071067811865475
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-R|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|Ar-R|H-NHR|H-Sulfonamide,72.0,Nc1ccccc1S(N)(=O)=O.CC(C)(C)c1ccc(B(O)O)cc1>>CC(C)(C)c1ccc(NS(=O)(=O)c2ccccc2N)cc1,7758-89-6,,Et3N,"1,4-Dioxane",,,,0.5503029809221313
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-F|Ar-X|AromN-H|Benzimidazole|H-AromN,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-F|Ar-X|AromN-H|Benzimidazole|H-AromN,False,"H-NHR,Any-NH2,H-AromN,AromN-H,Benzimidazole","Ar-F,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-F,Ar-X,Ar-NHAr,H-AromN,AromN-H,Benzimidazole",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-F|Ar-X|AromN-H|Benzimidazole|H-AromN,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-F|Ar-X|AromN-H|Benzimidazole|H-AromN|H-NHR,Ar-F|Ar-NHAr|Ar-X|AromN-H|Benzimidazole|H-AromN,78.0,Nc1nc2ccccc2[nH]1.OB(O)c1ccc(F)cc1>>Fc1ccc(Nc2nc3ccccc3[nH]2)cc1,Cu(OAc)2,bpy,Cs2CO3,DMF,,,,0.0
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|H-NHR,False,"Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|H-NHR|H-Sulfonamide,83.0,OB(O)c1ccccc1.Nc1ccccc1S(N)(=O)=O>>Nc1ccccc1S(=O)(=O)Nc1ccccc1,7758-89-6,,Et3N,"1,4-Dioxane",,,,1.5968641261684835
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-R|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|Ar-R|H-NHR|H-Sulfonamide,84.0,Nc1ccccc1S(N)(=O)=O.Cc1ccc(B(O)O)cc1>>Cc1ccc(NS(=O)(=O)c2ccccc2N)cc1,7758-89-6,,Et3N,"1,4-Dioxane",,,,1.5359202601856494
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-Cl|Ar-X|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-Cl|Ar-X|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-Cl,Ar-X,Ar-B(OH)2,Any-B(OH)2","Ar-Cl,Ar-X,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-Cl|Ar-X|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-Cl|Ar-SO2NH2|Ar-X|H-NHR,Any-NH2|Any-Sulfonamide|Ar-Cl|Ar-X|H-NHR|H-Sulfonamide,45.0,Nc1ccc(S(N)(=O)=O)cc1.OB(O)c1ccc(Cl)cc1>>Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,7758-89-6,,KOtBu,MeOH,,,,-0.6848329953982648
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-R|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|Ar-R|H-NHR|H-Sulfonamide,60.0,Nc1ccc(S(N)(=O)=O)cc1.CC(C)(C)c1ccc(B(O)O)cc1>>CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1,7758-89-6,,KOtBu,MeOH,,,,-0.43531429834138696
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-R|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|Ar-R|H-NHR|H-Sulfonamide,68.0,Nc1ccc(S(N)(=O)=O)cc1.Cc1cc(C)cc(B(O)O)c1>>Cc1cc(C)cc(NS(=O)(=O)c2ccc(N)cc2)c1,7758-89-6,,KOtBu,MeOH,,,,0.22176388783429182
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-R|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|Ar-R|H-NHR|H-Sulfonamide,65.0,Nc1ccc(S(N)(=O)=O)cc1.Cc1cccc(B(O)O)c1>>Cc1cccc(NS(=O)(=O)c2ccc(N)cc2)c1,7758-89-6,,KOtBu,MeOH,,,,-0.02464043198158772
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-Ar|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-Ar|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-Ar,Ar-B(OH)2,Any-B(OH)2","Ar-Ar,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-Ar|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-Ar|Ar-B(OH)2|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|Ar-Ar|H-NHR|H-Sulfonamide,48.0,Nc1ccccc1S(N)(=O)=O.OB(O)c1ccc(-c2ccccc2)cc1>>Nc1ccccc1S(=O)(=O)Nc1ccc(-c2ccccc2)cc1,7758-89-6,,Et3N,"1,4-Dioxane",,,,0.0
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-SR|R-SR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-SR|R-SR,False,"Ar-B(OH)2,Any-B(OH)2","H-NR2,Any-NHR,Any-Imino,R-SR,Any-SR","Ar-NR2,Any-NR2,Any-Imino,R-SR,Any-SR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-Imino|Any-SR|R-SR,Any-B(OH)2|Any-Imino|Any-NHR|Any-SR|Ar-B(OH)2|H-NR2|R-SR,Any-Imino|Any-NR2|Any-SR|Ar-NR2|R-SR,59.0,OB(O)c1ccccc1.CSC1=NCCN1>>CSC1=NCCN1c1ccccc1,Cu(OAc)2,,K2CO3 / Et3N,DMSO / EtOAc,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Thiophene,Ar-B(OH)2|H-NHR -> Ar-NHAr || Thiophene,False,"H-NHR,Any-NH2","Ar-B(OH)2,Any-B(OH)2,Thiophene","Ar-NHAr,Thiophene",Ar-B(OH)2|H-NHR -> Ar-NHAr || Thiophene,Any-B(OH)2|Any-NH2|Ar-B(OH)2|H-NHR|Thiophene,Ar-NHAr|Thiophene,74.0,Nc1ccccc1.OB(O)c1ccsc1>>c1ccc(Nc2ccsc2)cc1,Cu(OAc)2,328044-97-9,Et3N,DMF / water,,,,0.0
Ar-Bpin|H-NHR -> Ar-NHAr || Any-CONH2|Any-OR|Ar-CONH2|Ar-OR|R-OR,Ar-Bpin|H-NHR -> Ar-NHAr || Any-CONH2|Any-OR|Ar-CONH2|Ar-OR|R-OR,False,"H-NHR,Any-NH2,Ar-CONH2,Any-CONH2","Ar-Bpin,Any-Bpin,Ar-OR,Any-OR,R-OR","Ar-NHAr,Ar-OR,Any-OR,R-OR,Ar-CONH2,Any-CONH2",Ar-Bpin|H-NHR -> Ar-NHAr || Any-CONH2|Any-OR|Ar-CONH2|Ar-OR|R-OR,Any-Bpin|Any-CONH2|Any-NH2|Any-OR|Ar-Bpin|Ar-CONH2|Ar-OR|H-NHR|R-OR,Any-CONH2|Any-OR|Ar-CONH2|Ar-NHAr|Ar-OR|R-OR,31.0,NC(=O)c1ccccc1N.COc1ccccc1B1OC(C)(C)C(C)(C)O1>>COc1ccccc1Nc1ccccc1C(N)=O,7758-89-6,,Et3N,MeOH,,,,0.0
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|H-NHR|H-Sulfonamide,60.0,Nc1ccc(S(N)(=O)=O)cc1.OB(O)c1ccccc1>>Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,7758-89-6,,KOtBu,MeOH,,,,-0.028263081879088103
Ar-Bpin|H-NHR -> Ar-NHAr || Any-CONH2|Ar-CONH2|Ar-Cl|Ar-X,Ar-Bpin|H-NHR -> Ar-NHAr || Any-CONH2|Ar-CONH2|Ar-Cl|Ar-X,False,"H-NHR,Any-NH2,Ar-CONH2,Any-CONH2","Ar-Cl,Ar-X,Ar-Bpin,Any-Bpin","Ar-Cl,Ar-X,Ar-NHAr,Ar-CONH2,Any-CONH2",Ar-Bpin|H-NHR -> Ar-NHAr || Any-CONH2|Ar-CONH2|Ar-Cl|Ar-X,Any-Bpin|Any-CONH2|Any-NH2|Ar-Bpin|Ar-CONH2|Ar-Cl|Ar-X|H-NHR,Any-CONH2|Ar-CONH2|Ar-Cl|Ar-NHAr|Ar-X,87.0,NC(=O)c1ccccc1N.CC1(C)OB(c2ccccc2Cl)OC1(C)C>>NC(=O)c1ccccc1Nc1ccccc1Cl,7758-89-6,,Et3N,MeOH,,,,0.0
Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,False,"H-NHR,Any-NH2,Ar-SO2NH2,Any-SO2NH2,Any-SO2R","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,H-NHR,Any-NH2,H-Sulfonamide,Any-Sulfonamide",Ar-B(OH)2|Ar-SO2NH2 -> H-Sulfonamide || Any-NH2|Ar-R|H-NHR,Any-B(OH)2|Any-NH2|Any-SO2NH2|Any-SO2R|Ar-B(OH)2|Ar-R|Ar-SO2NH2|H-NHR,Any-NH2|Any-Sulfonamide|Ar-R|H-NHR|H-Sulfonamide,63.0,Nc1ccc(S(N)(=O)=O)cc1.Cc1ccc(B(O)O)cc1>>Cc1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1,7758-89-6,,KOtBu,MeOH,,,,-0.18890997852550742
