Reaction_Type_Standardized,Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,Reactant_Types_Key,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R,False,"H-NHR,Any-NH2","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-R,Ar-NHAr",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-R,Any-B(OH)2|Any-NH2|Ar-B(OH)2|Ar-R|H-NHR,Ar-NHAr|Ar-R,75.0,Nc1ccccc1.Cc1cccc(B(O)O)c1>>Cc1cccc(Nc2ccccc2)c1,199852-14-7,,K2CO3,water,,,,-0.44457212789343503
Ar-B(OH)2|H-AromN -> Ar-AromN || Ar-R,Ar-B(OH)2|H-AromN -> Ar-AromN || Ar-R,False,"Ar-B(OH)2,Any-B(OH)2","Ar-R,H-AromN,AromN-H,Imidazole","Ar-R,Ar-AromN,Any-AromN",Ar-B(OH)2|H-AromN -> Ar-AromN || Ar-R,Any-B(OH)2|Ar-B(OH)2|Ar-R|AromN-H|H-AromN|Imidazole,Any-AromN|Ar-AromN|Ar-R,84.0,OB(O)c1ccccc1.Cc1cnc[nH]1>>Cc1cn(-c2ccccc2)cn1,199852-14-7,,K2CO3,iPrOH,,,,0.015080280553133483
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-OR|Pyrimidine|R-OR,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-OR|Pyrimidine|R-OR,False,"H-AromN,AromN-H,Pyrimidine","Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","Ar-AromN,Any-AromN,Ar-OR,Any-OR,R-OR,Pyrimidine",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-OR|Ar-OR|Pyrimidine|R-OR,Any-B(OH)2|Any-OR|Ar-B(OH)2|Ar-OR|AromN-H|H-AromN|Pyrimidine|R-OR,Any-AromN|Any-OR|Ar-AromN|Ar-OR|Pyrimidine|R-OR,25.0,O=c1ccnc[nH]1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cnccc2=O)cc1,Cu(OAc)2,,Py,DCM,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-C=C|Ar-Alkenyl|Ar-C=C|Ar-F|Ar-X|H-Alkenyl,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-C=C|Ar-Alkenyl|Ar-C=C|Ar-F|Ar-X|H-Alkenyl,False,"Ar-F,Ar-X,Ar-B(OH)2,Any-B(OH)2","H-NHR,Any-NH2,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C","Ar-F,Ar-X,Ar-NHAr,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-C=C|Ar-Alkenyl|Ar-C=C|Ar-F|Ar-X|H-Alkenyl,Any-B(OH)2|Any-C=C|Any-NH2|Ar-Alkenyl|Ar-B(OH)2|Ar-C=C|Ar-F|Ar-X|H-Alkenyl|H-NHR,Any-C=C|Ar-Alkenyl|Ar-C=C|Ar-F|Ar-NHAr|Ar-X|H-Alkenyl,65.0,OB(O)c1ccc(F)cc1.C=C(C)c1ccccc1N>>C=C(C)c1ccccc1Nc1ccc(F)cc1,Cu(OAc)2,Lutidine,,PhMe,,,,0.0
Ar-B(OH)2|H-NR2 -> Ar-NR2 || None,Ar-B(OH)2|H-NR2 -> Ar-NR2 || None,False,"H-NR2,Any-NHR","Ar-B(OH)2,Any-B(OH)2","Ar-NR2,Any-NR2",Ar-B(OH)2|H-NR2 -> Ar-NR2 || None,Any-B(OH)2|Any-NHR|Ar-B(OH)2|H-NR2,Any-NR2|Ar-NR2,66.0,C1CCNCC1.OB(O)c1ccc2ccccc2c1>>c1ccc2cc(N3CCCCC3)ccc2c1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,-0.04906836715130929
Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|R-OR|RCH2-OR,Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|R-OR|RCH2-OR,False,"H-NR2,Any-NHR,RCH2-OR,Any-OR,R-OR","Ar-B(OH)2,Any-B(OH)2","Ar-NR2,Any-NR2,RCH2-OR,Any-OR,R-OR",Ar-B(OH)2|H-NR2 -> Ar-NR2 || Any-OR|R-OR|RCH2-OR,Any-B(OH)2|Any-NHR|Any-OR|Ar-B(OH)2|H-NR2|R-OR|RCH2-OR,Any-NR2|Any-OR|Ar-NR2|R-OR|RCH2-OR,62.0,C1COCCN1.OB(O)c1ccc2ccccc2c1>>c1ccc2cc(N3CCOCC3)ccc2c1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,-0.2013468165642073
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-NO2|Ar-NO2,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-NO2|Ar-NO2,False,"H-AromN,AromN-H,Imidazole","Ar-B(OH)2,Any-B(OH)2,Ar-NO2,Any-NO2","Ar-NO2,Any-NO2,Ar-AromN,Any-AromN",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-NO2|Ar-NO2,Any-B(OH)2|Any-NO2|Ar-B(OH)2|Ar-NO2|AromN-H|H-AromN|Imidazole,Any-AromN|Any-NO2|Ar-AromN|Ar-NO2,82.0,c1c[nH]cn1.O=[N+]([O-])c1ccc(B(O)O)cc1>>O=[N+]([O-])c1ccc(-n2ccnc2)cc1,326477-70-7,,K2CO3,MeOH,,,,0.5772398474173914
Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|R-OR,Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|R-OR,False,"Ar-B(OH)2,Any-B(OH)2,Ar-OR,Any-OR,R-OR","H-NHR,Any-NH2,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C","Ar-NHAr,Ar-OR,Any-OR,R-OR,Ar-C=C,Ar-Alkenyl,H-Alkenyl,Any-C=C",Ar-B(OH)2|H-NHR -> Ar-NHAr || Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-OR|H-Alkenyl|R-OR,Any-B(OH)2|Any-C=C|Any-NH2|Any-OR|Ar-Alkenyl|Ar-B(OH)2|Ar-C=C|Ar-OR|H-Alkenyl|H-NHR|R-OR,Any-C=C|Any-OR|Ar-Alkenyl|Ar-C=C|Ar-NHAr|Ar-OR|H-Alkenyl|R-OR,79.0,COc1ccc(B(O)O)cc1.C=C(C)c1ccccc1N>>C=C(C)c1ccccc1Nc1ccc(OC)cc1,Cu(OAc)2,Lutidine,,PhMe,,,,0.0
Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-R,Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-R,False,"Ar-Ar,H-NHR,Any-NH2","Ar-R,Ar-B(OH)2,Any-B(OH)2","Ar-Ar,Ar-R,Ar-NHAr",Ar-B(OH)2|H-NHR -> Ar-NHAr || Ar-Ar|Ar-R,Any-B(OH)2|Any-NH2|Ar-Ar|Ar-B(OH)2|Ar-R|H-NHR,Ar-Ar|Ar-NHAr|Ar-R,93.0,Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1.CCc1ccc(B(O)O)cc1>>CCc1ccc(Nc2ccc3c(=O)cc(-c4ccccc4)oc3c2)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,1.4433756729740645
Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CN|Ar-CN,Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CN|Ar-CN,False,"H-AromN,AromN-H,Imidazole","Ar-B(OH)2,Any-B(OH)2,Ar-CN,Any-CN","Ar-CN,Any-CN,Ar-AromN,Any-AromN",Ar-B(OH)2|H-AromN -> Ar-AromN || Any-CN|Ar-CN,Any-B(OH)2|Any-CN|Ar-B(OH)2|Ar-CN|AromN-H|H-AromN|Imidazole,Any-AromN|Any-CN|Ar-AromN|Ar-CN,80.0,c1c[nH]cn1.N#Cc1ccc(B(O)O)cc1>>N#Cc1ccc(-n2ccnc2)cc1,326477-70-7,,Cs2CO3,MeOH,,,,0.0
