reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles
C-O_Coupling,73.0,0.7071067811865475,H-Acid,Ar-OH,Cu2O,Cu(0),,MeOH / water,,,,False,O=C(O)c1cccc(Cl)c1Cl.Cc1ccc(O)cc1>>Cc1ccc2oc3c(Cl)cccc3c(=O)c2c1
C-O_Coupling,8.0,0.6306562238868912,H-Acid,Ar-OH,Cu(0),Cu2O,NaOH,MeOH / water / THF / 79-24-3,MeOH / water,,,False,O=C(O)c1cccc(Cl)c1Cl.Oc1cc(Cl)cc(Cl)c1Cl.CCN(CC)CCN>>CCN(CC)CCNc1cc(Cl)c(Cl)c2oc3c(Cl)cccc3c(=O)c12
C-O_Coupling,78.0,0.0,Ar-OH,H-Acid,48209-28-5,,Cs2CO3,PhMe / EtOAc,,,,False,Oc1ccc(Br)cc1.COc1cc(C(=O)O)c(Br)cc1F>>COc1cc2c(=O)c3cc(Br)ccc3oc2cc1F
C-O_Coupling,3.0,-1.8919686716606738,H-Acid,Ar-OH,Cu(0),Cu2O,NaOH,MeOH / water / THF / 79-24-3,MeOH / water,,,False,O=C(O)c1ccc(Cl)c(Cl)c1Cl.Oc1cc(Cl)cc(Cl)c1Cl.CCN(CC)CCN>>CCN(CC)CCNc1cc(Cl)c(Cl)c2oc3c(Cl)c(Cl)ccc3c(=O)c12
C-O_Coupling,8.0,0.6306562238868912,H-Acid,Ar-OH,Cu(0),Cu2O,NaOH,MeOH / water / THF / 79-24-3,MeOH / water,,,False,O=C(O)c1ccc(Cl)cc1Cl.Oc1cc(Cl)cc(Cl)c1Cl.CCN(CC)CCN>>CCN(CC)CCNc1cc(Cl)c(Cl)c2oc3cc(Cl)ccc3c(=O)c12
C-O_Coupling,7.0,0.12613124477737825,H-Acid,Ar-OH,Cu(0),Cu2O,NaOH,MeOH / THF / water / 79-24-3,MeOH / water,,,False,O=C(O)c1c(Cl)cccc1Cl.Oc1cccc(Cl)c1.CCN(CC)CCN>>CCN(CC)CCNc1cccc2oc3cc(Cl)ccc3c(=O)c12
C-O_Coupling,5.0,-0.8829187134416477,H-Acid,Ar-OH,Cu(0),Cu2O,NaOH,MeOH / water / THF / 79-24-3,MeOH / water,,,False,O=C(O)c1ccc(Cl)c(Cl)c1Cl.Oc1cc(Cl)ccc1Cl.CCN(CC)CCN>>CCN(CC)CCNc1ccc(Cl)c2oc3c(Cl)c(Cl)ccc3c(=O)c12
C-O_Coupling,8.0,0.6306562238868912,H-Acid,Ar-OH,Cu(0),Cu2O,NaOH,MeOH / THF / water / 79-24-3,MeOH / water,,,False,O=C(O)c1c(Cl)cccc1Cl.Oc1ccccc1Cl.CCN(CC)CCN>>CCN(CC)CCNc1cccc2oc3c(Cl)cccc3c(=O)c12
C-O_Coupling,2.0,-2.314330689301859,Ar-OH,Ar-I,CuI,83753-56-4,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
C-O_Coupling,7.0,-2.1476273192010575,Ar-OH,Ar-I,CuI,10354-53-7,Cs2CO3,MeCN,,,,False,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1
