reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles,spectator_groups
C-N Coupling,68.0,0.0,H-Alkynyl,RCH2-CONHR,Ni(cod)2,CuI,,PhMe,,,,False,C#CC(O)c1ccccc1.CC(=O)CC(=O)Nc1ccc(Br)cc1>>Cc1c(C(=O)Nc2ccc(Br)cc2)c(C)n(-c2ccc(Br)cc2)c1-c1ccccc1,Amide / CONHR / Br / X
C-N Coupling,70.0,-0.71,RCH2-CONHR,H-Alkynyl,Ni(cod)2,CuI,,PhMe,,,,False,CC(=O)CC(=O)Nc1ccc(Cl)cc1.C#CC(O)c1ccc(Cl)cc1>>Cc1c(C(=O)Nc2ccc(Cl)cc2)c(C)n(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,Amide / CONHR / Cl / X
C-N Coupling,74.0,-0.61,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.COc1ccc(N)cc1>>COc1ccc(NC2CCCCC2)cc1.COc1ccc(Nc2ccccc2)cc1,OR
C-N Coupling,99.0,0.68,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,Cc1ccc(O)cc1.COc1ccc(N)cc1>>COc1ccc(Nc2ccc(C)cc2)cc1,OR
C-N Coupling,96.0,0.47,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,Cc1cccc(O)c1.COc1ccc(N)cc1>>COc1ccc(Nc2cccc(C)c2)cc1,OR
C-N Coupling,72.0,-1.15,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,Cc1ccccc1O.COc1ccc(N)cc1>>COc1ccc(Nc2ccccc2C)cc1,OR
C-N Coupling,97.0,0.0,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,COC(=O)Cc1ccc(O)cc1.COc1ccc(N)cc1>>COC(=O)Cc1ccc(Nc2ccc(OC)cc2)cc1,CO2R / Ester / acidic / OR
C-N Coupling,74.0,-0.61,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,COc1ccccc1O.COc1ccc(N)cc1>>COc1ccc(Nc2ccccc2OC)cc1,OR
C-N Coupling,95.0,0.71,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.Cc1ccc(N)cc1>>Cc1ccc(Nc2ccccc2)cc1,
C-N Coupling,92.0,-0.71,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.Cc1ccccc1N>>Cc1ccccc1Nc1ccccc1,
C-N Coupling,94.0,0.0,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.CC(=O)c1cccc(N)c1>>CC(=O)c1cccc(Nc2ccccc2)c1,COR / acidic
C-N Coupling,98.0,1.1,Ar-OH,RCH2-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.CCCCCCN>>CCCCCCNc1ccccc1,
C-N Coupling,93.0,0.92,Ar-OH,RCH2-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.NCCc1ccccc1>>c1ccc(CCNc2ccccc2)cc1,
C-N Coupling,97.0,0.71,Ar-OH,R2CH-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.NC1CCCCC1>>c1ccc(NC2CCCCC2)cc1,
C-N Coupling,76.0,0.0,Ar-OH,RCH2-NHR,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.C1COCCN1>>c1ccc(N2CCOCC2)cc1,OR
C-N Coupling,96.0,0.0,Ar-OH,RCH2-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.N#CCCN>>N#CCCNc1ccccc1,CN / acidic
C-N Coupling,75.0,0.0,Ar-OH,RCH2-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.NCCC1=CCCCC1>>C1=C(CCNc2ccccc2)CCCC1,C=C / Dienophile / Cyclohexene / Motif-C=C / Any-Dienophile
C-N Coupling,83.0,0.0,Ar-OH,Any-OH,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.CC(O)CN>>CC(O)CNc1ccccc1,OH / OR
C-N Coupling,88.0,0.0,Ar-OH,RCH2-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.NCCc1c[nH]c2ccccc12>>c1ccc(NCCc2c[nH]c3ccccc23)cc1,AromN / Indole / Pyrrole
C-N Coupling,91.0,0.0,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.Nc1ccc(CCNC(=O)C(F)(F)F)cc1>>O=C(NCCc1ccc(Nc2ccccc2)cc1)C(F)(F)F,Amide / CONHR / F / X
C-N Coupling,99.0,0.0,Ar-OH,R2CH-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.COC(=O)[C@@H](N)Cc1ccccc1>>COC(=O)[C@H](Cc1ccccc1)Nc1ccccc1,CO2R / Ester / acidic
C-N Coupling,79.0,0.0,Ar-OH,Any-NH2,63310-18-9,,,PhMe,,,,False,Oc1ccccc1.NCCc1ccc(N)cc1>>Nc1ccc(CCNc2ccccc2)cc1,NH2
C-N Coupling,81.0,0.71,Ar-OH,Ar-NH2,63310-18-9,,,PhMe,,,,False,Cc1ccc(O)cc1.Nc1cccc(O)c1>>Cc1ccc(Nc2cccc(O)c2)cc1,OH / OR
C-N Coupling,72.0,-1.19,Ar-OH,RCH2-NH2,Palladium,,,water,,,,False,Oc1cc2ccccc2cc1O.NCCN>>c1ccc2cc3c(cc2c1)NCCN3,
C-N Coupling,72.0,-0.92,Ar-OH,Bn-NH2,Palladium,,,water,,,,False,Oc1cccc2ccccc12.NCc1ccccc1>>c1ccc(CNc2cccc3ccccc23)cc1,
C-N Coupling,85.0,0.0,Ar-OH,RCH2-NH2,Palladium,,,water,,,,False,Oc1ccc2ccccc2c1.NCCCO>>OCCCNc1ccc2ccccc2c1,OH / OR
C-N Coupling,81.0,0.29,Bn-NH2,Ar-OH,Palladium,,,water,,,,False,Cc1ccc(CN)cc1.Oc1ccc2ccccc2c1>>Cc1ccc(CNc2ccc3ccccc3c2)cc1,
C-N Coupling,71.0,0.0,Ar-OH,Bn-NH2,Palladium,,,water,,,,False,Oc1ccc2ccccc2c1.NCc1ccc(F)cc1>>Fc1ccc(CNc2ccc3ccccc3c2)cc1,F / X
C-N Coupling,70.0,-0.45,RCH2-NH2,Ar-OH,Palladium,,,water,,,,False,NCCc1ccccc1.Oc1cccc2ccccc12>>c1ccc(CCNc2cccc3ccccc23)cc1,
C-N Coupling,75.0,0.0,RCH2-NH2,Ar-OH,Palladium,,,water,,,,False,COc1ccc(CCN)cc1.Oc1ccc2ccc(O)cc2c1>>COc1ccc(CCNc2ccc3ccc(NCCc4ccc(OC)cc4)cc3c2)cc1,OR
C-N Coupling,81.0,0.57,Bn-NH2,Ar-OH,Palladium,,,water,,,,False,Cc1ccc(CN)cc1.COc1ccc2ccc(O)cc2c1>>COc1ccc2ccc(NCc3ccc(C)cc3)cc2c1,OR
C-N Coupling,83.0,0.92,Ar-OH,Bn-NH2,Palladium,,,water,,,,False,Oc1ccc2ccccc2c1.COc1ccc(CN)cc1>>COc1ccc(CNc2ccc3ccccc3c2)cc1,OR
C-N Coupling,76.0,-0.09,RCH2-NH2,Ar-OH,Palladium,,,water,,,,False,NCCc1ccccc1.Oc1ccc2ccccc2c1>>c1ccc(CCNc2ccc3ccccc3c2)cc1,
C-N Coupling,81.0,-0.4,RCH2-NH2,Ar-OH,Palladium,,,water,,,,False,CCCCN.Oc1ccc2ccccc2c1>>CCCCNc1ccc2ccccc2c1,
