reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups
Acetal_ketal_formation,82,-1.4,H-Alkenyl,H-Alkenyl,,,,,,,,False,O=C1C=C(O)CCC1.C=C(CCO)C(C)=O>>C[C@]12OCC[C@H]1CC1=C(CCCC1=O)O2,Dienophile / C=C / Cyclohexene / COR / acidic / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,88,0.37,H-Alkenyl,H-Alkenyl,,,,,,,,False,O=C1C=C(O)CCC1.C=C(C=O)CCO>>O=C1CCCC2=C1C[C@@H]1CCO[C@@H]1O2,Dienophile / C=C / Cyclohexene / COR / acidic / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,83,0.0,H-Alkenyl,H-Alkenyl,,,,,,,,False,O=C1C=C(O)CC1.C=CC(=O)CCCO[Si](CC)(CC)CC>>O=C1CCC2=C1CCC1(CCCO1)O2,Dienophile / C=C / Cyclohexene / COR / acidic / OR / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,90,0.95,H-Alkenyl,H-Alkenyl,,,,,,,,False,O=C1C=C(O)CC1.C=C(CCCO)C(C)=O>>C[C@]12OCCC[C@H]1CC1=C(CCC1=O)O2,Dienophile / C=C / Cyclohexene / COR / acidic / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,90,0.0,H-Alkenyl,H-Alkenyl,,,,,,,,False,O=C1C=C(O)CC1.CC[Si](CC)(CC)OCCCC(=O)C1=CC(C)OC1=O>>C[C@H]1OC(=O)[C@H]2[C@@H]1C1=C(CCC1=O)O[C@@]21CCCO1,Dienophile / C=C / Cyclohexene / COR / acidic / CO2R / OR / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,87,0.07,H-Alkenyl,H-Alkenyl,,,,,,,,False,O=C1C=C(O)CC1.C=C(C=O)CCCO>>O=C1CCC2=C1C[C@@H]1CCCO[C@@H]1O2,Dienophile / C=C / Cyclohexene / COR / acidic / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,4,0.0,R2CH-OH,H-Alkenyl,,,,,,,,False,CC(O)CO.C=CCCCCCC.[C-]#[O+]>>CCCCCCCC.CCCCCCCCC=O.CCCCCCCCC1OCCCO1,
Acetal_ketal_formation,89,0.71,Bn-OH,RCH2-CHO,,,,,,,,False,OCc1ccccc1.O=CCCc1ccccc1>>c1ccc(CCC(OCc2ccccc2)OCc2ccccc2)cc1,
Acetal_ketal_formation,91,-0.21,RCH2-OH,Ar-CHO,,,,,,,,False,OCCO.O=Cc1coc2ccccc2c1=O>>O=c1c(C2OCCO2)coc2ccccc12,
Acetal_ketal_formation,90,-1.35,CH3-OH,Any-C=C,,,,,,,,False,CO.CCCC=CC=O>>CCCC=CC(OC)OC,C=C / Dienophile / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,82,-1.49,RCH2-OH,Ar-CHO,,,,,,,,False,OCC(CO)(CO)CO.COc1ccccc1C=O>>COc1ccccc1C1OCC2(CO1)COC(c1ccccc1OC)OC2,OR
Acetal_ketal_formation,98,0.0,R2CH-OR,Alkyl-H-acidic,,,,,,,,False,COC(OC)OC.CC(=O)C(C)=O.O[C@@H]1CCCC[C@H]1O>>CO[C@@]1(C)O[C@@H]2CCCC[C@H]2O[C@]1(C)OC,OR
Acetal_ketal_formation,96,0.71,RCH2-OH,Ar-CHO,,,,,,,,False,OCCCO.COc1ccc(Br)c(C=O)c1>>COc1ccc(Br)c(C2OCCCO2)c1,OR / Br / X
Acetal_ketal_formation,96,0.84,Ar-CHO,RCH2-OH,,,,,,,,False,Cc1ccc(C=O)cc1.OCC(CO)(CO)CO>>Cc1ccc(C2OCC3(CO2)COC(c2ccc(C)cc2)OC3)cc1,
Acetal_ketal_formation,92,-0.87,RCH2-OH,Alkyl-H-acidic,,,,,,,,False,OCCCO.CC(=O)CCc1ccccc1>>CC1(CCc2ccccc2)OCCCO1,
Acetal_ketal_formation,96,0.21,RCH2-OH,Alkyl-H-acidic,,,,,,,,False,CCO.CC(=O)CCc1ccccc1>>CCOC(C)(CCc1ccccc1)OCC,
Acetal_ketal_formation,98,1.07,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1ccco1>>COC(OC)c1ccco1,Furan
Acetal_ketal_formation,95,0.77,RCH2-OH,Alkyl-H-acidic,,,,,,,,False,OCCO.O=C1CCCCCCC1>>C1CCCC2(CCC1)OCCO2,
Acetal_ketal_formation,99,1.02,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1ccc2c(c1)OCO2>>COC(OC)c1ccc2c(c1)OCO2,OR
Acetal_ketal_formation,80,-1.75,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1cccs1>>COC(OC)c1cccs1,Thiophene
Acetal_ketal_formation,92,-0.63,Ar-CHO,R2CH-OR,,,,,,,,False,O=Cc1cccc([N+](=O)[O-])c1.COC(OC)OC>>COC(OC)c1cccc([N+](=O)[O-])c1,NO2 / NR2 / OR
Acetal_ketal_formation,96,0.0,Ar-CHO,R2CH-OH,,,,,,,,False,CN(C)c1ccc(C=O)cc1.COC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)CO>>COC(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1COC(c2ccc(N(C)C)cc2)O1,NR2 / CF3 / F / X / OR
Acetal_ketal_formation,84,-1.39,CH3-OH,RCH2-CHO,,,,,,,,False,CO.CCCCCCC=O>>CCCCCCC(OC)OC,
Acetal_ketal_formation,95,1.25,Bn-OH,Ar-CHO,,,,,,,,False,OCc1ccccc1.O=Cc1ccccc1>>c1ccc(COC(OCc2ccccc2)c2ccccc2)cc1,
Acetal_ketal_formation,96,0.84,RCH2-OH,Ar-CHO,,,,,,,,False,CCO.Cc1ccc(C=O)cc1>>CCOC(OCC)c1ccc(C)cc1,
Acetal_ketal_formation,98,1.21,CH3-OH,Ar-CHO,,,,,,,,False,CO.O=Cc1ccccc1>>COC(OC)c1ccccc1,
Acetal_ketal_formation,97,1.04,RCH2-OH,Ar-CHO,,,,,,,,False,CCO.O=Cc1ccc(Cl)cc1>>CCOC(OCC)c1ccc(Cl)cc1,Cl / X
Acetal_ketal_formation,80,-1.15,R2CH-OH,Ar-COR,,,,,,,,False,CC(C)[C@H](O)[C@@H](O)C(C)C.C=CC(=O)Oc1cccc2c1C(=O)CC2>>C=CC(=O)Oc1cccc2c1C1(CC2)O[C@@H](C(C)C)[C@H](C(C)C)O1,Dienophile / C=C / C=CH2 / CO2R / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,85,-1.34,Ar-CHO,RCH2-OH,,,,,,,,False,O=Cc1ccccc1.OCCCO>>c1ccc(C2OCCCO2)cc1,
Acetal_ketal_formation,99,1.41,RCH2-OH,Ar-CHO,,,,,,,,False,CCO.O=Cc1cccc(Br)c1>>CCOC(OCC)c1cccc(Br)c1,Br / X
Acetal_ketal_formation,90,-1.42,RCH2-OH,Alkyl-H-acidic,,,,,,,,False,OCCCO.O=C1CCC(c2ccccc2)CC1>>c1ccc(C2CCC3(CC2)OCCCO3)cc1,
Acetal_ketal_formation,82,0.0,Ar-CHO,RCH2-OH,,,,,,,,False,O=Cc1ccc(O)cc1.OCC1(CO)CC2C=CC1C2>>Oc1ccc(C2OCC3(CO2)CC2C=CC3C2)cc1,OH / OR / C=C / Dienophile / Cyclohexene / Motif-C=C / Any-Dienophile
Acetal_ketal_formation,91,0.1,RCH2-OH,Alkyl-H-acidic,,,,,,,,False,OCCO.O=C1CCCCCCC1>>C1CCCC2(CCC1)OCCO2,
Acetal_ketal_formation,91,-0.21,Ar-CHO,RCH2-OH,,,,,,,,False,O=Cc1ccccc1.OCCO>>c1ccc(C2OCCO2)cc1,
