reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,acid,oxidant,reductant,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Negishi_coupling,70,0.0,RCH2-Zn,Ar-Br,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,COC(=O)c1ccc([CH2][Zn][Br])cc1.Brc1cccc(N2CCOCC2)c1>>COC(=O)c1ccc(Cc2cccc(N3CCOCC3)c2)cc1,CO2R / NR2 / OR,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,80,0.0,Any-X,Ar-Br,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,FC(F)(F)c1ccccc1[CH2][Zn][Br].Cc1cncc(Br)n1>>Cc1cncc(Cc2ccccc2C(F)(F)F)n1,CF3 / F / X / Pyrimidine,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,80,0.0,Ar-Br,Any-X,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,N#Cc1ccc(Br)cc1.FC(F)(F)c1cccc([CH2][Zn][Br])c1>>N#Cc1ccc(Cc2cccc(C(F)(F)F)c2)cc1,CN / X / CF3 / F,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,90,0.0,Ar-Br,R2CH-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,Cc1cncc(Br)n1.[I][Zn][CH]1CCOCC1>>Cc1cncc(C2CCOCC2)n1,Pyrimidine / OR,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,89,0.25,Ar-Br,RCH2-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,COC(=O)c1cccc(Br)c1.[Br][Zn][CH2]c1ccccc1>>COC(=O)c1cccc(Cc2ccccc2)c1,CO2R,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,80,-1.1,Ar-Br,RCH2-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,COC(=O)c1ccccc1Br.[Br][Zn][CH2]c1ccccc1>>COC(=O)c1ccccc1Cc1ccccc1,CO2R,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,83,0.0,Ar-Br,RCH2-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,N#Cc1ccc(Br)cc1.[Br][Zn][CH2]c1ccccc1>>N#Cc1ccc(Cc2ccccc2)cc1,CN,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,90,0.0,Ar-Br,Any-X,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,COC(=O)c1ccc(Br)cc1.FC(F)(F)Oc1ccc([CH2][Zn][Br])cc1>>COC(=O)c1ccc(Cc2ccc(OC(F)(F)F)cc2)cc1,CO2R / X / OCF3 / OR / F,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,90,0.0,RCH2-Zn,Any-X,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,N#Cc1ccccc1[CH2][Zn][Br].FC(F)(F)c1cncc(Br)c1>>N#Cc1ccccc1Cc1cncc(C(F)(F)F)c1,CN / CF3 / F / X / Pyridine,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,93,0.0,Ar-I,RCH2-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,Nc1ncc(I)cn1.[Br][Zn][CH2]c1ccccc1>>Nc1ncc(Cc2ccccc2)cn1,NH2 / Pyrimidine,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,70,0.0,Any-X,R2CH-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,FC(F)(F)c1ccc(Cl)cc1.[Br][Zn][CH]1CCC1>>FC(F)(F)c1ccc(C2CCC2)cc1,CF3 / F / X,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,98,0.0,Ar-Cl,R2CH-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,CC(=O)c1ccc(Cl)cc1.[Br][Zn][CH]1CCC1>>CC(=O)c1ccc(C2CCC2)cc1,COR / acidic,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,93,0.0,Ar-Cl,R2CH-Zn,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,Fc1ccnc(Cl)c1.[Br][Zn][CH]1CCC1>>Fc1ccnc(C2CCC2)c1,X / F / Pyridine,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,85,0.0,R2CH-Zn,Any-X,NiCl2(dme),dtbbpy,,,,,,,,DMF/THF,False,[Br][Zn][CH]1CC1.CCCCc1nnc2c(C(F)(F)F)c(Cl)ccn12>>CCCCc1nnc2c(C(F)(F)F)c(C3CC3)ccn12,CF3 / F / X / Pyridine,"Angewandte Chemie, International Edition (2018), 57(28), 8473-8477"
Negishi_coupling,90,0.0,Ar-Mg,Any-X,Di-MU-iodobis(tri-t-butylphosphino)dipalladium(I),,,,,,,,,THF,False,[Cl][Mg][c]1cccs1.O=S(=O)(Oc1ccc(Br)cc1Cl)C(F)(F)F>>O=S(=O)(Oc1ccc(-c2cccs2)cc1Cl)C(F)(F)F,Thiophene / OTf / OMs / OSO2R / F / X / SO2R / SR / Cl,"Angewandte Chemie, International Edition (2018), 57(38), 12573-12577"
