reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,additive,condensation_agent,other_reagent,solvent,Is_Intramolecular,reaction_smiles,spectator_groups,reference
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,1,-0.71,Alkyl-C=CH2,,Pd(MeCN)2Cl2,,,,,674783-97-2,MeCN/H2O,True,C=CCc1ccccc1>>CCC(=O)c1ccccc1.CCCc1ccccc1.CC(=O)Cc1ccccc1.OCC=Cc1ccccc1.O=CC=Cc1ccccc1.CC=Cc1ccccc1,Dienophile / C=C / Any-Dienophile / Motif-C=C,"Advanced Synthesis & Catalysis (2021), 363(16), 4096-4108"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,84,0.0,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(/C=C(\C(=O)c2ccccc2)S(=O)(=O)c2ccc(C)cc2)ccc(OC)c1OC>>COc1ccc(C=C(C(=O)c2ccccc2)S(=O)(=O)c2ccc(C)cc2)c(CC(C)=O)c1OC.COc1ccc2cc(S(=O)(=O)c3ccc(C)cc3)c(-c3ccccc3)cc2c1OC,Dienophile / C=C / SO2R / SR / COR / OR / Any-Dienophile / Motif-C=C,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,80,0.0,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc(F)cc2)S(=O)(=O)c2ccc(C)cc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccc(C)cc3)c(-c3ccc(F)cc3)cc2c1OC,SR / SO2R / OR / F / X,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,84,0.86,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc(OC)cc2)S(=O)(=O)c2ccc(C)cc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc(-c2cc3c(OC)c(OC)ccc3cc2S(=O)(=O)c2ccc(C)cc2)cc1,SR / SO2R / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,78,-1.16,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc(C)cc2)S(=O)(=O)c2ccc(C)cc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccc(C)cc3)c(-c3ccc(C)cc3)cc2c1OC,SR / SO2R / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,76,0.0,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc(C(F)(F)F)cc2)S(=O)(=O)c2ccc(C)cc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccc(C)cc3)c(-c3ccc(C(F)(F)F)cc3)cc2c1OC,SR / SO2R / CF3 / F / X / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,78,0.0,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc(-c3ccccc3)cc2)S(=O)(=O)c2ccc(C)cc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccc(C)cc3)c(-c3ccc(-c4ccccc4)cc3)cc2c1OC,SR / SO2R / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,82,0.19,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc3ccccc3c2)S(=O)(=O)c2ccc(C)cc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccc(C)cc3)c(-c3ccc4ccccc4c3)cc2c1OC,SR / SO2R / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,86,0.0,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccc([N+](=O)[O-])cc2)S(=O)(=O)c2ccc(C)cc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccc(C)cc3)c(-c3ccc([N+](=O)[O-])cc3)cc2c1OC,SR / SO2R / NO2 / NR2 / OR,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
Wacker_oxidation_Alkene__ketone_PdCl2_CuCl_O2,80,0.71,H-Alkenyl,,"Copper(II) chloride/Palladium(II)chloride,solution,Pd9.0-w/w(cont.Pd)",,,,,O2,MeOH,True,C=CCc1c(C=C(C(=O)c2ccccc2)S(=O)(=O)c2ccc(F)cc2)ccc(OC)c1OC>>CC(=O)O.COc1ccc2cc(S(=O)(=O)c3ccc(F)cc3)c(-c3ccccc3)cc2c1OC,SR / SO2R / OR / F / X,"Advanced Synthesis & Catalysis (2020), 362(21), 4723-4735"
