material_id,condition_group_id,centroid_similarity,assignment_margin,assignment_status,observation_count,exact_recipe_id_count,condition_display,parse_warnings
CMAT1:006048e39bb3ef9b595937dcaa748f2f5d685a5e36d6acdd582eea9127e238a0,CGPOC1:504b1359f9d0e17c0514c964cce7c945938957c0bbd6967e3e545990490eed27,0.940047,0.075608,supported,4,3,Na2CO3 [base]; tBuXPhos Pd(allyl)OTf [catalyst]; Me4tBuXPhos [ligand]; DMAc [solvent],
CMAT1:0061f51ce5da5d68a4d43c2a58a1b406e910673220daa098d9828c170d7b751f,CGPOC1:578092c71007252677a9f403c9f3e436f57dac2276b106f6e9edfdf3b1c4d862,0.957478,0.109301,supported,1,1,lutidine [base]; dtbpfPdCl2 [catalyst]; dtbpf [ligand]; PhMe [solvent],
CMAT1:00628d735a9c0a81efdbbd020709cdf5b1106e98960800e21b9b34b425ad7f4d,CGPOC1:0be47927c44ceff6ae71a3acc42e27dc565e25605945f546f37fc037c0c563cf,0.958966,0.155084,supported,1,1,NMM [base]; ethylene glycol [solvent]; NMP [solvent]; No ligand,
CMAT1:006479b41724dc2b8387af0ae9711066b2a6ee5cf0d8f189bc967b67273afd08,CGPOC1:5594475f5c90fdb08db72e40e024871bd5a934cf1935d4910ea6330c1021e0c1,0.921095,0.072352,supported,2,2,K2CO3 [base]; PPh3)2PdCl2 [catalyst]; PPh3 [ligand]; iPrOAc [solvent]; water [solvent],
CMAT1:006732e3e40fcace9e07c317f4b3c6607026fb2696fc8bff50281d801bf971f9,CGPOC1:a7fc7d1ff4d73dd8311b586eba0c866daa7bdb870e8c356e7908e453cf879308,0.951499,0.038527,provisional,2,2,KOtBu [base]; AmPhos Pd(crotyl)Cl [catalyst]; AmPhos [ligand]; tAmOH [solvent],
CMAT1:006736fd83d64bae615fb85b205c2cdf493884436371586c200acc0e44fc82dc,CGPOC1:ff126f4e59f0eabf561f46eb724e865493c0feb2053513d6fa3e80173f3e6182,0.973233,0.0973,supported,1,1,Potassium 2-ethylhexanoate [additive]; KF [base]; dtbpfPdCl2 [catalyst]; dtbpf [ligand]; Brij 35 [solvent]; Dioxane [solvent],
CMAT1:00682f114477ed84c79e15c4192ad8128593b878b079055d849d4b7da7fcb45d,CGPOC1:8d574ec78f3bfc9b0270464d353a735554287a7963ed925906b3b34a5768927d,0.898708,0.054494,provisional,1,1,LiCl [additive]; DBU [base]; HFIP [solvent]; Propionitrile [solvent]; No ligand,
CMAT1:006aad54a31bc202277a63d2144a40a86246085ba0d31b75d014095f0863a442,CGPOC1:b5032b90344679317f702338db7756ae5508cae29df6928fb196192242c87e20,0.843451,0.06932,provisional,1,1,Potassium 2-ethylhexanoate [additive]; XantPhos Pd G2 [catalyst]; XantPhos [ligand]; o-Xylene [solvent]; water [solvent],
CMAT1:006b60f0001f3d5d69edb5bc320964d5823a10f29d6bcc29f2c987cdb38aaa02,CGPOC1:26dbd3f1556df3b1b420605138035726c6a2b64a6e574640d24f3229c2f16b92,0.95694,0.048685,provisional,2,1,Zinc acetate [base]; BippyPhos Pd(allyl)OTf [catalyst]; BippyPhos [ligand]; Dioxane [solvent],
CMAT1:006b6ae588a632366988a86fdc59fbce379a7e8c1f23fe3e949e38ed9763817d,CGPOC1:da27787bd0e5c159af016b243fbaf65f4a4b40bd534a1987f667021bc487311d,0.914605,0.007112,review,1,1,rac-BINAP Pd G3 [catalyst]; BINAP [ligand]; MeCN [solvent],
