reaction_smiles,detected_reaction_type,reaction_key
O=C(O)c1cccc2nnsc12>>O=C(Cl)c1cccc2nnsc12,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: HeteroAr-H
Cc1c(C(=O)O)sc2ccc([N+](=O)[O-])cc12>>Cc1c(C(=O)Cl)sc2ccc([N+](=O)[O-])cc12,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|Ar-NO2|Benzothiophene|HeteroAr-H
Cc1ccc(OC(=O)CCCCCCCCCCCCCCC(=O)O)cc1C>>Cc1ccc(OC(=O)CCCCCCCCCCCCCCC(=O)Cl)cc1C,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|RCH2-CO2R|R_acidic-H
O=C(O)c1ccccc1CN1C(=O)c2ccccc2C1=O>>O=C(Cl)c1ccccc1CN1C(=O)c2ccccc2C1=O,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-CONR2|Bn-LactamN
O=C(O)C1=CCCCC1>>O=C(Cl)C1=CCCCC1,Acyl_Halides_formation,|Alkenyl-CO2H -> Acyl-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O
O=C(O)c1ccc(Oc2ccccc2)cc1>>O=C(Cl)c1ccc(Oc2ccccc2)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-OR
O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1>>O=C(Cl)c1ccc(-c2ccc(C(=O)Cl)cc2)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl; C-Cl | bond_formed_labeled: C-Cl; C-Cl | bond_broken: C-O | spectators: Ar-Ar
COc1ccccc1C(=O)O>>COc1ccccc1C(=O)Cl,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-OR
O=C(O)c1cc(C(=O)O)cc(-c2ccccc2)c1>>O=C(Cl)c1cc(C(=O)Cl)cc(-c2ccccc2)c1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl; C-Cl | bond_formed_labeled: C-Cl; C-Cl | bond_broken: C-O | spectators: Ar-Ar
O=C(O)c1cccc(I)c1>>O=C(Cl)c1cccc(I)c1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-I
CCCCCCCCCC(=O)O>>CCCCCCCCCC(=O)F,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: R_acidic-H
COc1cccc(OC)c1C(=O)O>>COc1cccc(OC)c1C(=O)F,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-OR
O=C(O)CCc1ccc(I)cc1>>O=C(F)CCc1ccc(I)cc1,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-Alkyl|Ar-I|R_acidic-H
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2>>COc1ccc(-c2ccc3cc(C(=O)F)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-Alkyl|Ar-Ar|Ar-OR
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1>>CCCN(CCC)S(=O)(=O)c1ccc(C(=O)F)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-SO2NR2
O=C(O)CCc1ccc(Br)cc1>>O=C(F)CCc1ccc(Br)cc1,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-Alkyl|Ar-Br|R_acidic-H
O=C(O)c1ccccc1Sc1ccccc1>>O=C(Cl)c1ccccc1Sc1ccccc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-SR
C[C@H](Cl)C(=O)O>>C[C@H](Cl)C(=O)Cl,Acyl_Halides_formation,|R2CH-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: R2CH-Cl|R_acidic-H
O=C(O)c1ccc(F)cc1>>O=C(F)c1ccc(F)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-F
CCCCc1ccc(C(=O)O)cc1>>CCCCc1ccc(C(=O)F)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-Alkyl
Cc1ccc(C(=O)O)cc1>>Cc1ccc(C(=O)F)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-Alkyl
O=C(O)c1cc(Cl)cc(Cl)c1>>O=C(F)c1cc(Cl)cc(Cl)c1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-Cl
O=C(O)/C=C/c1ccc(Cl)cc1>>O=C(Cl)/C=C/c1ccc(Cl)cc1,Acyl_Halides_formation,|Alkenyl-CO2H -> Acyl-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkenyl|Ar-Cl
Cc1ccc(/C=C/C(=O)O)cc1>>Cc1ccc(/C=C/C(=O)Cl)cc1,Acyl_Halides_formation,|Alkenyl-CO2H -> Acyl-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkenyl|Ar-Alkyl
COc1ccccc1/C=C/C(=O)O>>COc1ccccc1/C=C/C(=O)Cl,Acyl_Halides_formation,|Alkenyl-CO2H -> Acyl-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkenyl|Ar-OR
N#C/C(=C\c1ccccc1)C(=O)O>>N#C/C(=C\c1ccccc1)C(=O)Cl,Acyl_Halides_formation,|Alkenyl-CO2H -> Acyl-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkenyl-CN|Ar-Alkenyl
