Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-Br -> Ar-OAr || Ar-Ar|Ar-Br|Ar-X,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-Br,Ar-X,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-Br,Ar-X,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-I|Ar-X|AromN-H|H-AromN|H-OR,Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-Br|Ar-OAr|Ar-OR|Ar-X,79.0,Brc1ccccc1I.Oc1ccc(Br)cc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1>>Brc1ccc2c(c1)-c1nc(-c3ccccc3)c(-c3ccccc3)n1-c1ccccc1O2,CuI,phen,Cs2CO3,DMAc,,,,0.0
Ar-Br|Ar-X -> Ar-OAr || Ar-Ar|Ar-Cl|Ar-X,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-Cl,Ar-X,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-Cl,Ar-X,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-Cl|Ar-I|Ar-X|AromN-H|H-AromN|H-OR,Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-Cl|Ar-OAr|Ar-OR|Ar-X,78.0,Brc1ccccc1I.Oc1ccc(Cl)cc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1>>Clc1ccc2c(c1)-c1nc(-c3ccccc3)c(-c3ccccc3)n1-c1ccccc1O2,CuI,phen,Cs2CO3,DMAc,,,,0.0
Ar-Br|Ar-X -> Ar-OAr || Ar-Ar|Ar-F|Ar-X,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-F,Ar-X,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-F,Ar-X,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-F|Ar-I|Ar-X|AromN-H|H-AromN|H-OR,Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-F|Ar-OAr|Ar-OR|Ar-X,76.0,Brc1ccccc1I.Oc1ccc(F)cc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1>>Fc1ccc2c(c1)-c1nc(-c3ccccc3)c(-c3ccccc3)n1-c1ccccc1O2,CuI,phen,Cs2CO3,DMAc,,,,-0.7071067811865476
Ar-Br|H-OR -> Ar-OAr || Ar-Ar|Ar-R,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-R,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-R,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-I|Ar-R|Ar-X|AromN-H|H-AromN|H-OR,Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR|Ar-R,85.0,Brc1ccccc1I.Cc1ccc(O)c(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1>>Cc1ccc2c(c1)-c1nc(-c3ccccc3)c(-c3ccccc3)n1-c1ccccc1O2,CuI,phen,Cs2CO3,DMAc,,,,0.5773502691896258
Ar-Br|H-OR -> Ar-OAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-OR,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-OR,Alkyl-OR,Any-OR,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN,Alkyl-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-I|Ar-OR|Ar-X|AromN-H|H-AromN|H-OR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR,86.0,Brc1ccccc1I.COc1ccc(O)c(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1>>COc1ccc2c(c1)-c1nc(-c3ccccc3)c(-c3ccccc3)n1-c1ccccc1O2,CuI,phen,Cs2CO3,DMAc,,,,-0.7233642332556183
Ar-Br -> Ar-OAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-OR|Ar-X,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-Br,Ar-X,Ar-OR,Alkyl-OR,Any-OR,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-Br,Ar-X,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN,Alkyl-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-I|Ar-OR|Ar-X|AromN-H|H-AromN|H-OR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-Br|Ar-OAr|Ar-OR|Ar-X,83.0,Brc1ccccc1I.COc1cc(Br)cc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1O>>COc1cc(Br)cc2c1Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,CuI,phen,Cs2CO3,DMAc,,,,0.7071067811865476
Ar-Br|H-OR -> Ar-OAr || Ar-Ar|Ar-R,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-R,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-R,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-I|Ar-R|Ar-X|AromN-H|H-AromN|H-OR,Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR|Ar-R,85.0,Brc1ccccc1I.Cc1cc(C)c(O)c(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1>>Cc1cc(C)c2c(c1)-c1nc(-c3ccccc3)c(-c3ccccc3)n1-c1ccccc1O2,CuI,phen,Cs2CO3,DMAc,,,,0.5773502691896258
Ar-Br|H-OR -> Ar-OAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-OR,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-OR,Alkyl-OR,Any-OR,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN,Alkyl-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-I|Ar-OR|Ar-X|AromN-H|H-AromN|H-OR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR,86.0,Brc1ccccc1I.COc1ccc(-c2nc(-c3ccccc3O)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Oc2ccccc2-3)cc1,CuI,phen,Cs2CO3,DMAc,,,,-0.7233642332556183
Ar-Br|H-OR -> Ar-OAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-OR,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-OR,Alkyl-OR,Any-OR,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN,Alkyl-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-I|Ar-OR|Ar-X|AromN-H|H-AromN|H-OR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR,91.0,Brc1ccccc1I.COc1ccc(-c2nc(-c3cccc(OC)c3O)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Oc2c(OC)cccc2-3)cc1,CuI,phen,Cs2CO3,DMAc,,,,1.6878498775964426
Ar-Br -> Ar-OAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-OR|Ar-X,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-Br,Ar-X,Ar-OR,Alkyl-OR,Any-OR,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-Br,Ar-X,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN,Alkyl-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-I|Ar-OR|Ar-X|AromN-H|H-AromN|H-OR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-Br|Ar-OAr|Ar-OR|Ar-X,80.0,Brc1ccccc1I.COc1ccc(-c2nc(-c3cc(Br)ccc3O)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Oc2ccc(Br)cc2-3)cc1,CuI,phen,Cs2CO3,DMAc,,,,-0.7071067811865476
Ar-Br|Ar-X -> Ar-OAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-Cl|Ar-OR|Ar-X,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-Cl,Ar-X,Ar-OR,Alkyl-OR,Any-OR,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-Cl,Ar-X,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN,Alkyl-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-Cl|Ar-I|Ar-OR|Ar-X|AromN-H|H-AromN|H-OR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-Cl|Ar-OAr|Ar-OR|Ar-X,82.0,Brc1ccccc1I.COc1ccc(-c2nc(-c3cc(Cl)ccc3O)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Oc2ccc(Cl)cc2-3)cc1,CuI,phen,Cs2CO3,DMAc,,,,0.0
Ar-Br|H-OR -> Ar-OAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-OR,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-OR,Alkyl-OR,Any-OR,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN,Alkyl-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-I|Ar-OR|Ar-X|AromN-H|H-AromN|H-OR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR,89.0,Brc1ccccc1I.COc1ccc(-c2nc(-c3cc(OC)ccc3O)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Oc2ccc(OC)cc2-3)cc1,CuI,phen,Cs2CO3,DMAc,,,,0.7233642332556183
Ar-Br -> Ar-SAr || Ar-Ar,False,"Ar-Ar,Ar-Br,Ar-X,H-AromN,AromN-H","Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-X|AromN-H|H-AromN|H-SR,Any-AromN|Ar-Ar|Ar-AromN|Ar-SAr|Ar-SR,87.0,Brc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1.Sc1ccccc1Br>>c1ccc(-c2nc3n(c2-c2ccccc2)-c2ccccc2Sc2ccccc2-3)cc1,CuI,phen,K2CO3,DMF,,,,-0.7071067811865475
Ar-Br -> Ar-SAr || Ar-Ar|Ar-R,False,"Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-R,Ar-Br,Ar-X,H-AromN,AromN-H","Ar-Ar,Ar-R,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-R|Ar-X|AromN-H|H-AromN|H-SR,Any-AromN|Ar-Ar|Ar-AromN|Ar-R|Ar-SAr|Ar-SR,90.0,Sc1ccccc1Br.Cc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(Br)c1>>Cc1ccc2c(c1)Sc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,CuI,phen,K2CO3,DMF,,,,0.0
Ar-Br -> Ar-SAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-OR,False,"Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-Br,Ar-X,Ar-OR,Alkyl-OR,Any-OR,H-AromN,AromN-H","Ar-Ar,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN,Ar-OR,Alkyl-OR,Any-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-OR|Ar-X|AromN-H|H-AromN|H-SR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OR|Ar-SAr|Ar-SR,91.0,Sc1ccccc1Br.COc1ccc(Br)c(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1>>COc1ccc2c(c1)-c1nc(-c3ccccc3)c(-c3ccccc3)n1-c1ccccc1S2,CuI,phen,K2CO3,DMF,,,,1.1338934190276817
Ar-Br|Ar-X -> Ar-SAr || Ar-Ar|Ar-Cl|Ar-X,False,"Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-Cl,Ar-X,Ar-Br,H-AromN,AromN-H","Ar-Ar,Ar-Cl,Ar-X,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-Cl|Ar-X|AromN-H|H-AromN|H-SR,Any-AromN|Ar-Ar|Ar-AromN|Ar-Cl|Ar-SAr|Ar-SR|Ar-X,85.0,Sc1ccccc1Br.Clc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(Br)c1>>Clc1ccc2c(c1)Sc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,CuI,phen,K2CO3,DMF,,,,0.0
Ar-Br -> Ar-SAr || Ar-Ar|Ar-F|Ar-X,False,"Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-Br,Ar-X,Ar-F,H-AromN,AromN-H","Ar-Ar,Ar-F,Ar-X,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-F|Ar-X|AromN-H|H-AromN|H-SR,Any-AromN|Ar-Ar|Ar-AromN|Ar-F|Ar-SAr|Ar-SR|Ar-X,86.0,Sc1ccccc1Br.Fc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(Br)c1>>Fc1ccc2c(c1)Sc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,CuI,phen,K2CO3,DMF,,,,0.0
Ar-Br -> Ar-SAr || Ar-Ar,False,"Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-Br,Ar-X,H-AromN,AromN-H","Ar-Ar,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-X|AromN-H|H-AromN|H-SR,Any-AromN|Ar-Ar|Ar-AromN|Ar-SAr|Ar-SR,89.0,Sc1ccccc1Br.Brc1c(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)ccc2ccccc12>>c1ccc(-c2nc3n(c2-c2ccccc2)-c2ccccc2Sc2c-3ccc3ccccc23)cc1,CuI,phen,K2CO3,DMF,,,,0.7071067811865475
Ar-Br -> Ar-SAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-OR,False,"Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-Br,Ar-X,Ar-OR,Alkyl-OR,Any-OR,H-AromN,AromN-H","Ar-Ar,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN,Ar-OR,Alkyl-OR,Any-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-OR|Ar-X|AromN-H|H-AromN|H-SR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OR|Ar-SAr|Ar-SR,86.0,Sc1ccccc1Br.COc1ccc(-c2nc(-c3ccccc3Br)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Sc2ccccc2-3)cc1,CuI,phen,K2CO3,DMF,,,,-0.7559289460184544
Ar-Br -> Ar-SAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-F|Ar-OR|Ar-X,False,"Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-Br,Ar-X,Ar-F,Ar-OR,Alkyl-OR,Any-OR,H-AromN,AromN-H","Ar-Ar,Ar-F,Ar-X,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN,Ar-OR,Alkyl-OR,Any-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-F|Ar-OR|Ar-X|AromN-H|H-AromN|H-SR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-F|Ar-OR|Ar-SAr|Ar-SR|Ar-X,79.0,Sc1ccccc1Br.COc1ccc(-c2nc(-c3ccc(F)cc3Br)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Sc2cc(F)ccc2-3)cc1,CuI,phen,K2CO3,DMF,,,,-0.7071067811865475
Ar-Br|Ar-X -> Ar-SAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-Cl|Ar-OR|Ar-X,False,"Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-Cl,Ar-X,Ar-Br,Ar-OR,Alkyl-OR,Any-OR,H-AromN,AromN-H","Ar-Ar,Ar-Cl,Ar-X,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN,Ar-OR,Alkyl-OR,Any-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-Cl|Ar-OR|Ar-X|AromN-H|H-AromN|H-SR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-Cl|Ar-OR|Ar-SAr|Ar-SR|Ar-X,86.0,Sc1ccccc1Br.COc1ccc(-c2nc(-c3ccc(Cl)cc3Br)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Sc2cc(Cl)ccc2-3)cc1,CuI,phen,K2CO3,DMF,,,,0.7071067811865475
Ar-Br|Ar-X -> Ar-SAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-Cl|Ar-OR|Ar-X,False,"Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-Cl,Ar-X,Ar-Br,Ar-OR,Alkyl-OR,Any-OR,H-AromN,AromN-H","Ar-Ar,Ar-Cl,Ar-X,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN,Ar-OR,Alkyl-OR,Any-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-Cl|Ar-OR|Ar-X|AromN-H|H-AromN|H-SR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-Cl|Ar-OR|Ar-SAr|Ar-SR|Ar-X,85.0,Sc1ccccc1Br.COc1ccc(-c2nc(-c3cc(Cl)ccc3Br)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Sc2ccc(Cl)cc2-3)cc1,CuI,phen,K2CO3,DMF,,,,-0.7071067811865475
