V2_Pair,Reaction_Type,Count,Avg_Yield,Success_Rate
 + Any-CO2H,amide_formation,312,37.5938782051282,33.97435897435898
Ar-Cl + ,CH-Activation,312,9.991378205128205,1.282051282051282
 + ,Condensation,302,20.085993377483444,12.582781456953644
Ar-Br + Any-Alkyne,Sonogashira,288,10.497847222222223,4.513888888888888
 + Any-Alkene,Stetter,288,25.272499999999997,15.625
" + Any-Lactam,Any-NH2",Condensation,288,31.86375,9.027777777777777
 + Any-Alkyne,CH-Activation,264,24.73662878787879,18.560606060606062
Ar-Br + ,Cyanation,264,20.190454545454543,20.075757575757574
Ar-I + Any-NH2,C_N_Coupling,264,8.07780303030303,4.166666666666666
R-Cl + Any-NH2,Condensation,246,33.98796747967479,30.48780487804878
Ar-Cl + Ar-BF3K,Suzuki,240,41.87341666666667,40.416666666666664
 + R2CH-OH,Activation,240,11.926708333333332,6.666666666666667
Ar-OTf + Any-NH2,C_N_Coupling,240,19.23,13.333333333333334
" + Any-Lactam,R2CH-OH",SNAr,216,10.661944444444444,2.7777777777777777
"Ar-OH + Any-NH2,Ar-OH",C_N_Coupling,216,4.010925925925926,0.4629629629629629
 + Any-NHR,Condensation,216,10.668564814814815,0.9259259259259258
 + R-H-acidic,Oxidation,216,34.820601851851855,31.01851851851852
Ar-Cl + ,Hydrodehalogenation,216,15.476018518518519,8.796296296296296
 + Any-NH2,Salt-formation,216,7.251666666666667,4.166666666666666
Ar-Br + ,Stannylation,192,9.201145833333333,5.208333333333334
Ar-Cl + R-B(OR)2,Suzuki,192,33.915729166666665,28.645833333333332
Ar-F + AromN-H,SNAr,192,20.50526041666667,5.208333333333334
Vinyl-Br + Ar-B(OH)2,Suzuki,192,37.047031249999996,34.89583333333333
R-Cl + Any-NHR,Alkylation,192,53.427708333333335,56.770833333333336
Ar-OTf + ,Dimerization-reductive,192,10.908802083333333,0.5208333333333333
Ar-I + Ar-NHR,C_N_Coupling,192,9.270208333333334,2.604166666666667
 + Any-NHR,Cyclization,192,28.8396875,21.875
Ar-Cl + Any-Lactam,C_N_Coupling,192,19.57203125,20.833333333333336
 + Any-NH2,amide_formation,192,49.732708333333335,53.125
 + ,Dehydration,192,4.80171875,1.0416666666666665
 + RCH2-OH,Glycosidation,192,37.057916666666664,30.729166666666668
 + ,Salt-formation,180,54.347722222222224,59.44444444444444
Ar-Br + ,CC-Coupling,176,17.316761363636363,14.772727272727273
Ar-Br + ,Negishi-in-situ,144,13.104583333333332,2.7777777777777777
 + ,CC-Coupling,144,20.71229166666667,9.722222222222223
 + ,CH-Activation,120,7.647666666666667,3.3333333333333335
 + ,Borylation-C-H,120,6.2370833333333335,0.8333333333333334
 + ,Cyclization,120,8.5905,10.833333333333334
R-Br + ,Alkylation,120,35.20683333333333,35.0
Ar-Br + Any-Alkyne,Cyclization,120,7.110666666666666,8.333333333333332
Ar-I + ,CO-Coupling,120,3.2507499999999996,0.8333333333333334
Ar-I + R2CH-OH,CO-Coupling,120,7.308416666666667,4.166666666666666
 + ,Hydrolysis,120,8.623833333333332,4.166666666666666
Ar-OH + Ar-OH,Mitsunobu,120,4.9665,3.3333333333333335
 + ,Wittig,118,11.347118644067796,0.847457627118644
Ar-I + ,CH-Activation,104,11.156634615384615,4.807692307692308
 + Ar-B(OR)2,Suzuki,102,17.259901960784315,9.803921568627452
Ar-I + Ar-H,CH-Activation,96,4.1590625,0.0
Ar-I + ,Suzuki,96,12.669166666666667,0.0
"Ar-Cl,R-Br + ",Negishi-in-situ,96,1.34875,0.0
Ar-F + Any-NH2,SNAr,96,40.824062500000004,35.41666666666667
" + Any-Carbamate,Any-NH2",Condensation,96,1.3348958333333334,0.0
 + Any-Alkyne,Cyclization,96,26.79114583333333,26.041666666666668
 + ,Hydration,96,7.178958333333334,2.083333333333333
 + Any-NH2,C_N_Coupling,96,50.48614583333333,39.58333333333333
 + Any-EnolEther,Condensation,96,31.149895833333332,21.875
 + ,C_N_Coupling,96,38.143750000000004,35.41666666666667
" + Any-Lactam,R-B(OH)2",C_N_Coupling,96,6.745833333333334,5.208333333333334
 + Any-NHR,C_N_Coupling,96,29.6659375,32.29166666666667
Ar-I + Ar-NH2,C_N_Coupling,96,7.529375000000001,0.0
Ar-I + Vinyl-B(OR)2,Suzuki,96,47.07364583333333,39.58333333333333
" + AromN-H,R-B(OH)2",C_N_Coupling,96,22.283125,6.25
 + R-H-acidic,Addition,96,4.207083333333333,0.0
 + Ar-B(OH)2,Suzuki,96,2.0710416666666664,0.0
R-Br + R-H-acidic,Arylation-acidic-C-H,96,39.511562500000004,50.0
