Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Any-COCl|Any-SR|Ar-F|Ar-NO2|Ar-OH|R2CH-OR|RCH2-OH -> Ar-OR|Ar-SR|R2CH-SR|RCH2-CONHR || R-H-acidic,False,"R2CH-OR,RCH2-OH","Ar-OH,Any-SR","Ar-OH,Any-SR|R2CH-OR,RCH2-OH",89.0,OC[C@H]1CO1.Oc1ccc(S)cc1.O=[N+]([O-])c1ccc(F)cc1.CC(=O)Cl>>CC(=O)Nc1ccc(Oc2ccc([S@@](=O)C[C@H]3CS3)cc2)cc1,546-68-9,13811-71-7,Et3N / Cs2CO3,DCM / DMF / THF / MeOH,HOAc / Zn,,,0.7071067811865476
Any-COCl|Any-SR|Ar-F|Ar-NO2|Ar-OH|R2CH-OR|RCH2-OH -> Ar-OR|Ar-SR|R2CH-SR|RCH2-CONHR || R-H-acidic,False,"R2CH-OR,RCH2-OH","Ar-OH,Any-SR","Ar-OH,Any-SR|R2CH-OR,RCH2-OH",86.0,OCC1CO1.Oc1ccc(S)cc1.O=[N+]([O-])c1ccc(F)cc1.CC(=O)Cl>>CC(=O)Nc1ccc(Oc2ccc([S@](=O)C[C@H]3CS3)cc2)cc1,546-68-9,13811-71-7,Et3N / Cs2CO3,DCM / DMF / THF / MeOH,HOAc / Zn,,,-0.7071067811865476
Ar-CHO|Ar-F|Ar-OH|AromN-H|RCH2-CO2R|RCH2-Cl|Triazole -> Ar-Imino|Ar-OR|R-AromN|RCH2-CONHR || Ar-R|R-H-acidic,False,"AromN-H,Triazole","R-H-acidic,RCH2-CO2R,RCH2-Cl","AromN-H,Triazole|R-H-acidic,RCH2-CO2R,RCH2-Cl",75.0,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.Cc1ccc(O)cc1.O=Cc1ccc(F)cc1>>Cc1ccc(Oc2ccc(C=NNC(=O)Cn3nnc4ccccc43)cc2)cc1,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,0.08164965809277494
Ar-CHO|Ar-F|Ar-OH|AromN-H|RCH2-CO2R|RCH2-Cl|Triazole -> Ar-Imino|Ar-OR|R-AromN|RCH2-CONHR || Ar-Cl|Ar-R|R-H-acidic,False,"AromN-H,Triazole","R-H-acidic,RCH2-CO2R,RCH2-Cl","AromN-H,Triazole|R-H-acidic,RCH2-CO2R,RCH2-Cl",72.0,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.Cc1cc(O)ccc1Cl.O=Cc1ccc(F)cc1>>Cc1cc(Oc2ccc(C=NNC(=O)Cn3nnc4ccccc43)cc2)ccc1Cl,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,-1.388044187577132
Ar-CHO|Ar-F|Ar-OH|AromN-H|RCH2-CO2R|RCH2-Cl|Triazole -> Ar-Imino|Ar-OR|R-AromN|RCH2-CONHR || Ar-Cl|R-H-acidic,False,"AromN-H,Triazole","R-H-acidic,RCH2-CO2R,RCH2-Cl","AromN-H,Triazole|R-H-acidic,RCH2-CO2R,RCH2-Cl",76.0,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.Oc1ccc(Cl)cc1.O=Cc1ccc(F)cc1>>O=C(Cn1nnc2ccccc21)NN=Cc1ccc(Oc2ccc(Cl)cc2)cc1,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,0.5715476066494106
Ar-CHO|Ar-F|Ar-OH|AromN-H|RCH2-CO2R|RCH2-Cl|Triazole -> Ar-Imino|Ar-OR|R-AromN|RCH2-CONHR || Ar-Br|R-H-acidic,False,"AromN-H,Triazole","R-H-acidic,RCH2-CO2R,RCH2-Cl","AromN-H,Triazole|R-H-acidic,RCH2-CO2R,RCH2-Cl",78.0,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.Oc1ccc(Br)cc1.O=Cc1ccc(F)cc1>>O=C(Cn1nnc2ccccc21)NN=Cc1ccc(Oc2ccc(Br)cc2)cc1,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,1.551343503762682
Ar-CHO|Ar-F|Ar-OH|AromN-H|RCH2-CO2R|RCH2-Cl|Triazole -> Ar-Imino|Ar-OR|R-AromN|RCH2-CONHR || Ar-NO2|R-H-acidic,False,"AromN-H,Triazole","R-H-acidic,RCH2-CO2R,RCH2-Cl","AromN-H,Triazole|R-H-acidic,RCH2-CO2R,RCH2-Cl",74.0,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.O=[N+]([O-])c1ccc(O)cc1.O=Cc1ccc(F)cc1>>O=C(Cn1nnc2ccccc21)NN=Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,-0.40824829046386074
Ar-CHO|Ar-F|Ar-OH|AromN-H|RCH2-CO2R|RCH2-Cl|Triazole -> Ar-Imino|Ar-OR|R-AromN|RCH2-CONHR || Ar-F|R-H-acidic,False,"AromN-H,Triazole","R-H-acidic,RCH2-CO2R,RCH2-Cl","AromN-H,Triazole|R-H-acidic,RCH2-CO2R,RCH2-Cl",74.0,c1ccc2[nH]nnc2c1.CCOC(=O)CCl.Oc1ccc(F)cc1.O=Cc1ccc(F)cc1>>O=C(Cn1nnc2ccccc21)NN=Cc1ccc(Oc2ccc(F)cc2)cc1,HOAc,,K2CO3,Me2CO / EtOH / DMF,,,,-0.40824829046386074
Ar-F|Ar-OH -> Ar-OR || Ar-F|Ar-NO2|AromN-H|Benzimidazole,False,"Ar-F,Ar-OH","AromN-H,Ar-F,Ar-NO2,Benzimidazole","Ar-F,Ar-OH|AromN-H,Ar-F,Ar-NO2,Benzimidazole",75.0,Oc1ccc(F)cc1.O=[N+]([O-])c1cc2[nH]cnc2cc1F>>O=[N+]([O-])c1c(Oc2ccc(F)cc2)ccc2nc[nH]c12,18C6,,Potassium Fluoride,DMSO / MeCN,,,,0.7071067811865475
Ar-Cl|Ar-OH -> Ar-OR || Ar-CO2H|Ar-Cl,False,"Ar-Cl,Ar-CO2H","Ar-Cl,Ar-OH","Ar-Cl,Ar-CO2H|Ar-Cl,Ar-OH",75.0,O=C(O)c1cccc(Cl)c1Cl.Oc1ccc(Cl)cc1Cl>>O=C(O)c1ccc(Cl)cc1Oc1ccc(Cl)cc1Cl,CuSO4,DMF,K2CO3,,,,,0.8109645283800538
Ar-Cl|Ar-OH -> Ar-OR || Ar-CO2H|Ar-Cl,False,"Ar-Cl,Ar-CO2H","Ar-Cl,Ar-OH","Ar-Cl,Ar-CO2H|Ar-Cl,Ar-OH",78.0,O=C(O)c1cccc(Cl)c1Cl.Oc1ccccc1Cl>>O=C(O)c1ccc(Cl)cc1Oc1ccccc1Cl,CuSO4,DMF,K2CO3,,,,,0.8917441981991608
Ar-Br|RCH2-OH -> Ar-Ar|Ar-OH|Ar-OR|Ar-R || Ar-OH|Ar-R,False,RCH2-OH,,RCH2-OH,3.0,CO.[Na].CC(C)c1cc(Br)ccc1O>>CC(C)c1ccccc1O.COc1ccc(O)c(C(C)C)c1.COc1cc(-c2cc(OC)cc(C(C)C)c2O)c(O)c(C(C)C)c1.COc1ccc(Oc2ccc(O)c(C(C)C)c2)c(C(C)C)c1,CuBr,2,NaOMe,MeOH / water,,,,-6.636186108305106
Ar-CO2H|Ar-Cl|Ar-OH|RCH2-NH2 -> Ar-NHR || Ar-Cl|RCH2-NR2,False,"Ar-Cl,Ar-CO2H","Ar-Cl,Ar-OH","Ar-Cl,Ar-CO2H|Ar-Cl,Ar-OH",6.0,O=C(O)c1ccc(Cl)c(Cl)c1Cl.Oc1cc(Cl)cc(Cl)c1.CCN(CC)CCN>>CCN(CC)CCNc1cc(Cl)cc2oc3c(Cl)c(Cl)ccc3c(=O)c12,Cu(0),Cu2O,NaOH,MeOH / water / THF / 79-24-3,MeOH / water,,,-1.0469678774594056
Ar-CO2H|Ar-Cl|Ar-OH|RCH2-NH2 -> Ar-NHR || Ar-Cl|RCH2-NR2,False,"Ar-Cl,Ar-CO2H","Ar-Cl,Ar-OH","Ar-Cl,Ar-CO2H|Ar-Cl,Ar-OH",9.0,O=C(O)c1c(Cl)cccc1Cl.Oc1cccc(Cl)c1Cl.CCN(CC)CCN>>CCN(CC)CCNc1cccc2oc3c(Cl)c(Cl)ccc3c(=O)c12,Cu(0),Cu2O,NaOH,MeOH / THF / water / 79-24-3,MeOH / water,,,-0.9661882076402986
Ar-CO2H|Ar-I|Ar-OH -> None || Ar-Br|Ar-I,False,"Ar-Br,Ar-OH","Ar-I,Ar-CO2H","Ar-Br,Ar-OH|Ar-I,Ar-CO2H",85.0,Oc1ccc(Br)cc1.O=C(O)c1cc(I)ccc1I>>O=c1c2cc(Br)ccc2oc2ccc(I)cc12,48209-28-5,,Cs2CO3,PhMe / EtOAc / water,,,,0.7071067811865475
Any-SO2R|Ar-CO2R|Ar-I|Ar-OH|Ar-R|R-F -> None || Ar-OR|Ar-R,False,"Ar-OH,Ar-OR,Ar-CO2R","Ar-R,Ar-I","Ar-OH,Ar-OR,Ar-CO2R|Ar-R,Ar-I",88.0,COC(=O)c1cc(OC)ccc1O.CC(C)(C)c1ccc([I+]c2ccc(C(C)(C)C)cc2)cc1.O=S(=O)([O-])C(F)(F)F>>COc1ccc2oc3ccc(C(C)(C)C)cc3c(=O)c2c1,Cu(OTf)2,,,EDC,,,,0.0
Ar-Br|Ar-CO2H|Ar-OH -> None || Ar-Br|Ar-R|R-H-acidic|RCH2-CO2H,False,"R-H-acidic,Ar-R,Ar-OH,RCH2-CO2H","Ar-R,Ar-Br,Ar-CO2H","Ar-R,Ar-Br,Ar-CO2H|R-H-acidic,Ar-R,Ar-OH,RCH2-CO2H",85.0,O=C(O)Cc1ccccc1O.Cc1c(Br)cc(C(=O)O)c(Br)c1C>>Cc1c(Br)cc2c(=O)c3cccc(CC(=O)O)c3oc2c1C,ZnCl2,,,,,POC,,0.0
Ar-CO2H|Ar-Cl|Ar-OH -> None || Ar-Cl|Ar-R,False,"Ar-Cl,Ar-CO2H","Ar-R,Ar-OH","Ar-Cl,Ar-CO2H|Ar-R,Ar-OH",71.0,O=C(O)c1cccc(Cl)c1Cl.Cc1ccccc1O>>Cc1cccc2c(=O)c3cccc(Cl)c3oc12,Cu2O,Cu(0),,MeOH / water,,,,0.038528599138788915
Ar-CO2H|Ar-Cl|Ar-OH -> None || Ar-Cl|Ar-R,False,"Ar-Cl,Ar-CO2H","Ar-R,Ar-OH","Ar-Cl,Ar-CO2H|Ar-R,Ar-OH",73.0,O=C(O)c1cccc(Cl)c1Cl.Cc1ccc(O)cc1>>Cc1ccc2oc3c(Cl)cccc3c(=O)c2c1,Cu2O,Cu(0),,MeOH / water,,,,0.12414770833609706
Ar-CO2H|Ar-Cl|Ar-OH|RCH2-NH2 -> Ar-NHR || Ar-Cl|RCH2-NR2,False,"Ar-Cl,Ar-CO2H","Ar-Cl,Ar-OH","Ar-Cl,Ar-CO2H|Ar-Cl,Ar-OH",8.0,O=C(O)c1cccc(Cl)c1Cl.Oc1cc(Cl)cc(Cl)c1Cl.CCN(CC)CCN>>CCN(CC)CCNc1cc(Cl)c(Cl)c2oc3c(Cl)cccc3c(=O)c12,Cu(0),Cu2O,NaOH,MeOH / water / THF / 79-24-3,MeOH / water,,,-0.9931147642466676
Ar-Br|Ar-CO2H|Ar-OH -> None || Ar-Br|Ar-F|Ar-OR,False,"Ar-Br,Ar-OH","Ar-Br,Ar-F,Ar-OR,Ar-CO2H","Ar-Br,Ar-F,Ar-OR,Ar-CO2H|Ar-Br,Ar-OH",78.0,Oc1ccc(Br)cc1.COc1cc(C(=O)O)c(Br)cc1F>>COc1cc2c(=O)c3cc(Br)ccc3oc2cc1F,48209-28-5,,Cs2CO3,PhMe / EtOAc,,,,0.0
Ar-CO2H|Ar-Cl|Ar-OH|RCH2-NH2 -> Ar-NHR || Ar-Cl|RCH2-NR2,False,"Ar-Cl,Ar-CO2H","Ar-Cl,Ar-OH","Ar-Cl,Ar-CO2H|Ar-Cl,Ar-OH",3.0,O=C(O)c1ccc(Cl)c(Cl)c1Cl.Oc1cc(Cl)cc(Cl)c1Cl.CCN(CC)CCN>>CCN(CC)CCNc1cc(Cl)c(Cl)c2oc3c(Cl)c(Cl)ccc3c(=O)c12,Cu(0),Cu2O,NaOH,MeOH / water / THF / 79-24-3,MeOH / water,,,-1.1277475472785123
Ar-CO2H|Ar-Cl|Ar-OH|RCH2-NH2 -> Ar-NHR || Ar-Cl|RCH2-NR2,False,"Ar-Cl,Ar-CO2H","Ar-Cl,Ar-OH","Ar-Cl,Ar-CO2H|Ar-Cl,Ar-OH",8.0,O=C(O)c1ccc(Cl)cc1Cl.Oc1cc(Cl)cc(Cl)c1Cl.CCN(CC)CCN>>CCN(CC)CCNc1cc(Cl)c(Cl)c2oc3cc(Cl)ccc3c(=O)c12,Cu(0),Cu2O,NaOH,MeOH / water / THF / 79-24-3,MeOH / water,,,-0.9931147642466676
Ar-CO2H|Ar-Cl|Ar-OH|RCH2-NH2 -> Ar-NHR || Ar-Cl|RCH2-NR2,False,"Ar-Cl,Ar-CO2H","Ar-Cl,Ar-OH","Ar-Cl,Ar-CO2H|Ar-Cl,Ar-OH",7.0,O=C(O)c1c(Cl)cccc1Cl.Oc1cccc(Cl)c1.CCN(CC)CCN>>CCN(CC)CCNc1cccc2oc3cc(Cl)ccc3c(=O)c12,Cu(0),Cu2O,NaOH,MeOH / THF / water / 79-24-3,MeOH / water,,,-1.0200413208530366
Ar-CO2H|Ar-Cl|Ar-OH|RCH2-NH2 -> Ar-NHR || Ar-Cl|RCH2-NR2,False,"Ar-Cl,Ar-CO2H","Ar-Cl,Ar-OH","Ar-Cl,Ar-CO2H|Ar-Cl,Ar-OH",5.0,O=C(O)c1ccc(Cl)c(Cl)c1Cl.Oc1cc(Cl)ccc1Cl.CCN(CC)CCN>>CCN(CC)CCNc1ccc(Cl)c2oc3c(Cl)c(Cl)ccc3c(=O)c12,Cu(0),Cu2O,NaOH,MeOH / water / THF / 79-24-3,MeOH / water,,,-1.0738944340657746
Ar-CO2H|Ar-Cl|Ar-OH|RCH2-NH2 -> Ar-NHR || Ar-Cl|RCH2-NR2,False,"Ar-Cl,Ar-CO2H","Ar-Cl,Ar-OH","Ar-Cl,Ar-CO2H|Ar-Cl,Ar-OH",8.0,O=C(O)c1c(Cl)cccc1Cl.Oc1ccccc1Cl.CCN(CC)CCN>>CCN(CC)CCNc1cccc2oc3c(Cl)cccc3c(=O)c12,Cu(0),Cu2O,NaOH,MeOH / THF / water / 79-24-3,MeOH / water,,,-0.9931147642466676
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",2.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,83753-56-4,Cs2CO3,MeCN,,,,-1.7561839363534137
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",7.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,10354-53-7,Cs2CO3,MeCN,,,,-1.6118167849123692
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",1.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,245065-66-1,Cs2CO3,MeCN,,,,-1.7850573666416227
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",7.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,794544-99-3,Cs2CO3,MeCN,,,,-1.6118167849123692
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",7.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,880413-56-9,Cs2CO3,MeCN,,,,-1.6118167849123692
Ar-I|Ar-OH -> Ar-OR || Ar-OR|Ar-R,False,"Ar-R,Ar-OH","Ar-I,Ar-OR","Ar-I,Ar-OR|Ar-R,Ar-OH",8.0,Cc1cc(C)cc(O)c1.COc1ccc(I)cc1>>COc1ccccc1.COc1ccc(Oc2cc(C)cc(C)c2)cc1,CuI,83753-57-5,Cs2CO3,MeCN,,,,-1.5829433546241602
Ar-Br|RCH2-OH -> Ar-CF3|Ar-OR || Ar-CF3|Ar-R|R2CH-NHBoc,False,"Ar-Br,Ar-CF3","Ar-R,RCH2-OH,R2CH-NHBoc","Ar-Br,Ar-CF3|Ar-R,RCH2-OH,R2CH-NHBoc",6.0,FC(F)(F)c1ccc(Br)cc1.CC(C)(C)OC(=O)N[C@@H](CO)Cc1ccccc1>>FC(F)(F)c1ccccc1.CC(C)(C)OC(=O)N[C@@H](COc1ccc(C(F)(F)F)cc1)Cc1ccccc1,1239478-87-5,,Cs2CO3,PhMe,,,,0.0
Ar-Cl|R2CH-OH -> Ar-NR2|Ar-OR|RCH2-OR || Ar-NR2|RCH2-OR,False,R2CH-OH,"Ar-Cl,Ar-NR2,RCH2-OR","Ar-Cl,Ar-NR2,RCH2-OR|R2CH-OH",9.0,CCC(C)O.Clc1ccc(N2CCOCC2)cc1>>c1ccc(N2CCOCC2)cc1.CCC(C)Oc1ccc(N2CCOCC2)cc1,2194573-99-2,,NaOtBu,THF,,,,-0.7071067811865476
Ar-Br|R2CH-OH -> Ar-NR2|Ar-OR|RCH2-OR || Ar-NR2|RCH2-OR,False,R2CH-OH,"Ar-Br,Ar-NR2,RCH2-OR","Ar-Br,Ar-NR2,RCH2-OR|R2CH-OH",27.0,CCC(C)O.Brc1ccc(N2CCOCC2)cc1>>c1ccc(N2CCOCC2)cc1.CCC(C)Oc1ccc(N2CCOCC2)cc1,2194573-99-2,,NaOtBu,THF,,,,0.0
Ar-Br|RCH2-OH -> Ar-OR|Pyridine || Pyridine,False,RCH2-OH,"Ar-Br,Pyridine","Ar-Br,Pyridine|RCH2-OH",7.0,CCCCC(CC)CO.Brc1cccnc1>>CCCCC(CC)COc1cccnc1.CCCCC(CC)COc1ccncc1,7758-02-3,,KOH,DMAc,18C6,,,-2.2214835409141735
