Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent,Reaction_Type_V2,Reactant_A_Motifs,Reactant_B_Motifs,Is_V2_Mapped
Borylation-Miyaura,0.0,-0.41,ArBr,ArBr,ArBr,,ArX*,,AlphosPd)2cod,AlPhos,Cs2CO3,propylene carbonate,,,,miyaura_borylation,Ar-Br,,True
Suzuki,0.0,-1.09,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,K3PO4,EtOH,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,16.95,-0.4,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,dppf Pd G3,dppf,Na2CO3,iPrOAc,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
CO-Coupling,58.66,4.09,ArBr,Alkyl-OH a-branch,ArBr,ROH-a-branch,ArX*,ROH,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,Cs2CO3,PhMe,,,,c_o_coupling,Ar-Br,R2CH-OH,True
CO-Coupling,2.9,0.07,ArOH,ArBr,"ArBr, ArOH",ArOH,"ArOH, ArX*",ArOH,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,Cs2CO3,PhMe,,,,c_o_coupling,"Ar-Br,Ar-OH",Ar-OH,False
Activation,0.0,-0.63,Alkyl-OH a-branch,Alkyl-OH a-branch,,ROH-a-branch,,ROH,,No Ligand,,DCE,,,PEP-K,Activation,,R2CH-OH,True
Activation,19.79,0.42,Alkyl-OH a-branch,Alkyl-OH a-branch,,ROH-a-branch,,ROH,,No Ligand,NMM,NMI,,,TrichloroACN,Activation,,R2CH-OH,True
CH-Activation,0.0,-0.39,RCONHR,RCONHR,,,,,Pd(OAc)2,Missing,AgOAc,tAmOH,,,,CH-Activation,,,True
C_N_Coupling,0.0,-1.08,ArBr,Urea,ArBr,Urea,ArX*,Amide-type,rac-BINAP Pd G3,BINAP,DIPEA,THF,,,,c_n_cross_coupling,Ar-Br,Any-Urea,True
C_N_Coupling,39.58,0.51,ArBr,Urea,ArBr,Urea,ArX*,Amide-type,dppf Pd G3,dppf,LiHMDS,anisole,,,,c_n_cross_coupling,Ar-Br,Any-Urea,True
C_N_Coupling,27.56,0.03,ArBr,Urea,ArBr,Urea,ArX*,Amide-type,XantPhosPdCl2,XantPhos,KOH,MIBK,water,,,c_n_cross_coupling,Ar-Br,Any-Urea,True
amide_formation,19.97,-0.87,RCO2H or M,RNH2 a-branch,,"RCO2H, RNH2-a-branch",,"Aliphatic-amine, Acyl-source",,No Ligand,NMI,MeCN,,,CyanuricChloride,amide_coupling,,"Any-CO2H,Any-NH2",False
amide_formation,83.01,0.94,RCO2H or M,RNH2 a-branch,,"RCO2H, RNH2-a-branch",,"Aliphatic-amine, Acyl-source",,No Ligand,,EtOAc,,HOPO,DIC,amide_coupling,,"Any-CO2H,Any-NH2",False
amide_formation,92.15,1.2,RCO2H or M,RNH2 a-branch,,"RCO2H, RNH2-a-branch",,"Aliphatic-amine, Acyl-source",,No Ligand,NMI,EtOAc,,HOPO,DIC,amide_coupling,,"Any-CO2H,Any-NH2",False
Suzuki,5.64,-0.49,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,dppfPdCl2,dppf,Na2CO3,EtOH,water,,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
Suzuki,79.25,1.41,ArCl,ArBF3K,ArCl,ArBF3K,ArX*,ArB*,dppfPdCl2,dppf,Na2CO3,EtOH,water,,,suzuki_miyaura,Ar-Cl,Ar-BF3K,True
Borylation-Miyaura,0.0,-0.71,ArBr,ArBr,ArBr,,ArX*,,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KOAc,Dioxane,,,,miyaura_borylation,Ar-Br,,True
Borylation-Miyaura,100.0,2.73,ArBr,ArBr,ArBr,,ArX*,,P(tBu)3 Pd G6,P(tBu)3,KOAc,iPrOAc,,,,miyaura_borylation,Ar-Br,,True
Condensation,0.0,-0.81,ArNH2,RSO2F,,ArNH2,,Aniline-type,,No Ligand,,tAmOH,,,,Condensation,,Ar-NH2,True
C_N_Coupling,0.0,-1.21,ArNHR,ArBr,ArBr,ArNHR,ArX*,Aniline-type,Pd-PEPPSI-IHept Cl 3-chloropyridine,IHept Cl,NaHCO3,PhMe,water,,,c_n_cross_coupling,Ar-Br,Ar-NHR,True
