Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent,Reaction_Type_V2,Reactant_A_Motifs,Reactant_B_Motifs,Is_V2_Mapped
Arylation-acidic-C-H,0.0,-0.46,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,CuI,Salicylaldoxime,NaH,PhMe,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.46,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,BuOH,water,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.46,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,ethylene glycol,water,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,9.07,0.1,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,AlphosPd)2cod,AlPhos,DBU,DMSO,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.6,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,CuI,Salicylaldoxime,NaH,PhMe,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.6,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,meCgPPh Pd G3,meCgPPh,LiHMDS,anisole,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
CO-Coupling,21.92,3.9,ArOH,ArBr,"ArBr, ArOH",ArOH,"ArOH, ArX*",ArOH,Cu2O,BPPO,K2CO3,Propionitrile,,,,c_o_coupling,"Ar-Br,Ar-OH",Ar-OH,False
CO-Coupling,55.57,1.6,ArOH,ArI,"ArI, ArOH",ArOH,"ArOH, ArX*",ArOH,CuI,(R)-Binap,Cs2CO3,MeCN,,,,c_o_coupling,"Ar-I,Ar-OH",Ar-OH,False
CO-Coupling,45.34,1.1,ArOH,ArI,"ArI, ArOH",ArOH,"ArOH, ArX*",ArOH,CuO,DL-Proline,K3PO4,DMSO,water,,,c_o_coupling,"Ar-I,Ar-OH",Ar-OH,False
CO-Coupling,48.63,1.26,ArOH,ArI,"ArI, ArOH",ArOH,"ArOH, ArX*",ArOH,Cu2O,BPPO,K2CO3,MeCN,,,,c_o_coupling,"Ar-I,Ar-OH",Ar-OH,False
CO-Coupling,35.42,0.61,ArOH,ArI,"ArI, ArOH",ArOH,"ArOH, ArX*",ArOH,Cu2O,trans-Hyp,K3PO4,DMF,water,,,c_o_coupling,"Ar-I,Ar-OH",Ar-OH,False
CO-Coupling,0.94,-1.09,ArOH,ArI,"ArI, ArOH",ArOH,"ArOH, ArX*",ArOH,Cu2O,trans-Hyp,K3PO4,tAmOH,water,,,c_o_coupling,"Ar-I,Ar-OH",Ar-OH,False
Suzuki,0.0,-1.56,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K3PO4,anisole,water,,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
Suzuki,12.06,-0.59,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,NaHCO3,ethylene glycol,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,45.12,0.99,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,AmPhos Pd(crotyl)Cl,AmPhos,K2CO3,MeOH,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,45.31,0.99,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,meCgPPh Pd G3,meCgPPh,K2CO3,EtOH,water,water,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
Suzuki,27.8,0.16,ArCl,ArB(OR)2,ArCl,ArB(OR)2,ArX*,ArB*,meCgPPh Pd G3,meCgPPh,NaHCO3,anisole,iPrOH,TBAC,,suzuki_miyaura,Ar-Cl,Ar-B(OR)2,True
CH-Activation,0.0,-0.82,ArH,ArCl,ArCl,,ArX*,,N-XantPhos Pd G3,N-XantPhos,"K2CO3, KOAc",DMAc,,,,CH-Activation,Ar-Cl,,True
CH-Activation,6.43,-0.29,ArH,ArCl,ArCl,,ArX*,,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,anisole,water,"Potassium 2-ethylhexanoate, TBAC",,CH-Activation,Ar-Cl,,True
CH-Activation,39.95,2.47,ArH,ArCl,ArCl,,ArX*,,XantPhos Pd(allyl)Cl,XantPhos,NaHCO3,anisole,water,Potassium 2-ethylhexanoate,,CH-Activation,Ar-Cl,,True
CH-Activation,19.83,0.81,ArH,ArCl,ArCl,,ArX*,,XantPhosPdCl2,XantPhos,NaHCO3,Dioxane,water,"Potassium 2-ethylhexanoate, TBAB",,CH-Activation,Ar-Cl,,True
Borylation-Miyaura,86.42,0.69,ArBr,ArBr,ArBr,,ArX*,,meCgPPh Pd G3,meCgPPh,KOAc,PhMe,,,,miyaura_borylation,Ar-Br,,True
Heck,0.0,-0.76,ArCl,alkene,ArCl,alkene,ArX*,Alkene,meCgPPh Pd G3,meCgPPh,DBU,Propionitrile,,TBAC,,heck,Ar-Cl,Any-Alkene,True
Heck,0.0,-0.76,ArCl,alkene,ArCl,alkene,ArX*,Alkene,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,K3PO4,tAmOH,water,Potassium 2-ethylhexanoate,,heck,Ar-Cl,Any-Alkene,True
Heck,0.0,-0.76,ArCl,alkene,ArCl,alkene,ArX*,Alkene,AlphosPd)2cod,AlPhos,N-Methyldicyclohexylamin,BnOH,,TBAC,,heck,Ar-Cl,Any-Alkene,True
Heck,29.94,1.51,ArCl,alkene,ArCl,alkene,ArX*,Alkene,[Pd(allyl)(Me4-tBu-XPhos)]OTf,Me4tBuXPhos,N-Methyldicyclohexylamin,tAmOH,,TBAC,,heck,Ar-Cl,Any-Alkene,True
Dimerization-reductive,23.8,1.08,ArOSO2R,ArOSO2R,ArOSO2R,,ArX*,,meCgPPh Pd G3,meCgPPh,"K2CO3, Potassium 2-ethylhexanoate",EtOH,water,,,Dimerization-reductive,Ar-OTf,,True
Dimerization-reductive,0.0,-0.92,ArOSO2R,ArOSO2R,ArOSO2R,,ArX*,,meCgPPh Pd G3,meCgPPh,Potassium 2-ethylhexanoate,iPrOAc,water,TBAB,,Dimerization-reductive,Ar-OTf,,True
Suzuki,21.09,-0.39,ArBr,ArCl,"ArBr, ArCl",,ArX*,,meCgPPh Pd G3,meCgPPh,"K3PO4, Potassium 2-ethylhexanoate",iPrOAc,water,,,suzuki_miyaura,"Ar-Br,Ar-Cl",,False
Borylation-Miyaura,0.0,-1.64,ArBr,ArBr,ArBr,,ArX*,,XPhos Pd G2,XPhos,KOAc,PhMe,,,,miyaura_borylation,Ar-Br,,True
Suzuki,94.54,0.59,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,K3PO4,PhMe,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OH)2,True
Suzuki,35.9,-1.66,ArCl,ArB(OH)2,ArCl,ArB(OH)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K3PO4,THF,water,,,suzuki_miyaura,Ar-Cl,Ar-B(OH)2,True
Arylation-acidic-C-H,0.0,-0.5,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,K2CO3,tAmOH,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,37.38,2.04,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,KOtBu,PhMe,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,31.28,1.62,ArBr,Alkyl-H acidic,ArI,Alkyl-H-acidic,ArX*,Alkyl-C-H,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,KOtBu,PhMe,,,,Arylation-acidic-C-H,Ar-I,R-H-acidic,True
C_N_Coupling,54.62,1.3,ArBr,RNH2,ArBr,RNH2,ArX*,Aliphatic-amine,tBuXPhos Pd G3,tBuXPhos,NaOtBu,tAmOH,,,,c_n_cross_coupling,Ar-Br,Any-NH2,True
C_N_Coupling,2.31,-0.84,Lactam,ArCl,ArCl,Lactam,ArX*,Amide-type,RuPhos Pd(crotyl)Cl,RuPhos,Cs2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Cl,Any-Lactam,True
Suzuki,12.01,1.13,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,dtbpfPdCl2,dtbpf,K3PO4,Dioxane,water,,,suzuki_miyaura,Ar-Br,Ar-B(OH)2,True
Suzuki,0.0,-1.36,ArBr,ArB(OH)2,ArBr,ArB(OH)2,ArX*,ArB*,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,Cs2CO3,EtOAc,,water,,suzuki_miyaura,Ar-Br,Ar-B(OH)2,True
C_N_Coupling,35.11,0.39,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,Cs2CO3,Dioxane,,water,,c_n_cross_coupling,Ar-Cl,Ar-NH2,True
C_N_Coupling,0.0,-1.02,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,MorDalphos Pd G3,MorDalphos,NaOtBu,PhMe,,TBAC,,c_n_cross_coupling,Ar-Cl,Ar-NH2,True
C_N_Coupling,5.79,-0.79,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,XPhos Pd G2,XPhos,NaOtBu,MeTHF,,,,c_n_cross_coupling,Ar-Cl,Ar-NH2,True
C_N_Coupling,3.02,-0.9,ArCl,ArNH2,ArCl,ArNH2,ArX*,Aniline-type,[Pd(Cinnamyl)Cl]2,"Missing, Xantphos",LiHMDS,TBME,,,,c_n_cross_coupling,Ar-Cl,Ar-NH2,True
CH-Activation,0.0,-1.13,ArH,ArBr,ArBr,,ArX*,,AmPhos2PdCl2,AmPhos,Cs2CO3,Propionitrile,,TBAC,,CH-Activation,Ar-Br,,True
CH-Activation,24.19,0.81,ArH,ArBr,ArBr,,ArX*,,AdBrettPhosPd G6 Br,Ad-BrettPhos,"KOPiv, NaHCO3",xylenes,,TBAB,,CH-Activation,Ar-Br,,True
Dehydration,17.81,1.43,RCONHR,RCONHR,,,,,,No Ligand,NMM,MeCN,,,PyBrOP,Dehydration,,,True
Dehydration,1.68,-0.34,RCONHR,RCONHR,,,,,,No Ligand,KOtBu,MeCN,,,PyBrOP,Dehydration,,,True
CH-Activation,0.0,-1.01,ArH,ArBr,ArBr,,ArX*,,AlPhosPd G6 Br,AlPhos,NaHCO3,DMAc,,"KOPiv, TBAB",,CH-Activation,Ar-Br,,True
C_N_Coupling,0.92,-0.74,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,BippyPhos Pd(allyl)OTf,BippyPhos,K3PO4,MeTHF,water,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
C_N_Coupling,49.96,1.45,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,Pd-PEPPSI-IHept Cl 3-chloropyridine,IHept Cl,K3PO4,MeCN,water,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
C_N_Coupling,11.77,-0.25,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,dtbpfPdCl2,dtbpf,Cs2CO3,PhMe,,,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
C_N_Coupling,82.3,2.89,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,Cs2CO3,MeTHF,,water,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
Suzuki,14.09,0.97,ArBr,ArBr,ArBr,,ArX*,,meCgPPh Pd G3,meCgPPh,"K3PO4, Potassium 2-ethylhexanoate",iPrOAc,water,TBAB,,suzuki_miyaura,Ar-Br,,True
Suzuki,2.97,-0.79,ArBr,ArBr,ArBr,,ArX*,,meCgPPh Pd G3,meCgPPh,"K3PO4, Potassium 2-ethylhexanoate",iPrOAc,water,TBAB,,suzuki_miyaura,Ar-Br,,True
Suzuki,19.1,1.77,ArBr,ArBr,ArBr,,ArX*,,cataCXiumA Pd G3,CataCXiumA,"K3PO4, Potassium 2-ethylhexanoate",tAmOH,water,TBAB,,suzuki_miyaura,Ar-Br,,True
Suzuki,47.39,1.03,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,SPhos Pd(crotyl)Cl,SPhos,K3PO4,MeOH,water,TBAB,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
Suzuki,74.06,1.46,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,SPhos Pd(crotyl)Cl,SPhos,K3PO4,MeOH,water,TBAB,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
Suzuki,53.52,0.16,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,AmPhos2PdCl2,AmPhos,NaHCO3,MeOH,water,TBAB,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
C_N_Coupling,17.05,-0.09,R2NH,ArCl,ArCl,R2NH,ArX*,Aliphatic-amine,RuPhos Pd G4,RuPhos,K3PO4,MeCN,water,,,c_n_cross_coupling,Ar-Cl,Any-NHR,True
C_N_Coupling,10.68,-0.32,R2NH,ArCl,ArCl,R2NH,ArX*,Aliphatic-amine,,No Ligand,DBU,acetone,,,,c_n_cross_coupling,Ar-Cl,Any-NHR,True
Suzuki,39.4,1.09,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,SPhos Pd(crotyl)Cl,SPhos,K2CO3,MeCN,,TBAB,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
C_N_Coupling,24.69,-1.17,ArCl,RNH2 a-branch,ArCl,RNH2-a-branch,ArX*,Aliphatic-amine,cBridP Pd(allyl)Cl,cBridP,Cs2CO3,MeCN,,water,,c_n_cross_coupling,Ar-Cl,Any-NH2,True
Borylation-C-H,50.6,2.15,ArH,ArH,,,,,[Ir(cod)OMe]2,"4,4-Dimethyl-2,2-bipyridine",,cyclohexane,,,,Borylation-C-H,,,True
SNAr,0.0,-0.44,Alkyl-OH a-branch,ArF,ArF,ROH-a-branch,ArX*,ROH,,No Ligand,TMG,acetone,,,,snar_cn,Ar-F,R2CH-OH,True
Suzuki,0.0,-0.2,ArBr,ArBr,ArBr,,ArX*,,AmPhos2PdCl2,AmPhos,K3PO4,Coolade,THF,,,suzuki_miyaura,Ar-Br,,True
C_N_Coupling,2.19,-0.71,ArCl,R2NH,ArCl,R2NH,ArX*,Aliphatic-amine,SPhos Pd(crotyl)Cl,SPhos,Cs2CO3,MeCN,,,,c_n_cross_coupling,Ar-Cl,Any-NHR,True
C_N_Coupling,2.74,-0.6,ArCl,R2NH,ArCl,R2NH,ArX*,Aliphatic-amine,XantPhos Pd(allyl)Cl,XantPhos,KHMDS,PhMe,,,,c_n_cross_coupling,Ar-Cl,Any-NHR,True
Negishi-in-situ,0.0,-0.54,Alkyl-I,ArBr,"Alkyl-I, ArBr",,"ArX*, Alkyl-X",,"Cu2O, Ni(OAc)2",Me4phen,,Octanoic acid,PhMe,Potassium 2-ethylhexanoate,,negishi,"R-I,Ar-Br",,False
Borylation-Miyaura,13.16,0.17,ArBr,ArBr,ArBr,,ArX*,,meCgPPh Pd G3,meCgPPh,KOAc,Dioxane,,,,miyaura_borylation,Ar-Br,,True
Borylation-Miyaura,59.99,3.51,ArBr,ArBr,ArBr,,ArX*,,XPhos Pd(crotyl)Cl,XPhos,KOAc,iPrOAc,,,,miyaura_borylation,Ar-Br,,True
Negishi-in-situ,0.0,-0.28,Alkyl-I,ArBr,"Alkyl-I, ArBr",,"ArX*, Alkyl-X",,SPhos Pd-Fe nanoparticles,SPhos,,water,,"Octanoic acid, TMEDA",,negishi,"R-I,Ar-Br",,False
Negishi-in-situ,0.0,-0.13,Alkyl-I,ArBr,"Alkyl-I, ArBr",,"ArX*, Alkyl-X",,SPhos Pd-Fe nanoparticles,SPhos,,water,,"Octanoic acid, TMEDA",,negishi,"R-I,Ar-Br",,False
Oxidation,0.0,-0.8,ArNH2,ArNH2,,ArNH2,,Aniline-type,,No Ligand,,MeCN,water,CuSO4 anhydrous,,Oxidation,,Ar-NH2,True
Oxidation,62.87,1.89,ArNH2,ArNH2,,ArNH2,,Aniline-type,,No Ligand,,MeCN,water,Na2WO4,,Oxidation,,Ar-NH2,True
CS-Coupling,66.85,1.69,ArBr,ArBr,ArBr,,ArX*,,AmPhos Pd(crotyl)Cl,AmPhos,,DMSO,,"K2S2O5, Sodium formate, TBAB",,CS-Coupling,Ar-Br,,True
CS-Coupling,0.0,-1.24,ArBr,ArBr,ArBr,,ArX*,,cataCXiumA Pd G6 Br)2,CataCXiumA,,ethylene glycol,,"K2S2O5, Sodium formate, TBAB",,CS-Coupling,Ar-Br,,True
CS-Coupling,50.78,0.99,ArBr,ArBr,ArBr,,ArX*,,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,,DMSO,,"K2S2O5, Sodium formate, TBAB",,CS-Coupling,Ar-Br,,True
Condensation,64.3,0.95,RCO2R,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,NaOtBu,anisole,MeOH,,,Condensation,,Any-NH2,True
Condensation,44.47,0.25,RCO2R,RNH2,,,,,,No Ligand,,tAmOH,,Potassium 2-ethylhexanoate,,Condensation,,,True
Condensation,24.18,-0.47,RCO2R,RNH2,,RNH2,,Aliphatic-amine,,No Ligand,Cs2CO3,MeOH,methylcyclohexane,TBAB,,Condensation,,Any-NH2,True
Condensation,70.45,1.17,RCO2R,RNH2,,,,,,No Ligand,NaOtBu,MeOH,MeTHF,,,Condensation,,,True
amide_formation,4.31,-0.51,RCO2H or M,ArNH2,,"ArNH2, RCO2H",,"Aniline-type, Acyl-source",,No Ligand,DBU,MeCN,,,T3P,amide_coupling,,"Ar-NH2,Any-CO2H",False
amide_formation,6.76,-0.39,RCO2H or M,ArNH2,,"ArNH2, RCO2H",,"Aniline-type, Acyl-source",,No Ligand,NMI,DCM,,HOSu,DIC,amide_coupling,,"Ar-NH2,Any-CO2H",False
Arylation-acidic-C-H,35.06,1.1,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,NaH,tAmOH,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,0.0,-0.93,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,Me3(OMe)tBuXPhos Pd G3,Me3(OMe)-tBuXPhos,NaOtBu,PhMe,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Arylation-acidic-C-H,19.1,0.18,ArBr,Alkyl-H acidic,ArBr,Alkyl-H-acidic,ArX*,Alkyl-C-H,DPEPhos Pd(allyl)Cl,DPEPhos,NaOtBu,PhMe,,,,Arylation-acidic-C-H,Ar-Br,R-H-acidic,True
Suzuki-in-situ,7.95,0.21,ArBr,ArBr,ArBr,,ArX*,,dtbpfPdCl2,dtbpf,"KOAc, Na2CO3",Dioxane,water,TBAB,,suzuki_miyaura,Ar-Br,,True
Negishi-in-situ,2.45,-0.95,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,VPhos Pd G4,VPhos,,PhMe,water,"Octanoic acid, TMEDA",,negishi,"R-Br,Ar-Br",,False
Negishi-in-situ,49.61,1.92,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,VPhos Pd G4,VPhos,,PhMe,water,"Octanoic acid, TMEDA",,negishi,"R-Br,Ar-Br",,False
Negishi-in-situ,0.0,-1.1,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,VPhos Pd G4,VPhos,,Propionitrile,,TMEDA,,negishi,"R-Br,Ar-Br",,False
Negishi-in-situ,44.67,1.62,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,VPhos Pd G4,VPhos,,PhMe,water,"Octanoic acid, TMEDA",,negishi,"R-Br,Ar-Br",,False
Negishi-in-situ,23.26,0.32,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,VPhos Pd G4,VPhos,,PhMe,water,"Octanoic acid, TMEDA",,negishi,"R-Br,Ar-Br",,False
C_N_Coupling,0.0,-0.54,ArCl,RCONH2,ArCl,RCONH2,ArX*,Amide-type,SPhos Pd(crotyl)Cl,SPhos,K3PO4,MeCN,water,,,c_n_cross_coupling,Ar-Cl,Any-CONHR,True
C_N_Coupling,0.0,-0.54,ArCl,RCONH2,ArCl,RCONH2,ArX*,Amide-type,Piperidinyl-amino-pincer PdCl,Piperidinyl-amino-pincer,K3PO4,tAmOH,,,,c_n_cross_coupling,Ar-Cl,Any-CONHR,True
C_N_Coupling,10.4,0.06,ArCl,RCONH2,ArCl,RCONH2,ArX*,Amide-type,Me3(OMe)tBuXPhos Pd G3,Me3(OMe)-tBuXPhos,NaOtBu,PhMe,,,,c_n_cross_coupling,Ar-Cl,Any-CONHR,True
Alkylation,100.0,1.37,Alkyl-OSO2R,arom. NH,Alkyl-OSO2R,arom-NH,Alkyl-X,Aniline-type,,No Ligand,Cs2CO3,DMF,,,,Alkylation,R-OTf,AromN-H,True
Alkylation,0.0,-1.69,Alkyl-OSO2R,arom. NH,Alkyl-OSO2R,arom-NH,Alkyl-X,Aniline-type,,No Ligand,lutidine,DMF,,,,Alkylation,R-OTf,AromN-H,True
Alkylation,25.04,-0.92,Alkyl-OSO2R,arom. NH,Alkyl-OSO2R,arom-NH,Alkyl-X,Aniline-type,,No Ligand,NaHCO3,PhMe,,LiI,,Alkylation,R-OTf,AromN-H,True
Suzuki,10.31,-0.22,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K2CO3,THF,water,Sodium octanoate,,suzuki_miyaura,Ar-Cl,Vinyl-B(OR)2,True
Suzuki,0.0,-0.56,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,XPhos Pd G2,XPhos,K2CO3,anisole,water,TBAB,,suzuki_miyaura,Ar-Cl,Vinyl-B(OR)2,True
Suzuki,84.32,2.19,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K2CO3,Dioxane,water,Sodium octanoate,,suzuki_miyaura,Ar-Cl,Vinyl-B(OR)2,True
Suzuki,0.0,-0.56,alkeneB(OR)2,ArCl,ArCl,alkeneB(OR)2,ArX*,RB*,dtbpfPdCl2,dtbpf,Na2CO3,Brij 35,water,Sodium octanoate,,suzuki_miyaura,Ar-Cl,Vinyl-B(OR)2,True
Alkylation,5.58,-0.73,Alkyl-OSO2R,arom. NH,Alkyl-OSO2R,arom-NH,Alkyl-X,Aniline-type,,No Ligand,Cs2CO3,DMF,,,,Alkylation,R-OTf,AromN-H,True
Alkylation,0.0,-0.89,Alkyl-OSO2R,arom. NH,Alkyl-OSO2R,arom-NH,Alkyl-X,Aniline-type,,No Ligand,lutidine,DMF,,,,Alkylation,R-OTf,AromN-H,True
Alkylation,43.46,0.41,Alkyl-OSO2R,arom. NH,Alkyl-OSO2R,arom-NH,Alkyl-X,Aniline-type,,No Ligand,KHMDS,DMF,,LiI,,Alkylation,R-OTf,AromN-H,True
Alkylation,57.99,0.85,Alkyl-OSO2R,arom. NH,Alkyl-OSO2R,arom-NH,Alkyl-X,Aniline-type,,No Ligand,KHMDS,DMF,,"1,3,5-Trimethoxybenzene, LiI",,Alkylation,R-OTf,AromN-H,True
Suzuki,49.19,0.18,alkeneB(OR)2,ArBr,ArBr,alkeneB(OR)2,ArX*,RB*,dppfPdCl2,dppf,K2CO3,THF,water,Octanoic acid,,suzuki_miyaura,Ar-Br,Vinyl-B(OR)2,True
Negishi-in-situ,24.66,0.36,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,VPhos Pd G4,VPhos,,PhMe,water,"Octanoic acid, TMEDA",,negishi,"R-Br,Ar-Br",,False
Negishi-in-situ,2.78,-0.77,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,cBridP Pd(allyl)Cl,cBridP,TMEDA,Brij 35,MeTHF,Octanoic acid,,negishi,"R-Br,Ar-Br",,False
Negishi-in-situ,32.8,0.78,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,AmPhos2PdCl2,AmPhos,TMEDA,Brij 35,PhMe,TBAC,,negishi,"R-Br,Ar-Br",,False
Negishi-in-situ,21.47,0.19,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,XPhos Pd G2,XPhos,,Brij 35,PhMe,,,negishi,"R-Br,Ar-Br",,False
Negishi-in-situ,32.05,0.74,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,XPhos Pd(crotyl)Cl,XPhos,,Brij 35,PhMe,,,negishi,"R-Br,Ar-Br",,False
Negishi-in-situ,30.65,0.67,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,XPhos Pd(crotyl)Cl,XPhos,,Brij 35,PhMe,,,negishi,"R-Br,Ar-Br",,False
Negishi-in-situ,0.84,-0.87,ArBr,Alkyl-Br,"Alkyl-Br, ArBr",,"ArX*, Alkyl-X",,"Cu2O, Ni(OAc)2",Me4phen,,Octanoic acid,PhMe,TBAI,,negishi,"R-Br,Ar-Br",,False
Fluorination-oxidative,5.27,0.14,ArH,ArH,,,,,,No Ligand,,DMF,,,,Fluorination-oxidative,,,True
Suzuki,0.0,-1.14,ArCl,Alkyl-B(OR)2,ArCl,Alkyl-B(OR)2,ArX*,RB*,dppfPdCl2,dppf,K3PO4,PhMe,water,,,suzuki_miyaura,Ar-Cl,R-B(OR)2,True
Suzuki,27.52,-0.22,ArCl,Alkyl-B(OR)2,ArCl,Alkyl-B(OR)2,ArX*,RB*,XPhos Pd G2,XPhos,K3PO4,PhMe,water,,,suzuki_miyaura,Ar-Cl,R-B(OR)2,True
Condensation,0.0,-0.44,RNH2,ROR,,RNH2,,Aliphatic-amine,,No Ligand,,DMF,,,,Condensation,,Any-NH2,True
Negishi,0.0,-0.7,ArCl,Alkyl-M,ArCl,Alkyl-M,ArX*,Organometallic,dppfPdCl2,dppf,,THF,,Potassium 2-ethylhexanoate,,negishi,Ar-Cl,R-M,True
Suzuki,2.02,0.21,ArCl,ArCl,ArCl,,ArX*,,RuPhos Pd(crotyl)Cl,RuPhos,K3PO4,MeOH,PhMe,,,suzuki_miyaura,Ar-Cl,,True
