reaction_type,yield,z_score,reactant_1,orig_reactant_1,reactant_2,orig_reactant_2,catalyst,ligand,base,solvent,additive
cn_coupling,0.0,-0.6,AromN-H,arom. NH,Ar-Cl,ArCl,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"PhMe, water",
cn_coupling,0.0,-0.87,AromN-H,arom. NH,Ar-Cl,ArCl,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,water
cn_coupling,3.77,-0.72,AromN-H,arom. NH,Ar-Cl,ArCl,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"PhMe, water",
cn_coupling,1.55,-0.21,Ar-Cl,ArCl,AromN-H,arom. NH,AlphosPd)2cod,AlPhos,K3PO4,PhMe,water
cn_coupling,0.0,-0.85,AromN-H,arom. NH,Ar-Br,ArBr,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"PhMe, water",
cn_coupling,0.0,-1.05,AromN-H,arom. NH,Ar-Cl,ArCl,XantPhos Pd(allyl)Cl,XantPhos,K3PO4,"PhMe, water",
cn_coupling,100.0,1.42,Ar-Br,ArBr,R2CH-NH2,RNH2 a-branch,CuI,No Ligand,K3PO4,DMSO,water
cn_coupling,95.74,1.28,Ar-Br,ArBr,R2CH-NH2,RNH2 a-branch,CuI,No Ligand,K3PO4,DMSO,water
cn_coupling,75.29,0.6,Ar-Br,ArBr,R2CH-NH2,RNH2 a-branch,Cu2O,No Ligand,K3PO4,"PrOH, water",water
cn_coupling,93.87,1.22,Ar-Br,ArBr,R2CH-NH2,RNH2 a-branch,Cu2O,No Ligand,K3PO4,"BuOH, DMSO",
cn_coupling,78.52,1.38,R-Carbamate,ROC(O)NR2,Ar-I,ArI,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,PhMe,
cn_coupling,63.09,0.77,R-Carbamate,ROC(O)NR2,Ar-I,ArI,CuI,trans-NN-Dimethylcyclohexane-12-diamine,NaOtBu,PhMe,
cn_coupling,0.0,-1.76,R-Carbamate,ROC(O)NR2,Ar-I,ArI,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,MeTHF,water
cn_coupling,84.01,1.6,R-Carbamate,ROC(O)NR2,Ar-I,ArI,CuI,trans-NN-Dimethylcyclohexane-12-diamine,Cs2CO3,tAmOH,TBAB
cn_coupling,95.74,2.08,R-Carbamate,ROC(O)NR2,Ar-I,ArI,CuI,trans-NN-Dimethylcyclohexane-12-diamine,K2CO3,tAmOH,TBAB
cn_coupling,5.26,-1.55,R-Carbamate,ROC(O)NR2,Ar-I,ArI,CuI,No Ligand,K2CO3,tAmOH,
cn_coupling,54.31,0.41,R-Carbamate,ROC(O)NR2,Ar-I,ArI,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,
cn_coupling,50.79,0.27,R-Carbamate,ROC(O)NR2,Ar-I,ArI,CuBr,trans-NN-Dimethylcyclohexane-12-diamine,DBU,THF,TBAB
cn_coupling,41.03,-0.12,R-Carbamate,ROC(O)NR2,Ar-I,ArI,CuI,trans-NN-Dimethylcyclohexane-12-diamine,DBU,MeCN,
suzuki_miyaura,75.8,0.34,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,PPh3)2PdCl2,PPh3,Cs2CO3,PhMe,
suzuki_miyaura,89.04,-0.29,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,PPh3)2PdCl2,PPh3,Na2CO3,"PhMe, water",
