Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-Cl|H-SR -> R-H-acidic || Alkenyl-COR|Any-Amide|Any-CO2H|H-Amide|H-OR|R-CO2H|R-H-acidic|R2CH-CO2H,False,"R-H-acidic,H-SR,H-Amide,Any-Amide,R2CH-CO2H,Any-CO2H,R-CO2H","Ar-Cl,Ar-X,Alkenyl-Cl,Any-C=C,Alkenyl-COR,H-OR","R-H-acidic,Ar-SR,Any-SR,R-SR,RCH2-SR,Alkenyl-COR,H-OR,H-Amide,Any-Amide,R2CH-CO2H,Any-CO2H,R-CO2H,Alkenyl-SR",Alkenyl-COR|Alkenyl-Cl|Any-Amide|Any-C=C|Any-CO2H|Ar-Cl|Ar-X|H-Amide|H-OR|H-SR|R-CO2H|R-H-acidic|R2CH-CO2H,Alkenyl-COR|Alkenyl-SR|Any-Amide|Any-CO2H|Any-SR|Ar-SR|H-Amide|H-OR|R-CO2H|R-H-acidic|R-SR|R2CH-CO2H|RCH2-SR,80.0,CC(=O)N[C@@H](CS)C(=O)O.O=C1C(Cl)=C(Cl)C(=O)c2c(O)c(Cl)c(Cl)c(O)c21>>CC(=O)N[C@@H](CSC1=C(SC[C@H](NC(C)=O)C(=O)O)C(=O)c2c(O)c(SC[C@H](NC(C)=O)C(=O)O)c(SC[C@H](NC(C)=O)C(=O)O)c(O)c2C1=O)C(=O)O,K2CO3,,,MeCN / water,,,,0.0
Ar-R|H-SR -> Ar-SAr || Any-Amide|Ar-R|H-Amide|R-Amide|R-CONH2|R-H-acidic|R2CH-CONH2,False,H-SR,"R-H-acidic,Ar-R,Ar-I,Ar-X,H-Amide,Any-Amide,R2CH-OR,Any-OR,R-OR,R3C-OR,R-Amide,R2CH-CONH2,R-CONH2","R-H-acidic,Ar-R,Ar-SAr,Ar-SR,H-OR,H-Amide,Any-Amide,R-Amide,RCH2-CONH2,R-CONH2,R2CH-CONH2",Any-Amide|Any-OR|Ar-I|Ar-R|Ar-X|H-Amide|H-SR|R-Amide|R-CONH2|R-H-acidic|R-OR|R2CH-CONH2|R2CH-OR|R3C-OR,Any-Amide|Ar-R|Ar-SAr|Ar-SR|H-Amide|H-OR|R-Amide|R-CONH2|R-H-acidic|R2CH-CONH2|RCH2-CONH2,90.0,Sc1ccccc1.CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(I)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1)C(N)=O)[C@@H](C)OC(C)(C)C>>CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(Sc2ccccc2)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(N)=O)[C@@H](C)O,CuI,phen,DIPEA,PhMe / water,TFA,,,0.0
Ar-R|H-SR -> H-OR || Any-Amide|Any-C=CH2|Ar-R|H-Amide|R-Amide|R-C=CH2|R-CONH2|R-H-acidic|R2CH-CONH2,False,"H-SR,R-C=CH2,Any-C=CH2","R-H-acidic,Ar-R,Ar-I,Ar-X,H-Amide,Any-Amide,R2CH-OR,Any-OR,R-OR,R3C-OR,R-Amide,R2CH-CONH2,R-CONH2","R-H-acidic,Ar-R,H-OR,H-Amide,Any-Amide,R-Amide,R-C=CH2,Any-C=CH2,RCH2-CONH2,R-CONH2,R2CH-CONH2,Allyl-SR",Any-Amide|Any-C=CH2|Any-OR|Ar-I|Ar-R|Ar-X|H-Amide|H-SR|R-Amide|R-C=CH2|R-CONH2|R-H-acidic|R-OR|R2CH-CONH2|R2CH-OR|R3C-OR,Allyl-SR|Any-Amide|Any-C=CH2|Ar-R|H-Amide|H-OR|R-Amide|R-C=CH2|R-CONH2|R-H-acidic|R2CH-CONH2|RCH2-CONH2,2.0,C=CCS.CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(I)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1)C(N)=O)[C@@H](C)OC(C)(C)C>>C=CCSc1ccc(C[C@H](NC(=O)[C@@H](NC(C)=O)[C@@H](C)O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(N)=O)C(N)=O)cc1,CuI,phen,DIPEA,PhMe / water,TFA,,,0.0
Ar-Br|H-SR -> R-Si || Any-Si|Ar-R|R-Si,False,"R-Si,Any-Si,H-SR","Ar-R,Ar-Br,Ar-X,R-Si,Any-Si,Any-OR","Ar-R,R-Si,Any-Si,Ar-SR,Any-SR,R-SR,RCH2-SR,H-OR",Any-OR|Any-Si|Ar-Br|Ar-R|Ar-X|H-SR|R-Si,Any-SR|Any-Si|Ar-R|Ar-SR|H-OR|R-SR|R-Si|RCH2-SR,92.0,C[Si](C)(C)CCS.C[Si](C)(C)Oc1ccc(C(c2cccc(Br)c2)(c2cccc(Br)c2)c2cccc(Br)c2)cc1>>C[Si](C)(C)CCSc1cccc(C(c2ccc(O)cc2)(c2cccc(SCC[Si](C)(C)C)c2)c2cccc(SCC[Si](C)(C)C)c2)c1,Pd2(dba)3,XantPhos,DIPEA,"1,4-Dioxane / DCM / water",,,,0.40796857252046215
Ar-Br|Ar-OR -> Ar-SAr || Any-Amide|Ar-R|R-Amide,False,"Ar-OR,Any-OR,R-OR,H-SR","Ar-R,Ar-Br,Ar-X,R-Amide,Any-Amide,Bn-OR","Ar-R,Ar-SAr,Ar-SR,H-OR,R-Amide,Any-Amide",Any-Amide|Any-OR|Ar-Br|Ar-OR|Ar-R|Ar-X|Bn-OR|H-SR|R-Amide|R-OR,Any-Amide|Ar-R|Ar-SAr|Ar-SR|H-OR|R-Amide,92.0,COc1ccccc1S.O=C(c1cc(Br)c(OCc2ccccc2)cc1OCc1ccccc1)N1Cc2ccccc2C1>>O=C(c1cc(Sc2ccccc2O)c(O)cc1O)N1Cc2ccccc2C1,Pd2(dba)3,DPPF,DIPEA,PhMe / DCM / water,water,,,0.7071067811865476
Ar-Br|H-SR -> Ar-SAr || Any-Amide|Any-OR|Ar-OR|Ar-R|R-Amide|R-OR,False,"Ar-OR,Any-OR,R-OR,H-SR","Ar-R,Ar-Br,Ar-X,R-Amide,Any-Amide,Bn-OR","Ar-R,Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR,H-OR,R-Amide,Any-Amide",Any-Amide|Any-OR|Ar-Br|Ar-OR|Ar-R|Ar-X|Bn-OR|H-SR|R-Amide|R-OR,Any-Amide|Any-OR|Ar-OR|Ar-R|Ar-SAr|Ar-SR|H-OR|R-Amide|R-OR,94.0,COc1cccc(S)c1.O=C(c1cc(Br)c(OCc2ccccc2)cc1OCc1ccccc1)N1Cc2ccccc2C1>>COc1cccc(Sc2cc(C(=O)N3Cc4ccccc4C3)c(O)cc2O)c1,Pd2(dba)3,DPPF,DIPEA,PhMe / DCM / water,water,,,0.0
Ar-Br|Ar-OR -> Ar-SAr || Any-Amide|Ar-R|R-Amide,False,"Ar-OR,Any-OR,R-OR,H-SR","Ar-R,Ar-Br,Ar-X,R-Amide,Any-Amide,Bn-OR","Ar-R,Ar-SAr,Ar-SR,H-OR,R-Amide,Any-Amide",Any-Amide|Any-OR|Ar-Br|Ar-OR|Ar-R|Ar-X|Bn-OR|H-SR|R-Amide|R-OR,Any-Amide|Ar-R|Ar-SAr|Ar-SR|H-OR|R-Amide,74.0,COc1ccc(S)cc1.O=C(c1cc(Br)c(OCc2ccccc2)cc1OCc1ccccc1)N1Cc2ccccc2C1>>O=C(c1cc(Sc2ccc(O)cc2)c(O)cc1O)N1Cc2ccccc2C1,Pd2(dba)3,DPPF,DIPEA,PhMe / DCM / water,water,,,-0.7071067811865476
Ar-Cl|H-AromN -> Ar-Ar || Pyridine,False,"H-AromN,AromN-H,Pyridine","Ar-Cl,Ar-X,Ar-I,Ar-OSO2R","Ar-Ar,Ar-SAr,Ar-SR,Pyridine",Ar-Cl|Ar-I|Ar-OSO2R|Ar-X|AromN-H|H-AromN|Pyridine,Ar-Ar|Ar-SAr|Ar-SR|Pyridine,76.0,S=c1cccc[nH]1.O=S(=O)(Oc1ccccc1I)c1ccc(Cl)cc1>>c1ccc(Sc2ccccc2-c2ccccc2Sc2ccccn2)nc1,CuBr·SMe2,,,THF,,,,0.0
H-SR -> Ar-NO2 || Ar-Cl|Ar-X,True,"Ar-Cl,Ar-X,H-SR",,"Ar-Cl,Ar-X,Ar-NO2,Any-NO2,Ar-SAr,Ar-SR",Ar-Cl|Ar-X|H-SR,Any-NO2|Ar-Cl|Ar-NO2|Ar-SAr|Ar-SR|Ar-X,78.0,Sc1ccc(Cl)cc1>>O=[N+]([O-])c1ccccc1Sc1ccc(Cl)cc1,2409985-32-4,L-Proline,NaOtBu,MeCN,,,,0.0
Ar-I|H-SR -> Ar-Br || Any-OR|Ar-OR|Ar-X|R-OR,False,"Ar-I,Ar-X,Ar-OR,Any-OR,R-OR",H-SR,"Ar-Br,Ar-X,Ar-OR,Any-OR,R-OR,Bn-SR",Any-OR|Ar-I|Ar-OR|Ar-X|H-SR|R-OR,Any-OR|Ar-Br|Ar-OR|Ar-X|Bn-SR|R-OR,96.0,COc1cccc(I)c1.SCc1ccccc1>>COc1ccc(Br)c(SCc2ccccc2)c1,Pd(dba)2,DPPF,Et3N,DMF,,,,0.0
