Reaction_Type_Standardized,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-Cl|Ar-NH2|RCH2-I -> RCH2-NR2 || Ar-Br|Ar-CN|Ar-F|Ar-NHR,RCH2-I,"Ar-Cl,Ar-CN,Ar-NHR","Ar-Cl,Ar-CN,Ar-NHR|RCH2-I",75.0,CI.N#Cc1ccc(Nc2nccc(Cl)n2)cc1.Nc1c(F)cc(Br)cc1F>>CN(c1ccc(C#N)cc1)c1nccc(Nc2c(F)cc(Br)cc2F)n1,HCl,,Cs2CO3 / NaHCO3,MeCN / iPrOH / water,,,,0.0
Any-CO-R|Any-COCl|Ar-F|Ar-NO2|RCH2-Cl|RCH2-NH2|RCH2-NHR -> Ar-NH2|R-CONR2 || R-H-acidic|RCH2-NR2,RCH2-NH2,"R-H-acidic,Any-CO-R,Any-COCl,RCH2-Cl","R-H-acidic,Any-CO-R,Any-COCl,RCH2-Cl|RCH2-NH2",76.0,CN.O=C(Cl)CCl.CN1CCNCC1.O=[N+]([O-])c1ccc(F)cc1>>CN1CCN(CC(=O)N(C)c2ccc(N)cc2)CC1,,,,DMSO / PhMe,,,,0.0
Ar-Br|Ar-NH2|RCH2-I -> RCH2-NR2 || Ar-R|RCH2-OR,"Ar-R,Ar-NH2","Ar-R,Ar-Br,RCH2-OR","Ar-R,Ar-Br,RCH2-OR|Ar-R,Ar-NH2",84.0,Cc1cc(N)c2ccccc2n1.COCc1cc2cc(Br)ccc2n1C.CI>>COCc1cc2cc(N(C)c3cc(C)nc4ccccc34)ccc2n1C,Pd2(dba)3·CHCl3,XPhos,NaOtBu / NaH,"1,4-Dioxane / DMF",,,,0.7071067811865476
Ar-Br|Ar-NH2|RCH2-I -> RCH2-NR2 || Ar-R|RCH2-OR,"Ar-R,Ar-NH2","Ar-R,Ar-Br,RCH2-OR","Ar-R,Ar-Br,RCH2-OR|Ar-R,Ar-NH2",73.0,Cc1cc(N)c2ccccc2n1.COCOCc1cc2cc(Br)ccc2n1C.CI>>COCOCc1cc2cc(N(C)c3cc(C)nc4ccccc34)ccc2n1C,Pd2(dba)3·CHCl3,XPhos,NaOtBu / NaH,"1,4-Dioxane / DMF",,,,-0.7071067811865476
Ar-Br|Ar-NH2|RCH2-I -> RCH2-NR2 || Ar-R,"Ar-R,Ar-NH2","Ar-R,Ar-Br","Ar-R,Ar-Br|Ar-R,Ar-NH2",71.0,Cc1cc(N)c2ccccc2n1.Brc1ccc2c(c1)cc1n2CC=CC1.CI>>Cc1cc(N(C)c2ccc3c(c2)cc2n3CC=CC2)c2ccccc2n1,Pd2(dba)3·CHCl3,XPhos,NaOtBu / NaH,"1,4-Dioxane / DMF",,,,-1.6248341207871357
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Any-Lactam|Ar-CONR2|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,Ar-CONR2,R3C-Br,R-CONHR,Any-Lactam","Ar-R,Ar-NHR,Ar-Lactam,Ar-CONR2,R3C-Br,R-CONHR,Any-Lactam|Ar-R,RCH2-NHR",61.0,c1ccc2c(c1)CCN2.O=C1c2ccccc2C(=O)N1CCC1(Br)C(=O)Nc2ccccc21>>O=C1c2ccccc2C(=O)N1CC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.0
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Any-N3|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3|Ar-R,RCH2-NHR",73.0,Cc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>Cc1ccc2c(c1)CCN2[C@]1(CCN=[N+]=[N-])C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,-1.4357910171314443
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Ar-Lactam|Ar-NHR|Ar-R|R-CONHR|R-H-acidic|RCH2-Ester,"Ar-R,RCH2-NHR","R-H-acidic,Ar-R,Ar-NHR,Ar-Lactam,RCH2-Ester,R3C-Br,R-CONHR","Ar-R,RCH2-NHR|R-H-acidic,Ar-R,Ar-NHR,Ar-Lactam,RCH2-Ester,R3C-Br,R-CONHR",87.0,c1ccc2c(c1)CCN2.COC(=O)CCC1(Br)C(=O)Nc2ccccc21>>COC(=O)CC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.7071067811865475
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Any-N3|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR|RCH2-OR,"Ar-R,RCH2-NHR,RCH2-OR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3|Ar-R,RCH2-NHR,RCH2-OR",75.0,COc1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>COc1ccc2c(c1)CCN2[C@]1(CCN=[N+]=[N-])C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.0
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Any-N3|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3|Ar-R,RCH2-NHR",95.0,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,NiOAc2,174500-20-0,K3PO4,THF,,,,1.1533403252367334
