Reaction_Type_Standardized,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-I|R-CONHR|RCH2-NHR -> Ar-Lactam|R-CONR2 || Ar-R|R-H-acidic,"R-H-acidic,RCH2-NHR,R-CONHR","Ar-R,Ar-I","Ar-R,Ar-I|R-H-acidic,RCH2-NHR,R-CONHR",75.0,O=C1CCCCN1.Cc1cc(C)cc(I)c1>>Cc1cc(C)cc(N2CCCCC2=O)c1,CuI,,K3PO4,DMSO,,,,-0.36835473434187904
Ar-I|R-CONHR|RCH2-NHR -> Ar-Lactam|R-CONR2 || Ar-F|R-H-acidic,"Ar-I,Ar-F","R-H-acidic,RCH2-NHR,R-CONHR","Ar-I,Ar-F|R-H-acidic,RCH2-NHR,R-CONHR",75.0,Fc1ccc(I)cc1.O=C1CCCCN1>>O=C1CCCCN1c1ccc(F)cc1,CuI,,K3PO4,DMSO,,,,-0.8660254037844387
Ar-I|R-CONHR|RCH2-NHR -> Ar-Lactam|R-CONR2 || Ar-Ar|R-H-acidic,"R-H-acidic,RCH2-NHR,R-CONHR","Ar-Ar,Ar-I","Ar-Ar,Ar-I|R-H-acidic,RCH2-NHR,R-CONHR",75.0,O=C1CCCCN1.Ic1ccc(-c2ccccc2)cc1>>O=C1CCCCN1c1ccc(-c2ccccc2)cc1,CuI,,K3PO4,DMSO,,,,0.0
Ar-I|R-CONHR|RCH2-NHR -> Ar-Lactam|R-CONR2 || Ar-R|R-H-acidic,"R-H-acidic,RCH2-NHR,R-CONHR","Ar-R,Ar-I","Ar-R,Ar-I|R-H-acidic,RCH2-NHR,R-CONHR",75.0,O=C1CCCCN1.Cc1ccc(I)cc1C>>Cc1ccc(N2CCCCC2=O)cc1C,CuI,,K3PO4,DMSO,,,,-0.36835473434187904
Ar-I|Ar-NH2 -> Ar-NHR || Ar-Cl|Ar-NO2|RCH2-NR2,"Ar-I,Ar-NO2","Ar-Cl,Ar-NH2,RCH2-NR2","Ar-Cl,Ar-NH2,RCH2-NR2|Ar-I,Ar-NO2",70.0,O=[N+]([O-])c1ccccc1I.CN(c1ccccc1N)c1ccccc1N(C)c1ccccc1Cl>>CN(c1ccccc1Cl)c1ccccc1N(C)c1ccccc1Nc1ccccc1[N+](=O)[O-],Pd(dba)2,rac-BINAP,Cs2CO3,PhMe,,,,0.0
Ar-I|Ar-NH2 -> Ar-NHR || Ar-Br|Ar-Cl,"Ar-Br,Ar-NH2","Ar-Cl,Ar-I","Ar-Br,Ar-NH2|Ar-Cl,Ar-I",90.0,Nc1ccccc1Br.Clc1ccccc1I>>Clc1ccccc1Nc1ccccc1Br,Pd(dba)2,rac-BINAP,Cs2CO3,PhMe,,,,-1.5
Ar-Cl -> Any-NH2|AromN-H || Ar-F,"Ar-Cl,Ar-F",,"Ar-Cl,Ar-F",86.0,Fc1ccc2c(c1)nc(Cl)c1cccn12>>NN=c1[nH]c2cc(F)ccc2n2cccc12,,,,DMF,,,,0.3417976200604958
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F","Ar-R,R2CH-NHR","Ar-R,Ar-Cl,R3C-F|Ar-R,R2CH-NHR",98.0,FC(F)(F)c1ccc(Cl)cc1.CCCCC1CCc2ccccc2N1>>CCCCC1CCc2ccccc2N1c1ccc(C(F)(F)F)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.7002561991118814
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F","Ar-R,R2CH-NHR","Ar-R,Ar-Cl,R3C-F|Ar-R,R2CH-NHR",77.0,FC(F)(F)c1ccc(Cl)cc1.CCCC1Nc2ccccc2Cc2ccccc21>>CCCC1c2ccccc2Cc2ccccc2N1c1ccc(C(F)(F)F)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-1.4783186425695274
Ar-Cl|R2CH-NHR|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F","Ar-R,RCH2-NHR,R2CH-NHR","Ar-R,Ar-Cl,R3C-F|Ar-R,RCH2-NHR,R2CH-NHR",86.0,FC(F)(F)c1ccc(Cl)cc1.CC1NCCc2ccccc21>>CC1c2ccccc2CCN1c1ccc(C(F)(F)F)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-0.15249857033260467
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F","Ar-R,R2CH-NHR","Ar-R,Ar-Cl,R3C-F|Ar-R,R2CH-NHR",96.0,FC(F)(F)c1ccc(Cl)cc1.CC1Nc2ccccc2Cc2ccccc21>>CC1c2ccccc2Cc2ccccc2N1c1ccc(C(F)(F)F)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.4927728808565091
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F","Ar-R,R2CH-NHR","Ar-R,Ar-Cl,R3C-F|Ar-R,R2CH-NHR",94.0,FC(F)(F)c1ccc(Cl)cc1.CC1CCc2ccccc2N1>>CC1CCc2ccccc2N1c1ccc(C(F)(F)F)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.28528956260113686
Ar-Cl|R2CH-NHR|RCH2-NHR -> R2CH-NR2 || Ar-R|R3C-F|RCH2-NR2,"Ar-R,Ar-Cl,R3C-F","Ar-R,RCH2-NHR,R2CH-NHR,RCH2-NR2","Ar-R,Ar-Cl,R3C-F|Ar-R,RCH2-NHR,R2CH-NHR,RCH2-NR2",88.0,FC(F)(F)c1ccc(Cl)cc1.CN1CCNC(c2ccccc2)C1>>CN1CCN(c2ccc(C(F)(F)F)cc2)C(c2ccccc2)C1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F","Ar-R,RCH2-NHR,R2CH-NHR","Ar-R,Ar-Cl,R3C-F|Ar-R,RCH2-NHR,R2CH-NHR",94.0,FC(F)(F)c1ccc(Cl)cc1.c1ccc(C2NCCc3ccccc32)cc1>>FC(F)(F)c1ccc(N2CCc3ccccc3C2c2ccccc2)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,1.0674899923282326
Ar-Cl|R2CH-NHR|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F","RCH2-NHR,R2CH-NHR","Ar-R,Ar-Cl,R3C-F|RCH2-NHR,R2CH-NHR",99.0,FC(F)(F)c1ccc(Cl)cc1.C1CC[C@H]2NCCC[C@@H]2C1>>FC(F)(F)c1ccc(N2CCC[C@@H]3CCCC[C@H]32)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,1.324000481083447
Ar-Cl|Bn-NHR -> Bn-NR2 || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F",Bn-NHR,"Ar-R,Ar-Cl,R3C-F|Bn-NHR",55.0,FC(F)(F)c1ccc(Cl)cc1.CC(C)NCc1ccccc1>>CC(C)N(Cc1ccccc1)c1ccc(C(F)(F)F)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-1.154700538379252
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R|R3C-F,"Ar-R,Ar-Cl,R2CH-NHR,R3C-F",,"Ar-R,Ar-Cl,R2CH-NHR,R3C-F",95.0,FC(F)(F)c1ccc(Cl)c(CCC2CCc3ccccc3N2)c1>>FC(F)(F)c1ccc2c(c1)CCC1CCc3ccccc3N21,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F","Ar-R,RCH2-NHR,R2CH-NHR","Ar-R,Ar-Cl,R3C-F|Ar-R,RCH2-NHR,R2CH-NHR",81.0,FC(F)(F)c1ccc(Cl)cc1.c1ccc(CC2CCCCN2)cc1>>FC(F)(F)c1ccc(N2CCCCC2Cc2ccccc2)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-0.914991421995628
Ar-Cl|R3C-NH2 -> R3C-NHR || Ar-R|R3C-F,R3C-NH2,"Ar-R,Ar-Cl,R3C-F","Ar-R,Ar-Cl,R3C-F|R3C-NH2",70.0,CC(C)(C)N.FC(F)(F)c1ccc(Cl)cc1>>CC(C)(C)Nc1ccc(C(F)(F)F)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-1.1815895421650642
Ar-Cl|R3C-NH2 -> R3C-NHR || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F",R3C-NH2,"Ar-R,Ar-Cl,R3C-F|R3C-NH2",77.0,FC(F)(F)c1ccc(Cl)cc1.NC12CC3CC(CC(C3)C1)C2>>FC(F)(F)c1ccc(NC23CC4CC(CC(C4)C2)C3)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.3222516933177448
Ar-Cl|Ar-NHR -> Ar-NR2 || Ar-Alkenyl|Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F","Ar-Alkenyl,Ar-NHR","Ar-Alkenyl,Ar-NHR|Ar-R,Ar-Cl,R3C-F",64.0,FC(F)(F)c1ccc(Cl)cc1.C1=Cc2ccccc2Nc2ccccc21>>FC(F)(F)c1ccc(N2c3ccccc3C=Cc3ccccc32)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R3C-NH2 -> R3C-NHR || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F","Ar-R,R3C-NH2","Ar-R,Ar-Cl,R3C-F|Ar-R,R3C-NH2",78.0,FC(F)(F)c1ccc(Cl)cc1.NC(c1ccccc1)(c1ccccc1)c1ccccc1>>FC(F)(F)c1ccc(NC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R,Ar-Cl,"Ar-R,R2CH-NHR","Ar-Cl|Ar-R,R2CH-NHR",90.0,Clc1ccccc1.CC1CCc2ccccc2N1>>CC1CCc2ccccc2N1c1ccccc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,1.1463610111456646
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R,"Ar-R,R2CH-NHR","Ar-R,Ar-Cl","Ar-R,Ar-Cl|Ar-R,R2CH-NHR",94.0,CC1CCc2ccccc2N1.CCCCc1ccc(Cl)cc1>>CCCCc1ccc(N2c3ccccc3CCC2C)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.9019300070767489
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-CONR2|Ar-R|RCH2-NR2,"Ar-R,R2CH-NHR","Ar-Cl,Ar-CONR2,RCH2-NR2","Ar-Cl,Ar-CONR2,RCH2-NR2|Ar-R,R2CH-NHR",64.0,CC1CCc2ccccc2N1.CCN(CC)C(=O)c1ccc(Cl)cc1>>CCN(CC)C(=O)c1ccc(N2c3ccccc3CCC2C)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Any-SO2R|Ar-R,"Any-SO2R,Ar-Cl","Ar-R,R2CH-NHR","Any-SO2R,Ar-Cl|Ar-R,R2CH-NHR",84.0,O=S(=O)(c1ccccc1)c1ccc(Cl)cc1.CC1CCc2ccccc2N1>>CC1CCc2ccccc2N1c1ccc(S(=O)(=O)c2ccccc2)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-Ester|Ar-R,"Ar-Cl,Ar-Ester","Ar-R,R2CH-NHR","Ar-Cl,Ar-Ester|Ar-R,R2CH-NHR",75.0,CC(C)(C)OC(=O)c1ccc(Cl)cc1.CC1CCc2ccccc2N1>>CC1CCc2ccccc2N1c1ccc(C(=O)OC(C)(C)C)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-F|Ar-R,"Ar-Cl,Ar-F","Ar-R,R2CH-NHR","Ar-Cl,Ar-F|Ar-R,R2CH-NHR",81.0,Fc1cc(F)cc(Cl)c1.CC1CCc2ccccc2N1>>CC1CCc2ccccc2N1c1cc(F)cc(F)c1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R3C-NH2 -> R3C-NHR || Ar-R|R3C-F,"Ar-R,Ar-Cl,R3C-F",R3C-NH2,"Ar-R,Ar-Cl,R3C-F|R3C-NH2",81.0,FC(F)(F)c1ccc(Cl)cc1.CC(C)(C)CC(C)(C)N>>CC(C)(C)CC(C)(C)Nc1ccc(C(F)(F)F)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,1.1815895421650642
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R,"Ar-R,Ar-Cl","Ar-R,R2CH-NHR","Ar-R,Ar-Cl|Ar-R,R2CH-NHR",75.0,Cc1nccnc1Cl.CC1CCc2ccccc2N1>>Cc1nccnc1N1c2ccccc2CCC1C,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-1.075378085360738
Ar-Cl|R2CH-NH2 -> R2CH-NHR || None,R2CH-NH2,Ar-Cl,Ar-Cl|R2CH-NH2,93.0,NC1CCCCC1.Clc1ccc2ncccc2c1>>c1cnc2ccc(NC3CCCCC3)cc2c1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,1.5017572987608916
Ar-Cl|Ar-NH2 -> Ar-NHR || None,Ar-Cl,Ar-NH2,Ar-Cl|Ar-NH2,84.0,Clc1ccc2ccccc2c1.Nc1cccc2ccccc12>>c1ccc2cc(Nc3cccc4ccccc34)ccc2c1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-0.07576224695287435
Ar-Cl|R2CH-NHR|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-CN,"RCH2-NHR,R2CH-NHR","Ar-Cl,Ar-CN","Ar-Cl,Ar-CN|RCH2-NHR,R2CH-NHR",88.0,CNC1CCCCC1.N#Cc1ccc(Cl)cc1>>CN(c1ccc(C#N)cc1)C1CCCCC1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.7071067811865475
Ar-Cl|Ar-NH2 -> Ar-NHR || Ar-R,Ar-Cl,"Ar-R,Ar-NH2","Ar-Cl|Ar-R,Ar-NH2",84.0,Clc1ccc2ccccc2c1.CC(C)c1cccc(C(C)C)c1N>>CC(C)c1cccc(C(C)C)c1Nc1ccc2ccccc2c1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-0.007680845643179064
Ar-Cl|Bn-NHR -> Bn-NR2 || Ar-CN,Bn-NHR,"Ar-Cl,Ar-CN","Ar-Cl,Ar-CN|Bn-NHR",80.0,c1ccc(CNCc2ccccc2)cc1.N#Cc1ccc(Cl)cc1>>N#Cc1ccc(N(Cc2ccccc2)Cc2ccccc2)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-1.1547005383792515
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R|RCH2-OR,"Ar-Cl,RCH2-OR","Ar-R,R2CH-NHR","Ar-Cl,RCH2-OR|Ar-R,R2CH-NHR",87.0,COc1cc(OC)nc(Cl)n1.c1ccc(C2Cc3ccccc3N2)cc1>>COc1cc(OC)nc(N2c3ccccc3CC2c2ccccc2)n1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.34279147481207356
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R|RCH2-OR,"Ar-R,R2CH-NHR","Ar-Cl,RCH2-OR","Ar-Cl,RCH2-OR|Ar-R,R2CH-NHR",90.0,CC1CCc2ccccc2N1.COc1cccc(Cl)n1>>COc1cccc(N2c3ccccc3CCC2C)n1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.7835233709990261
Ar-Cl|R2CH-NHR|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-CN,"RCH2-NHR,R2CH-NHR","Ar-Cl,Ar-CN","Ar-Cl,Ar-CN|RCH2-NHR,R2CH-NHR",58.0,CC1CCCCN1.N#Cc1ccc(Cl)cc1>>CC1CCCCN1c1ccc(C#N)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-0.7071067811865475
Ar-Cl|R2CH-NHR|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-R|R3C-F|R3C-OR,"Ar-Cl,R3C-OR,R3C-F","Ar-R,RCH2-NHR,R2CH-NHR","Ar-Cl,R3C-OR,R3C-F|Ar-R,RCH2-NHR,R2CH-NHR",80.0,FC(F)(F)Oc1ccc(Cl)cc1.c1ccc(C2CCCN2)cc1>>FC(F)(F)Oc1ccc(N2CCCC2c2ccccc2)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-CN|RCH2-OR,"Ar-Cl,Ar-CN","R2CH-NHR,RCH2-OR","Ar-Cl,Ar-CN|R2CH-NHR,RCH2-OR",62.0,N#Cc1ccc(Cl)cc1.CC1COc2ccccc2N1>>CC1COc2ccccc2N1c1ccc(C#N)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|Ar-NH2 -> Ar-NHR || Ar-Ar,Ar-Cl,"Ar-Ar,Ar-NH2","Ar-Ar,Ar-NH2|Ar-Cl",95.0,Clc1ccccc1.Nc1ccc2ccccc2c1-c1c(N)ccc2ccccc12>>c1ccc(Nc2ccc3ccccc3c2-c2c(Nc3ccccc3)ccc3ccccc23)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.8189555064922468
Ar-Cl|R2CH-NH2 -> R2CH-NHR || Any-SR|Ar-CN|R-H-acidic|R2CH-Ester,"Ar-Cl,Ar-CN","R-H-acidic,R2CH-NH2,Any-SR,R2CH-Ester","Ar-Cl,Ar-CN|R-H-acidic,R2CH-NH2,Any-SR,R2CH-Ester",87.0,N#Cc1ccc(Cl)cc1.CSCC[C@H](N)C(=O)OC(C)(C)C>>CSCC[C@H](Nc1ccc(C#N)cc1)C(=O)OC(C)(C)C,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-CN|Ar-R,"Ar-Cl,Ar-CN","Ar-R,RCH2-NHR,R2CH-NHR","Ar-Cl,Ar-CN|Ar-R,RCH2-NHR,R2CH-NHR",78.0,N#Cc1ccc(Cl)cc1.c1cncc(C2CCCN2)c1>>N#Cc1ccc(N2CCCC2c2cccnc2)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Any-CO-R|Ar-R|R3C-Ester|R3C-OR,"Ar-R,R2CH-NHR","Ar-Cl,Any-CO-R,R3C-OR,R3C-Ester","Ar-Cl,Any-CO-R,R3C-OR,R3C-Ester|Ar-R,R2CH-NHR",66.0,CC1CCc2ccccc2N1.CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1>>CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(N3c4ccccc4CCC3C)cc2)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NH2 -> R2CH-NHR || Any-CO-R|Ar-R,"Ar-Cl,Any-CO-R","Ar-R,R2CH-NH2","Ar-Cl,Any-CO-R|Ar-R,R2CH-NH2",91.0,O=C(c1ccccc1)c1ccc(Cl)cc1.CC(N)c1ccccc1>>CC(Nc1ccc(C(=O)c2ccccc2)cc1)c1ccccc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-CN|R-H-acidic|R2CH-Ester,"Ar-Cl,Ar-CN","R-H-acidic,RCH2-NHR,R2CH-NHR,R2CH-Ester","Ar-Cl,Ar-CN|R-H-acidic,RCH2-NHR,R2CH-NHR,R2CH-Ester",78.0,N#Cc1ccc(Cl)cc1.CC(C)(C)OC(=O)[C@@H]1CCCN1>>CC(C)(C)OC(=O)[C@@H]1CCCN1c1ccc(C#N)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NH2 -> R2CH-NHR || Ar-CN|R-H-acidic|R2CH-Ester,"Ar-Cl,Ar-CN","R-H-acidic,R2CH-NH2,R2CH-Ester","Ar-Cl,Ar-CN|R-H-acidic,R2CH-NH2,R2CH-Ester",80.0,N#Cc1ccc(Cl)cc1.CC(C)[C@H](N)C(=O)OC(C)(C)C>>CC(C)[C@H](Nc1ccc(C#N)cc1)C(=O)OC(C)(C)C,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R3C-NH2 -> R3C-NHR || Ar-CN|R3C-Ester,"Ar-Cl,Ar-CN","R3C-NH2,R3C-Ester","Ar-Cl,Ar-CN|R3C-NH2,R3C-Ester",70.0,N#Cc1ccc(Cl)cc1.CC(C)(C)OC(=O)C(C)(C)N>>CC(C)(C)OC(=O)C(C)(C)Nc1ccc(C#N)cc1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
R3C-NH2 -> R3C-NHR || Ar-Cl,R3C-NH2,Ar-Cl,Ar-Cl|R3C-NH2,90.0,CC(C)(C)N.Clc1nc(Cl)nc(Cl)n1>>CC(C)(C)Nc1nc(Cl)nc(Cl)n1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,1.0954559805272264
Any-Ester|R2CH-NHR|RCH2-NR2 -> R2CH-NR2 || Ar-R,"Ar-R,R2CH-NHR","RCH2-NR2,Any-Ester","Ar-R,R2CH-NHR|RCH2-NR2,Any-Ester",82.0,CC1CCc2ccccc2N1.CCN(CC)C(=O)Oc1ccc2ccccc2c1>>CC1CCc2ccccc2N1c1ccc2ccccc2c1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R,"Ar-R,R2CH-NHR",Ar-Cl,"Ar-Cl|Ar-R,R2CH-NHR",67.0,CC1CCc2ccccc2N1.CCn1ccc2c(Cl)ncnc21>>CCn1ccc2c(N3c4ccccc4CCC3C)ncnc21,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-0.6931485183671466
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R|AromN-H,"Ar-R,R2CH-NHR","Ar-Cl,AromN-H","Ar-Cl,AromN-H|Ar-R,R2CH-NHR",72.0,c1ccc2c(c1)NC1CCCCC21.Clc1ncnc2[nH]ccc12>>c1ccc2c(c1)C1CCCCC1N2c1ncnc2[nH]ccc12,Ni(cod)2,2088024-91-1,LiHMDS,CyH / THF,,,,0.0
R2CH-NHR|R3C-Ester -> R2CH-NR2 || Ar-R,R3C-Ester,"Ar-R,R2CH-NHR","Ar-R,R2CH-NHR|R3C-Ester",70.0,CC(C)(C)C(=O)Oc1ccc2ccccc2c1.CC1CCc2ccccc2N1>>CC1CCc2ccccc2N1c1ccc2ccccc2c1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,0.0
Ar-Cl|R2CH-NHR -> R2CH-NR2 || Ar-R|RCH2-OR,"Ar-Cl,RCH2-OR","Ar-R,R2CH-NHR","Ar-Cl,RCH2-OR|Ar-R,R2CH-NHR",77.0,COc1cccc(Cl)c1.c1ccc2c(c1)NC1CCCC21>>COc1cccc(N2c3ccccc3C3CCCC32)c1,Ni(cod)2,2088024-91-1,NaOtBu,CyH,,,,-1.1263148458111019
R2CH-NH2|R3C-CO2H|R3C-F|RCH2-OR -> None || Any-N3|Ar-R|R-CONHR|R-H-acidic|R2CH-NHR,"R2CH-NHR,RCH2-OR,Any-N3","R-H-acidic,Ar-R,R2CH-NH2,R2CH-NHR,R-CONHR","R-H-acidic,Ar-R,R2CH-NH2,R2CH-NHR,R-CONHR|R2CH-NHR,RCH2-OR,Any-N3",81.0,COc1c(N[C@H](CN=[N+]=[N-])C(C)(C)C)c(=O)c1=O.CC(C)(C)[C@H](N)C(=O)NC(c1ccccc1)c1ccccc1.O=C(O)C(F)(F)F>>CC(C)(C)[C@H](Nc1c(N[C@H](CN=[N+]=[N-])C(C)(C)C)c(=O)c1=O)C(=O)NC(c1ccccc1)c1ccccc1,,,Et3N,MeOH,,,,0.0
Ar-I|Bn-NHR -> Bn-NR2 || Ar-R,"Ar-R,Bn-NHR",Ar-I,"Ar-I|Ar-R,Bn-NHR",93.0,c1ccc2c(c1)CCNC2.Ic1ccccc1>>c1ccc(N2CCc3ccccc3C2)cc1,CuI,,K3PO4,iPrOH / EG,,,,1.3254212776759735
Ar-I|AromN-H -> None || Ar-NO2|Ar-R,"Ar-R,Ar-I","AromN-H,Ar-NO2","Ar-R,Ar-I|AromN-H,Ar-NO2",83.0,Cc1ccc(I)cc1.O=[N+]([O-])c1ccc2[nH]ccc2c1>>Cc1ccc(-n2ccc3cc([N+](=O)[O-])ccc32)cc1,Cu(0),9005-53-2,KOH,DME / water,,,,-0.33113308926626095
Ar-I|AromN-H -> None || Ar-NO2|Ar-R,"Ar-R,Ar-I","AromN-H,Ar-NO2","Ar-R,Ar-I|AromN-H,Ar-NO2",77.0,Cc1cccc(I)c1.O=[N+]([O-])c1ccc2[nH]ccc2c1>>Cc1cccc(-n2ccc3cc([N+](=O)[O-])ccc32)c1,Cu(0),9005-53-2,KOH,DME / water,,,,-1.1258525035052873
Ar-I|AromN-H -> None || Ar-NO2|RCH2-OR,"Ar-I,RCH2-OR","AromN-H,Ar-NO2","Ar-I,RCH2-OR|AromN-H,Ar-NO2",64.0,COc1ccc(I)cc1.O=[N+]([O-])c1ccc2[nH]ccc2c1>>COc1ccc(-n2ccc3cc([N+](=O)[O-])ccc32)cc1,Cu(0),9005-53-2,KOH,DME / water,,,,-0.351631710477147
Ar-I|AromN-H -> None || Ar-NO2,Ar-I,"AromN-H,Ar-NO2","Ar-I|AromN-H,Ar-NO2",85.0,Ic1ccccc1.O=[N+]([O-])c1ccc2[nH]ccc2c1>>O=[N+]([O-])c1ccc2c(ccn2-c2ccccc2)c1,Cu(0),9005-53-2,KOH,DME / water,,,,0.33229668147581987
Ar-I|AromN-H -> None || Ar-NO2|RCH2-OR,"Ar-I,RCH2-OR","AromN-H,Ar-NO2","Ar-I,RCH2-OR|AromN-H,Ar-NO2",57.0,COc1cccc(I)c1.O=[N+]([O-])c1ccc2[nH]ccc2c1>>COc1cccc(-n2ccc3cc([N+](=O)[O-])ccc32)c1,Cu(0),9005-53-2,KOH,DME / water,,,,-0.820473991113343
Ar-I|AromN-H -> None || Ar-F|Ar-NO2,"Ar-I,Ar-F","AromN-H,Ar-NO2","Ar-I,Ar-F|AromN-H,Ar-NO2",80.0,Fc1ccc(I)cc1.O=[N+]([O-])c1ccc2[nH]ccc2c1>>O=[N+]([O-])c1ccc2c(ccn2-c2ccc(F)cc2)c1,Cu(0),9005-53-2,KOH,DME / water,,,,0.7071067811865475
