Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Any-CHCH2|Any-Ester|Ar-Ar|Ar-R|R-CHCH2|R2CH-CO2H|R2CH-NHR|R2CH-OR|RCH2-CO2H|RCH2-Ester|RCH2-NH2|RCH2-OR -> Any-NH2|R-CONH2|R-CONHR|R-CONR2|R-H-acidic|R2CH-NH2|RCH2-CHO|RCH2-NHR || Any-SR|Ar-R|R-H-acidic|R2CH-NHR|R2CH-NR2|RCH2-NHR|RCH2-NR2,False,"R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H,RCH2-Ester,Any-CHCH2,R-CHCH2","R-H-acidic,Ar-Ar,Ar-R,R2CH-NR2,RCH2-NR2,R2CH-CO2H,Any-Ester","R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H,RCH2-Ester,Any-CHCH2,R-CHCH2|R-H-acidic,Ar-Ar,Ar-R,R2CH-NR2,RCH2-NR2,R2CH-CO2H,Any-Ester",25.0,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)(C)SSC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.COC(CN)OC>>CC(C)C[C@H](NC(=O)[C@@H](N)CSSC(C)(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O)C(C)C,14221-01-3,,DIPEA / Pip / NMM,DMF / DCM,TFA / water,PyBOP,,0.3772141867751094
Any-CHCH2|Any-Ester|Ar-Ar|Ar-R|R-CHCH2|R-H-acidic|R2CH-CO2H|R2CH-OR|RCH2-CO2H|RCH2-Ester|RCH2-NH2|RCH2-OR -> Any-NH2|R-CONH2|R-CONHR|R-CONR2|RCH2-CHO|RCH2-NHR || Ar-R|R-H-acidic|R2CH-NHR|R2CH-NR2|RCH2-NH2|RCH2-NHR|RCH2-NR2,False,"R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H,RCH2-Ester,Any-CHCH2,R-CHCH2","R-H-acidic,Ar-Ar,Ar-R,R2CH-NR2,RCH2-NR2,R2CH-CO2H,Any-Ester","R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H,RCH2-Ester,Any-CHCH2,R-CHCH2|R-H-acidic,Ar-Ar,Ar-R,R2CH-NR2,RCH2-NR2,R2CH-CO2H,Any-Ester",4.0,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.NCCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.COC(CN)OC.CC(=O)OC(C)=O>>CC(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O)C(C)C,14221-01-3,,DIPEA / Pip / NMM / Py,DMF / DCM,TFA / water,PyBOP,,-0.717203289328991
Any-CHCH2|Any-Ester|Ar-Ar|Ar-R|R-CHCH2|R2CH-CO2H|R2CH-NHR|R2CH-OR|RCH2-CO2H|RCH2-Ester|RCH2-NH2|RCH2-OR -> Any-NH2|R-CONH2|R-CONHR|R-CONR2|R-H-acidic|R2CH-NH2|RCH2-CHO|RCH2-NHR || Ar-R|AromN-H|Indole|R-H-acidic|R2CH-NHR|R2CH-NR2|RCH2-NHR|RCH2-NR2,False,"R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H,RCH2-Ester,Any-CHCH2,R-CHCH2","R-H-acidic,Ar-Ar,Ar-R,R2CH-NR2,RCH2-NR2,R2CH-CO2H,Any-Ester","R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H,RCH2-Ester,Any-CHCH2,R-CHCH2|R-H-acidic,Ar-Ar,Ar-R,R2CH-NR2,RCH2-NR2,R2CH-CO2H,Any-Ester",22.0,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)OCC1c2ccccc2-c2ccccc21.COC(CN)OC>>CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O,14221-01-3,,DIPEA / Pip / NMM,DMF / DCM,TFA / water,PyBOP,,0.22086883304595217
Any-CHCH2|Any-Ester|Ar-Ar|Ar-R|R-CHCH2|R2CH-CO2H|R2CH-NHR|R2CH-OR|RCH2-CO2H|RCH2-Ester|RCH2-NH2|RCH2-OR -> Any-NH2|R-CONH2|R-CONHR|R-CONR2|R-H-acidic|R2CH-NH2|RCH2-CHO|RCH2-NHR || Ar-R|AromN-H|Imidazole|R-H-acidic|R2CH-NHR|R2CH-NR2|RCH2-NHR|RCH2-NR2,False,"R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H,RCH2-Ester,Any-CHCH2,R-CHCH2","R-H-acidic,Ar-Ar,Ar-R,R2CH-NR2,RCH2-NR2,R2CH-CO2H,Any-Ester","R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H,RCH2-Ester,Any-CHCH2,R-CHCH2|R-H-acidic,Ar-Ar,Ar-R,R2CH-NR2,RCH2-NR2,R2CH-CO2H,Any-Ester",28.0,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1cnc[nH]1)C(=O)O)OCC1c2ccccc2-c2ccccc21.COC(CN)OC>>CC(C)C[C@H](NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)N[C@@H](C)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O,14221-01-3,,DIPEA / Pip / NMM,DMF / DCM,TFA / water,PyBOP,,0.5335595405042666
Any-CHCH2|Any-Ester|Ar-Ar|Ar-R|R-CHCH2|R2CH-CO2H|R2CH-OR|RCH2-CO2H|RCH2-Ester|RCH2-NH2|RCH2-OR -> Any-NH2|R-CONH2|R-CONHR|R-CONR2|R-H-acidic|R2CH-NH2|R2CH-NHR|R2CH-NR2|RCH2-CHO|RCH2-NHR|RCH2-NR2 || Ar-R|R-H-acidic|R2CH-NHR|R2CH-NR2|RCH2-NHR|RCH2-NR2,False,"R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H,RCH2-Ester,Any-CHCH2,R-CHCH2","R-H-acidic,Ar-Ar,Ar-R,R2CH-NR2,RCH2-NR2,R2CH-CO2H,Any-Ester","R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H,RCH2-Ester,Any-CHCH2,R-CHCH2|R-H-acidic,Ar-Ar,Ar-R,R2CH-NR2,RCH2-NR2,R2CH-CO2H,Any-Ester",18.0,C=CCOC(=O)CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.COC(CN)OC.CC(C)(C)OC(=O)N[C@@H](C[Se][Se]C[C@H](NC(=O)OC(C)(C)C)C(=O)O)C(=O)O>>CC(C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)C[Se][Se]C[C@H](N)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)NCC=O)C(N)=O,14221-01-3,,DIPEA / Pip / NMM,DMF / DCM,HOAt / TFA / water,PyBOP / DIC,,0.012408361407075923
Ar-CO2H|R2CH-OR|RCH2-NH2|RCH2-OR -> Ar-CONHR|R-H-acidic|RCH2-CHO|RCH2-NHR || Ar-NR2|Ar-R|R2CH-NHR,False,"RCH2-NH2,R2CH-OR,RCH2-OR","Ar-R,Ar-NR2,Ar-CO2H,R2CH-NHR","Ar-R,Ar-NR2,Ar-CO2H,R2CH-NHR|RCH2-NH2,R2CH-OR,RCH2-OR",84.0,CCOC(CCN)OCC.C[C@@H](N[C@H]1CCN(c2ccc(C(=O)O)cc2)C1)c1cccc2ccccc12>>C[C@@H](N[C@H]1CCN(c2ccc(C(=O)NCCC=O)cc2)C1)c1cccc2ccccc12,,,DIPEA / Na2CO3,DMF / THF / water,HOBt,EDCI·HCl,,0.0
Ar-CO2H|Bn-NH2|R2CH-OR|RCH2-OR -> Ar-CONHR|Bn-NHR|R-H-acidic|RCH2-CHO || Ar-Ester|Ar-F|Ar-OR|Pyridine|R-AromN,False,"Ar-F,Bn-NH2","Ar-OR,Ar-CO2H,Ar-Ester,R-AromN,R2CH-OR,RCH2-OR,Pyridine","Ar-F,Bn-NH2|Ar-OR,Ar-CO2H,Ar-Ester,R-AromN,R2CH-OR,RCH2-OR,Pyridine",90.0,NCc1ccc(F)cc1F.COC(=O)c1c(OC)c(=O)c(C(=O)O)cn1CC(OC)OC>>COC(=O)c1c(OC)c(=O)c(C(=O)NCc2ccc(F)cc2F)cn1CC=O,,,,,,CDI,,0.0
Any-NHR|Ar-OR|Ar-R|Ar-SO2NHR|R-CONHR|R2CH-NHR|R2CH-OR|R3C-OR|RCH2-Ester|RCH2-OR -> Any-NH2|R2CH-CO2H|R2CH-NH2|R2CH-OH|RCH2-CO2H|RCH2-OH || Any-Imino|Any-Lactam|R-CONHR|R-CONR2|R-H-acidic|R2CH-Ester|R2CH-NHR|R3C-CO2H|R3C-F|RCH2-NHR,False,"R-H-acidic,Ar-R,Ar-OR,Ar-SO2NHR,RCH2-NHR,R2CH-NHR,Any-NHR,R3C-OR,RCH2-OR,R2CH-OR,RCH2-Ester,R2CH-Ester,R-CONHR,R-CONR2,Any-Lactam,Any-Imino","R3C-CO2H,R3C-F","R-H-acidic,Ar-R,Ar-OR,Ar-SO2NHR,RCH2-NHR,R2CH-NHR,Any-NHR,R3C-OR,RCH2-OR,R2CH-OR,RCH2-Ester,R2CH-Ester,R-CONHR,R-CONR2,Any-Lactam,Any-Imino|R3C-CO2H,R3C-F",75.0,Cc1c(C)c(S(=O)(=O)NC(=N)NCCC[C@H](NC(=O)CN2C(=O)[C@H](NC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OCc3ccccc3)[C@@H]2[C@H]2COC(C)(C)O2)C(=O)OC(C)(C)C)c(C)c2c1OC(C)(C)C2.O=C(O)C(F)(F)F>>N=C(N)NCCC[C@H](NC(=O)CN1C(=O)[C@H](OC(=O)[C@@H](N)CC(=O)O)[C@@H]1[C@H](O)CO)C(=O)O.O=C(O)C(F)(F)F,Palladium,,,MeOH / water,,,,0.0
Any-NHR|Ar-OR|Ar-R|Ar-SO2NHR|R-CONHR|R2CH-NHR|R2CH-OR|R3C-OR|RCH2-Ester|RCH2-OR -> Any-NH2|R2CH-CO2H|R2CH-NH2|R2CH-OH|RCH2-CO2H|RCH2-OH || Any-Imino|Any-Lactam|R-CONHR|R-CONR2|R-H-acidic|R2CH-Ester|R2CH-NHR|R3C-CO2H|R3C-F|RCH2-NHR,False,"R-H-acidic,Ar-R,Ar-OR,Ar-SO2NHR,RCH2-NHR,R2CH-NHR,Any-NHR,R3C-OR,RCH2-OR,R2CH-OR,RCH2-Ester,R2CH-Ester,R-CONHR,R-CONR2,Any-Lactam,Any-Imino","R3C-CO2H,R3C-F","R-H-acidic,Ar-R,Ar-OR,Ar-SO2NHR,RCH2-NHR,R2CH-NHR,Any-NHR,R3C-OR,RCH2-OR,R2CH-OR,RCH2-Ester,R2CH-Ester,R-CONHR,R-CONR2,Any-Lactam,Any-Imino|R3C-CO2H,R3C-F",75.0,Cc1c(C)c(S(=O)(=O)NC(=N)NCCC[C@H](NC(=O)CCN2C(=O)[C@H](NC(=O)[C@H](CC(=O)OC(C)(C)C)NC(=O)OCc3ccccc3)[C@@H]2[C@H]2COC(C)(C)O2)C(=O)OC(C)(C)C)c(C)c2c1OC(C)(C)C2.O=C(O)C(F)(F)F>>N=C(N)NCCC[C@H](NC(=O)CCN1C(=O)[C@H](OC(=O)[C@@H](N)CC(=O)O)[C@@H]1[C@H](O)CO)C(=O)O.O=C(O)C(F)(F)F,Palladium,,,MeOH / water,,,,0.0
Ar-R|Ar-SR|R2CH-CO2H|R2CH-NH2|R2CH-OR|RCH2-Ester|RCH2-OR -> R-CONHR|R-H-acidic|R2CH-CHO|R2CH-NHR|R2CH-OH|RCH2-CO2H|RCH2-OH || Any-NH2|R-CONH2|R-CONHR|R-H-acidic|R2CH-NHR|R2CH-OR,False,"R-H-acidic,Ar-R,R2CH-NH2,R2CH-NHR,Any-NH2,RCH2-Ester,R-CONH2,R-CONHR","R-H-acidic,Ar-R,Ar-SR,R2CH-NHR,R2CH-OR,RCH2-OR,R2CH-CO2H,R-CONHR","R-H-acidic,Ar-R,Ar-SR,R2CH-NHR,R2CH-OR,RCH2-OR,R2CH-CO2H,R-CONHR|R-H-acidic,Ar-R,R2CH-NH2,R2CH-NHR,Any-NH2,RCH2-Ester,R-CONH2,R-CONHR",77.0,C[C@H](N)C(=O)N[C@H](CCC(=O)OCc1ccccc1)C(N)=O.Cc1ccc(S[C@@H]2O[C@@H]3CO[C@@H](c4ccccc4)O[C@H]3[C@H](O[C@H](C)C(=O)O)[C@H]2NC(=O)COCc2ccccc2)cc1>>C[C@H](NC(=O)[C@@H](C)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](C=O)NC(=O)CO)C(=O)N[C@H](CCC(=O)O)C(N)=O,12135-22-7,,Et3N,DMF / DCM / Me2CO / water / MeOH,TFA,,,0.0
