Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-R,False,"Ar-Ar,Ar-NH2","Ar-R,Ar-B(OH)2","Ar-Ar,Ar-NH2|Ar-R,Ar-B(OH)2",93.0,Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1.CCc1ccc(B(O)O)cc1>>CCc1ccc(Nc2ccc3c(=O)cc(-c4ccccc4)oc3c2)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,1.4433756729740645
Ar-B(OH)2|AromN-H|Imidazole -> Ar-AromN || Ar-CN,False,"AromN-H,Imidazole","Ar-B(OH)2,Ar-CN","Ar-B(OH)2,Ar-CN|AromN-H,Imidazole",80.0,c1c[nH]cn1.N#Cc1ccc(B(O)O)cc1>>N#Cc1ccc(-n2ccnc2)cc1,326477-70-7,,Cs2CO3,MeOH,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-CHCH2|Ar-OR,False,"Ar-NH2,Ar-CHCH2","Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|Ar-NH2,Ar-CHCH2",62.0,C=Cc1ccccc1N.COc1ccc(B(O)O)cc1>>C=Cc1ccccc1Nc1ccc(OC)cc1,Cu(OAc)2,Lutidine,,PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-OR,False,"Ar-B(OH)2,Ar-OR","Ar-Ar,Ar-NH2","Ar-Ar,Ar-NH2|Ar-B(OH)2,Ar-OR",87.0,COc1cccc(B(O)O)c1.Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1>>COc1cccc(Nc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,-1.3174650984805198
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-OR,False,"Ar-B(OH)2,Ar-OR","Ar-Ar,Ar-NH2","Ar-Ar,Ar-NH2|Ar-B(OH)2,Ar-OR",90.0,COc1ccc(B(O)O)cc1.Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1>>COc1ccc(Nc2ccc3c(=O)cc(-c4ccccc4)oc3c2)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.43915503282683993
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl|Quinoline,False,"Ar-NH2,Quinoline","Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-NH2,Quinoline",84.0,Nc1cccc2cccnc12.OB(O)c1ccc(Cl)cc1>>Clc1ccc(Nc2cccc3cccnc23)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-Cl,False,"Ar-Cl,Ar-B(OH)2","Ar-Ar,Ar-NH2","Ar-Ar,Ar-NH2|Ar-Cl,Ar-B(OH)2",80.0,OB(O)c1ccc(Cl)cc1.Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1>>O=c1cc(-c2ccccc2)oc2cc(Nc3ccc(Cl)cc3)ccc12,Cu(0),1644565-61-6,Et3N,EDC,,,,-0.7071067811865475
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-F|Quinoline,False,"Ar-NH2,Quinoline","Ar-F,Ar-B(OH)2","Ar-F,Ar-B(OH)2|Ar-NH2,Quinoline",80.0,Nc1cccc2cccnc12.OB(O)c1ccc(F)cc1>>Fc1ccc(Nc2cccc3cccnc23)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-OR|Quinoline,False,"Ar-NH2,Quinoline","Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|Ar-NH2,Quinoline",88.0,Nc1cccc2cccnc12.COc1cccc(B(O)O)c1>>COc1cccc(Nc2cccc3cccnc23)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,-0.7071067811865475
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-R,False,"Ar-Ar,Ar-NH2","Ar-R,Ar-B(OH)2","Ar-Ar,Ar-NH2|Ar-R,Ar-B(OH)2",89.0,Nc1ccc2c(=O)cc(-c3ccccc3)oc2c1.Cc1cccc(B(O)O)c1>>Cc1cccc(Nc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,-0.8660254037844387
