sample_row,detected_reaction_type,reaction_smiles,cleaned_reaction_smiles,cleanup_applied,coordination_removed,counterion_removed,routing_route,routing_excluded,formed_motifs,formed_bond_classes,event_kinds,potential_scope_issue,decision
32,Suzuki_miyaura,OB(O)c1cccc(O)c1.O=[N+]([O-])c1ccc(Br)c2ncccc12>>O=[N+]([O-])c1ccc(-c2cccc(O)c2)c2ncccc12,OB(O)c1cccc(O)c1.O=[N+]([O-])c1ccc(Br)c2ncccc12>>O=[N+]([O-])c1ccc(-c2cccc(O)c2)c2ncccc12,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
33,Suzuki_miyaura,Fc1ccc(Br)c(F)c1.OB(O)c1ccc(F)cc1F>>Fc1ccc(-c2ccc(F)cc2F)c(F)c1,Fc1ccc(Br)c(F)c1.OB(O)c1ccc(F)cc1F>>Fc1ccc(-c2ccc(F)cc2F)c(F)c1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
34,Suzuki_miyaura,COc1ccc(B(O)O)cc1C.O=C(Nc1ccccc1N1CCNCC1)c1csc(Br)n1>>COc1ccc(-c2nc(C(=O)Nc3ccccc3N3CCNCC3)cs2)cc1C,COc1ccc(B(O)O)cc1C.O=C(Nc1ccccc1N1CCNCC1)c1csc(Br)n1>>COc1ccc(-c2nc(C(=O)Nc3ccccc3N3CCNCC3)cs2)cc1C,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
35,Suzuki_miyaura,Brc1ccc(-c2ccccc2)cc1.OB(O)c1ccccc1>>c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,Brc1ccc(-c2ccccc2)cc1.OB(O)c1ccccc1>>c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
36,Suzuki_miyaura,CC1(C)OB(c2ccc3cn[nH]c3c2)OC1(C)C.O=c1ccc(Br)cn1Cc1cccc(C(F)(F)F)c1>>O=c1ccc(-c2ccc3cn[nH]c3c2)cn1Cc1cccc(C(F)(F)F)c1,CC1(C)OB(c2ccc3cn[nH]c3c2)OC1(C)C.O=c1ccc(Br)cn1Cc1cccc(C(F)(F)F)c1>>O=c1ccc(-c2ccc3cn[nH]c3c2)cn1Cc1cccc(C(F)(F)F)c1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
37,Miyaura_borylation,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.COc1cc(-n2cnn3cc(Br)cc3c2=O)ccc1OCC(C)(C)O>>COc1cc(-n2cnn3cc(B4OC(C)(C)C(C)(C)O4)cc3c2=O)ccc1OCC(C)(C)O,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.COc1cc(-n2cnn3cc(Br)cc3c2=O)ccc1OCC(C)(C)O>>COc1cc(-n2cnn3cc(B4OC(C)(C)C(C)(C)O4)cc3c2=O)ccc1OCC(C)(C)O,0,0,0,eligible_taxonomy_benchmark,0,HeteroAr-Bpin,B-C,intermolecular_or_multi_component|leaving_group_displacement,borylation_like_non_suzuki_cc,kept
38,Suzuki_miyaura,Nc1ccccc1Br.OB(O)c1csc2ccccc12>>Nc1ccccc1-c1csc2ccccc12,Nc1ccccc1Br.OB(O)c1csc2ccccc12>>Nc1ccccc1-c1csc2ccccc12,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
39,Suzuki_miyaura,OB(O)c1ccc(Cl)c(Cl)c1.CC(CCc1ccccc1I)=C(F)F>>CC1(C(=O)c2ccc(Cl)c(Cl)c2)CCc2ccccc21,OB(O)c1ccc(Cl)c(Cl)c1.CC(CCc1ccccc1I)=C(F)F>>CC1(C(=O)c2ccc(Cl)c(Cl)c2)CCc2ccccc21,0,0,0,eligible_taxonomy_benchmark,0,Ar-Alkyl|Ar-COR,C-C|C-O,c_c_bond_formation|c_o_bond_formation|intermolecular_or_multi_component|leaving_group_displacement|ring_closure_or_annulation,,kept
40,Multi-Event:LGDisp+C-C,Cc1ccccc1B1OCC(C)(C)CO1.O=C(OCc1ccccc1)N1CCC(Br)CC1>>Cc1ccccc1C1CCN(C(=O)OCc2ccccc2)CC1,Cc1ccccc1B1OCC(C)(C)CO1.O=C(OCc1ccccc1)N1CCC(Br)CC1>>Cc1ccccc1C1CCN(C(=O)OCc2ccccc2)CC1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Alkyl,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
41,Suzuki_miyaura,N#Cc1cc(Br)cnc1Cl.Cc1ccc2ccc(B3OC(C)(C)C(C)(C)O3)cc2n1>>Cc1ccc2ccc(-c3cnc(Cl)c(C#N)c3)cc2n1,N#Cc1cc(Br)cnc1Cl.Cc1ccc2ccc(B3OC(C)(C)C(C)(C)O3)cc2n1>>Cc1ccc2ccc(-c3cnc(Cl)c(C#N)c3)cc2n1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
42,Suzuki_miyaura,Nc1c(Br)ccc2c([N+](=O)[O-])cccc12.CN(C)c1cccc(B(O)O)c1>>CN(C)c1cccc(-c2ccc3c([N+](=O)[O-])cccc3c2N)c1,Nc1c(Br)ccc2c([N+](=O)[O-])cccc12.CN(C)c1cccc(B(O)O)c1>>CN(C)c1cccc(-c2ccc3c([N+](=O)[O-])cccc3c2N)c1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
43,Suzuki_miyaura,OB(O)c1ccccc1.O=[N+]([O-])c1ccc(Br)cc1>>O=[N+]([O-])c1ccc(-c2ccccc2)cc1,OB(O)c1ccccc1.O=[N+]([O-])c1ccc(Br)cc1>>O=[N+]([O-])c1ccc(-c2ccccc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
44,Suzuki_miyaura,N#Cc1ccc(Cl)cc1.OB(O)/C=C/c1ccccc1>>N#Cc1ccc(/C=C/c2ccccc2)cc1,N#Cc1ccc(Cl)cc1.OB(O)/C=C/c1ccccc1>>N#Cc1ccc(/C=C/c2ccccc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Alkenyl,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
