Compound,CAS,smiles,source
Chloroacetic acid,79-11-8,C(C(=O)O)Cl,registry
Chloroacetic anhydride,541-88-8,O=C(CCl)OC(=O)CCl,registry
��- Chloroacetamide,79-07-2,C(C(=O)N)Cl,registry
"2-Chlorotriethylamine hydrochloride (2-chloro-N,N-diethylethylamine hydrochloride)",869-24-9,CCN(CC)CCCl,registry
3-Chloropropionic acid,107-94-8,O=C(O)CCCl,registry
Citraconic acid (methylmaleic acid),498-23-7,CC(=CC(=O)O)C(=O)O,registry
Citraconic anhydride (methylmaleic anhydride),616-02-4,CC1=CC(=O)OC1=O,registry
trans-Crotonic acid (trans-2-butenoic acid),107-93-7,CC=CC(=O)O,registry
"(+)-Di-O-acetyl-L-tartaric anhydride [(R,R)-2,3-diacetoxysuccinic anhydride]",6283-74-5,CC(=O)OC1C(C(=O)OC1=O)OC(=O)C,registry
Cyanoacetamide,107-91-5,C1=CC=C(C(=C1)N)Cl,registry
Cyanoacetic acid,372-09-8,C(C#N)C(=O)O,registry_or_pubchem_previous
Cyanoacetic acid hydrazide,140-87-4,C(C#N)C(=O)NN,registry
Cyanoguanidine (dicyandiamide),461-58-5,N#CN=C(N)N,registry
"Decan-1,10-diol",112-47-0,OCCCCCCCCCCO,registry
Decyltrimethylammonium bromide,2082-84-0,CCCCCCCCCC[N+](C)(C)C,registry
Diacetamide,625-77-4,CC(=O)NC(=O)C,registry_or_pubchem_previous
"1,3-Diaminopropane dihydrochloride",10517-44-9,C(CN)CN.Cl.Cl,registry_or_pubchem_previous
"1,4-Diaminobutane dihydrochloride (putrescine 2HCl)",333-93-7,NCCCCN,registry
(See the safer Me3SiCHN2,18107-18-1,C[Si](C)(C)C=[N+]=[N-],registry
Di-tert-butylazodicarboxylate,870-50-8,CC(C)(C)OC(=O)N=NC(=O)OC(C)(C)C,registry
Dibromodichloromethane,594-18-3,ClC(Cl)(Br)Br,registry
Dibromomaleic acid,608-37-7,O=C(O)C(Br)=C(Br)C(=O)O,registry
"meso-2,3-Dibromosuccinic acid",608-36-6,O=C(O)C(Br)C(Br)C(=O)O,registry
"trans-1,4-Dibromobut-2-ene",821-06-7,BrCC=CCBr,registry
Di-n-butyl sulfone,598-04-9,CCCCS(=O)(=O)CCCC,registry
Dichloroacetic acid,79-43-6,O=C(O)C(Cl)Cl,registry
"N,N'-Di-tert-butylthiourea",4041-95-6,CC(C)(C)NC(=S)NC(C)(C)C,registry
"sym-Dichloroacetone (1,3-dichloropropan-2-one)",534-07-6,O=C(CCl)CCl,registry
