Compound,CAS,smiles,source
2-Iodoaniline,615-43-0,Nc1ccccc1I,registry
2-Iodobenzoic acid,88-67-5,O=C(O)c1ccccc1I,registry
3-Iodobenzoic acid,618-51-9,O=C(O)c1cccc(I)c1,registry
4-Iodoaniline,540-37-4,C1=CC(=CC=C1N)I,registry
4-Iodoanisole,696-62-8,COc1ccc(I)cc1,registry
"1-Iodo-2,4-dinitrobenzene",709-49-9,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])I,registry
1-Iodo-4-nitrobenzene,636-98-6,O=[N+]([O-])c1ccc(I)cc1,registry
2-Iodophenol,533-58-4,Oc1ccccc1I,registry
2-Iodosobenzoic acid,304-91-6,O=Ic1ccccc1C(=O)O,registry
"4,4'-Isopropylidenediphenol (Bisphenol A, 2,2-bis[4-hydroxyphenol]propane)",80-05-7,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,registry
4-Iodobenzoic acid,619-58-9,C1=CC(=CC=C1C(=O)O)I,registry
4-Iodobiphenyl,1591-31-7,C1=CC=C(C=C1)C2=CC=C(C=C2)I,registry
4-Iodophenol,540-38-5,Oc1ccc(I)cc1,registry
4-Iodotoluene,624-31-7,Cc1ccc(I)cc1,registry
5-Iodosalicylic acid (2-hydroxy-5-iodobenzoic acid),119-30-2,O=C(O)c1cc(I)ccc1O,registry
Isonitrosoacetophenone (phenylglyoxaldoxime),532-54-7,O=C(C=NO)c1ccccc1,registry
"Isophthalic acid (benzene-1,3-dicarboxylic acid)",121-91-5,O=C(O)c1cccc(C(=O)O)c1,registry
Isopropyl p-nitrobenzoate,13756-40-6,CC(C)OC(=O)C1=CC=C(C=C1)[N+](=O)[O-],registry_or_pubchem_previous
"C23H26N2O, M 346.4, m 112-114o, CI 42000, pK24 6.84. The oxalate",2437-29-8,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.[Cl-],registry
Isovanillin (3-hydroxy-4-methoxybenzaldehyde),621-59-0,COC1=C(C=C(C=C1)C=O)O,registry
"Janus Red B {3-[(2-hydroxy-1-naphtholenyl)azo-2-methylphenylazo]N,N,N-trimethyl-benzenaminium chloride}",2636-31-9,CC1=C(C=CC(=C1)N=NC2=C(C=CC3=CC=CC=C32)O)N=NC4=CC(=CC=C4)[N+](C)(C)C.[Cl-],registry_or_pubchem_previous
"Ketone moschus (4-tert-butyl-2,6-dimethyl-3,5-dinitroacetophenone, Musk ketone)",81-14-1,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C,registry_or_pubchem_previous
"Lapachol [2-hydroxy-3-(3-methyl-2-butenyl)-1,4-naphthalenedione, Neutral Yellow 16]",84-79-7,CC(=CCC1=C(C2=CC=CC=C2C(=O)C1=O)O)C,registry_or_pubchem_previous
"Leucomalachite Green C23H26N2,",129-73-7,CN(C)C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=C(C=C3)N(C)C,registry
3-Methoxybenzanthrone,3688-79-7,COC1=C2C=CC=C3C2=C(C=C1)C4=CC=CC=C4C3=O,registry_or_pubchem_previous
3-Methoxybenzoic acid (m-anisic acid),586-38-9,COc1cccc(C(=O)O)c1,registry
4-Methoxyazobenzene,2396-60-3,COC1=CC=C(C=C1)N=NC2=CC=CC=C2,registry_or_pubchem_previous
4-Methoxybenzoic acid (p-anisic acid),100-09-4,COc1ccc(C(=O)O)cc1,registry
4��-Methoxyacetophenone,100-06-1,COc1ccc(C(C)=O)cc1,registry
"Mesitylene (1,3,5-trimethylbenzene)",108-67-8,Cc1cc(C)cc(C)c1,registry
RS-(��)-Mandelic acid,61-72-3,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,registry_or_pubchem_previous
"��Methoxychlor�� (1,1-bis[p-methoxyphenyl]-2,2,2-trichloroethane, DMDT)",72-43-5,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl,registry_or_pubchem_previous
1-Methoxy-4-nitronaphthalene,4900-63-4,COC1=CC=C(C2=CC=CC=C21)[N+](=O)[O-],registry_or_pubchem_previous
2-Methoxyphenylacetic acid,93-25-4,COc1ccccc1CC(=O)O,registry
3-Methoxyphenylacetic acid,1798-09-0,COc1cccc(CC(=O)O)c1,registry
4-Methoxyphenol,150-76-5,COc1ccc(O)cc1,registry
4-Methoxyphenylacetic acid (homoanisic acid),104-01-8,COc1ccc(CC(=O)O)cc1,registry
6-Methoxy-1-indanone,13623-25-1,COC1=CC2=C(CCC2=O)C=C1,registry
N-(p-Methoxyphenyl)-p-phenylenediamine,101-64-4,COC1=CC=C(C=C1)NC2=CC=C(C=C2)N,registry_or_pubchem_previous
1-Methylaminoanthraquinone,82-38-2,CNC1=CC=CC2=C1C(=O)C3=CC=CC=C3C2=O,registry_or_pubchem_previous
3-(Methylamino)benzoic acid,51524-84-6,CNC1=CC=CC(=C1)C(=O)O,registry_or_pubchem_previous
4-Methylacetophenone,122-00-9,CC(=O)c1ccc(C)cc1,registry
"4-Methylaminophenol hemisulfate (Photol, Metol)",55-55-0,CNc1ccc(O)cc1.CNc1ccc(O)cc1,registry
Methyl p-anisate,121-98-2,COC1=CC=C(C=C1)C(=O)OC,registry
N-Methyl-o-aminobenzoic acid (N-methylanthranilic acid),"119-68-6, 730910-17-5",CNC1=CC=CC=C1C(=O)O,registry
N-Methylacetanilide,579-10-2,CC(=O)N(C)c1ccccc1,registry
N-Methylaniline,100-61-8,CNc1ccccc1,registry
N-Methylaniline hydrochloride,2739-12-0,CNC1=CC=CC=C1.Cl,registry_or_pubchem_previous
"2-Methyl-3,4-benzphenanthrene (2-methylbenzo[c]phenanthrene)",652-04-0,CC1=CC2=C(C3=CC=CC=C3C=C2)C4=CC=CC=C14,registry_or_pubchem_previous
2-Methylanthracene,613-12-7,CC1=CC2=CC3=CC=CC=C3C=C2C=C1,registry_or_pubchem_previous
2-Methylanthraquinone,84-54-8,CC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,registry
4-Methylbenzophenone,134-84-9,Cc1ccc(C(=O)c2ccccc2)cc1,registry
9-Methylanthracene,779-02-2,Cc1c2ccccc2cc2ccccc12,registry
"Methyl-1,4-benzoquinone (p-toluoquinone)",553-97-9,CC1=CC(=O)C=CC1=O,registry
"(��)-3'-Methyl-1,2-cyclopentenophenanthrene (16,17-dihydro-17-methyl-15H-cyclopenta-[a]�Cphenan- threne",549-38-2,CC1CCC2=C1C=CC3=C2C=CC4=CC=CC=C43,registry_or_pubchem_previous
"3,4-Methylenedioxyaniline",14268-66-7,Nc1ccc2c(c1)OCO2,registry
"Methyl 2,4-dichlorophenoxyacetate",1928-38-7,COC(=O)COC1=C(C=C(C=C1)Cl)Cl,registry_or_pubchem_previous
Methyl 3-hydroxy-2-naphthoate,883-99-8,COC(=O)C1=CC2=CC=CC=C2C=C1O,registry
Methyl 4-bromobenzoate,619-42-1,COC(=O)C1=CC=C(C=C1)Br,registry
Methyl 4-hydroxybenzoate (methyl paraben),99-76-3,COC(=O)C1=CC=C(C=C1)O,registry
Methyl gallate,99-24-1,COC(=O)C1=CC(=C(C(=C1)O)O)O,registry
"trans-3,4-Methylenedioxycinnamic acid",2373-80-0,O=C(O)C=Cc1ccc2c(c1)OCO2,registry
1-Methylnaphthalene,90-12-0,Cc1cccc2ccccc12,registry
2-Methyl-3-nitroaniline,603-83-8,CC1=C(C=CC=C1[N+](=O)[O-])N,registry
2-Methylnaphthalene,91-57-6,CC1=CC2=CC=CC=C2C=C1,registry
6-Methyl-2-naphthol,17579-79-2,CC1=CC2=C(C=C1)C=C(C=C2)O,registry_or_pubchem_previous
7-Methyl-2-naphthol,26593-50-0,CC1=CC2=C(C=C1)C=CC(=C2)O,registry_or_pubchem_previous
"Methyl 2-naphthyl ether (2-methoxynaphthalene, Nerolin)",93-04-9,COC1=CC2=CC=CC=C2C=C1,registry_or_pubchem_previous
1-Methyl-1-phenylhydrazine sulfate,33008-18-3,C[NH+](C1=CC=CC=C1)N.OS(=O)(=O)[O-],registry_or_pubchem_previous
2-Methyl-3-nitroanisole,4837-88-1,COc1cccc([N+](=O)[O-])c1C,registry
2-Methyl-4-nitroaniline,99-52-5,Cc1cc([N+](=O)[O-])ccc1N,registry
3-Methyl-2-nitrobenzoic acid,5437-38-7,CC1=C(C(=CC=C1)C(=O)O)[N+](=O)[O-],registry
4-Methyl-3-nitroaniline,119-32-4,Cc1ccc(N)cc1[N+](=O)[O-],registry
4-Methyl-3-nitrobenzoic acid (3-nitro-p-toluic acid),96-98-0,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,registry
4-Methylphenylacetic acid (p-tolylacetic acid),622-47-9,CC1=CC=C(C=C1)OC(=O)C,registry
Methyl 3-nitrobenzoate,618-95-1,C1CSCNC1C(=O)O,registry
Methyl 4-nitrobenzoate,619-50-1,COC(=O)c1ccc([N+](=O)[O-])cc1,registry
Methyl Red (4-dimethylaminoazobenzene-2'-carboxylic acid),493-52-7,CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,registry
N-Methyl-4-nitroaniline,100-15-2,CNc1ccc([N+](=O)[O-])cc1,registry
N-Methyl-4-nitrosoaniline,10595-51-4,CNC1=CC=C(C=C1)N=O,registry_or_pubchem_previous
N-Methylphthalimide,550-44-7,CN1C(=O)c2ccccc2C1=O,registry
"has m 20-21o, b 185o/36mm, and the methyl ester",7356-11-8,CC1=C(C=C(C=C1)C(=O)OC)[N+](=O)[O-],registry_or_pubchem_previous
2-Naphthaldehyde,66-99-9,C1=CC=C2C=C(C=CC2=C1)C=O,registry
"Methyl Violet 2B [4,4'-bis-(diethylamino)-4""-methyliminotriphenylmethyl hydrochloride)",8004-87-3,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],registry
"Michler's ketone [4,4'-bis(dimethylamino)benzophenone]",90-94-8,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,registry
"Naphthacene (benz[b]anthracene, 2,3-benzanthracene, rubene)",92-24-0,C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,registry_or_pubchem_previous
"1,8-Naphthalic acid (naphthalene-1,8-dicarboxylic acid)",518-05-8,C1=CC2=C(C(=C1)C(=O)O)C(=CC=C2)C(=O)O,registry_or_pubchem_previous
"1,8-Naphthalic anhydride",81-84-5,O=C1OC(=O)c2cccc3cccc1c23,registry
1-Naphthoic acid,86-55-5,O=C(O)c1cccc2ccccc12,registry
1?Naphthol,90-15-3,C1=CC=C2C(=C1)C=CC=C2O,registry
2-Naphthamide (2-naphthoic acid amide),2243-82-5,NC(=O)c1ccc2ccccc2c1,registry
2-Naphthoic acid,93-09-4,O=C(O)c1ccc2ccccc2c1,registry
Naphthalene,91-20-3,c1ccc2ccccc2c1,registry
"Naphthazarin (5,8-dihydroxy-1,4-naphthoquinone)",475-38-7,O=C1C=CC(=O)c2c(O)ccc(O)c21,registry
"1,2-Naphthaquinone (o- , ��-naphthoquinone)",524-42-5,C1=CC=C2C(=C1)C=CC(=O)C2=O,registry_or_pubchem_previous
1-Naphthol-2-carboxylic acid (1-hydroxy-2-naphthoic acid),86-48-6,C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O,registry
2-Naphthol,135-19-3,Oc1ccc2ccccc2c1,registry
3-Naphthol-2-carboxylic acid (3-hydroxy-2-naphthoic acid),92-70-6,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,registry
Naphthol AS-D (3-hydroxy-2-naphthoic-o-toluide),135-61-5,CC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C=C2O,registry_or_pubchem_previous
"1,4-Naphthaquinone (p-naphthoquinone, ��-naphthoquinone)",130-15-4,O=C1C=CC(=O)c2ccccc21,registry
"1,5-Naphthaquinone (1,5-naphthoquinone)",51583-62-1,C1=CC(=O)C2=CC=CC(=O)C2=C1,registry_or_pubchem_previous
"2,3-Naphthaquinone (2,3-naphthoquinone)",4939-92-8,C1=CC2=CC(=O)C(=O)C=C2C=C1,registry_or_pubchem_previous
"2,6-Naphthaquinone (amphi-naphthaquinone, 2,6-naphthoquinone)",613-20-7,C1=CC(=O)C=C2C1=CC(=O)C=C2,registry_or_pubchem_previous
The dioxime,14140-02-4,C1=CC=C2C(=C1)C(=CC=C2N=O)NO,registry_or_pubchem_previous
1-Naphthyl acetate,830-81-9,CC(=O)OC1=CC=CC2=CC=CC=C21,registry
1-Naphthylacetic acid (NAA),86-87-3,O=C(O)Cc1cccc2ccccc12,registry
1-Naphthylamine,134-32-7,Nc1cccc2ccccc12,registry
1-Naphthylamine hydrochloride,552-46-5,Nc1cccc2ccccc12,registry
2-Naphthyl acetate,1523-11-1,CC(=O)OC1=CC2=CC=CC=C2C=C1,registry
2-Naphthylacetic acid,581-96-4,O=C(O)Cc1ccc2ccccc2c1,registry
2-Naphthylamine,91-59-8,C1=CC=C2C=C(C=CC2=C1)N,registry_or_pubchem_previous
��-Naphthoxyacetic acid (BNOA),120-23-0,O=C(O)COc1ccc2ccccc2c1,registry
"��-Naphthoyltrifluoroacetone (4,4,4-trifluoro-2-naphthylbutan-1,3-dione)",893-33-4,C1=CC=C2C=C(C=CC2=C1)C(=O)CC(=O)C(F)(F)F,registry
1-Naphthyl isocyanate,86-84-0,O=C=Nc1cccc2ccccc12,registry
1-Naphthyl urea,6950-84-1,C1=CC=C2C(=C1)C=CC=C2NC(=O)N,registry_or_pubchem_previous
2-(2-Naphthyloxy)ethanol,93-20-9,C1=CC=C2C=C(C=CC2=C1)OCCO,registry_or_pubchem_previous
2-Naphthyl salicylate (Betol),613-78-5,C1=CC=C2C=C(C=CC2=C1)OC(=O)C3=CC=CC=C3O,registry_or_pubchem_previous
2-Naphthyl urea,13114-62-0,C1=CC=C2C=C(C=CC2=C1)NC(=O)N,registry_or_pubchem_previous
"N-(��-Naphthyl)ethylenediamine dihydrochloride C12H16Cl2N2,",1465-25-4,C1=CC=C2C(=C1)C=CC=C2NCCN.Cl.Cl,registry
N-1-Naphthylphthalamic acid (Naptalam),132-66-1,C1=CC=C2C(=C1)C=CC=C2NC(=O)C3=CC=CC=C3C(=O)O,registry
"Narcein {6-[6-(2-dimethylaminoethyl)]-2-methoxy-3,4-(methylenedioxy)phenylacetyl]-2,3-dimethoxy- benzoic acid}",131-28-2,CN(C)CCC1=CC2=C(C(=C1CC(=O)C3=C(C(=C(C=C3)OC)OC)C(=O)O)OC)OCO2,registry_or_pubchem_previous
Neostigmine [(3-dimethylcarbamoylphenyl)trimethylammonium] bromide,114-80-7,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.[Br-],registry_or_pubchem_previous
The RS-alcohol,57605-95-5,CC(C1=CC=CC2=CC=CC=C21)O,registry_or_pubchem_previous
2-Nitroaniline,88-74-4,Nc1ccccc1[N+](=O)[O-],registry
2-Nitrobenzaldehyde,552-89-6,O=Cc1ccccc1[N+](=O)[O-],registry
3-Nitroacetophenone,121-89-1,CC(=O)c1cccc([N+](=O)[O-])c1,registry
"3-Nitroalizarin (1,2-dihydroxy-3-nitro-9,10-anthraquinone, Alizarin Orange)",568-93-4,C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)[N+](=O)[O-],registry_or_pubchem_previous
3-Nitrobenzaldehyde,99-61-6,O=Cc1cccc([N+](=O)[O-])c1,registry
4-Nitroacetanilide,104-04-1,CC(=O)NC1=CC=C(C=C1)[N+](=O)[O-],registry
4-Nitroacetophenone,100-19-6,CC(=O)C1=CC=C(C=C1)[N+](=O)[O-],registry
4-Nitroaniline,100-01-6,Nc1ccc([N+](=O)[O-])cc1,registry
4-Nitroanisole (4-methoxynitrobenzene),100-17-4,COC1=CC=C(C=C1)[N+](=O)[O-],registry
9-Nitroanthracene,602-60-8,O=[N+]([O-])c1c2ccccc2cc2ccccc12,registry
Neostigmine methyl sulfate (Prostigmine B),51-60-5,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.COS(=O)(=O)[O-],registry_or_pubchem_previous
"Ninhydrin (1,2,3-triketohydrindene hydrate)",485-47-2,O=C1c2ccccc2C(=O)C1(O)O,registry
2-Nitrobenzoic acid,552-16-9,O=C(O)c1ccccc1[N+](=O)[O-],registry
3-Nitrobenzoic acid,121-92-6,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,registry
4-Nitrobenzene-azo-resorcinol (magneson-I),74-39-5,C1=CC(=CC=C1N=NC2=C(C=C(C=C2)O)O)[N+](=O)[O-],registry
4-Nitrobenzenediazonium fluoroborate,456-27-9,C1=CC(=CC=C1[N+]#N)[N+](=O)[O-],registry
4-Nitrobenzhydrazide (4-Nitrobenzoic hydrazide),636-97-5,C1CN2C(=CC=N2)N1,registry
4-Nitrobenzoic anhydride,902-47-6,C1=CC(=CC=C1C(=O)OC(=O)C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],registry_or_pubchem_previous
4-Nitrobenzoyl chloride,122-04-3,O=C(Cl)c1ccc([N+](=O)[O-])cc1,registry
4-Nitrobenzyl alcohol,619-73-8,O=[N+]([O-])c1ccc(CO)cc1,registry
4-Nitrobenzyl bromide,100-11-8,O=[N+]([O-])c1ccc(CBr)cc1,registry
Nitrobenzene,98-95-3,O=[N+]([O-])c1ccccc1,registry
2-Nitrobiphenyl,86-00-0,C1=CC=C(C=C1)C2=CC=CC=C2[N+](=O)[O-],registry_or_pubchem_previous
2-Nitrofluorene,607-57-8,C1C2=CC=CC=C2C3=C1C=C(C=C3)[N+](=O)[O-],registry_or_pubchem_previous
3-Nitrobenzyl chloride,619-23-8,C1=CC(=CC(=C1)[N+](=O)[O-])CCl,registry
3-Nitrofluoranthene,892-21-7,C1=CC=C2C(=C1)C3=C4C2=CC=CC4=C(C=C3)[N+](=O)[O-],registry_or_pubchem_previous
4-Nitrobenzyl chloride,100-14-1,C1=CC(=CC=C1CCl)[N+](=O)[O-],registry
4-Nitrobenzyl cyanide,555-21-5,C1=CC(=CC=C1C#N)[N+](=O)[O-],registry
4-Nitrodiphenylamine,836-30-6,C1=CC=C(C=C1)NC2=CC=C(C=C2)[N+](=O)[O-],registry
"Nitrodurene (1,2,4.5-tetramethyl-3-nitrobenzene)",3463-36-3,CC1=CC(=C(C(=C1C)[N+](=O)[O-])C)C,registry_or_pubchem_previous
trans-3-Nitrocinnamic acid,555-68-0,O=C(O)C=Cc1cccc([N+](=O)[O-])c1,registry
trans-4-Nitrocinnamic acid,882-06-4,C1=CC(=CC=C1C=CC(=O)O)[N+](=O)[O-],registry
1-Nitro-2-naphthol,550-60-7,C1=CC=C2C(=C1)C=CC(=C2[N+](=O)[O-])O,registry_or_pubchem_previous
1-Nitronaphthalene,86-57-7,O=[N+]([O-])c1cccc2ccccc12,registry
2-Nitro-1-naphthol,607-24-9,C1=CC=C2C(=C1)C=CC(=C2O)[N+](=O)[O-],registry_or_pubchem_previous
2-Nitronaphthalene,581-89-5,C1=CC=C2C=C(C=CC2=C1)[N+](=O)[O-],registry_or_pubchem_previous
2-Nitrophenol,88-75-5,C1=CC=C(C(=C1)[N+](=O)[O-])O,registry
2-Nitrophenoxyacetic acid,1878-87-1,C1=CC=C(C(=C1)[N+](=O)[O-])OCC(=O)O,registry
3-Nitrophenol,554-84-7,O=[N+]([O-])c1cccc(O)c1,registry
4-Nitrophenol,100-02-7,O=[N+]([O-])c1ccc(O)cc1,registry
4-Nitrophenyl acetate,830-03-5,C1=CC(=CC=C1CC(=O)O)[N+](=O)[O-],registry
"Nitromesitylene (2-nitro-1,3,5-trimethylbenzene)",603-71-4,CC1=CC(=C(C(=C1)C)[N+](=O)[O-])C,registry_or_pubchem_previous
Nitromethylphenylsulfone,21272-85-5,C1=CC=C(C=C1)S(=O)(=O)C[N+](=O)[O-],registry_or_pubchem_previous
2-Nitrophenylacetic acid,3740-52-1,O=C(O)Cc1ccccc1[N+](=O)[O-],registry
2-Nitrophenylpropiolic acid,"530-85-8, 92358-21-4",C1=CC=C(C(=C1)C#CC(=O)O)[N+](=O)[O-],pubchem_cas
3-Nitrophenyl isocyanate,3320-87-4,O=C=Nc1cccc([N+](=O)[O-])c1,registry
3-Nitrophthalic acid,603-11-2,O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,registry
"4-Nitro-1,2-phenylenediamine (1,2-diamino-4-nitrobenzene)",99-56-9,Nc1ccc([N+](=O)[O-])cc1N,registry
4-Nitrophenyl isocyanate,100-28-7,O=C=Nc1ccc([N+](=O)[O-])cc1,registry
4-Nitrophenyl trifluoroacetate,658-78-6,C1=CC(=CC=C1[N+](=O)[O-])OC(=O)C(F)(F)F,registry_or_pubchem_previous
4-Nitrophenyl urea,556-10-5,C1=CC(=CC=C1NC(=O)N)[N+](=O)[O-],registry_or_pubchem_previous
4-Nitrophenylacetic acid,104-03-0,O=C(O)Cc1ccc([N+](=O)[O-])cc1,registry
4-Nitrophenylhydrazine,100-16-3,C1=CC(=CC=C1NN)[N+](=O)[O-],registry_or_pubchem_previous
1-Nitroso-2-naphthol,131-91-9,O=Nc1c(O)ccc2ccccc12,registry
2-Nitroresorcinol,601-89-8,C1=CC(=C(C(=C1)O)[N+](=O)[O-])O,registry
2-Nitroso-1-naphthol,132-53-6,C1=CC=C2C(=C1)C=CC(=C2O)N=O,registry
3-Nitrophthalic anhydride,641-70-3,C1=CC2=C(C(=C1)[N+](=O)[O-])C(=O)OC2=O,registry
4-Nitrophthalic acid,610-27-5,CC(=O)[O-].CC(=O)[O-].[Zn+2],registry
4-Nitrophthalic anhydride,5466-84-2,C1=CC2=C(C(=C1)[N+](=O)[O-])C(=O)OC2=O,registry
4-Nitrosalicylic acid,619-19-2,C1=CC(=C(C=C1[N+](=O)[O-])O)C(=O)O,registry_or_pubchem_previous
4-Nitroso-1-naphthol,605-60-7,C1=CC=C2C(=C1)C(=CC=C2O)N=O,registry_or_pubchem_previous
5-Nitro-2-n-propoxyaniline,553-79-7,CCCOC1=C(C=C(C=C1)[N+](=O)[O-])N,registry_or_pubchem_previous
5-Nitrosalicylic acid,96-97-9,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)O,registry
Nitrosobenzene (NOB),586-96-9,O=Nc1ccccc1,registry
"1,2,3,4,6,7,8-Octahydroanthracene",1079-71-6,C1CCC2=CC3=C(CCCC3)C=C2C1,registry_or_pubchem_previous
2-Nitrotoluene,88-72-2,Cc1ccccc1[N+](=O)[O-],registry
4-(tert-Octyl)phenol,140-66-9,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)O,registry_or_pubchem_previous
4-Nitrostyrene,100-13-0,C=CC1=CC=C(C=C1)[N+](=O)[O-],registry
4-Nitrotoluene,99-99-0,Cc1ccc([N+](=O)[O-])cc1,registry
4-Octylbenzoic acid,3575-31-3,CCCCCCCCc1ccc(C(=O)O)cc1,registry
5-Nitrovanillin (nitroveratric aldehyde),6635-20-7,COC1=CC(=CC(=C1O)[N+](=O)[O-])C=O,registry
N-Nitroso-N-phenylbenzylamine,612-98-6,C1=CC=C(C=C1)CN(C2=CC=CC=C2)N=O,registry_or_pubchem_previous
"Nordihydroguaiaretic [1,4-bis(3,4-dihydroxyphenyl)-2,3-dimethylbutane] acid",500-38-9,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,registry
"Opianic acid (2-formyl-4,5-dimethylbenzoic acid)",519-05-1,COc1ccc(C=O)c(C(=O)O)c1OC,registry
n-Octylammonium 9-anthranilate,88020-99-9,,unresolved
trans-��-Nitrostyrene,5153-67-3,O=[N+]([O-])C=Cc1ccccc1,registry
"Orcine moohydrate (orcinol hydrate, 3,5-dihydroxytoluene)",6153-39-5,Cc1cc(O)cc(O)c1,registry
Para Red [1-(4-nitrophenylazo)-2-naphthol],6410-10-2,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=C(C=C3)[N+](=O)[O-])O,registry_or_pubchem_previous
"Pargyline hydrochloride (Eutonyl, N-methyl-n-propargylbenzylamine hydrochloride)",306-07-0,CN(CC#C)CC1=CC=CC=C1.Cl,registry_or_pubchem_previous
Pentabromophenol,608-71-9,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O,registry_or_pubchem_previous
Pentachloronitrobenzene (Quintozene),82-68-8,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-],registry_or_pubchem_previous
Pentachlorophenol,87-86-5,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,registry_or_pubchem_previous
"[2.2]-Paracyclophane (tricyclo[8.2.2.24,7]hexadeca-4,6,10,12,13,15-hexaene)",1633-22-3,C1CC2=CC=C(CCC3=CC=C1C=C3)C=C2,registry
"2,3,4,5,6-Pentafluorobenzoic acid",602-94-8,O=C(O)c1c(F)c(F)c(F)c(F)c1F,registry
"2,3,4,5,6-Pentafluorophenol",771-61-9,C1(=C(C(=C(C(=C1F)F)F)F)F)O,registry
"O-(2,3,4,5,6-Pentafluorobenzyl)hydroxylamine hydrochloride (PFBHA.HCl)",57981-02-9,NOCc1c(F)c(F)c(F)c(F)c1F,registry
Pentachlorothiophenol,133-49-3,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)S,registry_or_pubchem_previous
Pentamethylbenzene,700-12-9,Cc1cc(C)c(C)c(C)c1C,registry
Perbenzoic acid,93-59-4,C1=CC=C(C=C1)C(=O)OO,registry_or_pubchem_previous
(+)-R-N-1-Phenethyl urea (R-N-��-phenethyl urea),16849-91-5,CC(C1=CC=CC=C1)NC(=O)N,registry_or_pubchem_previous
(��)-N-1-Phenethyl urea (N-��-phenethyl urea),60295-51-4,,unresolved
"9,10-Phenanthrenequinone",84-11-7,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,registry
Perylene,198-55-0,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,registry
Phenanthrene,85-01-8,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,registry
Phenanthrene-9-aldehyde,4707-71-5,C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)C=O,registry
(-)-S-N-1-Phenethyl urea (S-N-��-phenethyl urea),25144-64-3,C[C@@H](C1=CC=CC=C1)NC(=O)N,registry_or_pubchem_previous
N-2-Phenethyl urea,2158-04-5,C1=CC=C(C=C1)CCNC(=O)N,registry_or_pubchem_previous
"Phenocoll hydrochloride (4-ethoxyaniline HCl, p-phenetidine HCl)",637-56-9,CCOC1=CC=C(C=C1)N.Cl,registry_or_pubchem_previous
Phenol (carbolic acid),108-95-2,Oc1ccccc1,registry
"Phenolphthalol {2-[bis(4-hydroxyphenyl)methyl]benzyl alcohol, Normolax, Egmol, Velaxin}",81-92-5,C1=CC=C(C(=C1)CO)C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,registry_or_pubchem_previous
2-Phenoxybenzoic acid,"2243-42-7, 36361-03-2",O=C(O)c1ccccc1Oc1ccccc1,registry
2-Phenoxypropionic acid (lactic acid O-phenylether),940-31-8,CC(Oc1ccccc1)C(=O)O,registry
3-Phenoxybenzoic acid,"61-72-3, 3739-38-6",C1=CC=C(C=C1)OC2=CC=CC(=C2)C(=O)O,registry
4-Phenoxyaniline,"139-59-3, 73166-61-7",Nc1ccc(Oc2ccccc2)cc1,registry
4-Phenoxybutyric acid,6303-58-8,O=C(O)CCCOc1ccccc1,registry
"M 303.5, m 38-40o, hydrochloride",63-92-3,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl,registry_or_pubchem_previous
