Reaction Type,FG1,FG2,n_rows,n_eln,top_coupling_reagent,top_catalyst,top_ligand,top_base,top_solvent,top_additive,ReactionType_Detailed,ReactionType_SubtypeTag
Acyl_Halides_formation,Ar-NO2|Ar-OCF3,Ar-COOH|RCH2-NHR,1,1,,,,DMAP/DIPEA,MeCN,,Acyl_Halides_formation: Ar-NO2|Ar-OCF3 + Ar-COOH|RCH2-NHR,Acyl_Halides_formation__Ar-NO2|Ar-OCF3 + Ar-COOH|RCH2-NHR
Acyl_Halides_formation,R3C-COOH|R2CH-COOH,,1,1,,,,,n-Hexane,,Acyl_Halides_formation: R3C-COOH|R2CH-COOH,Acyl_Halides_formation__R3C-COOH|R2CH-COOH
Acyl_Halides_formation,R3C-COOH|R3C-OH,,1,1,,,,,DCM,,Acyl_Halides_formation: R3C-COOH|R3C-OH,Acyl_Halides_formation__R3C-COOH|R3C-OH
Acyl_Halides_formation,R3C-OH,Acyl-COOH,1,1,,,,,DCM,,Acyl_Halides_formation: R3C-OH + Acyl-COOH,Acyl_Halides_formation__R3C-OH + Acyl-COOH
Acyl_Halides_formation,RCH2-COOH|R2CH-OH,,1,1,,,,,DCM/H2O,NH4Cl,Acyl_Halides_formation: RCH2-COOH|R2CH-OH,Acyl_Halides_formation__RCH2-COOH|R2CH-OH
Acyl_Halides_formation,RCH2-COOH|R_acidic-H,,1,1,,,,,,,Acyl_Halides_formation: RCH2-COOH|R_acidic-H,Acyl_Halides_formation__RCH2-COOH|R_acidic-H
Acyl_Halides_formation,R_acidic-H,,1,1,,,,,MeCN,,Acyl_Halides_formation: R_acidic-H,Acyl_Halides_formation__R_acidic-H
Acylation_amide,Any-SH,Inorganic,68,1,,,,Et3N,Me2CO,TBAF,Acylation_amide: Any-SH + Inorganic,Acylation_amide__Any-SH + Inorganic
Acylation_amide,Ar-COCl,H-NH2,64,2,,,,Et3N,Me2CO,,Acylation_amide: Ar-COCl + H-NH2,Acylation_amide__Ar-COCl + H-NH2
Acylation_amide,Ar-COCl,Any-SH,36,1,,,,Et3N,Me2CO,,Acylation_amide: Ar-COCl + Any-SH,Acylation_amide__Ar-COCl + Any-SH
Acylation_amide,Alkyl-COCl,Ar-NH2,29,2,,,,Pyridine,DCM,,Acylation_amide: Alkyl-COCl + Ar-NH2,Acylation_amide__Alkyl-COCl + Ar-NH2
Acylation_amide,H-NH2,Any-SH,25,2,,,,,PEG-400/Me2CO/MeCN,,Acylation_amide: H-NH2 + Any-SH,Acylation_amide__H-NH2 + Any-SH
Acylation_amide,RCH2-OH,Ar-COCl,21,1,,Cu2O,,,p-Xylene/DCE,,Acylation_amide: RCH2-OH + Ar-COCl,Acylation_amide__RCH2-OH + Ar-COCl
Acylation_amide,Ar-COCl,Alkenyl-CONHR|Ar-NHCOR,19,1,,CuI,,,p-Xylene,,Acylation_amide: Ar-COCl + Alkenyl-CONHR|Ar-NHCOR,Acylation_amide__Ar-COCl + Alkenyl-CONHR|Ar-NHCOR
Acylation_amide,Alkyl-NHCOR|Ar-CONHR,Acyl-Cl,17,1,,,,LiHMDS,THF/H2O,,Acylation_amide: Alkyl-NHCOR|Ar-CONHR + Acyl-Cl,Acylation_amide__Alkyl-NHCOR|Ar-CONHR + Acyl-Cl
Acylation_amide,Ar-Br|Ar-COCl,Alkyl-Bpin|R2CH-NH2,11,1,,CuCl2,bpy,Cs2CO3,H2O/DCE/PhMe,,Acylation_amide: Ar-Br|Ar-COCl + Alkyl-Bpin|R2CH-NH2,Acylation_amide__Ar-Br|Ar-COCl + Alkyl-Bpin|R2CH-NH2
Acylation_amide,Alkyl-COCl,Any-SH,10,1,,,,,Me2CO/DMF,,Acylation_amide: Alkyl-COCl + Any-SH,Acylation_amide__Alkyl-COCl + Any-SH
Acylation_amide,Ar-COCl,RCH2-NH2,9,1,,,,Et3N,DCM,,Acylation_amide: Ar-COCl + RCH2-NH2,Acylation_amide__Ar-COCl + RCH2-NH2
Acylation_amide,Acyl-Cl,Alkyl-NHCOR|Ar-CONHR,8,1,,,,Et3N/DMAP,DCM,,Acylation_amide: Acyl-Cl + Alkyl-NHCOR|Ar-CONHR,Acylation_amide__Acyl-Cl + Alkyl-NHCOR|Ar-CONHR
Acylation_amide,Alkyl-COCl,Bn-NHR,7,1,,,,Et3N,DCM,,Acylation_amide: Alkyl-COCl + Bn-NHR,Acylation_amide__Alkyl-COCl + Bn-NHR
Acylation_amide,Ar-COCl,R2CH-NHR,7,1,,,,Et3N,DCM,,Acylation_amide: Ar-COCl + R2CH-NHR,Acylation_amide__Ar-COCl + R2CH-NHR
Acylation_amide,CH3-NH2,HeteroAr-OH,7,1,,,,NaOH/Et3N,H2O/NMP/DCM,,Acylation_amide: CH3-NH2 + HeteroAr-OH,Acylation_amide__CH3-NH2 + HeteroAr-OH
Acylation_amide,Alkyl-COCl,Ar-NHR,6,1,,,,Et3N,DCM,,Acylation_amide: Alkyl-COCl + Ar-NHR,Acylation_amide__Alkyl-COCl + Ar-NHR
Acylation_amide,Alkyl-COCl,R2CH-NH2,6,1,,,,Et3N,DCM,,Acylation_amide: Alkyl-COCl + R2CH-NH2,Acylation_amide__Alkyl-COCl + R2CH-NH2
Acylation_amide,Ar-Br|Ar-NH2|Ar-Alkyl,HeteroAr-B(OH)2,6,1,,dppf-PdCl2,,Na2CO3/NaHCO3,Dioxane/H2O/PhMe,,Acylation_amide: Ar-Br|Ar-NH2|Ar-Alkyl + HeteroAr-B(OH)2,Acylation_amide__Ar-Br|Ar-NH2|Ar-Alkyl + HeteroAr-B(OH)2
Acylation_amide,Ar-COCl,Ar-NH2,6,1,,,,Et3N,DCM,,Acylation_amide: Ar-COCl + Ar-NH2,Acylation_amide__Ar-COCl + Ar-NH2
Acylation_amide,Alkyl-COCl,Bn-NH2,5,1,,,,Et3N,DCM,,Acylation_amide: Alkyl-COCl + Bn-NH2,Acylation_amide__Alkyl-COCl + Bn-NH2
Acylation_amide,Ar-COCl,RCH2-NHR,5,1,,,,Et3N/DMAP,DCM,,Acylation_amide: Ar-COCl + RCH2-NHR,Acylation_amide__Ar-COCl + RCH2-NHR
Acylation_amide,Ar-NH2,Alkyl-COCl,5,1,,,,Et3N,DCM,,Acylation_amide: Ar-NH2 + Alkyl-COCl,Acylation_amide__Ar-NH2 + Alkyl-COCl
Acylation_amide,Ar-NH2,Ar-COCl,5,1,,,,DIPEA,Dioxane,,Acylation_amide: Ar-NH2 + Ar-COCl,Acylation_amide__Ar-NH2 + Ar-COCl
Acylation_amide,Alkenyl-CONHR|Ar-NHCOR,Ar-COCl,4,1,,CuI,,,p-Xylene,,Acylation_amide: Alkenyl-CONHR|Ar-NHCOR + Ar-COCl,Acylation_amide__Alkenyl-CONHR|Ar-NHCOR + Ar-COCl
Acylation_amide,Ar-B(OH)2,Ar-Br|Ar-COOR,4,1,,Pd(OAc)2,tBuXPhos,K3PO4/LiOH/DIPEA/NaHCO3/Et3N,EtOAc/DMF/MeOH/H2O/DCM/THF/MeCN,iPrOH,Acylation_amide: Ar-B(OH)2 + Ar-Br|Ar-COOR,Acylation_amide__Ar-B(OH)2 + Ar-Br|Ar-COOR
Acylation_amide,Ar-COCl,R2CH-NH2,4,1,,,,Et3N,DCM,,Acylation_amide: Ar-COCl + R2CH-NH2,Acylation_amide__Ar-COCl + R2CH-NH2
Acylation_amide,Ar-COCl,RCH2-NHR|R2CH-NHR,4,1,,,,Et3N,CHCl3,,Acylation_amide: Ar-COCl + RCH2-NHR|R2CH-NHR,Acylation_amide__Ar-COCl + RCH2-NHR|R2CH-NHR
Acylation_amide,Ar-COCl,RCH2-OH,4,1,,Cu2O,,,p-Xylene/DCE,,Acylation_amide: Ar-COCl + RCH2-OH,Acylation_amide__Ar-COCl + RCH2-OH
Acylation_amide,Bn-NH2,Acyl-Cl,4,1,,,,Et3N/LiHMDS,DCM/THF,,Acylation_amide: Bn-NH2 + Acyl-Cl,Acylation_amide__Bn-NH2 + Acyl-Cl
Acylation_amide,Alkyl-COCl,H-NH2,3,1,,,,,MeCN,,Acylation_amide: Alkyl-COCl + H-NH2,Acylation_amide__Alkyl-COCl + H-NH2
Acylation_amide,Alkyl-COCl,RCH2-NHR,3,1,,,,DIPEA/NaHCO3,DCM/H2O,,Acylation_amide: Alkyl-COCl + RCH2-NHR,Acylation_amide__Alkyl-COCl + RCH2-NHR
Acylation_amide,Ar-COCl,Bn-NHR,3,1,,,,Et3N,DCM,,Acylation_amide: Ar-COCl + Bn-NHR,Acylation_amide__Ar-COCl + Bn-NHR
Acylation_amide,Ar-NH2,Acyl-Cl,3,1,,,,Et3N,DCM,,Acylation_amide: Ar-NH2 + Acyl-Cl,Acylation_amide__Ar-NH2 + Acyl-Cl
Acylation_amide,Ar-NHR|RCH2-OR,Acyl-Cl,3,1,,,,,THF,,Acylation_amide: Ar-NHR|RCH2-OR + Acyl-Cl,Acylation_amide__Ar-NHR|RCH2-OR + Acyl-Cl
Acylation_amide,R2CH-NH2,Ar-COCl,3,1,,,,Et3N,DCM,,Acylation_amide: R2CH-NH2 + Ar-COCl,Acylation_amide__R2CH-NH2 + Ar-COCl
Acylation_amide,RCH2-CONHR|Alkyl-NHCOR,Acyl-Cl,3,1,,,,LiHMDS,THF/H2O,,Acylation_amide: RCH2-CONHR|Alkyl-NHCOR + Acyl-Cl,Acylation_amide__RCH2-CONHR|Alkyl-NHCOR + Acyl-Cl
Acylation_amide,RCH2-NH2,Ar-COCl,3,1,,,,Et3N,DCM,,Acylation_amide: RCH2-NH2 + Ar-COCl,Acylation_amide__RCH2-NH2 + Ar-COCl
Acylation_amide,Acyl-Cl,Bn-NH2,2,1,,,,Et3N/LiHMDS,DCM/THF,,Acylation_amide: Acyl-Cl + Bn-NH2,Acylation_amide__Acyl-Cl + Bn-NH2
Acylation_amide,Acyl-Cl,HeteroAr-H,2,1,,,,Et3N,THF/DCM,,Acylation_amide: Acyl-Cl + HeteroAr-H,Acylation_amide__Acyl-Cl + HeteroAr-H
Acylation_amide,Alkyl-Alkenyl|Acyl-Cl,Ar-SO2NHR|RCH2-Br,2,1,,,,NaHCO3,DCM/n-Hexane,,Acylation_amide: Alkyl-Alkenyl|Acyl-Cl + Ar-SO2NHR|RCH2-Br,Acylation_amide__Alkyl-Alkenyl|Acyl-Cl + Ar-SO2NHR|RCH2-Br
Acylation_amide,Alkyl-Alkenyl|Acyl-Cl,R2CH-I,2,1,,,,NaHCO3,DCM/n-Hexane/H2O,,Acylation_amide: Alkyl-Alkenyl|Acyl-Cl + R2CH-I,Acylation_amide__Alkyl-Alkenyl|Acyl-Cl + R2CH-I
Acylation_amide,Alkyl-COCl,R2CH-NHR,2,1,,,,Et3N,DCM,,Acylation_amide: Alkyl-COCl + R2CH-NHR,Acylation_amide__Alkyl-COCl + R2CH-NHR
Acylation_amide,Alkyl-COCl,RCH2-NHR|R2CH-NHR,2,1,,,,Et3N,DCM/H2O,NH4Cl,Acylation_amide: Alkyl-COCl + RCH2-NHR|R2CH-NHR,Acylation_amide__Alkyl-COCl + RCH2-NHR|R2CH-NHR
Acylation_amide,Alkyl-COR|R_acidic-H,Ar-NH2,2,1,,,,NaOH,Me2CO/MeOH/H2O,,Acylation_amide: Alkyl-COR|R_acidic-H + Ar-NH2,Acylation_amide__Alkyl-COR|R_acidic-H + Ar-NH2
Acylation_amide,Ar-Br|Ar-COCl,Alkyl-Bpin|R3C-NH2,2,1,,CuCl2,bpy,Cs2CO3,H2O/DCE/PhMe,,Acylation_amide: Ar-Br|Ar-COCl + Alkyl-Bpin|R3C-NH2,Acylation_amide__Ar-Br|Ar-COCl + Alkyl-Bpin|R3C-NH2
Acylation_amide,Ar-COCl,Ar-NHR,2,1,,,,Et3N,DCE/H2O,,Acylation_amide: Ar-COCl + Ar-NHR,Acylation_amide__Ar-COCl + Ar-NHR
Acylation_amide,Ar-COCl,Bn-OH|Ar-NH2,2,2,,,,Et3N,THF/DMSO,,Acylation_amide: Ar-COCl + Bn-OH|Ar-NH2,Acylation_amide__Ar-COCl + Bn-OH|Ar-NH2
Acylation_amide,Ar-COCl,R3C-NH2,2,1,,,,Et3N/DMAP,DCM/H2O,,Acylation_amide: Ar-COCl + R3C-NH2,Acylation_amide__Ar-COCl + R3C-NH2
Acylation_amide,Ar-NHR|R2CH-OR,Acyl-Cl,2,1,,,,,THF,,Acylation_amide: Ar-NHR|R2CH-OR + Acyl-Cl,Acylation_amide__Ar-NHR|R2CH-OR + Acyl-Cl
Acylation_amide,R2CH-CONHR|Alkyl-NHCOR,Alkyl-COCl|RCH2-Cl,2,1,,,,NaOH,EtOAc/H2O/DCM,,Acylation_amide: R2CH-CONHR|Alkyl-NHCOR + Alkyl-COCl|RCH2-Cl,Acylation_amide__R2CH-CONHR|Alkyl-NHCOR + Alkyl-COCl|RCH2-Cl
Acylation_amide,R3C-OR,Ar-F|Ar-COCl,2,2,,,,Et3N,DCM,,Acylation_amide: R3C-OR + Ar-F|Ar-COCl,Acylation_amide__R3C-OR + Ar-F|Ar-COCl
Acylation_amide,RCH2-NH2,Acyl-Cl,2,1,,,,Et3N,DCM,,Acylation_amide: RCH2-NH2 + Acyl-Cl,Acylation_amide__RCH2-NH2 + Acyl-Cl
Acylation_amide,@acyl_halides,@amines_nh,1,1,Acyl chloride or acyl fluoride,,,"Et3N or 2,6-lutidine",DCM,,Acylation_amide: @acyl_halides + @amines_nh,Acylation_amide__@acyl_halides + @amines_nh
Acylation_amide,Acyl-Cl,Ar-NH2,1,1,,,,Et3N/LiHMDS,DCM/THF,,Acylation_amide: Acyl-Cl + Ar-NH2,Acylation_amide__Acyl-Cl + Ar-NH2
Acylation_amide,Acyl-Cl,RCH2-COOR|Alkyl-Hydrazide,1,1,,,,LiOH/DIPEA/Pyridine,PhMe/MeOH/H2O/DMF/EtOH,,Acylation_amide: Acyl-Cl + RCH2-COOR|Alkyl-Hydrazide,Acylation_amide__Acyl-Cl + RCH2-COOR|Alkyl-Hydrazide
Acylation_amide,Acyl-Cl,RCH2-NHR|R3C-NHR,1,1,,,IPr,DIPEA/NaHCO3,DCM/H2O/DCE,,Acylation_amide: Acyl-Cl + RCH2-NHR|R3C-NHR,Acylation_amide__Acyl-Cl + RCH2-NHR|R3C-NHR
Acylation_amide,Alkyl-Alkenyl|Acyl-Cl,Alkyl-Si*,1,1,,nickel chloride hexahydrate,,Et3N/NH4OH,THF/PhMe/MeOH/DCM/H2O,,Acylation_amide: Alkyl-Alkenyl|Acyl-Cl + Alkyl-Si*,Acylation_amide__Alkyl-Alkenyl|Acyl-Cl + Alkyl-Si*
Acylation_amide,Alkyl-COCl,Alkyl-OCONH2,1,1,,,,,,,Acylation_amide: Alkyl-COCl + Alkyl-OCONH2,Acylation_amide__Alkyl-COCl + Alkyl-OCONH2
Acylation_amide,Alkyl-COCl,Ar-Br|R2CH-NH2,1,1,,,,Et3N/Na2CO3,DCM/THF/H2O,,Acylation_amide: Alkyl-COCl + Ar-Br|R2CH-NH2,Acylation_amide__Alkyl-COCl + Ar-Br|R2CH-NH2
Acylation_amide,Alkyl-COCl,Ar-CONH2,1,1,,,,,H2O,,Acylation_amide: Alkyl-COCl + Ar-CONH2,Acylation_amide__Alkyl-COCl + Ar-CONH2
Acylation_amide,Alkyl-COCl,RCH2-NH2,1,1,,,,K2CO3,Me2CO,,Acylation_amide: Alkyl-COCl + RCH2-NH2,Acylation_amide__Alkyl-COCl + RCH2-NH2
Acylation_amide,Alkyl-COCl,RCH2-NH2|R2CH-NH2,1,1,,,,Et3N,DCM,,Acylation_amide: Alkyl-COCl + RCH2-NH2|R2CH-NH2,Acylation_amide__Alkyl-COCl + RCH2-NH2|R2CH-NH2
Acylation_amide,Alkyl-COCl|Ar-Alkyl,Any-SH,1,1,,,,,Me2CO,,Acylation_amide: Alkyl-COCl|Ar-Alkyl + Any-SH,Acylation_amide__Alkyl-COCl|Ar-Alkyl + Any-SH
Acylation_amide,Alkyl-COCl|Ar-Alkyl,Ar-Hydrazine,1,1,,,,Et3N,DCM,,Acylation_amide: Alkyl-COCl|Ar-Alkyl + Ar-Hydrazine,Acylation_amide__Alkyl-COCl|Ar-Alkyl + Ar-Hydrazine
Acylation_amide,Alkyl-COCl|Ar-Alkyl,R2CH-NH2,1,1,,,,NaHCO3,Me2CO/H2O,,Acylation_amide: Alkyl-COCl|Ar-Alkyl + R2CH-NH2,Acylation_amide__Alkyl-COCl|Ar-Alkyl + R2CH-NH2
Acylation_amide,Alkyl-COCl|Ar-Alkyl,RCH2-COOR|Alkyl-Hydrazide,1,1,,,,LiOH/DIPEA/Pyridine,MeOH/H2O/DMF/EtOH,,Acylation_amide: Alkyl-COCl|Ar-Alkyl + RCH2-COOR|Alkyl-Hydrazide,Acylation_amide__Alkyl-COCl|Ar-Alkyl + RCH2-COOR|Alkyl-Hydrazide
Acylation_amide,Alkyl-COCl|RCH2-Cl,Ar-COOR|Ar-NH2,1,1,,,,K2CO3/LiOH,MeOH,,Acylation_amide: Alkyl-COCl|RCH2-Cl + Ar-COOR|Ar-NH2,Acylation_amide__Alkyl-COCl|RCH2-Cl + Ar-COOR|Ar-NH2
Acylation_amide,Alkyl-COCl|RCH2-Cl,RCH2-NHR|R2CH-NHR,1,1,,,,DIPEA,DCM/H2O,NH4Cl,Acylation_amide: Alkyl-COCl|RCH2-Cl + RCH2-NHR|R2CH-NHR,Acylation_amide__Alkyl-COCl|RCH2-Cl + RCH2-NHR|R2CH-NHR
Acylation_amide,Alkyl-COCl|R_acidic-H|RCH2-Cl,RCH2-NHR,1,1,,,,NaOH,Et2O/H2O/PhMe,,Acylation_amide: Alkyl-COCl|R_acidic-H|RCH2-Cl + RCH2-NHR,Acylation_amide__Alkyl-COCl|R_acidic-H|RCH2-Cl + RCH2-NHR
Acylation_amide,Alkyl-OCONH2,Alkyl-COCl,1,1,,,,,,,Acylation_amide: Alkyl-OCONH2 + Alkyl-COCl,Acylation_amide__Alkyl-OCONH2 + Alkyl-COCl
Acylation_amide,Allyl-NH2,Acyl-Cl,1,1,,,,Et3N,DCM,,Acylation_amide: Allyl-NH2 + Acyl-Cl,Acylation_amide__Allyl-NH2 + Acyl-Cl
Acylation_amide,Ar-Br|Ar-COCl,Ar-Br|Alkyl-Bpin|R2CH-NH2,1,1,,CuCl2,bpy,Cs2CO3,H2O/DCE/PhMe,,Acylation_amide: Ar-Br|Ar-COCl + Ar-Br|Alkyl-Bpin|R2CH-NH2,Acylation_amide__Ar-Br|Ar-COCl + Ar-Br|Alkyl-Bpin|R2CH-NH2
Acylation_amide,Ar-Br|Ar-NH2,HeteroAr-B(OH)2,1,1,,dppf-PdCl2,,Na2CO3/NaHCO3,Dioxane/H2O/PhMe,,Acylation_amide: Ar-Br|Ar-NH2 + HeteroAr-B(OH)2,Acylation_amide__Ar-Br|Ar-NH2 + HeteroAr-B(OH)2
Acylation_amide,Ar-Br|R2CH-NH2,Ar-COCl,1,1,,Pd2(dba)3,,DIPEA/Et3N/NaOtBu,DMF/DCM/PhMe,AcOH,Acylation_amide: Ar-Br|R2CH-NH2 + Ar-COCl,Acylation_amide__Ar-Br|R2CH-NH2 + Ar-COCl
Acylation_amide,Ar-CHO,R2CH-COOR|R2CH-NH2,1,1,,,,DMAP/NaOAc/K2CO3/Cs2CO3/Na2CO3,MeCN/DCM/DMF/MeOH,TBAI/AcOH/TFA/NaTFA,Acylation_amide: Ar-CHO + R2CH-COOR|R2CH-NH2,Acylation_amide__Ar-CHO + R2CH-COOR|R2CH-NH2
Acylation_amide,Ar-COCl,Bn-OH,1,1,,Cu2O,,,p-Xylene/DCE,,Acylation_amide: Ar-COCl + Bn-OH,Acylation_amide__Ar-COCl + Bn-OH
Acylation_amide,Ar-COCl,RCH2-NH2|R2CH-OH,1,1,,,PPh3,Et3N,DCM/H2O,,Acylation_amide: Ar-COCl + RCH2-NH2|R2CH-OH,Acylation_amide__Ar-COCl + RCH2-NH2|R2CH-OH
Acylation_amide,Ar-I|Ar-COCl,R2CH-CONH2|R2CH-NH2,1,1,,AgNTf2,,NaHCO3,DCM,,Acylation_amide: Ar-I|Ar-COCl + R2CH-CONH2|R2CH-NH2,Acylation_amide__Ar-I|Ar-COCl + R2CH-CONH2|R2CH-NH2
Acylation_amide,Ar-I|Ar-COCl,R2CH-CONH2|RCH2-NHR|R2CH-NHR,1,1,,AgNTf2,,NaHCO3,DCM,,Acylation_amide: Ar-I|Ar-COCl + R2CH-CONH2|RCH2-NHR|R2CH-NHR,Acylation_amide__Ar-I|Ar-COCl + R2CH-CONH2|RCH2-NHR|R2CH-NHR
Acylation_amide,Ar-NHCOR,Acyl-Cl,1,1,,,,,THF,,Acylation_amide: Ar-NHCOR + Acyl-Cl,Acylation_amide__Ar-NHCOR + Acyl-Cl
Acylation_amide,Ar-NHR,Alkyl-COCl,1,1,,,,,Me2CO/H2O,,Acylation_amide: Ar-NHR + Alkyl-COCl,Acylation_amide__Ar-NHR + Alkyl-COCl
Acylation_amide,Ar-NHR|R3C-OR,Acyl-Cl,1,1,,,,,THF,,Acylation_amide: Ar-NHR|R3C-OR + Acyl-Cl,Acylation_amide__Ar-NHR|R3C-OR + Acyl-Cl
Acylation_amide,Bn-NH2,Ar-COCl,1,1,,,,DIPEA,Dioxane,,Acylation_amide: Bn-NH2 + Ar-COCl,Acylation_amide__Bn-NH2 + Ar-COCl
