reaction_smiles,reaction_label,spectator_groups
Ic1ccccc1.NCCCCCCCCCCC(=O)O>>O=C(O)CCCCCCCCCCNc1ccccc1,Ar–I + R–NH2 → Ar–NH–R,carboxylic_acid
CC(C)(C)OC(=O)N1CCNCC1.CC#CCn1c(Br)nc2c1c(=O)n(Cc1ccc(F)c(F)c1)c(=O)n2C>>CC#CCn1c(N2CCN(C(=O)OC(C)(C)C)CC2)nc2c1c(=O)n(Cc1ccc(F)c(F)c1)c(=O)n2C,HeteroAr–Br + R1R2–NH → HeteroAr–NR1R2,carbamate; heteroaryl_nitrogen; heteroaryl_nitrogen; alkyne; heteroaryl_nitrogen; heteroaryl_nitrogen; aryl_halide; aryl_halide
c1nnc[nH]1.Fc1c(Cl)c(Cl)cc2c1cnn2C1CCCCO1>>Clc1cc2c(cnn2C2CCCCO2)c(-n2cncn2)c1Cl,(Ar–Cl + AromN–H) OR (Ar–F + AromN–H) →,
COc1ccc(Cl)cc1.CC(=O)CC(C)=O>>COc1ccc(-n2nc(C)cc2C)cc1,,
C1COCCN1.NC(=O)c1cc(F)ccc1[N+](=O)[O-]>>NC(=O)c1cc(N2CCOCC2)ccc1[N+](=O)[O-],Ar–F + R1R2–NH → Ar–NR1R2,ether; amide; nitro; tertiary_amine
CNC.Cl.Brc1ccc2[nH]c3ccc(Br)cc3c2c1>>CN(C)c1ccc2[nH]c3ccc(N(C)C)cc3c2c1,(Ar–Br + R1R2–NH) OR (intramolecular Ar–Br / AromN–H) →,
NCC(F)F.COC(=O)c1ccc(Cl)cc1>>COC(=O)c1ccc(NCC(F)F)cc1,Ar–Cl + R–NH2 → Ar–NH–R,ester
NCC(F)F.Cc1cccnc1Cl>>Cc1cccnc1NCC(F)F,HeteroAr–Cl + R–NH2 → HeteroAr–NH–R,heteroaryl_nitrogen
Cc1cc(F)cc(C)c1N.CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1cc(F)cc(C)c1Nc1cccc(C)c1-c1c(C)cccc1I,,
CNCc1ccccn1.C=Cc1cc(Cl)ccc1F>>CN1c2ccc(Cl)cc2CCC1c1ccccn1,(Ar–Cl + R1R2–NH) OR (Ar–F + R1R2–NH) OR (intramolecular Ar–Cl / H2C=CHR1) OR (intramolecular Ar–F / H2C=CHR1) →,
