canonical_reaction_smiles,reaction_display_label_detailed,original_reaction_type,detected_reaction_family,detection_status
O=[N+]([O-])c1ccccc1Cl.Sc1ccccc1.[Na]>>O=[N+]([O-])c1ccccc1Sc1ccccc1,Ar¹–Cl + Ar²–SH → Ar¹–S–Ar²; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CCOC(=S)S.Fc1ccc(CBr)cc1F.Nc1ccc(F)c(F)c1F.[K]>>Fc1ccc(CSc2nc3ccc(F)c(F)c3s2)cc1F,(Ar¹–F + Ar²–H) OR (Ar¹–F + Ar²–NH₂) OR (Ar–F + Alkenyl–SH) OR (Benzyl–Br + Alkenyl–SH) OR (Benzyl–Br + Ar–NH₂) OR (intramolecular Ar–F / Ar–H) OR (intramolecular Ar–F / Ar–NH₂) →,C_S_Coupling,,ambiguous_reactants
FC(F)(F)c1ccc(S)cc1.O=C(O)c1ccc(I)cc1>>O=C(O)c1ccc(Sc2ccc(C(F)(F)F)cc2)cc1,Ar¹–I + Ar²–SH → Ar¹–S–Ar²; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CCOC(=O)CS.N#Cc1cc(C(F)(F)F)ccc1F>>CCOC(=O)c1sc2ccc(C(F)(F)F)cc2c1N,(Ar–F + R–SH) OR (Ar–F + activated C–H) OR (intramolecular Ar–F / Ar–H) →,C_S_Coupling,,ambiguous_reactants
NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F.Sc1ccccc1>>NS(=O)(=O)c1c(F)c(F)c(Sc2ccccc2)c(F)c1F,Ar¹–F + Ar²–SH → Ar¹–S–Ar²; edits: C–F bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CC(=O)c1ccc(I)cc1.CCCCCCCCS>>CCCCCCCCSc1ccc(C(C)=O)cc1,Ar–I + R–SH → Ar–S–R; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Cc1ccc(I)cc1.Sc1ccccc1.[Na]>>Cc1ccc(Sc2ccccc2)cc1,Ar¹–I + Ar²–SH → Ar¹–S–Ar²; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CCC(C)S.O=[N+]([O-])c1ccc(Cl)cc1>>CCC(C)Sc1ccc([N+](=O)[O-])cc1,Ar–Cl + R–SH → Ar–S–R; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
FC(F)(F)c1ccccc1Cl.Sc1ccccc1>>FC(F)(F)c1ccccc1Sc1ccccc1,Ar¹–Cl + Ar²–SH → Ar¹–S–Ar²; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Clc1cc(Cl)c(Cl)nn1.Nc1ccccc1S>>Nc1ccccc1Sc1cc(Cl)nnc1Cl,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Ic1ccc(I)cc1.Sc1ccccc1>>c1ccc(Sc2ccc(Sc3ccccc3)cc2)cc1,(Ar¹–I + Ar²–H) OR (Ar¹–I + Ar²–SH) OR (intramolecular Ar–I / Ar–H) →,C_S_Coupling,,ambiguous_reactants
COC(=O)CS.COc1ccc(Br)cc1CNS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1>>COC(=O)CSc1ccc(S(=O)(=O)NCc2cc(Br)ccc2OC)cc1[N+](=O)[O-],Ar–Cl + R–SH → Ar–S–R; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Clc1nc(Cl)nc(Cl)n1.Sc1ccccc1>>c1ccc(Sc2nc(Sc3ccccc3)nc(Sc3ccccc3)n2)cc1,(HeteroAr–Cl + Ar–H) OR (HeteroAr–Cl + Ar–SH) →,C_S_Coupling,,ambiguous_reactants
Clc1nc(Cl)nc(Cl)n1.Sc1ccc(Cl)cc1>>Clc1ccc(Sc2nc(Sc3ccc(Cl)cc3)nc(Sc3ccc(Cl)cc3)n2)cc1,(HeteroAr–Cl + Ar–H) OR (HeteroAr–Cl + Ar–SH) OR (intramolecular Ar–Cl / Ar–H) OR (intramolecular Ar–Cl / Ar–SH) →,C_S_Coupling,,ambiguous_reactants
COc1ccc(S)cc1.O=[N+]([O-])c1ccccc1Cl>>COc1ccc(Sc2ccccc2[N+](=O)[O-])cc1,Ar¹–Cl + Ar²–SH → Ar¹–S–Ar²; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COC(=O)[C@@H](N)CS.Cl.Ic1cccc2ccccc12>>COC(=O)[C@@H](N)CSc1cccc2ccccc12,Ar–I + R–SH → Ar–S–R; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CC(C)(C)c1ccc(S)cc1.N#Cc1cc(Cl)c(Cl)cc1C#N>>CC(C)(C)c1ccc(Sc2cc(C#N)c(C#N)cc2Sc2ccc(C(C)(C)C)cc2)cc1,(Ar¹–Cl + Ar²–H) OR (Ar¹–Cl + Ar²–SH) OR (intramolecular Ar–Cl / Ar–H) →,C_S_Coupling,,ambiguous_reactants
COc1cc(C(F)(F)F)ccc1-c1ncnc2cc(Br)ccc12.SCc1ccccc1>>COc1cc(C(F)(F)F)ccc1-c1ncnc2cc(SCc3ccccc3)ccc12,Ar–Br + R–SH → Ar–S–R; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COC(=O)c1ccccc1Br.Sc1ccccc1>>COC(=O)c1ccccc1Sc1ccccc1,Ar¹–Br + Ar²–SH → Ar¹–S–Ar²; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Brc1cccnc1.Sc1ccccc1>>c1ccc(Sc2cccnc2)cc1,HeteroAr–Br + Ar–SH → HeteroAr–S–Ar; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COc1ccc(S)cc1.Clc1ncnc2sc3c(c12)CCCC3>>COc1ccc(Sc2ncnc3sc4c(c23)CCCC4)cc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Brc1ccc2ccccc2c1.CCS>>CCSc1ccc2ccccc2c1,Ar–Br + R–SH → Ar–S–R; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
O=[N+]([O-])c1ccc(Cl)cc1.Sc1ccc2ccccc2c1>>O=[N+]([O-])c1ccc(Sc2ccc3ccccc3c2)cc1,Ar¹–Cl + Ar²–SH → Ar¹–S–Ar²; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COc1ccc(S)cc1.O=[N+]([O-])c1ccccc1F>>COc1ccc(Sc2ccccc2[N+](=O)[O-])cc1,Ar¹–F + Ar²–SH → Ar¹–S–Ar²; edits: C–F bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
N#Cc1cc(Br)c([N+](=O)[O-])cc1C#N.Sc1ccccc1>>N#Cc1cc(Sc2ccccc2)c(Sc2ccccc2)cc1C#N,(Ar¹–Br + Ar²–H) OR (Ar¹–Br + Ar²–SH) OR (intramolecular Ar–Br / Ar–H) →,C_S_Coupling,,ambiguous_reactants
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.O=[N+]([O-])c1ccc(S)cc1.[Na]>>O=[N+]([O-])c1ccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,Ar¹–Cl + Ar²–SH → Ar¹–S–Ar²; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
COc1ccc(Br)c(C(=O)Nc2ccccc2)c1.Sc1ccccc1Br>>COc1ccc2c(c1)C(=O)N(c1ccccc1)c1ccccc1S2,Event 1: C–N substitution; edits: C–Br bond cleavage; C–N bond formation; N–H loss | Event 2: C–S substitution; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,,multi_event
O=C(Nc1ccccc1)c1ccc(F)cc1Br.Sc1ccccc1Br>>O=C1c2ccc(F)cc2Sc2ccccc2N1c1ccccc1,Event 1: C–N substitution; edits: C–Br bond cleavage; C–N bond formation; N–H loss | Event 2: C–S substitution; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,,multi_event
O=[N+]([O-])c1ccc(Cl)nc1.Sc1ccc(Sc2ccc(S)cc2)cc1>>O=[N+]([O-])c1ccc(Sc2ccc(Sc3ccc(Sc4ccc([N+](=O)[O-])cn4)cc3)cc2)nc1,(HeteroAr–Cl + Ar–H) OR (HeteroAr–Cl + Ar–SH) OR (intramolecular HeteroAr–Cl / HeteroAr–H) →,C_S_Coupling,,ambiguous_reactants
Nc1ccc(S)cc1.O=[N+]([O-])c1ccc(Cl)c2nonc12>>Nc1ccc(Sc2ccc([N+](=O)[O-])c3nonc23)cc1,Ar¹–Cl + Ar²–SH → Ar¹–S–Ar²; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Fc1cncc(Br)c1.SCc1ccccc1>>Fc1cncc(SCc2ccccc2)c1,HeteroAr–Br + R–SH → HeteroAr–S–R; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
