sample_row,reaction_smiles,cleaned_reaction_smiles,cleanup_applied,coordination_removed,counterion_removed,routing_route,routing_excluded,scope_excluded,scope_reason,decision,formed_motifs
633,CC(C)(C)c1cccc(O)c1.Cc1cc([N+](=O)[O-])cc(Br)c1Cl>>Cc1cc([N+](=O)[O-])cc(Br)c1Oc1cccc(C(C)(C)C)c1,CC(C)(C)c1cccc(O)c1.Cc1cc([N+](=O)[O-])cc(Br)c1Cl>>Cc1cc([N+](=O)[O-])cc(Br)c1Oc1cccc(C(C)(C)C)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
634,COc1ccc(O)cc1.CC(O)c1ccc(F)cc1>>COc1ccc(Oc2ccc(C(C)=O)cc2)cc1,COc1ccc(O)cc1.CC(O)c1ccc(F)cc1>>COc1ccc(Oc2ccc(C(C)=O)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-COR|Ar-OR|R_acidic-H
635,Clc1nc(Cl)c2sccc2n1.Cc1cc(-c2ccc(F)cc2)cc(C)c1O>>Cc1cc(-c2ccc(F)cc2)cc(C)c1Oc1nc(Cl)nc2ccsc12,Clc1nc(Cl)c2sccc2n1.Cc1cc(-c2ccc(F)cc2)cc(C)c1O>>Cc1cc(-c2ccc(F)cc2)cc(C)c1Oc1nc(Cl)nc2ccsc12,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
636,CCCO.O=C(O)c1cc(Cl)nc(Cl)c1>>CCCOc1cc(C(=O)O)cc(Cl)n1,CCCO.O=C(O)c1cc(Cl)nc(Cl)c1>>CCCOc1cc(C(=O)O)cc(Cl)n1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
637,Oc1ccc(-c2ccccc2)cc1.Brc1cnnnc1>>c1ccc(-c2ccc(Oc3cnnnc3)cc2)cc1,Oc1ccc(-c2ccccc2)cc1.Brc1cnnnc1>>c1ccc(-c2ccc(Oc3cnnnc3)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
638,Cc1ccc(O)c(N)c1.[C-]#[O+].Fc1ccc(Cl)cc1Br>>Cc1ccc2c(c1)NC(=O)c1cc(Cl)ccc1O2,Cc1ccc(O)c(N)c1.[C-]#[O+].Fc1ccc(Cl)cc1Br>>Cc1ccc2c(c1)NC(=O)c1cc(Cl)ccc1O2,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-NHCOR|Ar-OR
639,COc1ccccc1O.CC(=O)c1ccc(Cl)cc1>>COc1ccccc1Oc1ccc(C(C)=O)cc1,COc1ccccc1O.CC(=O)c1ccc(Cl)cc1>>COc1ccccc1Oc1ccc(C(C)=O)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
640,COc1ccc(O)cc1.Fc1ccccc1Br>>COc1ccc(Oc2ccccc2Br)cc1,COc1ccc(O)cc1.Fc1ccccc1Br>>COc1ccc(Oc2ccccc2Br)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
641,CC(C)c1ccc(O)cc1.C#CCN1CCC(C(=O)OCC)(S(=O)(=O)c2ccc(F)cc2)CC1>>C#CCN1CCC(C(=O)OCC)(S(=O)(=O)c2ccc(Oc3ccc(C(C)C)cc3)cc2)CC1,CC(C)c1ccc(O)cc1.C#CCN1CCC(C(=O)OCC)(S(=O)(=O)c2ccc(F)cc2)CC1>>C#CCN1CCC(C(=O)OCC)(S(=O)(=O)c2ccc(Oc3ccc(C(C)C)cc3)cc2)CC1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
642,COc1ccc(O)cc1.O=[N+]([O-])c1ccc(Br)cc1>>COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,COc1ccc(O)cc1.O=[N+]([O-])c1ccc(Br)cc1>>COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
