reaction_smiles,reaction_label,spectator_groups
COc1ccc(C(=O)c2ccc(F)cc2)cc1.O=C(c1ccc(O)cc1)c1ccc(O)cc1>>COc1ccc(C(=O)c2ccc(Oc3ccc(C(=O)c4ccc(Oc5ccc(C(=O)c6ccc(OC)cc6)cc5)cc4)cc3)cc2)cc1,Ar–F + Ar–OH →,
O=C(O)c1ccccc1I.COc1ccccc1O>>COc1ccccc1Oc1ccccc1C(=O)O,Ar–I + Ar–OH → Ar–O–Ar,carboxylic_acid; ether
O=C(O)c1ccccc1I.COc1cccc(O)c1>>COc1cccc(Oc2ccccc2C(=O)O)c1,Ar–I + Ar–OH → Ar–O–Ar,carboxylic_acid; ether
O=[N+]([O-])c1ccccc1F.Oc1ccc(F)cc1Cl>>O=[N+]([O-])c1ccccc1Oc1ccc(F)cc1Cl,Ar–F + Ar–OH → Ar–O–Ar,nitro; tertiary_amine; aryl_halide; aryl_halide
O=Cc1cc2c(cc1Br)OCO2.COc1cccc(C2OCCCO2)c1O>>COc1cccc(C2OCCCO2)c1Oc1cc2c(cc1C=O)OCO2,Ar–Br + Ar–OH → Ar–O–Ar,aldehyde; ether; ether; ether; ether; ether
CC(C)(C)c1ccc(O)cc1.COc1cccc(Br)c1>>COc1cccc(Oc2ccc(C(C)(C)C)cc2)c1,Ar–Br + Ar–OH → Ar–O–Ar,ether
Cc1ccc(N=Nc2ccc(O)cc2)c(C)c1.N#Cc1ccc(Br)cc1C#N>>Cc1ccc(N=Nc2ccc(Oc3ccc(C#N)c(C#N)c3)cc2)c(C)c1,Ar–Br + Ar–OH → Ar–O–Ar,azo; nitrile; nitrile
O=[N+]([O-])c1ccc(F)c(Br)c1.COc1ccc(O)c(Br)c1>>COc1ccc(Oc2ccc([N+](=O)[O-])cc2Br)c(Br)c1,Ar–F + Ar–OH → Ar–O–Ar,aryl_halide; nitro; tertiary_amine; aryl_halide; ether
COc1ccc(I)cc1.Oc1ccc(SCc2ccccc2)cc1>>COc1ccc(Oc2ccc(SCc3ccccc3)cc2)cc1,Ar–I + Ar–OH → Ar–O–Ar,ether
Oc1ccc(-c2ccccc2)cc1.Cc1cccc(I)c1>>Cc1cccc(Oc2ccc(-c3ccccc3)cc2)c1,Ar–I + Ar–OH → Ar–O–Ar,
Oc1c(F)cc(F)cc1F.N#Cc1cc([N+](=O)[O-])ccc1Cl>>N#Cc1cc([N+](=O)[O-])ccc1Oc1c(F)cc(F)cc1F,Ar–Cl + Ar–OH → Ar–O–Ar,aryl_halide; aryl_halide; aryl_halide; nitrile; nitro; tertiary_amine
COc1ccc(O)c(C(C)(C)C)c1.N#Cc1cc([N+](=O)[O-])ccc1Cl>>COc1ccc(Oc2ccc([N+](=O)[O-])cc2C#N)c(C(C)(C)C)c1,Ar–Cl + Ar–OH → Ar–O–Ar,ether; nitrile; nitro; tertiary_amine
CN(C)c1cccc(O)c1.O=[N+]([O-])c1ccc(Br)cc1>>CN(C)c1cccc(Oc2ccc([N+](=O)[O-])cc2)c1,Ar–Br + Ar–OH → Ar–O–Ar,tertiary_amine; nitro; tertiary_amine
O=[N+]([O-])c1cc([N+](=O)[O-])c(F)cc1F.Cc1cc(O)cc(O)c1>>Cc1cc2cc(c1)Oc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])Oc1cc(C)cc(c1)Oc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])O2,Ar–F + Ar–OH →,
Cc1ccc(F)c(O)c1.COc1cccc(F)c1C=O>>COc1cccc(Oc2cc(C)ccc2F)c1C=O,Ar–F + Ar–OH → Ar–O–Ar,aryl_halide; aldehyde; ether
Oc1ccccc1I.O=[N+]([O-])c1ccccc1F>>O=[N+]([O-])c1ccccc1Oc1ccccc1I,Ar–F + Ar–OH → Ar–O–Ar,aryl_halide; nitro; tertiary_amine
Oc1ccccc1Br.N#Cc1c(F)cccc1-c1ccccc1F>>N#Cc1c(Oc2ccccc2Br)cccc1-c1ccccc1F,Ar–F + Ar–OH → Ar–O–Ar,aryl_halide; nitrile; aryl_halide
N#Cc1ccc(F)cc1.CCCCCCCCCCCCCCCc1cc(O)ccc1Oc1ccc(O)cc1>>CCCCCCCCCCCCCCCc1cc(Oc2ccc(C#N)cc2)ccc1Oc1ccc(Oc2ccc(C#N)cc2)cc1,Ar–F + Ar–OH →,
Cc1ccc(O)cc1.COC(=O)c1cc(Br)ccc1I>>COC(=O)c1cc(Br)ccc1Oc1ccc(C)cc1,Ar–I + Ar–OH → Ar–O–Ar,ester; aryl_halide
Cc1cc(O)ccc1Cl.O=[N+]([O-])c1ccc(I)cc1>>Cc1cc(Oc2ccc([N+](=O)[O-])cc2)ccc1Cl,Ar–I + Ar–OH → Ar–O–Ar,aryl_halide; nitro; tertiary_amine
Oc1ccc(O)cc1.O=Cc1ccc(Br)cc1>>O=Cc1ccc(-c2ccc(C=O)cc2)cc1.O=Cc1ccc(Oc2ccc(O)cc2)cc1.O=Cc1ccc(Oc2ccc(Oc3ccc(C=O)cc3)cc2)cc1,Ar–Br + Ar–OH → Ar–O–Ar,phenol; aldehyde
Oc1cc(F)cc(Cl)c1.CN(C(=O)OC(C)(C)C)c1cc(Cl)ccc1[N+](=O)[O-]>>CN(C(=O)OC(C)(C)C)c1cc(Oc2cc(F)cc(Cl)c2)ccc1[N+](=O)[O-],Ar–Cl + Ar–OH → Ar–O–Ar,aryl_halide; aryl_halide; carbamate; nitro; tertiary_amine
O=C(c1ccccc1)c1c(F)c(F)c(F)c(F)c1F.CCOC(=O)c1cc(O)cc(C(=O)OCC)c1>>CCOC(=O)c1cc(Oc2c(F)c(F)c(C(=O)c3ccccc3)c(F)c2F)cc(C(=O)OCC)c1,Ar–F + Ar–OH → Ar–O–Ar,aryl_halide; aryl_halide; aryl_halide; aryl_halide; ketone; ester; ester
Oc1ccccc1I.COC1=CC=C([I+]C2=C(NC(C)=O)C=CC=C2)C=C1.[F-][B+3]([F-])([F-])[F-]>>CC(=O)Nc1ccccc1Oc1ccccc1I,,
Oc1cccc(O)c1.O=[N+]([O-])c1ccc(Cl)c(Cl)c1>>O=[N+]([O-])c1ccc(Oc2cccc(Oc3ccc([N+](=O)[O-])cc3Cl)c2)c(Cl)c1,Ar–Cl + Ar–OH →,
COc1ccc(O)cc1.COc1ccc([N+](=O)[O-])c(F)c1>>COc1ccc(Oc2cc(OC)ccc2[N+](=O)[O-])cc1,Ar–F + Ar–OH → Ar–O–Ar,ether; nitro; tertiary_amine; ether
O=[N+]([O-])c1cccc(O)c1.O=[N+]([O-])c1ccccc1F>>O=[N+]([O-])c1cccc(Oc2ccccc2[N+](=O)[O-])c1,Ar–F + Ar–OH → Ar–O–Ar,nitro; tertiary_amine; nitro; tertiary_amine
Oc1c(F)cccc1Cl.N#Cc1cc([N+](=O)[O-])ccc1Cl>>N#Cc1cc([N+](=O)[O-])ccc1Oc1c(F)cccc1Cl,Ar–Cl + Ar–OH → Ar–O–Ar,aryl_halide; aryl_halide; nitrile; nitro; tertiary_amine
Oc1c(Br)cccc1Br.N#Cc1cc([N+](=O)[O-])ccc1Cl>>N#Cc1cc([N+](=O)[O-])ccc1Oc1c(Br)cccc1Br,Ar–Cl + Ar–OH → Ar–O–Ar,aryl_halide; aryl_halide; nitrile; nitro; tertiary_amine
Fc1cccc(I)c1.COc1ccc2c(c1O)CN1CCc3cc4c(cc3C1C2)OCO4>>COc1ccc2c(c1Oc1cccc(F)c1)CN1CCc3cc4c(cc3C1C2)OCO4,Ar–I + Ar–OH → Ar–O–Ar,aryl_halide; ether; tertiary_amine; ether; ether
Oc1ccccc1.COC(=O)c1ccc([I+]c2c(OC)cc(OC)cc2OC)cc1.O=S(=O)([O-])C(F)(F)F>>COC(=O)c1ccc(Oc2ccccc2)cc1,,
CCOC(=O)CCc1ccc(O)c(OC)c1.CCOC(=O)CCc1ccc(OCc2ccccc2)c(Br)c1>>CCOC(=O)CCc1ccc(Oc2cc(CCC(=O)OCC)ccc2OCc2ccccc2)c(OC)c1,Ar–Br + Ar–OH → Ar–O–Ar,ether; ester; ether; ester
COc1ccc(Br)c(F)c1.Cc1cccc(O)c1N.O=[C-2]1->[Co+2]2(C#O)(C#O)(C#O)[C-2](=O)->[Co+2]12(C#O)(C#O)C#O>>COc1ccc2c(c1)Oc1cccc(C)c1NC2=O,,
Oc1ccccc1.COc1cccc(Br)c1>>COc1cccc(Oc2ccccc2)c1,Ar–Br + Ar–OH → Ar–O–Ar,ether
OCCOC1CCCCO1.Cc1ccc(N)cc1-c1cc(F)nc(N2CCOCC2)c1>>Cc1ccc(N)cc1-c1cc(OCCOC2CCCCO2)nc(N2CCOCC2)c1,HeteroAr–F + R–OH → HeteroAr–O–R,ether; ether; heteroaryl_nitrogen; tertiary_amine; ether; primary_amine
CO.[Na].Fc1cc(Cl)cc(Br)c1>>COc1cc(Cl)cc(Br)c1,Ar–F + R–OH → Ar–O–R,aryl_halide; aryl_halide
CO.[Na].Fc1ccc(Cl)cc1F>>COc1ccc(Br)cc1OC,(Ar–Cl + R–OH) OR (Ar–F + R–OH) →,
O=[N+]([O-])c1ccc(O)cc1.Clc1nc(-c2cccnc2)nc2ccc(Br)cc12>>O=[N+]([O-])c1ccc(Oc2nc(-c3cccnc3)nc3ccc(Br)cc23)cc1,HeteroAr–Cl + Ar–OH → HeteroAr–O–Ar,nitro; tertiary_amine; heteroaryl_nitrogen; aryl_halide; heteroaryl_nitrogen; heteroaryl_nitrogen
COc1ccc(CO)cc1.Fc1ccc(Br)cc1>>COc1ccc(COc2ccc(F)cc2)cc1,Ar–Br + R–OH → Ar–O–R,ether; aryl_halide
Oc1cccc2ccccc12.Brc1nncnn1>>c1ccc2c(Oc3nncnn3)cccc2c1,HeteroAr–Br + Ar–OH → HeteroAr–O–Ar,heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen
CO.CC(C)(C)[Si](C)(C)OCC/C=C1\CCOc2c(Cl)cccc21>>COc1cccc2c1OCC/C2=C\CCO[Si](C)(C)C(C)(C)C,Ar–Cl + R–OH → Ar–O–R,ether; alkene; ether
Oc1cccc2ccccc12.Brc1ccccc1>>c1ccc(Oc2cccc3ccccc23)cc1,Ar–Br + Ar–OH → Ar–O–Ar,
Clc1ccccc1.Oc1ccc2ccccc2c1>>c1ccc(Oc2ccc3ccccc3c2)cc1,Ar–Cl + Ar–OH → Ar–O–Ar,
Oc1ccc(-c2ccc(O)cc2)cc1.Fc1nc(F)c(F)c(F)c1F>>Oc1ccc(-c2ccc(Oc3c(F)c(F)nc(F)c3F)cc2)cc1,HeteroAr–F + Ar–OH → HeteroAr–O–Ar,phenol; aryl_halide; aryl_halide; aryl_halide; aryl_halide; heteroaryl_nitrogen
CN(C)CCCO.O=Cc1c(-c2nc(Cl)c3ccccc3n2)[nH]c2ccccc12>>CN(C)CCCOc1nc(-c2[nH]c3ccccc3c2C=O)nc2ccccc12,HeteroAr–Cl + R–OH → HeteroAr–O–R,tertiary_amine; heteroaryl_nitrogen; heteroaryl_nitrogen; aldehyde
