cluster_id,cluster_count,motif_signature,event_signature,recommended_action,candidate_rank,candidate_reaction_id,candidate_name,candidate_category,score,reactant_overlap,product_overlap,matched_reacted_motifs,matched_formed_motifs
Alkyl-H -> Ar-Bpin || events:intermolecular_or_multi_component,2,Alkyl-H -> Ar-Bpin,intermolecular_or_multi_component,consider_new_reaction_family_or_multistep_record_bucket,4,C_N_Coupling,C_N_Coupling,,0.0,0.0,0.0,,
Alkyl-H -> Ar-Bpin || events:intermolecular_or_multi_component,2,Alkyl-H -> Ar-Bpin,intermolecular_or_multi_component,consider_new_reaction_family_or_multistep_record_bucket,5,C_O_Coupling,C_O_Coupling,,0.0,0.0,0.0,,
Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2 || events:c_n_bond_formation|intermolecular_or_multi_component,2,Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2,c_n_bond_formation|intermolecular_or_multi_component,review_slot_constraints_and_missing_product_patterns,1,Alkyl_Nucleophilic_Substitution,Alkyl_Nucleophilic_Substitution,,0.675,0.5,1.0,RCH2-NHR,Bn-NR2|RCH2-NR2
Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2 || events:c_n_bond_formation|intermolecular_or_multi_component,2,Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2,c_n_bond_formation|intermolecular_or_multi_component,review_slot_constraints_and_missing_product_patterns,2,Reductive_amination,Reductive_amination,,0.65,1.0,0.0,Ar-CHO|RCH2-NHR,
Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2 || events:c_n_bond_formation|intermolecular_or_multi_component,2,Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2,c_n_bond_formation|intermolecular_or_multi_component,review_slot_constraints_and_missing_product_patterns,3,C_N_Coupling,C_N_Coupling,,0.325,0.5,0.0,RCH2-NHR,
Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2 || events:c_n_bond_formation|intermolecular_or_multi_component,2,Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2,c_n_bond_formation|intermolecular_or_multi_component,review_slot_constraints_and_missing_product_patterns,4,Chan_Lam_C_N_Coupling,Chan_Lam_C_N_Coupling,,0.325,0.5,0.0,RCH2-NHR,
Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2 || events:c_n_bond_formation|intermolecular_or_multi_component,2,Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2,c_n_bond_formation|intermolecular_or_multi_component,review_slot_constraints_and_missing_product_patterns,5,Minisci_acylation,Minisci_acylation,,0.325,0.5,0.0,Ar-CHO,
Alkyl-COCl -> RCH2-CHO || events:leaving_group_displacement,2,Alkyl-COCl -> RCH2-CHO,leaving_group_displacement,review_slot_constraints_and_missing_product_patterns,1,Rosenmund_reduction,Rosenmund_reduction,,1.0,1.0,1.0,Alkyl-COCl,RCH2-CHO
Alkyl-COCl -> RCH2-CHO || events:leaving_group_displacement,2,Alkyl-COCl -> RCH2-CHO,leaving_group_displacement,review_slot_constraints_and_missing_product_patterns,2,Acylation_friedel_crafts,Acylation_friedel_crafts,,0.65,1.0,0.0,Alkyl-COCl,
Alkyl-COCl -> RCH2-CHO || events:leaving_group_displacement,2,Alkyl-COCl -> RCH2-CHO,leaving_group_displacement,review_slot_constraints_and_missing_product_patterns,3,Amide_formation,Amide_formation,,0.65,1.0,0.0,Alkyl-COCl,
Alkyl-COCl -> RCH2-CHO || events:leaving_group_displacement,2,Alkyl-COCl -> RCH2-CHO,leaving_group_displacement,review_slot_constraints_and_missing_product_patterns,4,Acylation_amide,Acylation_amide,,0.65,1.0,0.0,Alkyl-COCl,
Alkyl-COCl -> RCH2-CHO || events:leaving_group_displacement,2,Alkyl-COCl -> RCH2-CHO,leaving_group_displacement,review_slot_constraints_and_missing_product_patterns,5,Acylation_ester,Acylation_ester,,0.65,1.0,0.0,Alkyl-COCl,
RCH2-SH -> RCH2-SR || events:c_s_bond_formation|intermolecular_or_multi_component,2,RCH2-SH -> RCH2-SR,c_s_bond_formation|intermolecular_or_multi_component,review_slot_constraints_and_missing_product_patterns,1,Alkyl_Nucleophilic_Substitution,Alkyl_Nucleophilic_Substitution,,1.0,1.0,1.0,RCH2-SH,RCH2-SR
RCH2-SH -> RCH2-SR || events:c_s_bond_formation|intermolecular_or_multi_component,2,RCH2-SH -> RCH2-SR,c_s_bond_formation|intermolecular_or_multi_component,review_slot_constraints_and_missing_product_patterns,2,C_S_Coupling,C_S_Coupling,,0.65,1.0,0.0,RCH2-SH,
