Reaction_Type,Num_Experiments,Num_Reactant_Pairs,Num_Catalysts,Avg_Yield,Success_Rate,Top_Catalyst,Top_Reactant_Pair
Salt_Formation,378,2,0,29.76957671957672,30.423280423280424,,Alkyl-NH2 + Alkyl-NH2
Reduction_ester_to_alcohol,323,102,18,75.76160990712074,86.9969040247678,Potassium ferricyanide/Potassium osmate(VI) dihydrate,Alkenyl-COR + R2CH-COOR
Multi-Event:Ann+LGDisp+C-N+C-C,316,131,24,76.17721518987342,93.9873417721519,Pd(OAc)2,Ar-I + Ar-Br
Multi-Event:Ann+C-S+C-C,309,77,11,79.08414239482201,94.49838187702265,CuCl,RCH2-CN|R_acidic-H + RCH2-COR|R_acidic-H
Cyanation_coupling,304,32,31,29.090723684210527,31.57894736842105,XantPhos Pd(allyl)Cl,Ar-Br + Ar-Br
Stetter,270,2,3,25.70011111111111,15.555555555555555,thiazolium-NHC*HCl,Alkenyl-H + Alkyl-CHO
Reduction_imine_to_amine,261,42,7,84.90038314176245,98.85057471264368,Pd(OAc)2,Ar-C=N + Alkyl-Si*|Alkyl-F
Oxidation,254,2,0,32.01303149606299,28.74015748031496,,Alkyl-H-acidic + Alkyl-H-acidic
Ircatalyzed_CH_borylation,231,38,15,82.18614718614718,95.67099567099568,[Ir(OMe)(cod)]2,Alkyl-H + HeteroAr-H
Activation,228,1,0,12.37828947368421,7.017543859649122,,R2CH-OH + R2CH-OH
Multi-Event:Ann+C-N+C-O+C-C,225,131,27,68.49333333333334,78.66666666666666,"[(S,S)-Teth-MsDPEN-RuCl]",Ar-CHO + RCH2-OH
Multi-Event:Ann+LGDisp+C-N+C-S,220,57,11,77.8,98.63636363636363,CuI,Thiocarbonyl-SH|RCH2-OR + Inorganic
Multi-Event:LGDisp+C-O+C-C,219,42,22,76.99543378995433,94.97716894977168,Silver trifluoroacetate/Bis(triphenylphosphine)palladium(II) Diacetate,Alkyl-Cl + Ar-B(OH)2
Trifluoromethylation,213,33,20,78.34741784037558,96.71361502347418,"Tris(2,2'-bipyridine)ruthenium dichloride",HeteroAr-H + Alkyl-F
Azide_coupling,211,9,3,86.17061611374407,100.0,Gold,Ar-Br + Alkyl-H
Hydrodehalogenation,204,1,1,15.267843137254902,8.823529411764707,Pd/C,Ar-Cl + Ar-Cl
Multi-Event:Ann+LGDisp+C-O+C-C,188,79,22,68.62765957446808,80.31914893617021,Pd(OAc)2,Ar-Alkynyl_terminal + Ar-Cl|Ar-C=N|Ar-NHR
Dimerization_Reductive,182,1,7,10.797472527472529,0.0,meCgPPh Pd G3,Ar-OSO2R + Ar-OSO2R
Stannylation,182,1,9,9.463406593406592,5.4945054945054945,AmPhos Pd(crotyl)Cl,Ar-Br + Alkyl-Sn
Glycosidation,182,1,0,36.73346153846154,30.21978021978022,,RCH2-OH + Alkyl-Ester
Dehydration,182,1,0,4.8926373626373625,1.098901098901099,,Alkyl-CONHR + Alkyl-CONHR
Multi-Event:Ann+LGDisp+C-S+C-C,173,53,5,84.85549132947978,98.84393063583815,Pd(MeCN)2Cl2,RCH2-COOR|RCH2-SH|R_acidic-H + Ar-CHO|Ar-Br|Ar-F
Multi-Event:LGDisp+C-N+C-C,167,84,15,80.37125748502994,98.20359281437125,Pd(OAc)2,Ar-Alkyl + HeteroAr-Br|HeteroAr-H
Multi-Event:Ann+C-S,167,45,2,67.75449101796407,79.04191616766467,Phosphotungsticacidhydrate,RCH2-SH|RCH2-OH + Ar-CHO
Michael_addition,161,71,5,79.69565217391305,95.65217391304348,"Titanium oxide/[(S,S)-Teth-MsDPEN-RuCl]",RCH2-CN + Alkenyl-COR|Ar-Alkenyl
Minisci_acylation,135,22,4,73.4074074074074,89.62962962962962,"(4,4'-Di-t-butyl-2,2'-bipyridine)bis[3,5-difluoro-2-[5-trifluoromethyl-2-pyridinyl-kN)phenyl-kC]iridium(III) hexafluorophosphate",HeteroAr-H + Acyl-COOH
Minisci_alkylation,130,18,2,75.06923076923077,92.3076923076923,Silver nitrate,R2CH-COOH|R_acidic-H + HeteroAr-H
Event:LGDisp,124,75,11,78.93548387096774,93.54838709677419,"Iron(III)fluoride,anhydrous,min",Alkyl-I + Ar-H
Multi-Event:Ann+LGDisp+C-N+C-O,123,57,11,57.422764227642276,69.10569105691057,CuI,Ar-B(OR)2 + R2CH-Br
Multi-Event:EsterHyd+C-N,121,42,0,80.85950413223141,100.0,,Ar-NH2 + Alkenyl-COOR
C_H_Borylation,115,1,2,6.48904347826087,0.8695652173913043,[Ir(cod)OMe]2,Ar-H + Ar-H
Mitsunobu,114,1,0,5.227894736842106,3.508771929824561,,Ar-OH + Ar-OH
Wittig,113,2,0,11.849203539823009,0.8849557522123894,,RCH2-PR3+ + R-COR
Reduction_nitro,111,17,17,82.61261261261261,89.1891891891892,"Cobalt/[(S,S)-Teth-MsDPEN-RuCl]",Ar-NO2 + RCH2-COR|R_acidic-H
Alkene_oxidative_cleavage_to_carboxylic_acid,109,29,5,82.96330275229357,98.1651376146789,CuCl2,Alkyl-Si*|RCH2-OR|RCH2-NR2 + RCH2-Alkenyl|Alkyl-Si*
Multi-Event:Amid+C-N+C-C,99,30,2,79.71717171717172,98.98989898989899,Cu2O/Pd(OAc)2,Ar-CHO + Alkenyl-COOH
Decarboxylative_Coupling,94,23,13,66.44680851063829,79.7872340425532,NiBr2(dme),Ar-Br + Acyl-COOH
Benzylic_CH_oxidation_to_carboxylic_acid,94,4,3,79.13829787234043,92.5531914893617,Co(acac)2,Ar-Alkyl + Bn-OH
Addition,91,1,0,4.237582417582417,0.0,,Alkyl-H-acidic + Alkyl-CN
Hydration,91,1,0,6.998681318681319,2.197802197802198,,Alkyl-CN + Alkyl-CN
Deprotection,90,1,0,25.386444444444447,24.444444444444443,,Alkyl-NR2 + Alkyl-NR2
Multi-Event:Ann+C-N+C-O,83,39,5,69.37349397590361,79.51807228915662,Platinum(II) chloride,CH3-SR + Ar-NHR
Multi-Event:Amid+Ann+C-N,82,31,6,74.23170731707317,92.6829268292683,CuBr,RCH2-COOH|R_acidic-H|Ar-NHR + Ar-CHO
Aliphatic_Halide_Exchange,69,15,5,78.3768115942029,94.20289855072464,"Zincbromidehydrate,Puratronic(R),(metalsbasis)",Alkyl-Br|Alkyl-F + Ar-B(OH)2
Multi-Event:Amid+LGDisp+C-N,67,19,2,66.19402985074628,85.07462686567165,CuBr,AromN-H + Ar-Iodonium|Ar-OR
Multi-Event:LGDisp+C-N+C-O,67,20,3,78.58208955223881,100.0,CuI,Ar-I + RCH2-NR2
Multi-Event:Amid+Ann+C-N+C-C,64,28,4,76.296875,93.75,Cu2O/Pd(OAc)2,Alkenyl-COOH + Ar-Alkynyl_terminal
Acylation_friedel_crafts,50,13,5,76.28,90.0,Pd(OAc)2,Ar-B(OH)2 + Ar-COCl
Deoxyfluorination,48,1,0,45.06729166666667,60.416666666666664,,R2CH-OH + R2CH-OH
Reduction,48,2,2,69.13166666666667,83.33333333333334,Strykers reagent,Alkenyl-H + Alkenyl-H
Fluorination_Oxidative,48,2,0,4.078125,2.083333333333333,,Ar-H + Ar-H
Chlorination,48,1,0,19.38416666666667,4.166666666666666,,Alkyl-Ester + Alkyl-Ester
Miyaura_borylation,47,17,9,72.87234042553192,91.48936170212765,Pd2(dba)3,Alkyl-H + HeteroAr-Br
