reaction_smiles,reaction_label,spectator_groups
O=Cc1cc([N+](=O)[O-])ccc1Cl.CCOC(=O)CS>>CCOC(=O)c1cc2cc([N+](=O)[O-])ccc2s1,Ar–Cl + R–SH →,
O=Cc1ccc(Cl)cc1.Cc1cccc(Cl)c1S>>Cc1cccc(Cl)c1Sc1ccc(C=O)cc1,Ar–Cl + Ar–SH → Ar–S–Ar,aldehyde; aryl_halide
Cc1cccc(S)c1.N#Cc1ccc(I)cc1>>Cc1cccc(Sc2ccc(C#N)cc2)c1,Ar–I + Ar–SH → Ar–S–Ar,nitrile
O=[N+]([O-])c1cc(Cl)ccc1Cl.Sc1ccncc1>>O=[N+]([O-])c1cc(Cl)ccc1Sc1ccncc1,Ar–Cl + HeteroAr–SH → Ar–S–HeteroAr,nitro; tertiary_amine; aryl_halide; heteroaryl_nitrogen
FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1.CC(S)CCc1ccccc1>>CC(CCc1ccccc1)Sc1cc(C(F)(F)F)cc(C(F)(F)F)c1,Ar–Br + R–SH → Ar–S–R,
CCOC(=S)S.[K].Nc1ccc(Br)cc1I>>S=c1[nH]c2ccc(Br)cc2s1,(Ar–Br + Alkenyl–SH) OR (Ar–I + Alkenyl–SH) OR (intramolecular Ar–Br / Ar–NH2) OR (intramolecular Ar–I / Ar–NH2) →,
O=[N+]([O-])c1ccccc1Cl.Sc1ccccc1.[Na]>>O=[N+]([O-])c1ccccc1Sc1ccccc1,Ar–Cl + Ar–SH → Ar–S–Ar,nitro; tertiary_amine
CCOC(=S)S.[K].Nc1ccc(F)c(F)c1F.Fc1ccc(CBr)cc1F>>Fc1ccc(CSc2nc3ccc(F)c(F)c3s2)cc1F,(Ar–F + Alkenyl–SH) OR (Ar–F + Ar–NH2) OR (Benzyl–Br + Alkenyl–SH) OR (Benzyl–Br + Ar–NH2) OR (intramolecular Ar–F / Ar–NH2) →,
O=C(O)c1ccc(I)cc1.FC(F)(F)c1ccc(S)cc1>>O=C(O)c1ccc(Sc2ccc(C(F)(F)F)cc2)cc1,Ar–I + Ar–SH → Ar–S–Ar,carboxylic_acid
CCOC(=O)CS.N#Cc1cc(C(F)(F)F)ccc1F>>CCOC(=O)c1sc2ccc(C(F)(F)F)cc2c1N,Ar–F + R–SH →,
Sc1ccccc1.NS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F>>NS(=O)(=O)c1c(F)c(F)c(Sc2ccccc2)c(F)c1F,Ar–F + Ar–SH → Ar–S–Ar,aryl_halide; aryl_halide; aryl_halide; aryl_halide; sulfonamide
CCCCCCCCS.CC(=O)c1ccc(I)cc1>>CCCCCCCCSc1ccc(C(C)=O)cc1,Ar–I + R–SH → Ar–S–R,ketone
Cc1ccc(I)cc1.Sc1ccccc1.[Na]>>Cc1ccc(Sc2ccccc2)cc1,Ar–I + Ar–SH → Ar–S–Ar,
O=[N+]([O-])c1ccc(Cl)cc1.CCC(C)S>>CCC(C)Sc1ccc([N+](=O)[O-])cc1,Ar–Cl + R–SH → Ar–S–R,nitro; tertiary_amine
FC(F)(F)c1ccccc1Cl.Sc1ccccc1>>FC(F)(F)c1ccccc1Sc1ccccc1,Ar–Cl + Ar–SH → Ar–S–Ar,
Nc1ccccc1S.Clc1cc(Cl)c(Cl)nn1>>Nc1ccccc1Sc1cc(Cl)nnc1Cl,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,primary_amine; aryl_halide; aryl_halide; heteroaryl_nitrogen; heteroaryl_nitrogen
Sc1ccccc1.Ic1ccc(I)cc1>>c1ccc(Sc2ccc(Sc3ccccc3)cc2)cc1,Ar–I + Ar–SH →,
COC(=O)CS.COc1ccc(Br)cc1CNS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1>>COC(=O)CSc1ccc(S(=O)(=O)NCc2cc(Br)ccc2OC)cc1[N+](=O)[O-],Ar–Cl + R–SH → Ar–S–R,ester; nitro; tertiary_amine; sulfonamide; aryl_halide; ether
Clc1nc(Cl)nc(Cl)n1.Sc1ccccc1>>c1ccc(Sc2nc(Sc3ccccc3)nc(Sc3ccccc3)n2)cc1,HeteroAr–Cl + Ar–SH →,
Sc1ccc(Cl)cc1.Clc1nc(Cl)nc(Cl)n1>>Clc1ccc(Sc2nc(Sc3ccc(Cl)cc3)nc(Sc3ccc(Cl)cc3)n2)cc1,(HeteroAr–Cl + Ar–SH) OR (intramolecular Ar–Cl / Ar–SH) →,
O=[N+]([O-])c1ccccc1Cl.COc1ccc(S)cc1>>COc1ccc(Sc2ccccc2[N+](=O)[O-])cc1,Ar–Cl + Ar–SH → Ar–S–Ar,nitro; tertiary_amine; ether
Ic1cccc2ccccc12.COC(=O)[C@@H](N)CS.Cl>>COC(=O)[C@@H](N)CSc1cccc2ccccc12,Ar–I + R–SH → Ar–S–R,ester; primary_amine
CC(C)(C)c1ccc(S)cc1.N#Cc1cc(Cl)c(Cl)cc1C#N>>CC(C)(C)c1ccc(Sc2cc(C#N)c(C#N)cc2Sc2ccc(C(C)(C)C)cc2)cc1,Ar–Cl + Ar–SH →,
SCc1ccccc1.COc1cc(C(F)(F)F)ccc1-c1ncnc2cc(Br)ccc12>>COc1cc(C(F)(F)F)ccc1-c1ncnc2cc(SCc3ccccc3)ccc12,Ar–Br + R–SH → Ar–S–R,heteroaryl_nitrogen; heteroaryl_nitrogen; ether
Sc1ccccc1.COC(=O)c1ccccc1Br>>COC(=O)c1ccccc1Sc1ccccc1,Ar–Br + Ar–SH → Ar–S–Ar,ester
Sc1ccccc1.Brc1cccnc1>>c1ccc(Sc2cccnc2)cc1,HeteroAr–Br + Ar–SH → HeteroAr–S–Ar,heteroaryl_nitrogen
COc1ccc(S)cc1.Clc1ncnc2sc3c(c12)CCCC3>>COc1ccc(Sc2ncnc3sc4c(c23)CCCC4)cc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,ether; heteroaryl_nitrogen; heteroaryl_nitrogen
CCS.Brc1ccc2ccccc2c1>>CCSc1ccc2ccccc2c1,Ar–Br + R–SH → Ar–S–R,
Sc1ccc2ccccc2c1.O=[N+]([O-])c1ccc(Cl)cc1>>O=[N+]([O-])c1ccc(Sc2ccc3ccccc3c2)cc1,Ar–Cl + Ar–SH → Ar–S–Ar,nitro; tertiary_amine
COc1ccc(S)cc1.O=[N+]([O-])c1ccccc1F>>COc1ccc(Sc2ccccc2[N+](=O)[O-])cc1,Ar–F + Ar–SH → Ar–S–Ar,ether; nitro; tertiary_amine
Sc1ccccc1.N#Cc1cc(Br)c([N+](=O)[O-])cc1C#N>>N#Cc1cc(Sc2ccccc2)c(Sc2ccccc2)cc1C#N,Ar–Br + Ar–SH →,
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.O=[N+]([O-])c1ccc(S)cc1.[Na]>>O=[N+]([O-])c1ccc(Sc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1,Ar–Cl + Ar–SH → Ar–S–Ar,nitro; tertiary_amine; nitro; tertiary_amine; nitro; tertiary_amine
Sc1ccccc1Br.COc1ccc(Br)c(C(=O)Nc2ccccc2)c1>>COc1ccc2c(c1)C(=O)N(c1ccccc1)c1ccccc1S2,(Ar–Br + Ar–SH) OR (Ar–Br + R–C(O)–NHR) OR (intramolecular Ar–Br / Ar–SH) OR (intramolecular Ar–Br / R–C(O)–NHR) →,
Sc1ccccc1Br.O=C(Nc1ccccc1)c1ccc(F)cc1Br>>O=C1c2ccc(F)cc2Sc2ccccc2N1c1ccccc1,(Ar–Br + Ar–SH) OR (Ar–Br + R–C(O)–NHR) OR (Ar–F + Ar–SH) OR (intramolecular Ar–Br / Ar–SH) OR (intramolecular Ar–Br / R–C(O)–NHR) OR (intramolecular Ar–F / R–C(O)–NHR) →,
Sc1ccc(Sc2ccc(S)cc2)cc1.O=[N+]([O-])c1ccc(Cl)nc1>>O=[N+]([O-])c1ccc(Sc2ccc(Sc3ccc(Sc4ccc([N+](=O)[O-])cn4)cc3)cc2)nc1,HeteroAr–Cl + Ar–SH →,
Nc1ccc(S)cc1.O=[N+]([O-])c1ccc(Cl)c2nonc12>>Nc1ccc(Sc2ccc([N+](=O)[O-])c3nonc23)cc1,Ar–Cl + Ar–SH → Ar–S–Ar,primary_amine; heteroaryl_nitrogen; heteroaryl_nitrogen; nitro; tertiary_amine
SCc1ccccc1.Fc1cncc(Br)c1>>Fc1cncc(SCc2ccccc2)c1,HeteroAr–Br + R–SH → HeteroAr–S–R,aryl_halide; heteroaryl_nitrogen
COc1ccc(S)cc1.Brc1ccc2ccc3cccc4ccc1c2c34>>COc1ccc(Sc2ccc3ccc4cccc5ccc2c3c45)cc1,Ar–Br + Ar–SH → Ar–S–Ar,ether
Nc1cccc(S)c1.COc1nc(N2CCN(C)CC2)ncc1I>>COc1nc(N2CCN(C)CC2)ncc1Sc1cccc(N)c1,HeteroAr–I + Ar–SH → HeteroAr–S–Ar,primary_amine; ether; heteroaryl_nitrogen; heteroaryl_nitrogen; tertiary_amine; tertiary_amine
N#Cc1ccc(S)cc1.CN1CCN(c2cc(OCc3ccccc3)c(I)cn2)CC1>>CN1CCN(c2cc(OCc3ccccc3)c(Sc3ccc(C#N)cc3)cn2)CC1,HeteroAr–I + Ar–SH → HeteroAr–S–Ar,nitrile; ether; heteroaryl_nitrogen; tertiary_amine; tertiary_amine
SC1CCCCC1.Brc1cccc2cn[nH]c12>>c1cc(SC2CCCCC2)c2[nH]ncc2c1,Ar–Br + R–SH → Ar–S–R,heteroaryl_nitrogen
Sc1ccccc1.Clc1ccc2nccnc2c1>>c1ccc(Sc2ccc3nccnc3c2)cc1,Ar–Cl + Ar–SH → Ar–S–Ar,heteroaryl_nitrogen; heteroaryl_nitrogen
Nc1cccc(Cl)c1.Cc1ccc(OP(=S)(S)Oc2ccc(C)cc2)cc1.[Na]>>Cc1ccc(OP(=S)(Oc2ccc(C)cc2)Sc2cccc(N)c2)cc1,Ar–Cl + Other–SH → Ar–S–Other,primary_amine; ether; ether
Sc1ccc(Cl)cc1.O=Cc1oc2ccccc2c1Cl>>O=Cc1oc2ccccc2c1Sc1ccc(Cl)cc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,aryl_halide; aldehyde
Cc1ccc(C)c(S)c1.O=Cc1oc2ccccc2c1Cl>>Cc1ccc(C)c(Sc2c(C=O)oc3ccccc23)c1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,aldehyde
Cc1ccc(S)cc1.O=Cc1oc2ccc(Br)cc2c1Cl>>Cc1ccc(Sc2c(C=O)oc3ccc(Br)cc23)cc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,aldehyde; aryl_halide
Cc1ccc(S)cc1.N#Cc1oc2ccccc2c1Cl>>Cc1ccc(Sc2c(C#N)oc3ccccc23)cc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,nitrile
CCCS.CCN(CC)c1ccc2c(Cl)c(C(=O)Oc3ccccc3)c(=O)oc2c1>>CCCSc1c(C(=O)Oc2ccccc2)c(=O)oc2cc(N(CC)CC)ccc12,HeteroAr–Cl + R–SH → HeteroAr–S–R,ester; tertiary_amine
Sc1ccc(Cl)cc1.Clc1ccccn1>>Clc1ccc(Sc2ccccn2)cc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,aryl_halide; heteroaryl_nitrogen
Sc1ccccc1.COc1ccc(Cl)nn1>>COc1ccc(Sc2ccccc2)nn1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,heteroaryl_nitrogen; heteroaryl_nitrogen; ether
CS.[Na].Brc1ccc2cc(Br)ccc2c1>>CSc1ccc2cc(SC)ccc2c1,Ar–Br + R–SH →,
N#Cc1ccc(F)cc1.CS.[Na]>>CSc1ccc(C#N)cc1,Ar–F + R–SH → Ar–S–R,nitrile
COc1ccc2c(c1)C(CC(=O)N(C)OC)c1cc(OC)ccc1[I+]2.O=S(=O)([O-])C(F)(F)F.CC(=O)S.[K]>>COc1ccc(I)c([C@@H](CC(=O)N(C)OC)c2cc(OC)ccc2SC(C)=O)c1,,
Ic1ccc2ccccc2c1.CCS.[Na]>>CCSc1ccc2ccccc2c1,Ar–I + R–SH → Ar–S–R,
SCc1ccc(Cl)cc1.[Na].Cc1cc(OS(=O)(=O)C(F)(F)F)ccc1Br>>Cc1cc(OS(=O)(=O)C(F)(F)F)ccc1SCc1ccc(Cl)cc1,Ar–Br + R–SH → Ar–S–R,aryl_halide
Fc1cc(F)c(F)c(F)c1F.Sc1ccccc1.[Na]>>Fc1cc(Sc2ccccc2)c(F)c(Sc2ccccc2)c1Sc1ccccc1,Ar–F + Ar–SH →,
CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-].O=C(S)c1c(Cl)cc(Cl)cc1Cl.[K]>>Cc1cccc(I)c1-c1c(C)cccc1SC(=O)c1c(Cl)cc(Cl)cc1Cl,,
SC12CC3CC(CC(C3)C1)C2.O=Cc1c(Cl)ccc(Br)c1F>>O=Cc1c(Cl)ccc(Br)c1SC12CC3CC(CC(C3)C1)C2,Ar–F + R–SH → Ar–S–R,aryl_halide; aldehyde; aryl_halide
SC12CC3CC(CC(C3)C1)C2.O=Cc1c(I)ccc(Cl)c1F>>O=Cc1c(I)ccc(Cl)c1SC12CC3CC(CC(C3)C1)C2,Ar–F + R–SH → Ar–S–R,aryl_halide; aldehyde; aryl_halide
CCCCCCCCCCS.Cc1cc(C)nc(Cl)n1>>CCCCCCCCCCSc1nc(C)cc(C)n1,HeteroAr–Cl + R–SH → HeteroAr–S–R,heteroaryl_nitrogen; heteroaryl_nitrogen
COC(=O)CCS.Cn1cc(-c2nn(C3CCCCO3)c3cc(I)ccc23)cn1>>COC(=O)CCSc1ccc2c(-c3cnn(C)c3)nn(C3CCCCO3)c2c1,Ar–I + R–SH → Ar–S–R,ester; heteroaryl_nitrogen; heteroaryl_nitrogen; ether; heteroaryl_nitrogen; heteroaryl_nitrogen
Cc1cccc(S)c1.O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(Br)cc(Cl)cn12>>Cc1cccc(Sc2cc(Cl)cn3c([N+](=O)[O-])c(CS(=O)(=O)c4ccccc4)nc23)c1,HeteroAr–Br + Ar–SH → HeteroAr–S–Ar,aryl_halide; heteroaryl_nitrogen; heteroaryl_nitrogen; nitro; sulfone; tertiary_amine
SCc1ccc(Cl)cc1.O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(Br)cc(Cl)cn12>>O=[N+]([O-])c1c(CS(=O)(=O)c2ccccc2)nc2c(SCc3ccc(Cl)cc3)cc(Cl)cn12,HeteroAr–Br + R–SH → HeteroAr–S–R,aryl_halide; aryl_halide; heteroaryl_nitrogen; heteroaryl_nitrogen; nitro; sulfone; tertiary_amine
COc1ccc(I)cc1.Nc1ccc(S)cc1>>COc1ccc(Sc2ccc(N)cc2)cc1,Ar–I + Ar–SH → Ar–S–Ar,ether; primary_amine
Cc1ccc(S)cc1.Brc1cccc2c1sc1ccccc12>>Cc1ccc(Sc2cccc3c2sc2ccccc23)cc1,Ar–Br + Ar–SH → Ar–S–Ar,
Cc1ccc(S)cc1.CN(C)c1ncc(Br)cn1>>Cc1ccc(Sc2cnc(N(C)C)nc2)cc1,HeteroAr–Br + Ar–SH → HeteroAr–S–Ar,heteroaryl_nitrogen; heteroaryl_nitrogen; tertiary_amine
Cc1ccc(S)cc1.O=Cc1c(Cl)ccnc1Cl>>Cc1ccc(Sc2ccnc(Sc3ccc(C)cc3)c2C=O)cc1,HeteroAr–Cl + Ar–SH →,
CCS.CCOC(=O)Nc1cn2cc(Cl)ccc2n1>>CCOC(=O)Nc1cn2cc(SCC)ccc2n1,HeteroAr–Cl + R–SH → HeteroAr–S–R,heteroaryl_nitrogen; heteroaryl_nitrogen; carbamate
CS.[Na].CCc1cnc2c(Br)cccc2c1>>CCc1cnc2c(SC)cccc2c1,Ar–Br + R–SH → Ar–S–R,heteroaryl_nitrogen
COc1ccc(S)cc1OC.COc1cccnc1Br>>COc1ccc(Sc2ncccc2OC)cc1OC,HeteroAr–Br + Ar–SH → HeteroAr–S–Ar,ether; ether; heteroaryl_nitrogen; ether
Cc1ccc(S)cc1.COc1cc(C(F)(F)F)ccc1Br>>COc1cc(C(F)(F)F)ccc1Sc1ccc(C)cc1,Ar–Br + Ar–SH → Ar–S–Ar,ether
COC(=O)CCS.COC(=O)c1ccc(Br)cc1C(F)(F)F>>COC(=O)CCSc1ccc(C(=O)OC)c(C(F)(F)F)c1,Ar–Br + R–SH → Ar–S–R,ester; ester
COC(=O)CCS.COC(=O)c1cccc(Br)n1>>COC(=O)CCSc1cccc(C(=O)OC)n1,HeteroAr–Br + R–SH → HeteroAr–S–R,ester; heteroaryl_nitrogen; ester
CC(C)S.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)c1c(F)c(F)c(F)c(F)c1F>>CC(C)Sc1c(F)c(F)c(S(=O)(=O)NS(=O)(=O)C(F)(F)F)c(F)c1F,Ar–F + R–SH →,
CCCCCCCCS.CCn1cnc2c(Cl)ncnc21>>CCCCCCCCSc1ncnc2c1ncn2CC,HeteroAr–Cl + R–SH → HeteroAr–S–R,heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen
Sc1ccccc1.Brc1cccc(I)c1>>c1ccc(Sc2cccc(Sc3ccccc3)c2)cc1,(Ar–Br + Ar–SH) OR (Ar–I + Ar–SH) →,
COC(=O)c1ccc(I)cc1.SC1CCCCC1>>COC(=O)c1ccc(SC2CCCCC2)cc1,Ar–I + R–SH → Ar–S–R,ester
SC12CC3CC(CC(C3)C1)C2.O=Cc1c(Br)ccc(Br)c1F>>O=Cc1c(Br)ccc(Br)c1SC12CC3CC(CC(C3)C1)C2,Ar–F + R–SH → Ar–S–R,aryl_halide; aldehyde; aryl_halide
Sc1ccccc1Br.COc1ccc(-c2nc(-c3cc(Cl)ccc3Br)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc(-c3cc(Cl)ccc3Sc3ccccc3Br)[nH]c2-c2ccc(OC)cc2)cc1,Ar–Br + Ar–SH → Ar–S–Ar,aryl_halide; aryl_halide; heteroaryl_nitrogen; ether; ether
COC(=O)CCS.Clc1ncn(Cc2ccc(Br)cc2)c1Cl>>COC(=O)CCSc1ccc(Cn2cnc(Cl)c2Cl)cc1,Ar–Br + R–SH → Ar–S–R,ester; heteroaryl_nitrogen; aryl_halide; aryl_halide; heteroaryl_nitrogen
Ic1ccc(I)cc1.CC(=O)S.[K]>>CC(=O)Sc1ccc(I)cc1,,
Sc1ccccc1.Cc1nn(-c2ccccc2)c(Cl)c1C=O>>Cc1nn(-c2ccccc2)c(Sc2ccccc2)c1C=O,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,heteroaryl_nitrogen; aldehyde; heteroaryl_nitrogen
CCOC(=O)CS.FC(F)(F)c1cnc(Cl)c(Cl)c1>>CCOC(=O)CSc1ncc(C(F)(F)F)cc1Cl,HeteroAr–Cl + R–SH → HeteroAr–S–R,ester; aryl_halide; heteroaryl_nitrogen
Sc1ccc(Cl)c(Cl)c1.COC(=O)c1ccccc1NC(=O)c1ccc(F)c([N+](=O)[O-])c1>>COC(=O)c1ccccc1NC(=O)c1ccc(Sc2ccc(Cl)c(Cl)c2)c([N+](=O)[O-])c1,Ar–F + Ar–SH → Ar–S–Ar,aryl_halide; aryl_halide; nitro; tertiary_amine; amide; ester
Sc1ccc(Cl)c(Cl)c1.COC(=O)c1cc(NCc2ccc(F)c([N+](=O)[O-])c2)ccc1Cl>>COC(=O)c1cc(NCc2ccc(Sc3ccc(Cl)c(Cl)c3)c([N+](=O)[O-])c2)ccc1Cl,Ar–F + Ar–SH → Ar–S–Ar,aryl_halide; aryl_halide; nitro; tertiary_amine; secondary_amine; aryl_halide; ester
O=C(O)c1ccc(S)cc1.CCN(CC)c1ccc2c(Cl)c(C(=O)Oc3ccccc3)c(=O)oc2c1>>CCN(CC)c1ccc2c(Sc3ccc(C(=O)O)cc3)c(C(=O)Oc3ccccc3)c(=O)oc2c1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,carboxylic_acid; ester; tertiary_amine
SCc1ccccc1.Brc1ccc2[nH]ncc2c1>>c1ccc(CSc2ccc3[nH]ncc3c2)cc1,Ar–Br + R–SH → Ar–S–R,heteroaryl_nitrogen
COc1cccc(S)c1.CCOP(=O)(OCC)C(Cc1c(F)c(F)c(F)c(F)c1F)Nc1ccccc1>>CCOP(=O)(OCC)C(Cc1c(F)c(F)c(Sc2cccc(OC)c2)c(F)c1F)Nc1ccccc1,Ar–F + Ar–SH → Ar–S–Ar,ether; aryl_halide; aryl_halide; aryl_halide; aryl_halide; phosphonate; secondary_amine
CCS.N#Cc1c(Br)nc(-c2ccc(F)cc2)c(C#N)c1N>>CCSc1nc(-c2ccc(F)cc2)c(C#N)c(N)c1C#N,HeteroAr–Br + R–SH → HeteroAr–S–R,heteroaryl_nitrogen; nitrile; primary_amine; nitrile; aryl_halide
Sc1ccccc1.C=Cc1ccc(Br)cc1>>C=Cc1ccc(Sc2ccccc2)cc1,Ar–Br + Ar–SH → Ar–S–Ar,alkene
Cc1ccc(S)cc1.FC(F)(F)c1ccnc(Br)c1>>Cc1ccc(Sc2cc(C(F)(F)F)ccn2)cc1,HeteroAr–Br + Ar–SH → HeteroAr–S–Ar,heteroaryl_nitrogen
