cluster_rank,cluster_count,cluster_id,motif_signature,event_signature,original_row_number,reaction_id,source_file,source_reaction_label,quality_level,quality_score,reaction_key,reaction_smiles
46,1,Any-SH|Ar-Cl|Inorganic|RCH2-I -> Ar-SR|HeteroAr-Cl || events:c_s_bond_formation|intermolecular_or_multi_component|leaving_group_displacement|leaving_group_displacement,Any-SH|Ar-Cl|Inorganic|RCH2-I -> Ar-SR|HeteroAr-Cl,c_s_bond_formation|intermolecular_or_multi_component|leaving_group_displacement|leaving_group_displacement,74,31-144-CAS-9288511,C_S_Coupling.csv,C_S_Coupling,high,0.85,|Any-SH|Ar-Cl|Inorganic|RCH2-I -> Ar-SR | bond_formed: C-S; C(ar)-S | bond_formed_labeled: C-S; C(ar)-S[Ar-SR] | bond_broken: C-I; C(ar)-Cl; S-S,S=C(S)S.[Na].Clc1c(Cl)c2c3c(c(Cl)c(Cl)c4c3c1SS4)SS2.CCI>>CCSc1c(Cl)c(Cl)c2c3c(c(Cl)c4sc(=S)sc4c13)SS2
47,1,Acyl-Cl|Ar-NH2 -> Ar-N(R)CO2R || events:c_n_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,Acyl-Cl|Ar-NH2 -> Ar-N(R)CO2R,c_n_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,77,31-365-CAS-742261,Carbamate_formation.csv,Carbamate formation,high,1.0,|Acyl-Cl|Ar-NH2 -> Ar-N(R)CO2R | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-Cl | spectators: Ar-Alkyl|Ar-Br,O=C(Cl)OCc1ccccc1.Nc1cccc(Br)c1>>O=C(Nc1cccc(Br)c1)OCc1ccccc1
48,1,Acyl-Cl|Ar-NO2 -> Ar-N(R)CO2R || events:c_n_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,Acyl-Cl|Ar-NO2 -> Ar-N(R)CO2R,c_n_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,79,31-614-CAS-40274245,Carbamate_formation.csv,Carbamate formation,high,1.0,|Acyl-Cl|Ar-NO2 -> Ar-N(R)CO2R | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-Cl; N-O | spectators: Ar-Cl,O=[N+]([O-])c1ccc(Cl)cc1.O=C(Cl)Oc1ccccc1>>O=C(Nc1ccc(Cl)cc1)Oc1ccccc1
49,1,Ar-Alkenyl|Ar-OR|R3C-OH -> Ar-Alkyl || events:none,Ar-Alkenyl|Ar-OR|R3C-OH -> Ar-Alkyl,none,80,31-614-CAS-24922510,Catalytic_hydrogenation.csv,Catalytic hydrogenation,medium,0.6,|Ar-Alkenyl|Ar-OR|R3C-OH -> Ar-Alkyl,COc1cccc(/C=C2\[C@](C)(O)CC[C@H]3C(C)(C)CCC[C@]23C)c1OC.COc1cccc(/C=C2/[C@](C)(O)CC[C@H]3C(C)(C)CCC[C@]23C)c1OC>>COc1cccc(C[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@@]2(C)O)c1OC
50,1,Ar-Alkenyl -> Alkyl-NHCOR|Ar-Alkyl || events:none,Ar-Alkenyl -> Alkyl-NHCOR|Ar-Alkyl,none,81,31-614-CAS-36317276,Catalytic_hydrogenation.csv,Catalytic hydrogenation,high,0.75,|Ar-Alkenyl -> Alkyl-NHCOR|Ar-Alkyl | spectators: Ar-Alkyl|R2CH-CONHR|R_acidic-H,O=C(NC1=Cc2ccccc2CC1)C1CCCCC1>>O=C(NC1CCc2ccccc2C1)C1CCCCC1
51,1,Ar-Alkenyl -> Ar-Alkyl || events:none,Ar-Alkenyl -> Ar-Alkyl,none,82,31-614-CAS-41536119,Catalytic_hydrogenation.csv,Catalytic hydrogenation,medium,0.6,|Ar-Alkenyl -> Ar-Alkyl | spectators: Ar-OR,COc1ccc(/C=C/c2ccc(OC)cc2)cc1>>COc1ccc(CCc2ccc(OC)cc2)cc1
52,1,R2CH-OH -> R2CH-Cl || events:intramolecular_likely,R2CH-OH -> R2CH-Cl,intramolecular_likely,89,31-048-CAS-13818145,Chlorination_SOCl2_oxalyl_chloride.csv,"Chlorination (SOCl2, oxalyl chloride)",high,1.0,|R2CH-OH -> R2CH-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O,CCCCCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C>>CCCCCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](Cl)CC[C@]4(C)[C@H]3CC[C@]12C
53,1,Bn-OH -> Bn-Cl || events:intramolecular_likely,Bn-OH -> Bn-Cl,intramolecular_likely,90,31-048-CAS-4317244,Chlorination_SOCl2_oxalyl_chloride.csv,"Chlorination (SOCl2, oxalyl chloride)",high,1.0,|Bn-OH -> Bn-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-AromN|Ar-CO2R|Ar-Cl|HeteroAr-H|Pyrazole,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)cc1CO>>CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)cc1CCl
54,1,AromN-H|HeteroAr-H|Indole|R2CH-OH -> Ar-NHR|R2CH-Cl|R3C-Cl|RCH2-NHR || events:intramolecular_likely,AromN-H|HeteroAr-H|Indole|R2CH-OH -> Ar-NHR|R2CH-Cl|R3C-Cl|RCH2-NHR,intramolecular_likely,91,31-048-CAS-9377002,Chlorination_SOCl2_oxalyl_chloride.csv,"Chlorination (SOCl2, oxalyl chloride)",high,1.0,|R2CH-OH -> Ar-NHR|R2CH-Cl|R3C-Cl|RCH2-NHR | bond_formed: C(ar)-Cl; C-Cl | bond_formed_labeled: C(ar)-Cl; C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|Ar-OR,COc1ccc2[nH]cc(CCC(C)O)c2c1>>COc1ccc2c(c1)C(Cl)(CCC(C)Cl)CN2
55,1,R3C-OH -> Ar-N(R)CO2R || events:c_n_bond_formation|c_o_bond_formation|intermolecular_or_multi_component,R3C-OH -> Ar-N(R)CO2R,c_n_bond_formation|c_o_bond_formation|intermolecular_or_multi_component,100,31-449-CAS-20586771,Curtius_rearrangement.csv,Curtius rearrangement,high,0.85,|R3C-OH -> Ar-N(R)CO2R | spectators: Ar-OR,CC(C)(C)O.COc1ccc(C(=O)N=[N+]=[N-])cc1>>COc1ccc(NC(=O)OC(C)(C)C)cc1
56,1,none -> Ar-Br|Ar-CHO || events:ring_closure_or_annulation,none -> Ar-Br|Ar-CHO,ring_closure_or_annulation,103,31-517-CAS-12457083,DIBALH_Partial_reductions.csv,DIBAL‑H Partial reductions,high,0.75,|[] -> Ar-Br|Ar-CHO | spectators: Ar-Br|Ar-CO2R|Ar-Cl,COC(=O)c1cc(Cl)c(Br)cc1C(=O)OC>>COC(=O)c1cc(Cl)c(Br)cc1C=O.COC(=O)c1cc(Br)c(Cl)cc1C=O
57,1,Acyl-CO2H|Ar-Cl -> none || events:c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,Acyl-CO2H|Ar-Cl -> none,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,104,31-484-CAS-22486046,Decarboxylative_arylation.csv,Decarboxylative arylation,high,0.85,|Acyl-CO2H|Ar-Cl -> [] | spectators: Ar-CF3|Ar-COR|HeteroAr-H|Pyridine,O=C(O)C(=O)c1ccccc1.FC(F)(F)c1cccc(Cl)n1>>O=C(c1ccccc1)c1cccc(C(F)(F)F)n1
58,1,Ar-OH -> Ar-F || events:intramolecular_likely,Ar-OH -> Ar-F,intramolecular_likely,107,31-048-CAS-10489275,Deoxy_fluorination.csv,Deoxy fluorination,high,1.0,|Ar-OH -> Ar-F | bond_formed: C(ar)-F | bond_formed_labeled: C(ar)-F | bond_broken: C(ar)-O | spectators: Ar-Cl,Oc1cc(Cl)cc(Cl)c1>>Fc1cc(Cl)cc(Cl)c1
59,1,R3C-OH -> R3C-F || events:intramolecular_likely,R3C-OH -> R3C-F,intramolecular_likely,108,31-048-CAS-22532918,Deoxy_fluorination.csv,Deoxy fluorination,high,1.0,|R3C-OH -> R3C-F | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-CO2R,CC(C)(O)CCCCCOC(=O)c1ccccc1>>CC(C)(F)CCCCCOC(=O)c1ccccc1
60,1,R2CH-OH -> R2CH-F || events:intramolecular_likely,R2CH-OH -> R2CH-F,intramolecular_likely,109,31-614-CAS-38381891,Deoxy_fluorination.csv,Deoxy fluorination,high,1.0,|R2CH-OH -> R2CH-F | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: R2CH-CO2R|R_acidic-H,COC(=O)[C@@H](C)O>>COC(=O)[C@H](C)F
61,1,Alkyl-Br -> none || events:c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,Alkyl-Br -> none,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,114,31-085-CAS-19165335,Difluoromethylation.csv,Difluoromethylation,high,0.85,|Alkyl-Br -> Ar-Alkyl | spectators: Alkyl-CO2R|Alkyl-F|Alkyl-NRCOR|Ar-Alkyl|Ar-Br|Ar-NRCOR,CCOC(=O)C(F)(F)Br.CC(C)(C)C(=O)N1CCc2c(Br)cccc21>>CCOC(=O)C(F)(F)c1ccc2c(c1Br)CCN2C(=O)C(C)(C)C
62,1,HeteroAr-H|RCH2-OR -> Ar-Alkyl || events:c_c_bond_formation|intermolecular_or_multi_component,HeteroAr-H|RCH2-OR -> Ar-Alkyl,c_c_bond_formation|intermolecular_or_multi_component,115,31-614-CAS-38724260,Difluoromethylation.csv,Difluoromethylation,high,0.85,|HeteroAr-H|RCH2-OR -> Ar-Alkyl | spectators: Alkyl-F|Pyridine|R2CH-OH,c1ccn2ccnc2c1.CCOC(O)C(F)F>>OC(c1cnc2ccccn12)C(F)F
63,1,R_acidic-H -> R3C-F || events:intramolecular_likely,R_acidic-H -> R3C-F,intramolecular_likely,116,31-119-CAS-1922889,Electrophilic_fluorination.csv,Electrophilic fluorination,high,1.0,|R_acidic-H -> R3C-F | bond_formed: C-F | bond_formed_labeled: C-F | spectators: Ar-Alkyl|Ar-COR,CCOP(=O)(OCC)C1Cc2ccccc2C1=O>>CCOP(=O)(OCC)[C@@]1(F)Cc2ccccc2C1=O
64,1,RCH2-COR -> R2CH-COR|R2CH-F || events:intramolecular_likely,RCH2-COR -> R2CH-COR|R2CH-F,intramolecular_likely,117,31-119-CAS-3933676,Electrophilic_fluorination.csv,Electrophilic fluorination,high,1.0,|RCH2-COR -> R2CH-COR|R2CH-F | bond_formed: C-F | bond_formed_labeled: C-F | spectators: Ar-NRCOR|R_acidic-H,CC(=O)CC(=O)N(c1ccccc1)c1ccccc1>>CC(=O)C(F)C(=O)N(c1ccccc1)c1ccccc1
65,1,Bn-NH2|RCH2-COR|R_acidic-H -> Bn-NHR|R2CH-NHR || events:c_n_bond_formation|intermolecular_or_multi_component,Bn-NH2|RCH2-COR|R_acidic-H -> Bn-NHR|R2CH-NHR,c_n_bond_formation|intermolecular_or_multi_component,119,31-313-CAS-12495499,EschweilerClarke_methylation.csv,Eschweiler–Clarke methylation,high,0.85,|Bn-NH2|RCH2-COR|R_acidic-H -> Bn-NHR|R2CH-NHR,NCc1ccccc1.O=C1CCCCC1>>c1ccc(CNC2CCCCC2)cc1
66,1,R2CH-NH2|Unclassified-Reactant -> CH3-NR2|R2CH-NR2 || events:c_n_bond_formation|intermolecular_or_multi_component,R2CH-NH2|Unclassified-Reactant -> CH3-NR2|R2CH-NR2,c_n_bond_formation|intermolecular_or_multi_component,120,31-313-CAS-18233263,EschweilerClarke_methylation.csv,Eschweiler–Clarke methylation,high,1.0,|R2CH-NH2|Unclassified-Reactant -> CH3-NR2|R2CH-NR2 | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | bond_broken: C-O | spectators: Ar-Alkyl|Ar-OH,C=O.C[C@H](N)c1cccc(O)c1>>C[C@@H](c1cccc(O)c1)N(C)C
67,1,RCH2-NH2|Unclassified-Reactant -> CH3-NR2|RCH2-NR2 || events:c_n_bond_formation|intermolecular_or_multi_component,RCH2-NH2|Unclassified-Reactant -> CH3-NR2|RCH2-NR2,c_n_bond_formation|intermolecular_or_multi_component,121,31-313-CAS-4475439,EschweilerClarke_methylation.csv,Eschweiler–Clarke methylation,high,1.0,|RCH2-NH2|Unclassified-Reactant -> CH3-NR2|RCH2-NR2 | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | bond_broken: C-O | spectators: Ar-Alkyl,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C.C=O>>CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN(C)C)CCC[C@]21C
68,1,Ar-NHR -> AromN-H|Bn-OR|HeteroAr-H|Indole || events:c_c_bond_formation|intramolecular_likely|ring_closure_or_annulation,Ar-NHR -> AromN-H|Bn-OR|HeteroAr-H|Indole,c_c_bond_formation|intramolecular_likely|ring_closure_or_annulation,127,31-467-CAS-7506303,Fischer_indole_synthesis.csv,Fischer indole synthesis,high,0.85,|Ar-NHR -> AromN-H|Bn-OR|HeteroAr-H|Indole | spectators: Ar-Alkyl|Ar-COR|Ar-OR,COc1ccc(NN=C2CCOc3cc(C)c(C)cc3C2=O)cc1>>COc1ccc2[nH]c3c(c2c1)COc1cc(C)c(C)cc1C3=O
69,1,Alkyl-H|Inorganic|RCH2-CHO|R_acidic-H -> RCH2-OR || events:c_c_bond_formation|c_n_bond_formation|c_o_bond_formation|intermolecular_or_multi_component,Alkyl-H|Inorganic|RCH2-CHO|R_acidic-H -> RCH2-OR,c_c_bond_formation|c_n_bond_formation|c_o_bond_formation|intermolecular_or_multi_component,128,31-311-CAS-17952865,Formation_of_Oximes.csv,Formation of Oximes,medium,0.7,|Alkyl-H|Inorganic|RCH2-CHO|R_acidic-H -> RCH2-OR | spectators: Alkyl-Alkynyl|Alkyl-Si*|Alkynyl-Si*|Propargyl-H|RCH2-OR,CON.Cl.CC(C)[Si](C#CC#CCOCC#CCCCCC=O)(C(C)C)C(C)C>>CO/N=C/CCCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C.CO/N=C\CCCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C
70,1,Alkyl-H|Inorganic|RCH2-CHO|R_acidic-H -> RCH2-OR || events:c_c_bond_formation|c_n_bond_formation|c_o_bond_formation|intermolecular_or_multi_component|ring_closure_or_annulation,Alkyl-H|Inorganic|RCH2-CHO|R_acidic-H -> RCH2-OR,c_c_bond_formation|c_n_bond_formation|c_o_bond_formation|intermolecular_or_multi_component|ring_closure_or_annulation,129,31-311-CAS-17952869,Formation_of_Oximes.csv,Formation of Oximes,high,0.85,|Inorganic|RCH2-CHO -> RCH2-OR | bond_formed: C-N; C-C; C-O | bond_formed_labeled: C-N; C-C; C-O | spectators: Alkyl-Alkynyl|Ar-Alkynyl|HeteroAr-H|Propargyl-H|Pyridine|RCH2-OR,CON.Cl.O=CCCCC#CCOCC#Cc1ccccn1>>CO/N=C/CCCC#CCOCC#Cc1ccccn1.CO/N=C\CCCC#CCOCC#Cc1ccccn1
71,1,Ar-COR -> Ar-C=N || events:c_n_bond_formation|intramolecular_likely,Ar-COR -> Ar-C=N,c_n_bond_formation|intramolecular_likely,130,31-311-CAS-766530,Formation_of_Oximes.csv,Formation of Oximes,high,1.0,|Ar-COR -> Ar-C=N | bond_formed: C-N; N-N | bond_formed_labeled: C-N; N-N | bond_broken: C-O | spectators: Ar-Alkyl|Ar-C=N,Cc1ccc(C(=O)/C(=N/O)c2ccc(C)cc2)cc1>>Cc1ccc(C(=N/N)/C(=N/O)c2ccc(C)cc2)cc1
72,1,Ar-CONHR|Bn-Br -> Ar-CONR2|Bn-LactamN || events:c_n_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,Ar-CONHR|Bn-Br -> Ar-CONR2|Bn-LactamN,c_n_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,131,31-041-CAS-18435823,Gabriel_amine_synthesis.csv,Gabriel amine synthesis,high,0.85,|Ar-CONHR|Bn-Br -> Ar-CONR2,O=C1NC(=O)c2cccc3cccc1c23.BrCc1ccccc1>>O=C1c2cccc3cccc(c23)C(=O)N1Cc1ccccc1
73,1,Alkenyl-CONHR|R2CH-Br -> R_acidic-H || events:c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,Alkenyl-CONHR|R2CH-Br -> R_acidic-H,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,138,31-614-CAS-44585135,Giese_radical_additions.csv,Giese radical additions,high,1.0,|Alkenyl-CONHR|R2CH-Br -> R_acidic-H | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: Br-C | spectators: Ar-Alkyl|Ar-NHCOR,C=CC(=O)Nc1ccc(C)cc1.BrC1CCC1>>Cc1ccc(NC(=O)CCC2CCC2)cc1
74,1,Ar-OR|Bn-NHR|HeteroAr-NHR -> HeteroAr-NH2 || events:none,Ar-OR|Bn-NHR|HeteroAr-NHR -> HeteroAr-NH2,none,140,31-614-CAS-26411965,GroebkeBlackburnBienaym.csv,Groebke–Blackburn–Bienaymé,high,1.0,|Bn-NHR|HeteroAr-NHR -> HeteroAr-NH2 | bond_broken: C-N | spectators: Ar-Alkyl|Ar-Ar|Ar-F|HeteroAr-H|Pyrimidine|RCH2-NHR,COc1ccc(CNc2nccc3nc(-c4ccc(F)cc4)c(NCCc4ccccc4)n23)c(OC)c1>>Nc1nccc2nc(-c3ccc(F)cc3)c(NCCc3ccccc3)n12
75,1,Alkyl-H|Ar-CHO|Bn-CN|R_acidic-H -> Ar-Ar|HeteroAr-CN|HeteroAr-NHR|R2CH-NHR || events:c_c_bond_formation|c_n_bond_formation|intermolecular_or_multi_component|ring_closure_or_annulation,Alkyl-H|Ar-CHO|Bn-CN|R_acidic-H -> Ar-Ar|HeteroAr-CN|HeteroAr-NHR|R2CH-NHR,c_c_bond_formation|c_n_bond_formation|intermolecular_or_multi_component|ring_closure_or_annulation,141,31-614-CAS-35672706,GroebkeBlackburnBienaym.csv,Groebke–Blackburn–Bienaymé,medium,0.7,|Alkyl-H|Ar-CHO|Bn-CN|R_acidic-H -> HeteroAr-NHR | spectators: HeteroAr-H|Thiazole,[C-]#[N+]C1CCCCC1.N#CCc1nc2ccccc2s1.CC(C)(C)OC(=O)n1cc(C=O)c2ccccc21>>CC(C)(C)OC(=O)n1cc(-c2c(C#N)c3sc4ccccc4n3c2NC2CCCCC2)c2ccccc21
76,1,Ar-NHR|HeteroAr-NHR|R3C-NHR -> Ar-AromN || events:intramolecular_likely|ring_closure_or_annulation,Ar-NHR|HeteroAr-NHR|R3C-NHR -> Ar-AromN,intramolecular_likely|ring_closure_or_annulation,142,31-614-CAS-40565576,GroebkeBlackburnBienaym.csv,Groebke–Blackburn–Bienaymé,high,1.0,|Ar-NHR|HeteroAr-NHR|R3C-NHR -> Ar-AromN | bond_formed: N-N(ar); N-N(ar) | bond_formed_labeled: N-N(ar); N-N(ar) | bond_broken: C-N | spectators: Ar-Alkyl|Bn-OH|Furan|HeteroAr-H|Pyridine,Cc1ncc(CO)c2c(Nc3ccccn3)c(NC(C)(C)CC(C)(C)C)oc12>>Cc1ncc(CO)c2c1oc1nnn(-c3ccccn3)c12
77,1,Ar-Alkenyl_terminal|R3C-Br -> Ar-Alkenyl || events:c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,Ar-Alkenyl_terminal|R3C-Br -> Ar-Alkenyl,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,146,31-177-CAS-22130080,HeckMizoroki_coupling.csv,Heck–Mizoroki coupling,high,0.85,|Ar-Alkenyl_terminal|R3C-Br -> Ar-Alkenyl | spectators: Ar-Alkyl|Ar-OR,C=Cc1ccccc1.CC(C)(Br)CCc1ccc2c(c1)OCO2>>CC(C)(/C=C/c1ccccc1)CCc1ccc2c(c1)OCO2
78,1,Ar-Br -> Ar-Alkenyl || events:c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,Ar-Br -> Ar-Alkenyl,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,148,31-177-CAS-5109737,HeckMizoroki_coupling.csv,Heck–Mizoroki coupling,high,1.0,|Ar-Br -> Ar-Alkenyl | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar)[Ar-Alkenyl] | bond_broken: Br-C(ar) | spectators: Alkenyl-CO2R|Ar-OR,C=C(C)C(=O)OC.COc1ccc(Br)cc1>>COC(=O)C(C)=Cc1ccc(OC)cc1
79,1,Bn-CONH2|CH3-OH|R_acidic-H -> Alkyl-N(R)CO2R|Ar-Alkyl || events:c_n_bond_formation|c_o_bond_formation|intermolecular_or_multi_component,Bn-CONH2|CH3-OH|R_acidic-H -> Alkyl-N(R)CO2R|Ar-Alkyl,c_n_bond_formation|c_o_bond_formation|intermolecular_or_multi_component,152,31-448-CAS-1085093,Hofmann_rearrangement.csv,Hofmann rearrangement,high,1.0,|Bn-CONH2|CH3-OH -> Alkyl-N(R)CO2R|Ar-Alkyl | bond_formed: C-O; C-N | bond_formed_labeled: C-O; C-N | bond_broken: C-C | spectators: HeteroAr-H|Thiophene,CO.NC(=O)Cc1ccsc1>>COC(=O)NCc1ccsc1
80,1,Ar-CONH2 -> Ar-NH2 || events:c_n_bond_formation|intramolecular_likely,Ar-CONH2 -> Ar-NH2,c_n_bond_formation|intramolecular_likely,153,31-448-CAS-5548262,Hofmann_rearrangement.csv,Hofmann rearrangement,high,1.0,|Ar-CONH2 -> Ar-NH2 | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-NH2] | bond_broken: C-C(ar); C-N | spectators: Ar-Alkyl|Ar-NO2,Cc1c(C([15NH2])=O)cc([N+](=O)[O-])cc1[N+](=O)[O-]>>Cc1c([15NH2])cc([N+](=O)[O-])cc1[N+](=O)[O-]
